"County","Year","Index Rate","Violent Rate","Property Rate","Murder Rate","Rape Rate","Robbery Rate","Assault Rate","Burglary Rate","Larceny Rate","MVT Rate","Arson Rate"
"Alexander County","2014","2,289.2","154.9","2,134.3","8.0","13.4","13.4","120.2","817.4","1,226.1","90.8","26.7"
"Alleghany County","2014","","","","","","","","","","",""
"Anson County","2014","","","","","","","","","","",""
"Ashe County","2014","946.8","57.5","889.3","3.8","11.5","","42.2","421.7","425.5","42.2",""
"Avery County","2014","1,475.2","130.0","1,345.2","","17.0","5.7","107.4","339.1","943.9","62.2",""
"Beaufort County","2014","2,976.7","300.4","2,676.3","6.3","10.6","44.4","239.1","782.8","1,802.5","91.0","12.7"
"Bertie County","2014","2,438.4","134.6","2,303.8","5.0","15.0","29.9","84.8","1,156.9","1,072.1","74.8","10.0"
"Bladen County","2014","3,388.3","232.9","3,155.4","14.2","0.0","45.4","173.3","1,002.6","2,036.4","116.4","22.7"
"Brunswick County","2014","2,335.9","143.7","2,192.1","1.8","24.0","16.0","102.0","868.5","1,226.0","97.6","17.7"
"Buncombe County","2014","2,863.0","247.4","2,615.6","3.6","23.8","89.1","131.0","661.2","1,777.8","176.5","15.7"
"Burke County","2014","2,551.7","149.2","2,402.6","6.9","6.9","31.2","104.1","810.5","1,471.8","120.2","18.5"
"Cabarrus County","2014","2,200.7","110.4","2,090.3","5.1","10.2","38.3","56.7","426.2","1,559.8","104.3","10.2"
"Caldwell County","2014","3,237.2","136.6","3,100.6","3.7","12.2","34.1","86.6","1,008.3","1,971.6","120.7","19.5"
"Camden County","2014","904.1","30.1","873.9","","","20.1","10.0","291.3","572.6","10.0","20.1"
"Carteret County","2014","2,882.8","239.7","2,643.0","5.8","15.9","28.9","189.2","696.1","1,854.4","92.4","11.6"
"Caswell County","2014","2,164.1","184.5","1,979.5","4.2","25.2","8.4","146.8","905.9","1,002.3","71.3","8.4"
"Catawba County","2014","3,127.8","253.4","2,874.4","3.8","23.7","50.0","175.8","757.1","1,978.7","138.6","15.4"
"Chatham County","2014","2,061.0","182.9","1,878.0","3.0","22.9","18.3","138.7","579.3","1,221.0","77.7","10.7"
"Cherokee County","2014","2,969.8","220.3","2,749.5","","22.0","18.4","179.9","877.4","1,743.7","128.5","11.0"
"Chowan County","2014","2,268.0","310.5","1,957.5","6.7","13.5","40.5","249.7","573.7","1,316.2","67.5",""
"Clay County","2014","2,825.6","240.9","2,584.8","","0.0","18.5","222.3","806.0","1,584.2","194.6","9.3"
"Cleveland County","2014","","","","","","","","","","",""
"Columbus County","2014","","","","","","","","","","",""
"Craven County","2014","2,905.1","247.7","2,657.4","2.0","17.9","51.7","176.1","802.9","1,781.9","72.6","4.0"
"Cumberland County","2014","5,377.5","523.9","4,853.6","10.6","28.7","196.4","288.2","1,249.8","3,352.7","251.0","34.3"
"Currituck County","2014","1,640.4","200.0","1,440.5","4.1","16.3","8.2","171.4","367.3","1,016.1","57.1","24.5"
"Dare County","2014","3,626.0","235.3","3,390.7","2.8","36.9","17.0","178.6","1,162.4","2,180.1","48.2","11.3"
"Davidson County","2014","2,431.4","176.1","2,255.3","1.9","10.7","52.4","111.1","974.0","1,169.0","112.4","14.5"
"Davie County","2014","2,175.4","155.4","2,020.0","2.5","9.9","12.3","130.7","638.8","1,304.8","76.5","7.4"
"Duplin County","2014","2,318.0","247.2","2,070.8","6.8","11.9","40.6","187.9","736.6","1,217.4","116.8","45.7"
"Durham County","2014","5,111.2","675.5","4,435.7","7.8","28.4","236.5","402.8","1,482.1","2,731.6","222.0","8.9"
"Edgecombe County","2014","3,739.4","551.5","3,188.0","9.4","26.4","96.3","419.3","1,152.1","1,945.3","90.7","22.7"
"Forsyth County","2014","5,115.7","561.0","4,554.7","4.7","27.2","131.7","397.3","1,294.5","3,023.9","236.2","29.5"
"Franklin County","2014","1,866.9","145.8","1,721.0","3.2","11.3","38.9","92.4","563.9","1,085.8","71.3","4.9"
"Gaston County","2014","3,355.0","377.9","2,977.1","1.5","24.0","76.5","275.9","627.3","2,179.4","170.4","19.9"
"Granville County","2014","2,906.5","299.2","2,607.4","5.2","8.7","57.4","227.9","977.5","1,542.9","87.0","22.6"
"Greene County","2014","3,203.5","376.9","2,826.6","","","","376.9","376.9","2,449.7","",""
"Guilford County","2014","3,482.7","392.0","3,090.7","5.4","16.9","124.8","244.9","807.4","2,122.0","161.3","30.3"
"Halifax County","2014","4,408.1","484.5","3,923.5","28.3","33.9","126.3","296.0","1,333.0","2,454.8","135.7","30.2"
"Harnett County","2014","3,034.6","262.6","2,771.9","3.2","11.3","59.2","188.8","984.0","1,656.7","131.3","19.5"
"Haywood County","2014","2,858.9","243.0","2,615.9","3.4","15.1","15.1","209.5","873.1","1,610.4","132.4","5.0"
"Henderson County","2014","1,768.0","119.9","1,648.2","3.7","12.8","21.0","82.4","423.7","1,108.2","116.2","1.8"
