year,unit_code,Lea_Name,School_Name,State_Name,category_cd,Part_Targets,percent_met,targets_met,targets_assigned
2014,010LEA,Alamance-Burlington Schools,,State Of North Carolina,,ACT WorkKeys,0.5,7,14
2014,010LEA,Alamance-Burlington Schools,,State Of North Carolina,,Current Year EOC,1.0,10,10
2014,010LEA,Alamance-Burlington Schools,,State Of North Carolina,,Mathematics Grade 10,0.5,9,18
2014,010LEA,Alamance-Burlington Schools,,State Of North Carolina,,Mathematics Grades 3 through 8,0.545,12,22
2014,010LEA,Alamance-Burlington Schools,,State Of North Carolina,,Reading Grade 10,0.556,10,18
2014,010LEA,Alamance-Burlington Schools,,State Of North Carolina,,Reading Grades 3 through 8,0.591,13,22
2014,010LEA,Alamance-Burlington Schools,,State Of North Carolina,,Science Grade 11,0.5,9,18
2014,010LEA,Alamance-Burlington Schools,,State Of North Carolina,,Science Grades 5 and 8,0.6,12,20
2014,010LEA,Alamance-Burlington Schools,,State Of North Carolina,,The ACT,0.111,2,18
2014,010LEA,Alamance-Burlington Schools,,State Of North Carolina,,Total Targets,0.542,97,179
2014,020LEA,Alexander County Schools,,State Of North Carolina,,ACT WorkKeys,0.667,4,6
2014,020LEA,Alexander County Schools,,State Of North Carolina,,Current Year EOC,1.0,7,7
2014,020LEA,Alexander County Schools,,State Of North Carolina,,Mathematics Grade 10,0.8,8,10
2014,020LEA,Alexander County Schools,,State Of North Carolina,,Mathematics Grades 3 through 8,0.65,13,20
2014,020LEA,Alexander County Schools,,State Of North Carolina,,Reading Grade 10,0.8,8,10
2014,020LEA,Alexander County Schools,,State Of North Carolina,,Reading Grades 3 through 8,0.75,15,20
2014,020LEA,Alexander County Schools,,State Of North Carolina,,Science Grade 11,0.75,6,8
2014,020LEA,Alexander County Schools,,State Of North Carolina,,Science Grades 5 and 8,1.0,14,14
2014,020LEA,Alexander County Schools,,State Of North Carolina,,The ACT,0.875,7,8
2014,020LEA,Alexander County Schools,,State Of North Carolina,,Total Targets,0.796,90,113
2014,030LEA,Alleghany County Schools,,State Of North Carolina,,ACT WorkKeys,0.0,0,6
2014,030LEA,Alleghany County Schools,,State Of North Carolina,,Current Year EOC,1.0,6,6
2014,030LEA,Alleghany County Schools,,State Of North Carolina,,Mathematics Grade 10,0.667,4,6
2014,030LEA,Alleghany County Schools,,State Of North Carolina,,Mathematics Grades 3 through 8,0.769,10,13
