year,unit_code,Lea_Name,School_Name,State_Name,category_cd,level,size,lea_size,st_size
2014,010LEA,Alamance-Burlington Schools,,State Of North Carolina,,Biology,,19.0,18
2014,010LEA,Alamance-Burlington Schools,,State Of North Carolina,,English II,,20.0,18
2014,010LEA,Alamance-Burlington Schools,,State Of North Carolina,,Math I,,24.0,20
2014,020LEA,Alexander County Schools,,State Of North Carolina,,Biology,,18.0,18
2014,020LEA,Alexander County Schools,,State Of North Carolina,,English II,,18.0,18
2014,020LEA,Alexander County Schools,,State Of North Carolina,,Math I,,21.0,20
2014,030LEA,Alleghany County Schools,,State Of North Carolina,,Biology,,16.0,18
2014,030LEA,Alleghany County Schools,,State Of North Carolina,,English II,,20.0,18
2014,030LEA,Alleghany County Schools,,State Of North Carolina,,Math I,,12.0,20
2014,040LEA,Anson County Schools,,State Of North Carolina,,Biology,,14.0,18
2014,040LEA,Anson County Schools,,State Of North Carolina,,English II,,18.0,18
2014,040LEA,Anson County Schools,,State Of North Carolina,,Math I,,18.0,20
2014,050LEA,Ashe County Schools,,State Of North Carolina,,Biology,,16.0,18
2014,050LEA,Ashe County Schools,,State Of North Carolina,,English II,,18.0,18
2014,050LEA,Ashe County Schools,,State Of North Carolina,,Math I,,18.0,20
2014,060LEA,Avery County Schools,,State Of North Carolina,,Biology,,15.0,18
2014,060LEA,Avery County Schools,,State Of North Carolina,,English II,,16.0,18
2014,060LEA,Avery County Schools,,State Of North Carolina,,Math I,,17.0,20
2014,070LEA,Beaufort County Schools,,State Of North Carolina,,Biology,,17.0,18
2014,070LEA,Beaufort County Schools,,State Of North Carolina,,English II,,15.0,18
2014,070LEA,Beaufort County Schools,,State Of North Carolina,,Math I,,18.0,20
2014,080LEA,Bertie County Schools,,State Of North Carolina,,Biology,,16.0,18
2014,080LEA,Bertie County Schools,,State Of North Carolina,,English II,,18.0,18
2014,080LEA,Bertie County Schools,,State Of North Carolina,,Math I,,17.0,20
2014,090LEA,Bladen County Schools,,State Of North Carolina,,Biology,,21.0,18
2014,090LEA,Bladen County Schools,,State Of North Carolina,,English II,,20.0,18
2014,090LEA,Bladen County Schools,,State Of North Carolina,,Math I,,20.0,20
2014,100LEA,Brunswick County Schools,,State Of North Carolina,,Biology,,17.0,18
2014,100LEA,Brunswick County Schools,,State Of North Carolina,,English II,,16.0,18
2014,100LEA,Brunswick County Schools,,State Of North Carolina,,Math I,,18.0,20
2014,110LEA,Buncombe County Schools,,State Of North Carolina,,Biology,,20.0,18
2014,110LEA,Buncombe County Schools,,State Of North Carolina,,English II,,20.0,18
2014,110LEA,Buncombe County Schools,,State Of North Carolina,,Math I,,22.0,20
2014,111LEA,Asheville City Schools,,State Of North Carolina,,Biology,,14.0,18
2014,111LEA,Asheville City Schools,,State Of North Carolina,,English II,,15.0,18
2014,111LEA,Asheville City Schools,,State Of North Carolina,,Math I,,18.0,20
2014,120LEA,Burke County Schools,,State Of North Carolina,,Biology,,21.0,18
2014,120LEA,Burke County Schools,,State Of North Carolina,,English II,,21.0,18
2014,120LEA,Burke County Schools,,State Of North Carolina,,Math I,,24.0,20
2014,130LEA,Cabarrus County Schools,,State Of North Carolina,,Biology,,19.0,18
2014,130LEA,Cabarrus County Schools,,State Of North Carolina,,English II,,23.0,18
2014,130LEA,Cabarrus County Schools,,State Of North Carolina,,Math I,,24.0,20
2014,132LEA,Kannapolis City Schools,,State Of North Carolina,,Biology,,21.0,18
2014,132LEA,Kannapolis City Schools,,State Of North Carolina,,English II,,19.0,18
2014,132LEA,Kannapolis City Schools,,State Of North Carolina,,Math I,,20.0,20
2014,140LEA,Caldwell County Schools,,State Of North Carolina,,Biology,,18.0,18
2014,140LEA,Caldwell County Schools,,State Of North Carolina,,English II,,17.0,18
2014,140LEA,Caldwell County Schools,,State Of North Carolina,,Math I,,20.0,20
2014,150LEA,Camden County Schools,,State Of North Carolina,,Biology,,19.0,18
2014,150LEA,Camden County Schools,,State Of North Carolina,,English II,,20.0,18
2014,150LEA,Camden County Schools,,State Of North Carolina,,Math I,,16.0,20
2014,160LEA,Carteret County Public Schools,,State Of North Carolina,,Biology,,18.0,18
