vphone_ad,year,unit_code,street_ad,scity_ad,state_ad,szip_ad,type_cd,closed_ind,new_ind,super_nm,category_cd,url_ad,grade_range_cd,calendar_type_txt,sna_pgm_type_cd,cover_letter_ad,school_type_txt,calendar_only_txt,title1_type_cd,clp_ind,focus_clp_ind,summer_program_ind,asm_no_spg_ind,no_data_spg_ind,Lea_Name,School_Name,State_Name,esea_status,student_num,lea_avg_student_num,st_avg_student_num,Grad_project_status,stem,url
(336)506-4001,2014,010303,1247 Jimmie Kerr Road,Graham,NC,27253.0,P,0.0,0.0,,H,http://amc.abss.k12.nc.us,9-12,"Regular School, Traditional Calendar",R,,Regular School,Traditional Calendar,,,,,,,Alamance-Burlington Schools,Alamance-Burlington Middle/Early College,State Of North Carolina,,78.0,954.0,837.0,N,,https://www.abss.k12.nc.us/Page/27733
(336)578-1366,2014,010304,2518 NC 54,Graham,NC,27253.0,P,0.0,0.0,,E,http://awe.abss.k12.nc.us,PK-5,"Regular School, Traditional Calendar",R,,Regular School,Traditional Calendar,,,,,,,Alamance-Burlington Schools,Alexander Wilson Elementary,State Of North Carolina,,539.0,518.0,496.0,,,https://www.abss.k12.nc.us/Page/27733
(336)538-6030,2014,010308,2832 N NC 87,Elon,NC,27244.0,P,0.0,0.0,,E,http://aoe.abss.k12.nc.us,K-5,"Regular School, Traditional Calendar",R,,Regular School,Traditional Calendar,,,,,,,Alamance-Burlington Schools,Altamahaw Ossipee Elem,State Of North Carolina,,547.0,518.0,496.0,,,https://www.abss.k12.nc.us/Page/27733
(336)570-6195,2014,010310,2229 Broadview Drive,Burlington,NC,27217.0,P,0.0,0.0,,M,http://brm.abss.k12.nc.us/,6-8,"Regular School, Traditional Calendar",R,,Regular School,Traditional Calendar,Y,,,,,,Alamance-Burlington Schools,Broadview Middle,State Of North Carolina,F,800.0,768.0,665.0,,,https://www.abss.k12.nc.us/Page/27733
(336)570-6092,2014,010311,2550 Buckingham Road,Burlington,NC,27217.0,P,0.0,0.0,,H,,9-12,"Vocational Education, Traditional Calendar",V,,Vocational Education,Traditional Calendar,,,,,,,Alamance-Burlington Schools,Career Technical Education Center,State Of North Carolina,,,954.0,837.0,N,,https://www.abss.k12.nc.us/Page/27733
(336)538-8700,2014,010312,3720 Bonnar Bridge Parkway,Burlington,NC,27215.0,P,0.0,0.0,,E,http://hle.abss.k12.nc.us,K-5,"Regular School, Traditional Calendar",R,,Regular School,Traditional Calendar,,,,,,,Alamance-Burlington Schools,"Highland Elementary, Burlington",State Of North Carolina,,664.0,518.0,496.0,,,https://www.abss.k12.nc.us/Page/27733
(919)563-3722,2014,010320,301 N Charles Street,Mebane,NC,27302.0,P,0.0,0.0,,E,http://eye.abss.k12.nc.us,PK-5,"Regular School, Traditional Calendar",R,,Regular School,Traditional Calendar,,,,,,,Alamance-Burlington Schools,E M Yoder Elementary,State Of North Carolina,,330.0,518.0,496.0,,,https://www.abss.k12.nc.us/Page/27733
(919)563-5991,2014,010324,4040 Mebane Rogers,Mebane,NC,27302.0,P,0.0,0.0,,H,http://eah.abss.k12.nc.us,9-12,"Regular School, Traditional Calendar",R,,Regular School,Traditional Calendar,,,,,,,Alamance-Burlington Schools,Eastern Alamance High,State Of North Carolina,,1192.0,954.0,837.0,N,,https://www.abss.k12.nc.us/Page/27733
(336)570-6180,2014,010326,502 N Graham Hopedale Road,Burlington,NC,27217.0,P,0.0,0.0,,E,http://eae.abss.k12.nc.us,PK-5,"Regular School, Year-Round Calendar",Y,,Regular School,Year-Round Calendar,Y,,,,,,Alamance-Burlington Schools,Eastlawn Elementary,State Of North Carolina,,492.0,518.0,496.0,,,https://www.abss.k12.nc.us/Page/27733
(336)570-6420,2014,010328,4751 S NC 62,Burlington,NC,27215.0,P,0.0,0.0,,E,http://ehe.abss.k12.nc.us,K-5,"Regular School, Traditional Calendar",R,,Regular School,Traditional Calendar,,,,,,,Alamance-Burlington Schools,Edwin M Holt Elementary,State Of North Carolina,,628.0,518.0,496.0,,,https://www.abss.k12.nc.us/Page/27733
(336)538-6000,2014,010340,510 E Haggard Avenue,Elon,NC,27244.0,P,0.0,0.0,,E,http://ece.abss.k12.nc.us,PK-5,"Regular School, Traditional Calendar",R,,Regular School,Traditional Calendar,,,,,,,Alamance-Burlington Schools,Elon Elementary,State Of North Carolina,,621.0,518.0,496.0,,,https://www.abss.k12.nc.us/Page/27733
(336)376-3673,2014,010346,5827 Church Road,Graham,NC,27253.0,P,0.0,0.0,,E,http://bje.abss.k12.nc.us,K-5,"Regular School, Traditional Calendar",R,,Regular School,Traditional Calendar,Y,,,,,,Alamance-Burlington Schools,B Everett Jordan Elem,State Of North Carolina,,419.0,518.0,496.0,,,https://www.abss.k12.nc.us/Page/27733
(919)563-2088,2014,010347,3224 Old Hillsborough Road,Mebane,NC,27302.0,P,0.0,0.0,,E,http://age.abss.k12.nc.us,PK-5,"Regular School, Traditional Calendar",R,,Regular School,Traditional Calendar,,,,,,,Alamance-Burlington Schools,Garrett Elementary,State Of North Carolina,,674.0,518.0,496.0,,,https://www.abss.k12.nc.us/Page/27733
(336)570-6440,2014,010348,903 Trollinger Road,Graham,NC,27253.0,P,0.0,0.0,,H,http://grh.abss.k12.nc.us/,9-12,"Regular School, Traditional Calendar",R,,Regular School,Traditional Calendar,,,,,,,Alamance-Burlington Schools,Graham High,State Of North Carolina,,809.0,954.0,837.0,N,,https://www.abss.k12.nc.us/Page/27733
(336)570-6460,2014,010350,311 E Pine Street,Graham,NC,27253.0,P,0.0,0.0,,M,http://grm.abss.k12.nc.us/,6-8,"Regular School, Year-Round Calendar",Y,,Regular School,Year-Round Calendar,Y,,,,,,Alamance-Burlington Schools,Graham Middle,State Of North Carolina,F,668.0,768.0,665.0,,,https://www.abss.k12.nc.us/Page/27733
