LEA Name,unit_code,School Name,SBE Region,SPG Grade,SPG Score,Reading SPG Grade,Reading  SPG Score,Math SPG Grade,Math SPG Score,EVAAS Growth Status,EVAAS Growth Score,Overall Achievement Score,Read Score,Math Score,Science Score,Math I Score,English II Score,Biology Score,The ACT Score,ACT WorkKeys Score,Math Course Rigor Score,Cohort Graduation Rate Standard Score
Alamance-Burlington Schools,010303,Alamance-Burlington Middle College,5,A,85.0,,,,,,,85,,,,,,,61,57,100,100
Alamance-Burlington Schools,010304,Alexander Wilson Elementary,5,C,67.0,C,66.0,C,65.0,Exceeded,85.4,63,62,60,73,,,,,,,
Alamance-Burlington Schools,010308,Altamahaw Ossipee Elem,5,C,67.0,C,69.0,C,65.0,Met,77.3,65,65,65,65,,,,,,,
Alamance-Burlington Schools,010310,Broadview Middle,5,F,36.0,D,42.0,F,30.0,NotMet,58.6,31,34,22,41,100,,,,,,
Alamance-Burlington Schools,010311,Career Technical Education Center,5,I,,,,,,,,,,,,,,,,,,
Alamance-Burlington Schools,010312,Highland Elementary,5,B,74.0,B,74.0,B,72.0,Exceeded,85.0,71,73,68,76,,,,,,,
Alamance-Burlington Schools,010320,E M Yoder Elementary,5,C,69.0,B,72.0,C,62.0,Met,84.1,65,68,58,78,,,,,,,
Alamance-Burlington Schools,010324,Eastern Alamance High,5,C,69.0,,,,,Met,84.2,65,,,,57,52,62,58,86,88,81
Alamance-Burlington Schools,010326,Eastlawn Elementary,5,F,33.0,F,33.0,F,36.0,Met,74.7,23,22,24,20,,,,,,,
Alamance-Burlington Schools,010328,Edwin M Holt Elementary,5,C,64.0,C,65.0,C,65.0,NotMet,68.6,63,61,65,65,,,,,,,
Alamance-Burlington Schools,010340,Elon Elementary,5,C,66.0,C,63.0,C,62.0,Met,81.3,62,60,57,85,,,,,,,
Alamance-Burlington Schools,010346,B Everett Jordan Elem,5,D,50.0,C,55.0,D,49.0,NotMet,59.1,47,50,47,39,,,,,,,
Alamance-Burlington Schools,010347,Garrett Elementary,5,C,62.0,C,59.0,C,63.0,Met,81.8,57,53,59,63,,,,,,,
Alamance-Burlington Schools,010348,Graham High,5,D,51.0,,,,,NotMet,56.4,49,,,,31,39,31,31,62,100,76
Alamance-Burlington Schools,010350,Graham Middle,5,D,42.0,D,43.0,F,35.0,Met,78.4,33,34,23,45,91,,,,,,
Alamance-Burlington Schools,010351,Grove Park Elementary,5,D,48.0,D,48.0,D,45.0,Met,84.6,39,40,35,47,,,,,,,
Alamance-Burlington Schools,010353,Hawfields Middle,5,C,58.0,C,58.0,D,47.0,Met,76.5,53,53,42,78,93,,,,,,
Alamance-Burlington Schools,010354,Harvey R Newlin Elementary,5,F,38.0,F,39.0,F,37.0,Met,81.9,27,28,26,25,,,,,,,
Alamance-Burlington Schools,010357,Haw River Elementary,5,F,39.0,F,39.0,D,40.0,NotMet,63.1,33,31,34,37,,,,,,,
Alamance-Burlington Schools,010358,Hillcrest Elementary,5,D,50.0,D,49.0,D,46.0,Met,71.2,44,41,42,58,,,,,,,
Alamance-Burlington Schools,010360,Hugh M Cummings High,5,C,58.0,,,,,Exceeded,89.2,50,,,,48,39,41,28,72,81,67
Alamance-Burlington Schools,010362,Marvin B Smith Elementary,5,C,68.0,C,69.0,C,65.0,NotMet,54.4,71,70,69,84,,,,,,,
Alamance-Burlington Schools,010364,North Graham Elementary,5,D,40.0,D,44.0,D,42.0,NotMet,58.3,36,37,37,29,,,,,,,
Alamance-Burlington Schools,010372,Pleasant Grove Elementary,5,D,46.0,D,49.0,F,39.0,NotMet,69.4,40,43,32,54,,,,,,,
Alamance-Burlington Schools,010374,R Homer Andrews Elementary,5,D,48.0,D,43.0,D,52.0,Met,81.8,40,34,44,46,,,,,,,
Alamance-Burlington Schools,010378,Ray Street Academy,5,,,,,,,,,,,,,,,,,,,
