year,LEA,____LEA Name____,School,___School Name___,Indian Male,Indian Female,Asian Male,Asian Female,Hispanic Male,Hispanic Female,Black Male,Black Female,White Male,White Female,Pacific Island Male,Pacific Island Female,Two or  More Male,Two or  More Female,Total,unit_code
2015,110,Buncombe County Schools,410,Avery's Creek Elementary,0,1,8,7,124,104,31,41,159,128,0,1,22,14,640,110410
2015,110,Buncombe County Schools,412,Williams Elementary,2,2,4,1,48,37,5,5,160,165,0,0,10,3,442,110412
2015,110,Buncombe County Schools,416,Roberson High,3,1,26,23,112,89,94,86,536,546,0,1,43,31,"1,591",110416
2015,110,Buncombe County Schools,420,Valley Springs Middle,0,0,5,11,65,59,41,52,206,191,0,0,22,19,671,110420
2015,110,Buncombe County Schools,422,Estes Elementary,2,1,16,18,69,63,61,47,226,174,0,0,30,22,729,110422
2015,110,Buncombe County Schools,428,Weaverville Elementary,0,0,2,1,28,22,3,3,145,165,0,0,1,3,373,110428
2015,110,Buncombe County Schools,432,Weaverville Primary,1,0,0,2,10,14,1,3,99,90,0,1,1,1,223,110432
2015,110,Buncombe County Schools,436,West Buncombe Elementary,1,2,3,3,56,52,8,12,226,238,0,2,3,7,613,110436
2015,110,Buncombe County Schools,444,Woodfin Elementary,0,0,0,0,18,24,6,4,41,45,1,1,2,1,143,110444
2015,110,Buncombe County Schools,450,Koontz Intermediate,1,0,15,14,71,66,31,38,190,213,1,0,25,18,683,110450
2015,110,Buncombe County Schools,451,Eblen Intermediate,0,1,2,1,85,74,21,20,245,221,6,4,22,26,728,110451
2015,110,Buncombe County Schools,500,Nesbitt Discovery Academy,0,0,1,3,5,6,0,2,49,32,0,0,1,1,100,110500
2015,111,Asheville City Schools,302,Asheville High,1,0,7,7,39,31,149,139,311,325,0,0,46,34,"1,089",111302
2015,111,Asheville City Schools,304,Hall Fletcher Elementary,1,0,0,0,19,27,52,54,101,62,1,0,16,16,349,111304
2015,111,Asheville City Schools,306,Isaac Dickson Elementary,0,0,2,10,17,24,38,50,143,170,0,0,24,10,488,111306
2015,111,Asheville City Schools,312,Claxton Elementary,0,0,0,1,9,19,51,46,153,150,1,0,19,20,469,111312
2015,111,Asheville City Schools,332,Ira B Jones Elementary,0,0,4,2,12,12,61,58,167,140,1,1,15,9,482,111332
2015,111,Asheville City Schools,356,Asheville Middle,1,2,4,1,28,27,106,110,219,186,0,1,19,17,721,111356
2015,111,Asheville City Schools,360,Vance Elementary,2,0,2,1,22,28,53,30,155,147,1,0,9,14,464,111360
2015,111,Asheville City Schools,700,School of Inquiry and Life Sciences,0,0,3,8,5,15,12,19,108,115,0,0,5,9,299,111700
2015,120,Burke County Schools,304,Chesterfield Elementary,0,0,5,1,21,11,3,3,66,51,0,0,9,3,173,120304
2015,120,Burke County Schools,308,Hallyburton Academy,0,0,1,2,7,1,8,2,76,32,0,0,1,1,131,120308
2015,120,Burke County Schools,310,Burke Middle College,1,0,9,20,2,2,0,2,30,51,0,0,2,1,120,120310
2015,120,Burke County Schools,312,Drexel Elementary,0,0,26,24,26,21,9,8,156,161,0,1,20,14,466,120312
2015,120,Burke County Schools,314,East Burke High,0,0,39,24,27,19,4,2,448,401,1,0,13,13,991,120314
2015,120,Burke County Schools,315,East Burke Middle,1,1,42,24,21,26,4,1,307,284,0,0,8,9,728,120315
2015,120,Burke County Schools,316,Forest Hill Elementary,0,0,8,3,123,105,20,22,69,78,0,0,19,10,457,120316
2015,120,Burke County Schools,318,Freedom High,1,0,44,28,45,55,79,68,419,376,4,1,28,30,"1,178",120318
2015,120,Burke County Schools,320,George Hildebrand Elementary,1,0,13,10,6,5,3,2,158,148,0,0,9,8,363,120320
2015,120,Burke County Schools,324,Glen Alpine Elementary,0,1,16,24,6,9,19,21,136,142,0,0,14,8,396,120324
2015,120,Burke County Schools,334,Heritage Middle,0,2,22,15,17,12,10,14,215,206,0,0,11,16,540,120334
2015,120,Burke County Schools,338,Hildebran Elementary,0,0,14,14,4,11,1,1,133,115,0,0,9,10,312,120338
2015,120,Burke County Schools,340,Mountain Crest Elementary,0,0,5,4,168,175,24,19,46,35,0,0,16,12,504,120340
2015,120,Burke County Schools,344,Icard Elementary,0,1,13,10,13,12,0,0,99,92,0,0,2,2,244,120344
2015,120,Burke County Schools,346,Jimmy C Draughn High School,1,1,28,24,27,14,12,8,298,281,0,1,11,16,722,120346
2015,120,Burke County Schools,350,Liberty Middle,1,2,12,12,20,18,11,6,229,231,0,0,9,11,562,120350
2015,120,Burke County Schools,352,North Liberty,0,0,1,1,7,3,3,2,41,27,0,0,2,4,91,120352
2015,120,Burke County Schools,360,Mull Elementary,1,0,6,7,10,10,1,3,116,119,0,0,2,5,280,120360
2015,120,Burke County Schools,364,Oak Hill Elementary,0,0,5,1,10,11,28,23,169,128,0,0,24,26,425,120364
2015,120,Burke County Schools,368,Ray Childers Elementary,0,0,19,15,13,22,3,3,164,142,0,0,5,5,391,120368
2015,120,Burke County Schools,370,Robert L. Patton High School,2,2,13,13,114,84,19,9,400,333,0,0,15,13,"1,017",120370
2015,120,Burke County Schools,372,Rutherford College Elem,0,0,12,4,6,6,3,0,72,100,0,0,3,3,209,120372
2015,120,Burke County Schools,374,Salem Elementary,0,0,10,6,16,11,0,4,228,234,0,0,15,14,538,120374
2015,120,Burke County Schools,376,Table Rock Middle,0,0,33,24,6,14,36,25,189,203,0,1,18,11,560,120376
2015,120,Burke County Schools,380,Valdese Elementary,0,0,18,10,9,10,2,3,168,159,0,0,8,14,401,120380
2015,120,Burke County Schools,386,W A Young Elementary,0,0,37,22,13,10,10,3,159,95,0,0,14,7,370,120386
2015,120,Burke County Schools,390,Walter R Johnson Middle,0,0,3,7,77,73,22,26,102,110,0,0,8,15,443,120390
2015,130,Cabarrus County Schools,304,A T Allen Elementary,1,1,7,7,97,98,61,59,282,267,1,2,22,20,925,130304
2015,130,Cabarrus County Schools,307,Cox Mill High School,2,5,38,31,42,48,163,161,472,454,1,3,25,33,"1,478",130307
2015,130,Cabarrus County Schools,308,Bethel Elementary,2,0,2,4,21,35,21,26,259,227,2,1,13,7,620,130308
2015,130,Cabarrus County Schools,309,Beverly Hills Elementary,1,1,3,3,42,41,34,42,84,87,0,0,7,10,355,130309
2015,130,Cabarrus County Schools,310,Central Cabarrus High,5,3,16,7,111,102,180,162,391,379,2,0,31,27,"1,416",130310
2015,130,Cabarrus County Schools,311,Coltrane-Webb Elementary,0,3,13,9,67,45,53,61,110,94,0,0,19,10,484,130311
2015,130,Cabarrus County Schools,312,Harrisburg Elementary,6,2,32,38,23,12,89,86,290,294,1,1,17,21,912,130312
2015,130,Cabarrus County Schools,313,Concord Middle,1,1,3,6,117,119,147,148,193,145,1,0,22,19,922,130313
2015,130,Cabarrus County Schools,314,Concord High,1,2,9,12,100,110,165,185,316,318,1,0,20,13,"1,252",130314
2015,130,Cabarrus County Schools,315,J N Fries Magnet School,1,1,27,34,25,18,38,41,187,190,1,1,16,10,590,130315
2015,130,Cabarrus County Schools,316,Jay M Robinson High,0,1,16,7,139,130,145,164,349,351,1,1,19,16,"1,339",130316
2015,130,Cabarrus County Schools,317,Cabarrus Co Opportunity School,0,0,0,0,14,2,19,5,20,5,0,0,2,0,67,130317
2015,130,Cabarrus County Schools,318,C C Griffin Middle,4,5,3,3,114,127,133,113,282,270,0,1,18,19,"1,092",130318
2015,130,Cabarrus County Schools,319,Cox Mill Elementary,2,4,104,93,16,38,80,88,336,305,1,3,23,19,"1,112",130319
2015,130,Cabarrus County Schools,320,Harris Road Middle,4,2,25,38,46,47,115,118,377,364,0,0,31,18,"1,185",130320
2015,130,Cabarrus County Schools,321,Carl A Furr Elementary,0,1,11,8,127,100,59,63,184,149,0,2,13,10,727,130321
2015,130,Cabarrus County Schools,322,Mount Pleasant Elementary,0,1,0,2,21,6,3,3,294,286,0,0,9,3,628,130322
2015,130,Cabarrus County Schools,323,Mount Pleasant Middle,1,2,3,2,19,14,12,11,309,258,0,1,6,6,644,130323
2015,130,Cabarrus County Schools,324,Mount Pleasant High,8,3,5,3,19,15,25,16,374,349,0,1,4,9,831,130324
2015,130,Cabarrus County Schools,325,Charles E Boger Elementary,2,2,10,9,35,36,53,44,312,259,0,0,23,18,803,130325
