metrics,year,unit_code,Lea_Name,School_Name,State_Name,category_cd,pct,num,lea_num,lea_pct,st_num,st_pct
GCE_ALL,2015,010LEA,Alamance-Burlington Schools,,State Of North Carolina,,,,204.0,0.118,12367.0,0.104
GCE_ALL,2015,020LEA,Alexander County Schools,,State Of North Carolina,,,,53.0,0.134,12367.0,0.104
GCE_ALL,2015,030LEA,Alleghany County Schools,,State Of North Carolina,,,,32.0,0.283,12367.0,0.104
GCE_ALL,2015,040LEA,Anson County Schools,,State Of North Carolina,,,,41.0,0.163,12367.0,0.104
GCE_ALL,2015,050LEA,Ashe County Schools,,State Of North Carolina,,,,27.0,0.113,12367.0,0.104
GCE_ALL,2015,060LEA,Avery County Schools,,State Of North Carolina,,,,45.0,0.265,12367.0,0.104
GCE_ALL,2015,070LEA,Beaufort County Schools,,State Of North Carolina,,,,66.0,0.129,12367.0,0.104
GCE_ALL,2015,080LEA,Bertie County Schools,,State Of North Carolina,,,,10.0,0.055,12367.0,0.104
GCE_ALL,2015,090LEA,Bladen County Schools,,State Of North Carolina,,,,73.0,0.196,12367.0,0.104
GCE_ALL,2015,100LEA,Brunswick County Schools,,State Of North Carolina,,,,109.0,0.114,12367.0,0.104
GCE_ALL,2015,110LEA,Buncombe County Schools,,State Of North Carolina,,,,217.0,0.115,12367.0,0.104
GCE_ALL,2015,111LEA,Asheville City Schools,,State Of North Carolina,,,,28.0,0.08,12367.0,0.104
GCE_ALL,2015,120LEA,Burke County Schools,,State Of North Carolina,,,,136.0,0.148,12367.0,0.104
GCE_ALL,2015,130LEA,Cabarrus County Schools,,State Of North Carolina,,,,159.0,0.069,12367.0,0.104
GCE_ALL,2015,132LEA,Kannapolis City Schools,,State Of North Carolina,,,,42.0,0.093,12367.0,0.104
GCE_ALL,2015,140LEA,Caldwell County Schools,,State Of North Carolina,,,,78.0,0.089,12367.0,0.104
GCE_ALL,2015,150LEA,Camden County Schools,,State Of North Carolina,,,,3.0,0.022,12367.0,0.104
GCE_ALL,2015,160LEA,Carteret County Public Schools,,State Of North Carolina,,,,110.0,0.177,12367.0,0.104
GCE_ALL,2015,170LEA,Caswell County Schools,,State Of North Carolina,,,,3.0,0.014,12367.0,0.104
GCE_ALL,2015,180LEA,Catawba County Schools,,State Of North Carolina,,,,164.0,0.131,12367.0,0.104
GCE_ALL,2015,181LEA,Hickory City Schools,,State Of North Carolina,,,,30.0,0.083,12367.0,0.104
GCE_ALL,2015,182LEA,Newton Conover City Schools,,State Of North Carolina,,,,23.0,0.105,12367.0,0.104
GCE_ALL,2015,190LEA,Chatham County Schools,,State Of North Carolina,,,,103.0,0.153,12367.0,0.104
GCE_ALL,2015,200LEA,Cherokee County Schools,,State Of North Carolina,,,,55.0,0.229,12367.0,0.104
GCE_ALL,2015,210LEA,Edenton-Chowan Schools,,State Of North Carolina,,,,27.0,0.158,12367.0,0.104
GCE_ALL,2015,220LEA,Clay County Schools,,State Of North Carolina,,,,24.0,0.24,12367.0,0.104
GCE_ALL,2015,230LEA,Cleveland County Schools,,State Of North Carolina,,,,227.0,0.216,12367.0,0.104
GCE_ALL,2015,240LEA,Columbus County Schools,,State Of North Carolina,,,,75.0,0.18,12367.0,0.104
GCE_ALL,2015,241LEA,Whiteville City Schools,,State Of North Carolina,,,,17.0,0.119,12367.0,0.104
GCE_ALL,2015,250LEA,Craven County Schools,,State Of North Carolina,,,,111.0,0.1,12367.0,0.104
GCE_ALL,2015,260LEA,Cumberland County Schools,,State Of North Carolina,,,,549.0,0.148,12367.0,0.104
