LEA Name,unit_code,School Name,SBE District,SPG Grade,SPG Score,Reading SPG Grade,Reading  SPG Score,Math SPG Grade,Math SPG Score,EVAAS Growth Status,EVAAS Growth Score,Overall Achievement Score,Read Score,Math Score,Science Score,Math I Score,English II Score,Biology Score,The ACT Score,ACT WorkKeys Score,Math Course Rigor Score,Cohort Graduation Rate Standard Score,State Gap Compared
Alamance-Burlington Schools,010303,Alamance-Burlington Middle College,Piedmont-Triad,A,86.0,,,,,,,86,,,,,,43,69,75,100,95,Insufficient Data
Alamance-Burlington Schools,010304,Alexander Wilson Elementary,Piedmont-Triad,C,69.0,C,66.0,C,67.0,Exceeded,92.0,63,61,61,80,,,,,,,,
Alamance-Burlington Schools,010308,Altamahaw Ossipee Elem,Piedmont-Triad,C,69.0,C,66.0,B,73.0,Met,72.5,68,63,72,72,,,,,,,,
Alamance-Burlington Schools,010310,Broadview Middle,Piedmont-Triad,D,45.0,D,46.0,F,35.0,Exceeded,89.8,34,34,24,54,81,,,,,,,
Alamance-Burlington Schools,010311,Career Technical Education Center,Piedmont-Triad,I,,,,,,,,,,,,,,,,,,,
Alamance-Burlington Schools,010312,Highland Elementary,Piedmont-Triad,B,74.0,B,75.0,B,71.0,Exceeded,86.3,71,73,68,73,,,,,,,,
Alamance-Burlington Schools,010320,E M Yoder Elementary,Piedmont-Triad,B,73.0,B,72.0,B,73.0,Exceeded,91.5,68,69,68,67,,,,,,,,
Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,C,66.0,,,,,Met,73.1,64,,,,54,54,54,57,82,85,85,
Alamance-Burlington Schools,010326,Eastlawn Elementary,Piedmont-Triad,F,31.0,F,33.0,F,33.0,NotMet,69.1,22,23,21,18,,,,,,,,
Alamance-Burlington Schools,010328,Edwin M Holt Elementary,Piedmont-Triad,C,62.0,C,67.0,C,61.0,NotMet,68.5,60,63,61,50,,,,,,,,
Alamance-Burlington Schools,010340,Elon Elementary,Piedmont-Triad,C,60.0,C,65.0,D,52.0,Met,79.2,55,60,48,60,,,,,,,,
Alamance-Burlington Schools,010346,B Everett Jordan Elem,Piedmont-Triad,C,58.0,C,61.0,C,55.0,Met,74.9,54,56,50,58,,,,,,,,
Alamance-Burlington Schools,010347,Garrett Elementary,Piedmont-Triad,C,63.0,C,61.0,C,66.0,Met,72.4,61,58,63,64,,,,,,,,
Alamance-Burlington Schools,010348,Graham High,Piedmont-Triad,D,50.0,,,,,NotMet,55.7,49,,,,39,35,23,27,73,100,80,
Alamance-Burlington Schools,010350,Graham Middle,Piedmont-Triad,D,43.0,D,42.0,F,34.0,Met,80.6,33,33,24,52,100,,,,,,,
Alamance-Burlington Schools,010351,Grove Park Elementary,Piedmont-Triad,D,45.0,D,48.0,D,40.0,Exceeded,85.1,35,39,29,41,,,,,,,,
Alamance-Burlington Schools,010353,Hawfields Middle,Piedmont-Triad,C,61.0,C,59.0,D,50.0,Exceeded,90.3,54,53,42,85,100,,,,,,,
Alamance-Burlington Schools,010354,Harvey R Newlin Elementary,Piedmont-Triad,D,40.0,D,40.0,F,38.0,Met,84.7,29,30,25,39,,,,,,,,
Alamance-Burlington Schools,010357,Haw River Elementary,Piedmont-Triad,D,42.0,D,41.0,D,43.0,Met,80.3,32,31,33,36,,,,,,,,
Alamance-Burlington Schools,010358,Hillcrest Elementary,Piedmont-Triad,D,50.0,D,53.0,D,47.0,Met,81.1,42,46,38,41,,,,,,,,
Alamance-Burlington Schools,010360,Hugh M Cummings High,Piedmont-Triad,C,60.0,,,,,Exceeded,92.4,52,,,,36,42,45,31,70,84,70,
Alamance-Burlington Schools,010362,Marvin B Smith Elementary,Piedmont-Triad,B,75.0,B,71.0,B,74.0,Met,82.5,73,69,72,85,,,,,,,,
Alamance-Burlington Schools,010364,North Graham Elementary,Piedmont-Triad,D,53.0,D,52.0,D,52.0,Met,81.4,46,45,45,57,,,,,,,,
Alamance-Burlington Schools,010372,Pleasant Grove Elementary,Piedmont-Triad,C,60.0,C,60.0,C,58.0,Exceeded,88.4,54,54,50,68,,,,,,,,
Alamance-Burlington Schools,010374,R Homer Andrews Elementary,Piedmont-Triad,D,42.0,D,44.0,D,44.0,NotMet,59.8,37,35,41,33,,,,,,,,
Alamance-Burlington Schools,010378,Ray Street Academy,Piedmont-Triad,,,,,,,,,,,,,,,,,,,,
Alamance-Burlington Schools,010380,South Graham Elementary,Piedmont-Triad,D,45.0,D,47.0,D,45.0,Met,82.6,36,38,34,35,,,,,,,,
