year,unit_code,category_cd,Lea_Name,School_Name,State_Name,avg_daily_attend_pct,crime_per_c_num,short_susp_per_c_num,long_susp_per_c_num,expelled_per_c_num,ttl_crimes_num,stud_internet_comp_num,lea_avg_daily_attend_pct,lea_crime_per_c_num,lea_short_susp_per_c_num,lea_long_susp_per_c_num,lea_expelled_per_c_num,lea_stud_internet_comp_num,st_avg_daily_attend_pct,st_crime_per_c_num,st_short_susp_per_c_num,st_long_susp_per_c_num,st_expelled_per_c_num,st_stud_internet_comp_num,digital_media_pct,Byod,grades_BYOD,avg_age_media_collection,_1_to_1_access,books_per_student,grades_1_to_1_access,lea_avg_age_media_collection,lea_books_per_student,st_avg_age_media_collection,st_books_per_student,wap_num,wap_per_classroom,lea_wap_num,lea_wap_per_classroom,st_wap_num,st_wap_per_classroom,SRC_devices_sent_home,SRC_Grades_Devices_Sent_Home
2016,00A000,I,Charter and Non-District Affiliated Schools,NC Connections Academy,State Of North Carolina,1.0,0.0,0.0,0.0,0.0,,3.75,,,,,,,0.957,0.24,8.76,0.06,0.0,1.2,,,,,,,,,,2000.0,19.18,,,,,111757.0,1.12,,
2016,00B000,A,Charter and Non-District Affiliated Schools,NC Virtual Academy,State Of North Carolina,1.0,0.0,0.0,0.0,0.0,,1.69,,,,,,,0.958,0.58,8.39,0.06,0.0,1.2,,,,,,,,,,2000.0,19.18,,,,,111757.0,1.12,,
2016,010303,H,Alamance-Burlington Schools,Alamance-Burlington Middle College,State Of North Carolina,0.991,0.0,0.0,0.0,0.0,,0.69,0.941,0.96,12.37,0.23,0.0,1.24,0.951,1.27,14.02,0.07,0.0,1.2,,,,,,,,1999,14.24,2000.0,19.18,,,1380.0,0.92,111757.0,1.12,,
2016,010304,E,Alamance-Burlington Schools,Alexander Wilson Elementary,State Of North Carolina,0.958,0.18,1.24,0.0,0.0,,1.6,0.944,0.22,5.89,0.0,0.0,1.24,0.952,0.21,13.15,0.06,0.0,1.2,0.01,No,-,2001,No,16.1199951171875,-,1999,14.24,2000.0,19.18,17.0,0.45,1380.0,0.92,111757.0,1.12,,
2016,010308,E,Alamance-Burlington Schools,Altamahaw Ossipee Elem,State Of North Carolina,0.955,0.54,1.97,0.0,0.0,,1.35,0.944,0.22,5.89,0.0,0.0,1.24,0.952,0.21,13.15,0.06,0.0,1.2,0.0,No,-,2000,No,22.239990234375,-,1999,14.24,2000.0,19.18,24.0,0.57,1380.0,0.92,111757.0,1.12,,
2016,010310,M,Alamance-Burlington Schools,Broadview Middle,State Of North Carolina,0.934,2.03,43.33,0.13,0.0,,0.9,0.944,1.09,24.71,0.02,0.0,1.24,0.951,0.83,14.64,0.06,0.0,1.2,0.1,No,-,2002,No,17.6399993896484,-,1999,14.24,2000.0,19.18,49.0,0.92,1380.0,0.92,111757.0,1.12,,
2016,010311,H,Alamance-Burlington Schools,Career Technical Education Center,State Of North Carolina,,,,,,,,0.941,0.96,12.37,0.23,0.0,1.24,0.951,1.27,14.02,0.07,0.0,1.2,0.92,No,-,2009,No,,-,1999,14.24,2000.0,19.18,22.0,1.16,1380.0,0.92,111757.0,1.12,,
2016,010312,E,Alamance-Burlington Schools,"Highland Elementary, Burlington",State Of North Carolina,0.952,0.0,3.59,0.0,0.0,,2.27,0.944,0.22,5.89,0.0,0.0,1.24,0.952,0.21,13.15,0.06,0.0,1.2,0.0,No,-,2006,No,13.0999984741211,-,1999,14.24,2000.0,19.18,45.0,1.05,1380.0,0.92,111757.0,1.12,,
2016,010320,E,Alamance-Burlington Schools,E M Yoder Elementary,State Of North Carolina,0.942,0.0,2.57,0.0,0.0,,1.18,0.944,0.22,5.89,0.0,0.0,1.24,0.952,0.21,13.15,0.06,0.0,1.2,0.0,No,-,1998,No,29.1599884033203,-,1999,14.24,2000.0,19.18,34.0,1.7,1380.0,0.92,111757.0,1.12,,
2016,010324,H,Alamance-Burlington Schools,Eastern Alamance High,State Of North Carolina,0.936,0.66,12.49,0.0,0.0,,1.36,0.941,0.96,12.37,0.23,0.0,1.24,0.951,1.27,14.02,0.07,0.0,1.2,0.0,No,-,1996,No,6.63999938964844,-,1999,14.24,2000.0,19.18,64.0,1.05,1380.0,0.92,111757.0,1.12,,
2016,010326,E,Alamance-Burlington Schools,Eastlawn Elementary,State Of North Carolina,0.943,0.39,21.25,0.0,0.0,,0.75,0.944,0.22,5.89,0.0,0.0,1.24,0.952,0.21,13.15,0.06,0.0,1.2,0.0,No,-,1998,No,14.0699996948242,-,1999,14.24,2000.0,19.18,42.0,1.14,1380.0,0.92,111757.0,1.12,,
2016,010328,E,Alamance-Burlington Schools,Edwin M Holt Elementary,State Of North Carolina,0.959,0.17,1.7,0.0,0.0,,1.75,0.944,0.22,5.89,0.0,0.0,1.24,0.952,0.21,13.15,0.06,0.0,1.2,0.01,No,-,2000,No,20.3899993896484,-,1999,14.24,2000.0,19.18,26.0,0.62,1380.0,0.92,111757.0,1.12,,
2016,010340,E,Alamance-Burlington Schools,Elon Elementary,State Of North Carolina,0.957,0.0,2.74,0.0,0.0,,2.03,0.944,0.22,5.89,0.0,0.0,1.24,0.952,0.21,13.15,0.06,0.0,1.2,0.0,No,-,1999,No,16.489990234375,-,1999,14.24,2000.0,19.18,21.0,0.51,1380.0,0.92,111757.0,1.12,,
2016,010346,E,Alamance-Burlington Schools,B Everett Jordan Elem,State Of North Carolina,0.952,0.0,2.01,0.0,0.0,,0.88,0.944,0.22,5.89,0.0,0.0,1.24,0.952,0.21,13.15,0.06,0.0,1.2,0.0,No,-,2001,No,13.7099990844727,-,1999,14.24,2000.0,19.18,25.0,0.78,1380.0,0.92,111757.0,1.12,,
