year,unit_code,category_cd,total_class_teacher_num,total_nbpts_num,prin_other_pct,prinyrs_0thru3_pct,prinyrs_4thru10_pct,prinyrs_11plus_pct,prin_advance_dgr_pct,_1yr_prin_trnovr_pct,prin_male_pct,prin_female_pct,prin_black_pct,prin_white_pct,School_Name,Lea_Name,State_Name,flicensed_teach_pct,tchyrs_0thru3_pct,tchyrs_4thru10_pct,tchyrs_11plus_pct,class_teach_num,nbpts_num,advance_dgr_pct,_1yr_tchr_trnovr_pct,emer_prov_teach_pct,lateral_teach_pct,highqual_class_pct,lea_flicensed_teach_pct,lea_tchyrs_0thru3_pct,lea_tchyrs_4thru10_pct,lea_tchyrs_11plus_pct,lea_class_teach_num,lea_nbpts_num,lea_advance_dgr_pct,lea_1yr_tchr_trnovr_pct,lea_emer_prov_teach_pct,lea_lateral_teach_pct,lea_highqual_class_pct,lea_highqual_class_hp_pct,lea_highqual_class_lp_pct,lea_highqual_class_all_pct,lea_not_highqual_class_hp_pct,lea_not_highqual_class_lp_pct,lea_not_highqual_class_all_pct,st_flicensed_teach_pct,st_tchyrs_0thru3_pct,st_tchyrs_4thru10_pct,st_tchyrs_11plus_pct,st_class_teach_num,st_nbpts_num,st_advance_dgr_pct,st_1yr_tchr_trnovr_pct,st_emer_prov_teach_pct,st_lateral_teach_pct,st_highqual_class_pct,st_highqual_class_hp_pct,st_highqual_class_lp_pct,st_highqual_class_all_pct,st_not_highqual_class_hp_pct,st_not_highqual_class_lp_pct,st_not_highqual_class_all_pct,st_prinyrs_0thru3_pct,st_prinyrs_4thru10_pct,st_prinyrs_11plus_pct,st_prin_advance_dgr_pct,st_1yr_prin_trnovr_pct,st_prin_male_pct,st_prin_female_pct,st_prin_black_pct,st_prin_white_pct,st_prin_other_pct
2016,00A000,I,100372,12542,,,,,,,,,,,NC Connections Academy,Charter and Non-District Affiliated Schools,State Of North Carolina,1.0,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,0.895,0.255,0.254,0.491,32.0,5.0,0.262,0.127,0.003,0.046,0.894,0.964,0.976,0.963,0.0359999999999999,0.024,0.037,0.43,0.427,0.143,0.222,0.089,0.398,0.596,0.237,0.737,0.026
2016,00B000,A,100372,12542,,,,,,,,,,,NC Virtual Academy,Charter and Non-District Affiliated Schools,State Of North Carolina,1.0,,,,41.0,,,,,,1.0,,,,,,,,,,,,,,,,,,0.808,0.227,0.226,0.547,36.0,2.0,0.277,0.157,0.003,0.068,0.82,0.964,0.976,0.963,0.0359999999999999,0.024,0.037,0.43,0.427,0.143,0.222,0.089,0.398,0.596,0.237,0.737,0.026
2016,010303,H,100372,12542,,,,,,,,,,,Alamance-Burlington Middle/Early College,Alamance-Burlington Schools,State Of North Carolina,1.0,0.0,0.286,0.714,7.0,1.0,0.143,0.0,,,0.964,0.903,0.242,0.24,0.518,54.0,5.0,0.211,0.13,,0.093,0.889,0.924,0.914,0.94,0.076,0.086,0.0600000000000001,0.897,0.231,0.235,0.534,54.0,8.0,0.248,0.148,0.003,0.092,0.964,0.964,0.976,0.963,0.0359999999999999,0.024,0.037,0.43,0.427,0.143,0.222,0.089,0.398,0.596,0.237,0.737,0.026
2016,010304,E,100372,12542,,,,,,,,,,,Alexander Wilson Elementary,Alamance-Burlington Schools,State Of North Carolina,0.958,0.222,0.333,0.444,36.0,6.0,0.194,0.029,,0.042,1.0,0.975,0.276,0.256,0.468,38.0,4.0,0.246,0.117,0.001,0.021,0.988,0.924,0.914,0.94,0.076,0.086,0.0600000000000001,0.975,0.227,0.273,0.5,34.0,5.0,0.285,0.134,0.004,0.015,0.982,0.964,0.976,0.963,0.0359999999999999,0.024,0.037,0.43,0.427,0.143,0.222,0.089,0.398,0.596,0.237,0.737,0.026
2016,010308,E,100372,12542,,,,,,,,,,,Altamahaw Ossipee Elem,Alamance-Burlington Schools,State Of North Carolina,1.0,0.176,0.147,0.676,34.0,11.0,0.529,0.06,,,1.0,0.975,0.276,0.256,0.468,38.0,4.0,0.246,0.117,0.001,0.021,0.988,0.924,0.914,0.94,0.076,0.086,0.0600000000000001,0.975,0.227,0.273,0.5,34.0,5.0,0.285,0.134,0.004,0.015,0.982,0.964,0.976,0.963,0.0359999999999999,0.024,0.037,0.43,0.427,0.143,0.222,0.089,0.398,0.596,0.237,0.737,0.026
2016,010310,M,100372,12542,,,,,,,,,,,Broadview Middle,Alamance-Burlington Schools,State Of North Carolina,0.835,0.262,0.197,0.541,61.0,4.0,0.23,0.175,,0.165,0.981,0.92,0.207,0.29,0.503,50.0,4.0,0.239,0.13,0.003,0.075,0.95,0.924,0.914,0.94,0.076,0.086,0.0600000000000001,0.923,0.244,0.251,0.506,41.0,5.0,0.268,0.151,0.004,0.068,0.962,0.964,0.976,0.963,0.0359999999999999,0.024,0.037,0.43,0.427,0.143,0.222,0.089,0.398,0.596,0.237,0.737,0.026
2016,010311,H,100372,12542,,,,,,,,,,,Career Technical Education Center,Alamance-Burlington Schools,State Of North Carolina,0.8,0.067,0.067,0.867,15.0,3.0,0.067,0.071,,0.2,,0.903,0.242,0.24,0.518,54.0,5.0,0.211,0.13,,0.093,0.889,0.924,0.914,0.94,0.076,0.086,0.0600000000000001,0.897,0.231,0.235,0.534,54.0,8.0,0.248,0.148,0.003,0.092,0.964,0.964,0.976,0.963,0.0359999999999999,0.024,0.037,0.43,0.427,0.143,0.222,0.089,0.398,0.596,0.237,0.737,0.026
2016,010312,E,100372,12542,,,,,,,,,,,"Highland Elementary, Burlington",Alamance-Burlington Schools,State Of North Carolina,0.956,0.283,0.239,0.478,45.0,3.0,0.37,0.112,,0.044,1.0,0.975,0.276,0.256,0.468,38.0,4.0,0.246,0.117,0.001,0.021,0.988,0.924,0.914,0.94,0.076,0.086,0.0600000000000001,0.975,0.227,0.273,0.5,34.0,5.0,0.285,0.134,0.004,0.015,0.982,0.964,0.976,0.963,0.0359999999999999,0.024,0.037,0.43,0.427,0.143,0.222,0.089,0.398,0.596,0.237,0.737,0.026
2016,010320,E,100372,12542,,,,,,,,,,,E M Yoder Elementary,Alamance-Burlington Schools,State Of North Carolina,1.0,0.259,0.148,0.593,27.0,7.0,0.357,0.13,,,0.952,0.975,0.276,0.256,0.468,38.0,4.0,0.246,0.117,0.001,0.021,0.988,0.924,0.914,0.94,0.076,0.086,0.0600000000000001,0.975,0.227,0.273,0.5,34.0,5.0,0.285,0.134,0.004,0.015,0.982,0.964,0.976,0.963,0.0359999999999999,0.024,0.037,0.43,0.427,0.143,0.222,0.089,0.398,0.596,0.237,0.737,0.026
2016,010324,H,100372,12542,,,,,,,,,,,Eastern Alamance High,Alamance-Burlington Schools,State Of North Carolina,0.942,0.186,0.371,0.443,70.0,12.0,0.143,0.128,,0.058,0.86,0.903,0.242,0.24,0.518,54.0,5.0,0.211,0.13,,0.093,0.889,0.924,0.914,0.94,0.076,0.086,0.0600000000000001,0.897,0.231,0.235,0.534,54.0,8.0,0.248,0.148,0.003,0.092,0.964,0.964,0.976,0.963,0.0359999999999999,0.024,0.037,0.43,0.427,0.143,0.222,0.089,0.398,0.596,0.237,0.737,0.026
