District Name,unit_code,School Name,State Board Region,SPG Grade,SPG Score,Reading SPG Grade,Reading SPG Score,Math SPG Grade,Math SPG Score,EVAAS Growth Status,EVAAS Growth Score,Overall Achievement Score,Reading Score,Math Score,Science Score,Math I Score,English II Score,Biology Score,ACT Score,ACT WorkKeys Score,Passing Math III,4-Year Cohort Graduation Rate Score,State Gap Compared
Alamance-Burlington Schools,010303,Alamance-Burlington Middle College,Piedmont Triad Region,A,85.0,,,,,Met,73.1,88,,,,72,87,85,83,75,100,100,N
Alamance-Burlington Schools,010304,Alexander Wilson Elementary,Piedmont Triad Region,C,66.0,61.0,C,69.0,C,Exceeded,90.3,60,56,63,62,,,,,,,,
Alamance-Burlington Schools,010308,Altamahaw Ossipee Elem,Piedmont Triad Region,B,71.0,68.0,C,69.0,C,Met,81.7,68,64,67,78,,,,,,,,
Alamance-Burlington Schools,010310,Broadview Middle,Piedmont Triad Region,D,42.0,41.0,D,35.0,F,Met,80.0,32,31,23,48,100,,,,,,,
Alamance-Burlington Schools,010311,Career Technical Education Center,Piedmont Triad Region,I,,,,,,,,,,,,,,,,,,,
Alamance-Burlington Schools,010312,Highland Elementary,Piedmont Triad Region,B,72.0,68.0,C,73.0,B,Met,78.9,70,68,69,77,,,,,,,,
Alamance-Burlington Schools,010320,E M Yoder Elementary,Piedmont Triad Region,B,73.0,67.0,C,74.0,B,Exceeded,86.7,70,65,70,86,,,,,,,,
Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont Triad Region,C,69.0,,,,,Met,79.7,66,,,,62,48,55,57,91,91,83,
Alamance-Burlington Schools,010326,Eastlawn Elementary,Piedmont Triad Region,D,46.0,40.0,D,50.0,D,Exceeded,87.8,36,28,40,46,,,,,,,,
Alamance-Burlington Schools,010328,Edwin M Holt Elementary,Piedmont Triad Region,B,73.0,73.0,B,72.0,B,Met,84.0,70,70,68,72,,,,,,,,
Alamance-Burlington Schools,010340,Elon Elementary,Piedmont Triad Region,C,64.0,63.0,C,61.0,C,Met,83.0,59,60,55,71,,,,,,,,
Alamance-Burlington Schools,010346,B Everett Jordan Elem,Piedmont Triad Region,C,61.0,63.0,C,60.0,C,Met,79.8,57,58,55,57,,,,,,,,
