Experience,year,unit_code,Lea_Name,School_Name,State_Name,category_cd,pct_tch,lea_pct_tch,lea_pct_prin,st_pct_tch,st_pct_prin
0-3 Years,2016,010LEA,Alamance-Burlington Schools,,State Of North Carolina,A,,0.409,0.417,0.227,0.43
0-3 Years,2016,010LEA,Alamance-Burlington Schools,,State Of North Carolina,E,,0.276,0.417,0.227,0.43
0-3 Years,2016,010LEA,Alamance-Burlington Schools,,State Of North Carolina,H,,0.242,0.417,0.231,0.43
0-3 Years,2016,010LEA,Alamance-Burlington Schools,,State Of North Carolina,M,,0.207,0.417,0.244,0.43
0-3 Years,2016,020LEA,Alexander County Schools,,State Of North Carolina,E,,0.174,0.5,0.227,0.43
0-3 Years,2016,020LEA,Alexander County Schools,,State Of North Carolina,H,,0.184,0.5,0.231,0.43
0-3 Years,2016,020LEA,Alexander County Schools,,State Of North Carolina,M,,0.23,0.5,0.244,0.43
0-3 Years,2016,030LEA,Alleghany County Schools,,State Of North Carolina,H,,0.189,0.75,0.231,0.43
0-3 Years,2016,030LEA,Alleghany County Schools,,State Of North Carolina,I,,0.226,0.75,0.255,0.43
0-3 Years,2016,040LEA,Anson County Schools,,State Of North Carolina,E,,0.124,0.545,0.227,0.43
0-3 Years,2016,040LEA,Anson County Schools,,State Of North Carolina,H,,0.333,0.545,0.231,0.43
0-3 Years,2016,040LEA,Anson County Schools,,State Of North Carolina,M,,0.308,0.545,0.244,0.43
0-3 Years,2016,040LEA,Anson County Schools,,State Of North Carolina,T,,,0.545,0.253,0.43
0-3 Years,2016,050LEA,Ashe County Schools,,State Of North Carolina,E,,0.123,0.4,0.227,0.43
0-3 Years,2016,050LEA,Ashe County Schools,,State Of North Carolina,H,,0.212,0.4,0.231,0.43
0-3 Years,2016,050LEA,Ashe County Schools,,State Of North Carolina,M,,0.103,0.4,0.244,0.43
0-3 Years,2016,060LEA,Avery County Schools,,State Of North Carolina,E,,0.122,0.111,0.227,0.43
0-3 Years,2016,060LEA,Avery County Schools,,State Of North Carolina,H,,0.152,0.111,0.231,0.43
0-3 Years,2016,060LEA,Avery County Schools,,State Of North Carolina,M,,0.256,0.111,0.244,0.43
0-3 Years,2016,060LEA,Avery County Schools,,State Of North Carolina,T,,0.0,0.111,0.253,0.43
0-3 Years,2016,070LEA,Beaufort County Schools,,State Of North Carolina,E,,0.179,0.357,0.227,0.43
0-3 Years,2016,070LEA,Beaufort County Schools,,State Of North Carolina,H,,0.245,0.357,0.231,0.43
0-3 Years,2016,070LEA,Beaufort County Schools,,State Of North Carolina,I,,0.13,0.357,0.255,0.43
0-3 Years,2016,070LEA,Beaufort County Schools,,State Of North Carolina,M,,0.378,0.357,0.244,0.43
0-3 Years,2016,070LEA,Beaufort County Schools,,State Of North Carolina,T,,0.571,0.357,0.253,0.43
0-3 Years,2016,080LEA,Bertie County Schools,,State Of North Carolina,E,,0.182,0.625,0.227,0.43
0-3 Years,2016,080LEA,Bertie County Schools,,State Of North Carolina,H,,0.358,0.625,0.231,0.43
0-3 Years,2016,080LEA,Bertie County Schools,,State Of North Carolina,M,,0.355,0.625,0.244,0.43
0-3 Years,2016,080LEA,Bertie County Schools,,State Of North Carolina,T,,,0.625,0.253,0.43
0-3 Years,2016,090LEA,Bladen County Schools,,State Of North Carolina,E,,0.138,0.385,0.227,0.43
0-3 Years,2016,090LEA,Bladen County Schools,,State Of North Carolina,H,,0.209,0.385,0.231,0.43
0-3 Years,2016,090LEA,Bladen County Schools,,State Of North Carolina,I,,0.0,0.385,0.255,0.43
0-3 Years,2016,090LEA,Bladen County Schools,,State Of North Carolina,M,,0.225,0.385,0.244,0.43
0-3 Years,2016,090LEA,Bladen County Schools,,State Of North Carolina,T,,,0.385,0.253,0.43
0-3 Years,2016,100LEA,Brunswick County Schools,,State Of North Carolina,E,,0.193,0.526,0.227,0.43
0-3 Years,2016,100LEA,Brunswick County Schools,,State Of North Carolina,H,,0.262,0.526,0.231,0.43
0-3 Years,2016,100LEA,Brunswick County Schools,,State Of North Carolina,I,,0.054,0.526,0.255,0.43
0-3 Years,2016,100LEA,Brunswick County Schools,,State Of North Carolina,M,,0.287,0.526,0.244,0.43
0-3 Years,2016,100LEA,Brunswick County Schools,,State Of North Carolina,T,,0.143,0.526,0.253,0.43
0-3 Years,2016,110LEA,Buncombe County Schools,,State Of North Carolina,E,,0.19,0.395,0.227,0.43
0-3 Years,2016,110LEA,Buncombe County Schools,,State Of North Carolina,H,,0.181,0.395,0.231,0.43
