year,unit_code,pct_eds,School_Name,Lea_Name,State_Name
2017,00A000,44.8,NC Connections Academy,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,00B000,66.2,NC Virtual Academy,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,010303,43.8,Alamance-Burlington Middle/Early College,Alamance-Burlington Schools,State Of North Carolina
2017,010304,48.3,Alexander Wilson Elementary,Alamance-Burlington Schools,State Of North Carolina
2017,010308,48.0,Altamahaw Ossipee Elem,Alamance-Burlington Schools,State Of North Carolina
2017,010310,69.0,Broadview Middle,Alamance-Burlington Schools,State Of North Carolina
2017,010311,0,Career Technical Education Center,Alamance-Burlington Schools,State Of North Carolina
2017,010312,38.6,"Highland Elementary, Burlington",Alamance-Burlington Schools,State Of North Carolina
2017,010320,49.5,E M Yoder Elementary,Alamance-Burlington Schools,State Of North Carolina
2017,010324,34.2,Eastern Alamance High,Alamance-Burlington Schools,State Of North Carolina
2017,010326,70.3,Eastlawn Elementary,Alamance-Burlington Schools,State Of North Carolina
2017,010328,30.4,Edwin M Holt Elementary,Alamance-Burlington Schools,State Of North Carolina
2017,010340,47.9,Elon Elementary,Alamance-Burlington Schools,State Of North Carolina
2017,010346,61.6,B Everett Jordan Elem,Alamance-Burlington Schools,State Of North Carolina
2017,010347,59.3,Garrett Elementary,Alamance-Burlington Schools,State Of North Carolina
2017,010348,70.8,Graham High,Alamance-Burlington Schools,State Of North Carolina
2017,010350,86.5,Graham Middle,Alamance-Burlington Schools,State Of North Carolina
2017,010351,62.5,Grove Park Elementary,Alamance-Burlington Schools,State Of North Carolina
2017,010353,52.9,Hawfields Middle,Alamance-Burlington Schools,State Of North Carolina
2017,010354,77.2,Harvey R Newlin Elementary,Alamance-Burlington Schools,State Of North Carolina
2017,010357,71.4,Haw River Elementary,Alamance-Burlington Schools,State Of North Carolina
2017,010358,70.5,Hillcrest Elementary,Alamance-Burlington Schools,State Of North Carolina
2017,010360,78.8,Hugh M Cummings High,Alamance-Burlington Schools,State Of North Carolina
2017,010362,44.6,Marvin B Smith Elementary,Alamance-Burlington Schools,State Of North Carolina
