year,unit_code,grade,pct_prof,School_Name,Lea_Name,State_Name
2017,00A000,6,45,NC Connections Academy,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,00A000,9,34.8,NC Connections Academy,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,00B000,6,36.8,NC Virtual Academy,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,00B000,9,25.4,NC Virtual Academy,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,010303,9,80.6,Alamance-Burlington Middle/Early College,Alamance-Burlington Schools,State Of North Carolina
2017,010310,6,20.5,Broadview Middle,Alamance-Burlington Schools,State Of North Carolina
2017,010324,9,48.6,Eastern Alamance High,Alamance-Burlington Schools,State Of North Carolina
2017,010348,9,14.5,Graham High,Alamance-Burlington Schools,State Of North Carolina
2017,010350,6,26.3,Graham Middle,Alamance-Burlington Schools,State Of North Carolina
2017,010353,6,46.9,Hawfields Middle,Alamance-Burlington Schools,State Of North Carolina
2017,010360,9,19,Hugh M Cummings High,Alamance-Burlington Schools,State Of North Carolina
2017,010378,6,0,Ray Street Academy,Alamance-Burlington Schools,State Of North Carolina
2017,010378,9,7.7,Ray Street Academy,Alamance-Burlington Schools,State Of North Carolina
2017,010388,9,34.1,Southern High,Alamance-Burlington Schools,State Of North Carolina
2017,010390,6,42.3,"Southern Middle, Graham",Alamance-Burlington Schools,State Of North Carolina
2017,010394,6,34,Turrentine Middle,Alamance-Burlington Schools,State Of North Carolina
2017,010396,9,24.6,Walter M Williams High,Alamance-Burlington Schools,State Of North Carolina
2017,010400,9,48.7,Western Alamance High,Alamance-Burlington Schools,State Of North Carolina
2017,010403,6,56.6,Western Middle,Alamance-Burlington Schools,State Of North Carolina
2017,010406,6,55.5,Woodlawn Middle,Alamance-Burlington Schools,State Of North Carolina
2017,01B000,6,50.7,River Mill Academy,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,01B000,9,56.8,River Mill Academy,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,01C000,6,60.4,Clover Garden,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,01C000,9,35.6,Clover Garden,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,01D000,6,71.1,The Hawbridge School,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,01D000,9,61.3,The Hawbridge School,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,020302,9,31.2,Alexander Central High,Alexander County Schools,State Of North Carolina
2017,020303,9,61.8,Alexander Early College,Alexander County Schools,State Of North Carolina
2017,020306,6,41.9,East Alexander Middle,Alexander County Schools,State Of North Carolina
2017,020330,6,45.7,West Alexander Middle,Alexander County Schools,State Of North Carolina
2017,030304,9,36.9,Alleghany High,Alleghany County Schools,State Of North Carolina
2017,030308,6,42.9,Glade Creek Elementary,Alleghany County Schools,State Of North Carolina
2017,030316,6,36.4,Piney Creek Elementary,Alleghany County Schools,State Of North Carolina
2017,030320,6,32.6,Sparta Elementary,Alleghany County Schools,State Of North Carolina
2017,040304,9,38.9,Anson Co. Early College High,Anson County Schools,State Of North Carolina
2017,040305,9,0,Anson Academy,Anson County Schools,State Of North Carolina
2017,040306,9,12.5,Anson High School,Anson County Schools,State Of North Carolina
2017,040308,6,63.3,Ansonville Elementary,Anson County Schools,State Of North Carolina
2017,040316,6,24.2,Lilesville Elementary,Anson County Schools,State Of North Carolina
2017,040324,6,19.2,Morven Elementary,Anson County Schools,State Of North Carolina
2017,040328,6,43.8,Peachland-Polkton Elem,Anson County Schools,State Of North Carolina
2017,040330,6,16.4,Wadesboro Elementary,Anson County Schools,State Of North Carolina
2017,040700,9,12.5,Anson New Tech High,Anson County Schools,State Of North Carolina
2017,050302,9,40.7,Ashe County High,Ashe County Schools,State Of North Carolina
2017,050310,6,41.5,Blue Ridge Elementary,Ashe County Schools,State Of North Carolina
2017,050330,6,57.5,"Mountain View Elementary, Jefferson",Ashe County Schools,State Of North Carolina
2017,050335,6,43.4,Westwood Elementary,Ashe County Schools,State Of North Carolina
2017,060302,9,28.1,Avery County High,Avery County Schools,State Of North Carolina
2017,060310,6,57.4,Cranberry Middle,Avery County Schools,State Of North Carolina
2017,060318,6,66.3,Avery Middle,Avery County Schools,State Of North Carolina
2017,060334,9,0,Blue Ridge Academy,Avery County Schools,State Of North Carolina
2017,060701,9,55.6,Avery High Viking Academy,Avery County Schools,State Of North Carolina
2017,06A000,9,0,Grandfather Academy,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,06B000,6,0,Williams Academy,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,06B000,9,14.3,Williams Academy,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,070308,6,52.2,Bath Elementary,Beaufort County Schools,State Of North Carolina
2017,070310,6,0,B C Ed Tech Center,Beaufort County Schools,State Of North Carolina
2017,070310,9,0,B C Ed Tech Center,Beaufort County Schools,State Of North Carolina
2017,070311,9,73.2,Beaufort Co Early College High,Beaufort County Schools,State Of North Carolina
2017,070325,6,35.9,Chocowinity Middle,Beaufort County Schools,State Of North Carolina
2017,070329,6,34.1,"Northeast Elementary, Pinetown",Beaufort County Schools,State Of North Carolina
2017,070330,9,30.3,"Northside High, Pinetown",Beaufort County Schools,State Of North Carolina
2017,070338,6,36.9,P S Jones Middle,Beaufort County Schools,State Of North Carolina
2017,070339,9,20.6,Southside High,Beaufort County Schools,State Of North Carolina
2017,070340,6,41.7,S W Snowden Elementary,Beaufort County Schools,State Of North Carolina
2017,070342,9,23.9,Washington High,Beaufort County Schools,State Of North Carolina
2017,07A000,6,30,Washington Montessori,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,07A000,9,29.4,Washington Montessori,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,080311,9,50,Bertie Early College High,Bertie County Schools,State Of North Carolina
2017,080312,9,0,Bertie High,Bertie County Schools,State Of North Carolina
2017,080314,6,39.9,Bertie Middle,Bertie County Schools,State Of North Carolina
2017,080700,9,15.9,Bertie STEM High,Bertie County Schools,State Of North Carolina
2017,090315,6,32,Bladenboro Middle,Bladen County Schools,State Of North Carolina
2017,090320,6,53.6,Clarkton School of Discovery,Bladen County Schools,State Of North Carolina
2017,090328,6,7.7,East Arcadia Elementary,Bladen County Schools,State Of North Carolina
2017,090330,9,24.7,East Bladen High,Bladen County Schools,State Of North Carolina
2017,090332,6,22,Elizabethtown Middle,Bladen County Schools,State Of North Carolina
2017,090365,6,25,Tar Heel Middle,Bladen County Schools,State Of North Carolina
2017,090368,9,24.7,West Bladen High,Bladen County Schools,State Of North Carolina
2017,09A000,6,5.9,Paul R Brown Leadership Academy,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,09A000,9,5.9,Paul R Brown Leadership Academy,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,100307,9,78.7,Brunswick County Early College,Brunswick County Schools,State Of North Carolina
2017,100308,6,0,Brunswick County Academy,Brunswick County Schools,State Of North Carolina
2017,100308,9,0,Brunswick County Academy,Brunswick County Schools,State Of North Carolina
2017,100309,6,31.2,Cedar Grove Middle,Brunswick County Schools,State Of North Carolina
2017,100316,6,36.7,Leland Middle,Brunswick County Schools,State Of North Carolina
2017,100326,9,29.8,North Brunswick High,Brunswick County Schools,State Of North Carolina
2017,100332,6,48,Shallotte Middle,Brunswick County Schools,State Of North Carolina
2017,100334,9,36.5,South Brunswick High,Brunswick County Schools,State Of North Carolina
2017,100335,6,42.6,South Brunswick Middle,Brunswick County Schools,State Of North Carolina
2017,100344,6,47.8,Waccamaw,Brunswick County Schools,State Of North Carolina
2017,100348,9,35.8,West Brunswick High,Brunswick County Schools,State Of North Carolina
2017,10A000,6,64.8,Charter Day School,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,110303,9,10.5,Community High School,Buncombe County Schools,State Of North Carolina
2017,110304,9,52.6,Reynolds High,Buncombe County Schools,State Of North Carolina
2017,110306,6,53,Reynolds Middle,Buncombe County Schools,State Of North Carolina
2017,110322,9,80.4,Early College,Buncombe County Schools,State Of North Carolina
2017,110326,6,66,Cane Creek Middle,Buncombe County Schools,State Of North Carolina
2017,110336,9,35.3,Owen High,Buncombe County Schools,State Of North Carolina
2017,110338,6,50.9,Owen Middle,Buncombe County Schools,State Of North Carolina
2017,110340,9,32.4,Erwin High,Buncombe County Schools,State Of North Carolina
2017,110352,9,31.2,Enka High,Buncombe County Schools,State Of North Carolina
2017,110380,9,55.4,North Buncombe High,Buncombe County Schools,State Of North Carolina
2017,110382,6,54.1,North Windy Ridge Intermediate,Buncombe County Schools,State Of North Carolina
2017,110416,9,58.2,Roberson High,Buncombe County Schools,State Of North Carolina
2017,110420,6,0,Valley Springs Middle,Buncombe County Schools,State Of North Carolina
2017,110425,6,51.2,Enka Intermediate,Buncombe County Schools,State Of North Carolina
2017,110450,6,54.4,Koontz Intermediate,Buncombe County Schools,State Of North Carolina
2017,110451,6,40.9,Eblen Intermediate,Buncombe County Schools,State Of North Carolina
2017,110500,9,100,Nesbitt Discovery Academy,Buncombe County Schools,State Of North Carolina
2017,111302,9,55.8,Asheville High,Asheville City Schools,State Of North Carolina
2017,111356,6,55.1,Asheville Middle,Asheville City Schools,State Of North Carolina
2017,111700,9,61.3,School of Inquiry and Life Sciences,Asheville City Schools,State Of North Carolina
2017,11A000,6,66,Evergreen Community Charter,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,11B000,6,69.8,ArtSpace Charter School,Charter and Non-District Affiliated Schools,State Of North Carolina
