graduation_year,unit_code,leaname,schname,status,subgroup,subgroup_name,schcount,leacount,seacount,sch_percent_enrolled,lea_percent_enrolled,sea_percent_enrolled
2015,010303,Alamance-Burlington Schools,Alamance-Burlington Middle/Early College,ENROLL,ALL,All Students (Total or Subtotal,28.0,812.0,51362.0,65.1162790697674,53.953488372093,51.9884609545017
2015,010303,Alamance-Burlington Schools,Alamance-Burlington Middle/Early College,NOENROLL,ALL,All Students (Total or Subtotal,15.0,693.0,47433.0,,,
2015,010303,Alamance-Burlington Schools,Alamance-Burlington Middle/Early College,ENROLL,ECODIS,Economically Disadvantaged,5.0,278.0,13556.0,11.6279069767442,18.4717607973422,13.7213421731869
2015,010303,Alamance-Burlington Schools,Alamance-Burlington Middle/Early College,NOENROLL,ECODIS,Economically Disadvantaged,6.0,377.0,18685.0,,,
2015,010303,Alamance-Burlington Schools,Alamance-Burlington Middle/Early College,ENROLL,F,Female,17.0,441.0,28187.0,39.5348837209302,29.3023255813954,28.5307960929197
2015,010303,Alamance-Burlington Schools,Alamance-Burlington Middle/Early College,NOENROLL,F,Female,14.0,315.0,21578.0,,,
2015,010303,Alamance-Burlington Schools,Alamance-Burlington Middle/Early College,ENROLL,M,Male,11.0,371.0,23175.0,25.5813953488372,24.6511627906977,23.4576648615821
2015,010303,Alamance-Burlington Schools,Alamance-Burlington Middle/Early College,NOENROLL,M,Male,,378.0,25855.0,,,
2015,010303,Alamance-Burlington Schools,Alamance-Burlington Middle/Early College,ENROLL,MAN,American Indian,,,685.0,,,
2015,010303,Alamance-Burlington Schools,Alamance-Burlington Middle/Early College,ENROLL,MB,Black,6.0,155.0,12095.0,13.953488372093,10.2990033222591,12.242522394858
2015,010303,Alamance-Burlington Schools,Alamance-Burlington Middle/Early College,ENROLL,MHL,Hispanic,,117.0,4083.0,,7.77408637873754,
2015,010303,Alamance-Burlington Schools,Alamance-Burlington Middle/Early College,NOENROLL,MHL,Hispanic,6.0,172.0,6686.0,,,
2015,010303,Alamance-Burlington Schools,Alamance-Burlington Middle/Early College,ENROLL,MW,White,20.0,505.0,31038.0,46.5116279069767,33.5548172757475,31.4165696644567
2015,010303,Alamance-Burlington Schools,Alamance-Burlington Middle/Early College,NOENROLL,MW,White,9.0,300.0,22995.0,,,
2015,010303,Alamance-Burlington Schools,Alamance-Burlington Middle/Early College,ENROLL,WDIS,Students With Disabilities,,46.0,2732.0,,,
2015,010324,Alamance-Burlington Schools,Eastern Alamance High,ENROLL,ALL,All Students (Total or Subtotal,144.0,812.0,51362.0,56.4705882352941,53.953488372093,51.9884609545017
2015,010324,Alamance-Burlington Schools,Eastern Alamance High,NOENROLL,ALL,All Students (Total or Subtotal,111.0,693.0,47433.0,,,
2015,010324,Alamance-Burlington Schools,Eastern Alamance High,ENROLL,ECODIS,Economically Disadvantaged,36.0,278.0,13556.0,14.1176470588235,18.4717607973422,13.7213421731869
2015,010324,Alamance-Burlington Schools,Eastern Alamance High,NOENROLL,ECODIS,Economically Disadvantaged,46.0,377.0,18685.0,,,
2015,010324,Alamance-Burlington Schools,Eastern Alamance High,ENROLL,F,Female,80.0,441.0,28187.0,31.3725490196078,29.3023255813954,28.5307960929197
2015,010324,Alamance-Burlington Schools,Eastern Alamance High,NOENROLL,F,Female,49.0,315.0,21578.0,,,
2015,010324,Alamance-Burlington Schools,Eastern Alamance High,NOENROLL,LEP,Limited English Proficiency,,25.0,1384.0,,,
2015,010324,Alamance-Burlington Schools,Eastern Alamance High,ENROLL,M,Male,64.0,371.0,23175.0,25.0980392156863,24.6511627906977,23.4576648615821
2015,010324,Alamance-Burlington Schools,Eastern Alamance High,NOENROLL,M,Male,62.0,378.0,25855.0,,,
2015,010324,Alamance-Burlington Schools,Eastern Alamance High,ENROLL,MAN,American Indian,,,685.0,,,
2015,010324,Alamance-Burlington Schools,Eastern Alamance High,NOENROLL,MAN,American Indian,,,674.0,,,
2015,010324,Alamance-Burlington Schools,Eastern Alamance High,ENROLL,MB,Black,26.0,155.0,12095.0,10.1960784313725,10.2990033222591,12.242522394858
2015,010324,Alamance-Burlington Schools,Eastern Alamance High,NOENROLL,MB,Black,37.0,181.0,14296.0,,,
2015,010324,Alamance-Burlington Schools,Eastern Alamance High,ENROLL,MHL,Hispanic,14.0,117.0,4083.0,5.49019607843137,7.77408637873754,
2015,010324,Alamance-Burlington Schools,Eastern Alamance High,NOENROLL,MHL,Hispanic,12.0,172.0,6686.0,,,
2015,010324,Alamance-Burlington Schools,Eastern Alamance High,ENROLL,MM,Multiracial,,15.0,1733.0,,,
2015,010324,Alamance-Burlington Schools,Eastern Alamance High,NOENROLL,MM,Multiracial,,20.0,1640.0,,,
2015,010324,Alamance-Burlington Schools,Eastern Alamance High,NOENROLL,MNP,Pacific Islander,,,69.0,,,
2015,010324,Alamance-Burlington Schools,Eastern Alamance High,ENROLL,MW,White,99.0,505.0,31038.0,38.8235294117647,33.5548172757475,31.4165696644567
2015,010324,Alamance-Burlington Schools,Eastern Alamance High,NOENROLL,MW,White,56.0,300.0,22995.0,,,
2015,010324,Alamance-Burlington Schools,Eastern Alamance High,ENROLL,WDIS,Students With Disabilities,10.0,46.0,2732.0,,,
2015,010324,Alamance-Burlington Schools,Eastern Alamance High,NOENROLL,WDIS,Students With Disabilities,20.0,129.0,6687.0,,,
2015,010348,Alamance-Burlington Schools,Graham High,ENROLL,ALL,All Students (Total or Subtotal,76.0,812.0,51362.0,40.8602150537634,53.953488372093,51.9884609545017
2015,010348,Alamance-Burlington Schools,Graham High,NOENROLL,ALL,All Students (Total or Subtotal,110.0,693.0,47433.0,,,
2015,010348,Alamance-Burlington Schools,Graham High,ENROLL,ECODIS,Economically Disadvantaged,46.0,278.0,13556.0,24.7311827956989,18.4717607973422,13.7213421731869
2015,010348,Alamance-Burlington Schools,Graham High,NOENROLL,ECODIS,Economically Disadvantaged,85.0,377.0,18685.0,,,
2015,010348,Alamance-Burlington Schools,Graham High,ENROLL,F,Female,33.0,441.0,28187.0,17.741935483871,29.3023255813954,28.5307960929197
2015,010348,Alamance-Burlington Schools,Graham High,NOENROLL,F,Female,51.0,315.0,21578.0,,,
2015,010348,Alamance-Burlington Schools,Graham High,NOENROLL,LEP,Limited English Proficiency,5.0,25.0,1384.0,,,
2015,010348,Alamance-Burlington Schools,Graham High,ENROLL,M,Male,43.0,371.0,23175.0,23.1182795698925,24.6511627906977,23.4576648615821
2015,010348,Alamance-Burlington Schools,Graham High,NOENROLL,M,Male,59.0,378.0,25855.0,,,
2015,010348,Alamance-Burlington Schools,Graham High,ENROLL,MA,Asian,,15.0,1679.0,,,
2015,010348,Alamance-Burlington Schools,Graham High,NOENROLL,MA,Asian,,12.0,1073.0,,,
2015,010348,Alamance-Burlington Schools,Graham High,ENROLL,MB,Black,24.0,155.0,12095.0,12.9032258064516,10.2990033222591,12.242522394858
2015,010348,Alamance-Burlington Schools,Graham High,NOENROLL,MB,Black,38.0,181.0,14296.0,,,
2015,010348,Alamance-Burlington Schools,Graham High,ENROLL,MHL,Hispanic,25.0,117.0,4083.0,13.4408602150538,7.77408637873754,
