year,unit_code,Concentrator,Counts,School_Name,Lea_Name,State_Name
2017,010303,AGNR,1,Alamance-Burlington Middle/Early College,Alamance-Burlington Schools,State Of North Carolina
2017,010303,ARCH,1,Alamance-Burlington Middle/Early College,Alamance-Burlington Schools,State Of North Carolina
2017,010303,BMA,1,Alamance-Burlington Middle/Early College,Alamance-Burlington Schools,State Of North Carolina
2017,010303,INFO,1,Alamance-Burlington Middle/Early College,Alamance-Burlington Schools,State Of North Carolina
2017,010303,LAW,1,Alamance-Burlington Middle/Early College,Alamance-Burlington Schools,State Of North Carolina
2017,010303,TRAN,1,Alamance-Burlington Middle/Early College,Alamance-Burlington Schools,State Of North Carolina
2017,010324,AAVC,22,Eastern Alamance High,Alamance-Burlington Schools,State Of North Carolina
2017,010324,AGNR,26,Eastern Alamance High,Alamance-Burlington Schools,State Of North Carolina
2017,010324,ARCH,32,Eastern Alamance High,Alamance-Burlington Schools,State Of North Carolina
2017,010324,BMA,2,Eastern Alamance High,Alamance-Burlington Schools,State Of North Carolina
2017,010324,FINA,4,Eastern Alamance High,Alamance-Burlington Schools,State Of North Carolina
2017,010324,HLTH,5,Eastern Alamance High,Alamance-Burlington Schools,State Of North Carolina
2017,010324,HOSP,87,Eastern Alamance High,Alamance-Burlington Schools,State Of North Carolina
2017,010324,HUMA,1,Eastern Alamance High,Alamance-Burlington Schools,State Of North Carolina
2017,010324,INFO,74,Eastern Alamance High,Alamance-Burlington Schools,State Of North Carolina
2017,010324,MANU,4,Eastern Alamance High,Alamance-Burlington Schools,State Of North Carolina
2017,010324,STEM,11,Eastern Alamance High,Alamance-Burlington Schools,State Of North Carolina
2017,010324,TRAN,10,Eastern Alamance High,Alamance-Burlington Schools,State Of North Carolina
2017,010348,AAVC,8,Graham High,Alamance-Burlington Schools,State Of North Carolina
2017,010348,AGNR,10,Graham High,Alamance-Burlington Schools,State Of North Carolina
2017,010348,ARCH,82,Graham High,Alamance-Burlington Schools,State Of North Carolina
2017,010348,BMA,3,Graham High,Alamance-Burlington Schools,State Of North Carolina
2017,010348,FINA,2,Graham High,Alamance-Burlington Schools,State Of North Carolina
2017,010348,HLTH,8,Graham High,Alamance-Burlington Schools,State Of North Carolina
