year,unit_code,Number_Industry_Recognized_Crede,School_Name,Lea_Name,State_Name
2017,010303,5,Alamance-Burlington Middle/Early College,Alamance-Burlington Schools,State Of North Carolina
2017,010311,230,Career Technical Education Center,Alamance-Burlington Schools,State Of North Carolina
2017,010324,262,Eastern Alamance High,Alamance-Burlington Schools,State Of North Carolina
2017,010348,366,Graham High,Alamance-Burlington Schools,State Of North Carolina
2017,010360,316,Hugh M Cummings High,Alamance-Burlington Schools,State Of North Carolina
2017,010378,2,Ray Street Academy,Alamance-Burlington Schools,State Of North Carolina
2017,010388,701,Southern High,Alamance-Burlington Schools,State Of North Carolina
2017,010396,390,Walter M Williams High,Alamance-Burlington Schools,State Of North Carolina
2017,010400,657,Western Alamance High,Alamance-Burlington Schools,State Of North Carolina
2017,020302,476,Alexander Central High,Alexander County Schools,State Of North Carolina
2017,030304,255,Alleghany High,Alleghany County Schools,State Of North Carolina
2017,040306,283,Anson High School,Anson County Schools,State Of North Carolina
2017,040700,1,Anson New Tech High,Anson County Schools,State Of North Carolina
2017,050302,350,Ashe County High,Ashe County Schools,State Of North Carolina
2017,060302,169,Avery County High,Avery County Schools,State Of North Carolina
2017,060700,20,Avery High STEM Academy,Avery County Schools,State Of North Carolina
2017,070311,2,Beaufort Co Early College High,Beaufort County Schools,State Of North Carolina
2017,070330,249,"Northside High, Pinetown",Beaufort County Schools,State Of North Carolina
2017,070339,566,Southside High,Beaufort County Schools,State Of North Carolina
2017,070342,246,Washington High,Beaufort County Schools,State Of North Carolina
2017,080311,29,Bertie Early College High,Bertie County Schools,State Of North Carolina
2017,080312,104,Bertie High,Bertie County Schools,State Of North Carolina
2017,080700,31,Bertie STEM High,Bertie County Schools,State Of North Carolina
2017,090330,853,East Bladen High,Bladen County Schools,State Of North Carolina
2017,090368,1084,West Bladen High,Bladen County Schools,State Of North Carolina
2017,100308,5,Brunswick County Academy,Brunswick County Schools,State Of North Carolina
2017,100326,326,North Brunswick High,Brunswick County Schools,State Of North Carolina
2017,100334,567,South Brunswick High,Brunswick County Schools,State Of North Carolina
2017,100348,856,West Brunswick High,Brunswick County Schools,State Of North Carolina
2017,110303,8,Community High School,Buncombe County Schools,State Of North Carolina
2017,110304,538,Reynolds High,Buncombe County Schools,State Of North Carolina
2017,110323,4,Middle College,Buncombe County Schools,State Of North Carolina
