year,unit_code,School_Name,Lea_Name,State_Name,Category_Cd,sat_avg_score_num,lea_sat_avg_score_num,st_sat_avg_score_num,nat_sat_avg_score_num,sat_participation_pct,lea_sat_participation_pct,st_sat_participation_pct,nat_sat_participation_pct,esea_attendance,lea_esea_attendance,ap_participation_pct,lea_ap_participation_pct,st_ap_participation_pct,ap_pct_3_or_above,lea_ap_pct_3_or_above,st_ap_pct_3_or_above,ib_participation_pct,lea_ib_participation_pct,st_ib_participation_pct,ib_pct_4_or_above,lea_ib_pct_4_or_above,st_ib_pct_4_or_above
2017,00A000,NC Connections Academy,Charter and Non-District Affiliated Schools,State Of North Carolina,A,,,1074.0,1044.0,,,0.44,0.0,,,,,0.16,0.95,,0.51,,,,,,0.95
2017,00B000,NC Virtual Academy,Charter and Non-District Affiliated Schools,State Of North Carolina,A,,,1074.0,1044.0,,,0.44,0.0,,,,,0.16,0.2,,0.51,,,,,,0.95
2017,010303,Alamance-Burlington Middle/Early College,Alamance-Burlington Schools,State Of North Carolina,H,1108.0,1041.0,1074.0,1044.0,0.576,0.494,0.44,0.0,,,,0.16,0.16,,0.35,0.51,,,,,,0.95
2017,010304,Alexander Wilson Elementary,Alamance-Burlington Schools,State Of North Carolina,E,,1041.0,1074.0,1044.0,,0.494,0.44,0.0,,,,0.16,0.16,,0.35,0.51,,,,,,0.95
2017,010308,Altamahaw Ossipee Elem,Alamance-Burlington Schools,State Of North Carolina,E,,1041.0,1074.0,1044.0,,0.494,0.44,0.0,,,,0.16,0.16,,0.35,0.51,,,,,,0.95
2017,010310,Broadview Middle,Alamance-Burlington Schools,State Of North Carolina,M,,1041.0,1074.0,1044.0,,0.494,0.44,0.0,,,,0.16,0.16,,0.35,0.51,,,,,,0.95
2017,010311,Career Technical Education Center,Alamance-Burlington Schools,State Of North Carolina,H,,1041.0,1074.0,1044.0,,0.494,0.44,0.0,,,,0.16,0.16,,0.35,0.51,,,,,,0.95
2017,010312,"Highland Elementary, Burlington",Alamance-Burlington Schools,State Of North Carolina,E,,1041.0,1074.0,1044.0,,0.494,0.44,0.0,,,,0.16,0.16,,0.35,0.51,,,,,,0.95
2017,010320,E M Yoder Elementary,Alamance-Burlington Schools,State Of North Carolina,E,,1041.0,1074.0,1044.0,,0.494,0.44,0.0,,,,0.16,0.16,,0.35,0.51,,,,,,0.95
2017,010324,Eastern Alamance High,Alamance-Burlington Schools,State Of North Carolina,H,1088.0,1041.0,1074.0,1044.0,0.418,0.494,0.44,0.0,,,0.13,0.16,0.16,0.5,0.35,0.51,,,,,,0.95
2017,010326,Eastlawn Elementary,Alamance-Burlington Schools,State Of North Carolina,E,,1041.0,1074.0,1044.0,,0.494,0.44,0.0,,,,0.16,0.16,,0.35,0.51,,,,,,0.95
2017,010328,Edwin M Holt Elementary,Alamance-Burlington Schools,State Of North Carolina,E,,1041.0,1074.0,1044.0,,0.494,0.44,0.0,,,,0.16,0.16,,0.35,0.51,,,,,,0.95
2017,010340,Elon Elementary,Alamance-Burlington Schools,State Of North Carolina,E,,1041.0,1074.0,1044.0,,0.494,0.44,0.0,,,,0.16,0.16,,0.35,0.51,,,,,,0.95
2017,010346,B Everett Jordan Elem,Alamance-Burlington Schools,State Of North Carolina,E,,1041.0,1074.0,1044.0,,0.494,0.44,0.0,,,,0.16,0.16,,0.35,0.51,,,,,,0.95
2017,010347,Garrett Elementary,Alamance-Burlington Schools,State Of North Carolina,E,,1041.0,1074.0,1044.0,,0.494,0.44,0.0,,,,0.16,0.16,,0.35,0.51,,,,,,0.95
2017,010348,Graham High,Alamance-Burlington Schools,State Of North Carolina,H,924.0,1041.0,1074.0,1044.0,0.61,0.494,0.44,0.0,,,0.18,0.16,0.16,0.07,0.35,0.51,,,,,,0.95
2017,010350,Graham Middle,Alamance-Burlington Schools,State Of North Carolina,M,,1041.0,1074.0,1044.0,,0.494,0.44,0.0,,,,0.16,0.16,,0.35,0.51,,,,,,0.95
2017,010351,Grove Park Elementary,Alamance-Burlington Schools,State Of North Carolina,E,,1041.0,1074.0,1044.0,,0.494,0.44,0.0,,,,0.16,0.16,,0.35,0.51,,,,,,0.95
2017,010353,Hawfields Middle,Alamance-Burlington Schools,State Of North Carolina,M,,1041.0,1074.0,1044.0,,0.494,0.44,0.0,,,,0.16,0.16,,0.35,0.51,,,,,,0.95
2017,010354,Harvey R Newlin Elementary,Alamance-Burlington Schools,State Of North Carolina,E,,1041.0,1074.0,1044.0,,0.494,0.44,0.0,,,,0.16,0.16,,0.35,0.51,,,,,,0.95
2017,010357,Haw River Elementary,Alamance-Burlington Schools,State Of North Carolina,E,,1041.0,1074.0,1044.0,,0.494,0.44,0.0,,,,0.16,0.16,,0.35,0.51,,,,,,0.95
2017,010358,Hillcrest Elementary,Alamance-Burlington Schools,State Of North Carolina,E,,1041.0,1074.0,1044.0,,0.494,0.44,0.0,,,,0.16,0.16,,0.35,0.51,,,,,,0.95
2017,010360,Hugh M Cummings High,Alamance-Burlington Schools,State Of North Carolina,H,994.0,1041.0,1074.0,1044.0,0.353,0.494,0.44,0.0,,,0.08,0.16,0.16,0.13,0.35,0.51,,,,,,0.95
2017,010362,Marvin B Smith Elementary,Alamance-Burlington Schools,State Of North Carolina,E,,1041.0,1074.0,1044.0,,0.494,0.44,0.0,,,,0.16,0.16,,0.35,0.51,,,,,,0.95
2017,010364,North Graham Elementary,Alamance-Burlington Schools,State Of North Carolina,E,,1041.0,1074.0,1044.0,,0.494,0.44,0.0,,,,0.16,0.16,,0.35,0.51,,,,,,0.95
2017,010372,"Pleasant Grove Elementary, Burlington",Alamance-Burlington Schools,State Of North Carolina,E,,1041.0,1074.0,1044.0,,0.494,0.44,0.0,,,,0.16,0.16,,0.35,0.51,,,,,,0.95
2017,010374,R Homer Andrews Elementary,Alamance-Burlington Schools,State Of North Carolina,E,,1041.0,1074.0,1044.0,,0.494,0.44,0.0,,,,0.16,0.16,,0.35,0.51,,,,,,0.95
2017,010378,Ray Street Academy,Alamance-Burlington Schools,State Of North Carolina,A,,1041.0,1074.0,1044.0,,0.494,0.44,0.0,,,,0.16,0.16,,0.35,0.51,,,,,,0.95
2017,010380,South Graham Elementary,Alamance-Burlington Schools,State Of North Carolina,E,,1041.0,1074.0,1044.0,,0.494,0.44,0.0,,,,0.16,0.16,,0.35,0.51,,,,,,0.95
2017,010384,South Mebane Elementary,Alamance-Burlington Schools,State Of North Carolina,E,,1041.0,1074.0,1044.0,,0.494,0.44,0.0,,,,0.16,0.16,,0.35,0.51,,,,,,0.95
2017,010388,Southern High,Alamance-Burlington Schools,State Of North Carolina,H,1031.0,1041.0,1074.0,1044.0,0.414,0.494,0.44,0.0,,,0.15,0.16,0.16,0.28,0.35,0.51,,,,,,0.95
2017,010390,"Southern Middle, Graham",Alamance-Burlington Schools,State Of North Carolina,M,,1041.0,1074.0,1044.0,,0.494,0.44,0.0,,,,0.16,0.16,,0.35,0.51,,,,,,0.95
2017,010392,Sylvan Elementary,Alamance-Burlington Schools,State Of North Carolina,E,,1041.0,1074.0,1044.0,,0.494,0.44,0.0,,,,0.16,0.16,,0.35,0.51,,,,,,0.95
2017,010394,Turrentine Middle,Alamance-Burlington Schools,State Of North Carolina,M,,1041.0,1074.0,1044.0,,0.494,0.44,0.0,,,,0.16,0.16,,0.35,0.51,,,,,,0.95
2017,010396,Walter M Williams High,Alamance-Burlington Schools,State Of North Carolina,H,1044.0,1041.0,1074.0,1044.0,0.627,0.494,0.44,0.0,,,0.21,0.16,0.16,0.28,0.35,0.51,,,,,,0.95
2017,010400,Western Alamance High,Alamance-Burlington Schools,State Of North Carolina,H,1109.0,1041.0,1074.0,1044.0,0.538,0.494,0.44,0.0,,,0.21,0.16,0.16,0.54,0.35,0.51,,,,,,0.95
2017,010403,Western Middle,Alamance-Burlington Schools,State Of North Carolina,M,,1041.0,1074.0,1044.0,,0.494,0.44,0.0,,,,0.16,0.16,,0.35,0.51,,,,,,0.95
2017,010406,Woodlawn Middle,Alamance-Burlington Schools,State Of North Carolina,M,,1041.0,1074.0,1044.0,,0.494,0.44,0.0,,,,0.16,0.16,,0.35,0.51,,,,,,0.95
2017,010LEA,,Alamance-Burlington Schools,State Of North Carolina,,,1041.0,1074.0,1044.0,,0.494,0.44,0.0,,,,0.16,0.16,,0.35,0.51,,,,,,0.95
2017,01B000,River Mill Academy,Charter and Non-District Affiliated Schools,State Of North Carolina,A,1009.0,,1074.0,1044.0,0.5,,0.44,0.0,,,0.15,,0.16,0.11,,0.51,,,,,,0.95
2017,01C000,Clover Garden,Charter and Non-District Affiliated Schools,State Of North Carolina,A,1093.0,,1074.0,1044.0,0.634,,0.44,0.0,,,0.09,,0.16,0.41,,0.51,,,,,,0.95
2017,01D000,The Hawbridge School,Charter and Non-District Affiliated Schools,State Of North Carolina,T,1163.0,,1074.0,1044.0,0.412,,0.44,0.0,,,0.21,,0.16,0.68,,0.51,,,,,,0.95
2017,020302,Alexander Central High,Alexander County Schools,State Of North Carolina,H,1092.0,1092.0,1074.0,1044.0,0.266,0.266,0.44,0.0,,,0.11,0.11,0.16,0.44,0.44,0.51,,,,,,0.95
