District Name,unit_code,School Name,SBE District,SPG Grade,SPG Score,Reading SPG Score,Reading SPG Grade,Math SPG Score,Math SPG Grade,EVAAS Growth Status,EVAAS Growth Score,Overall Achievement Score,Reading Score,Math Score,Science Score,NC Math 1 Score,English II Score,Biology Score,ACT Score,ACT WorkKeys Score,Passing NC Math 3,4-Year Cohort Graduation Rate Score,State Gap Compared
Alamance-Burlington Schools,010303,Alamance-Burlington Middle/Early College,Piedmont-Triad,A,93.0,,,,,Met,80.7,100,,,,100,100,91,84,100,100,100,N
Alamance-Burlington Schools,010304,Alexander Wilson Elementary,Piedmont-Triad,C,68.0,63.0,C,72.0,B,Exceeded,88.1,63,58,67,66,,,,,,,,
Alamance-Burlington Schools,010308,Altamahaw Ossipee Elem,Piedmont-Triad,C,63.0,55.0,C,68.0,C,Exceeded,86.6,58,51,61,69,,,,,,,,
Alamance-Burlington Schools,010310,Broadview Middle,Piedmont-Triad,F,39.0,38.0,F,34.0,F,Met,77.7,30,29,22,50,89,,,,,,,
Alamance-Burlington Schools,010311,Career Technical Education Center,Piedmont-Triad,I,,,,,,,,,,,,,,,,,,,
Alamance-Burlington Schools,010312,Highland Elementary,Piedmont-Triad,C,63.0,61.0,C,65.0,C,NotMet,57.4,64,63,62,74,,,,,,,,
Alamance-Burlington Schools,010320,E M Yoder Elementary,Piedmont-Triad,B,72.0,72.0,B,71.0,B,Met,81.7,69,69,69,70,,,,,,,,
Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,B,74.0,,,,,Exceeded,90.0,70,,,,64,64,61,59,79,86,84,
Alamance-Burlington Schools,010326,Eastlawn Elementary,Piedmont-Triad,D,47.0,43.0,D,52.0,D,Met,77.1,40,33,46,41,,,,,,,,
Alamance-Burlington Schools,010328,Edwin M Holt Elementary,Piedmont-Triad,B,71.0,69.0,C,71.0,B,Met,74.5,71,67,70,84,,,,,,,,
Alamance-Burlington Schools,010340,Elon Elementary,Piedmont-Triad,C,61.0,59.0,C,59.0,C,Met,70.7,58,58,53,73,,,,,,,,
Alamance-Burlington Schools,010346,B Everett Jordan Elem,Piedmont-Triad,C,55.0,57.0,C,56.0,C,NotMet,63.8,53,54,52,54,,,,,,,,
Alamance-Burlington Schools,010347,Garrett Elementary,Piedmont-Triad,C,57.0,52.0,D,60.0,C,Met,71.8,53,50,54,59,,,,,,,,
Alamance-Burlington Schools,010348,Graham High,Piedmont-Triad,C,60.0,,,,,Exceeded,86.1,54,,,,38,39,28,36,62,100,79,
Alamance-Burlington Schools,010350,Graham Middle,Piedmont-Triad,D,44.0,43.0,D,40.0,D,Met,77.9,36,35,30,52,91,,,,,,,
Alamance-Burlington Schools,010351,Grove Park Elementary,Piedmont-Triad,C,55.0,49.0,D,55.0,C,Exceeded,91.4,46,40,46,61,,,,,,,,
Alamance-Burlington Schools,010353,Hawfields Middle,Piedmont-Triad,B,71.0,64.0,C,67.0,C,Exceeded,91.7,65,58,62,87,100,,,,,,,
Alamance-Burlington Schools,010354,Harvey R Newlin Elementary,Piedmont-Triad,F,37.0,40.0,D,37.0,F,NotMet,62.0,31,33,29,29,,,,,,,,
Alamance-Burlington Schools,010357,Haw River Elementary,Piedmont-Triad,F,39.0,40.0,D,43.0,D,Met,70.8,32,30,34,28,,,,,,,,
Alamance-Burlington Schools,010358,Hillcrest Elementary,Piedmont-Triad,F,34.0,37.0,F,34.0,F,NotMet,52.4,30,31,29,29,,,,,,,,
Alamance-Burlington Schools,010360,Hugh M Cummings High,Piedmont-Triad,C,65.0,,,,,Exceeded,100.0,56,,,,37,40,75,27,79,92,70,
Alamance-Burlington Schools,010362,Marvin B Smith Elementary,Piedmont-Triad,B,78.0,74.0,B,78.0,B,Exceeded,88.7,75,72,76,85,,,,,,,,
Alamance-Burlington Schools,010364,North Graham Elementary,Piedmont-Triad,D,51.0,46.0,D,55.0,C,Met,77.6,45,39,48,51,,,,,,,,
