agency_code,ccc_pct_COMP1Y_ALL_161,ccc_pct_COMP1Y_AM7_161,ccc_pct_COMP1Y_AS7_161,ccc_pct_COMP1Y_BL7_161,ccc_pct_COMP1Y_EDS_161,ccc_pct_COMP1Y_FEM_161,ccc_pct_COMP1Y_HI7_161,ccc_pct_COMP1Y_MALE_161,ccc_pct_COMP1Y_MU7_161,ccc_pct_COMP1Y_SWD_161,ccc_pct_COMP1Y_WH7_161,ccc_pct_NOCOMP1Y_ALL_161,ccc_pct_NOCOMP1Y_AM7_161,ccc_pct_NOCOMP1Y_AS7_161,ccc_pct_NOCOMP1Y_BL7_161,ccc_pct_NOCOMP1Y_EDS_161,ccc_pct_NOCOMP1Y_ELS_161,ccc_pct_NOCOMP1Y_FEM_161,ccc_pct_NOCOMP1Y_HI7_161,ccc_pct_NOCOMP1Y_MALE_161,ccc_pct_NOCOMP1Y_MU7_161,ccc_pct_NOCOMP1Y_SWD_161,ccc_pct_NOCOMP1Y_WH7_161,ccc_pct_NOINFO_ALL_161,ccc_pct_NOINFO_AM7_161,ccc_pct_NOINFO_AS7_161,ccc_pct_NOINFO_BL7_161,ccc_pct_NOINFO_EDS_161,ccc_pct_NOINFO_ELS_161,ccc_pct_NOINFO_FEM_161,ccc_pct_NOINFO_HI7_161,ccc_pct_NOINFO_MALE_161,ccc_pct_NOINFO_MU7_161,ccc_pct_NOINFO_SWD_161,ccc_pct_NOINFO_WH7_161
010303,30.434782609000006,,,,13.043478260999999,17.391304348,,13.043478260999999,,,26.086956521999998,43.47826087,,,,21.739130435,,39.130434783000005,,,,,34.782608696,26.086956521999998,,,,13.043478260999999,,13.043478260999999,,13.043478260999999,,,26.086956521999998
010324,57.954545455,,,,5.6818181818,31.818181818000003,,26.136363636,,,50.568181818,20.454545455,,,6.8181818182,,,10.795454545,,9.6590909091,,,11.931818182,21.590909091,,,,,,10.795454545,,10.795454545,,,15.909090909000001
010348,39.583333333,,,9.375,16.666666667,19.791666667,8.3333333333,19.791666667,,,19.791666667,35.416666667,,,18.75,20.833333333,,22.916666666999998,5.2083333333,12.5,,,11.458333332999999,25.0,,,19.791666667,17.708333333,,13.541666667000001,,11.458333332999999,,,
010360,36.363636364,,,25.0,27.272727273,25.0,9.0909090909,11.363636364000001,,,,29.545454545,,,18.181818182,25.0,,19.318181818,9.0909090909,10.227272727,,,,34.090909091,,,21.590909091,22.727272727,,14.772727273,9.0909090909,19.318181818,,,
010388,56.0,,,,12.5,25.0,,31.0,,,48.5,24.0,,,,,,15.0,,9.0,,,21.5,20.0,,,,7.0,,10.0,,10.0,,,15.0
010396,52.173913043,,,10.144927536,13.043478260999999,35.265700483,,16.90821256,,,35.748792271,19.323671498,,,7.729468599,12.077294685999998,,11.111111111,,8.2125603865,,,5.7971014493,28.502415459,,,10.628019324,9.1787439614,,14.009661836,,14.492753622999999,,,15.458937198
010400,64.08839779,,,6.6298342541,8.839779005499999,33.149171271,,30.939226519,,,53.591160221,21.546961325999998,,,5.5248618785,6.0773480663,,9.9447513812,,11.602209945,,,12.154696133,14.364640884000002,,,,,,6.6298342541,,7.7348066298,,,12.154696133
010LEA,53.038105046000005,,,8.4449021627,12.461380020999998,29.248197734,,23.789907311999997,,,39.443872297,23.995880535999998,,,7.6210092688,10.092687951,,14.21215242,,9.783728115299999,,,12.049433574000002,22.966014418,,,7.723995880499999,8.7538619979,,11.22554068,,11.740473738,,,12.770339856
01B000,73.529411765,,,8.8235294118,8.8235294118,35.294117647,,38.235294118,,8.8235294118,61.764705882,8.8235294118,,,,,,5.8823529412,,,,,8.8235294118,17.647058824000002,,,,11.764705882000001,,14.705882353,,,,,14.705882353
01C000,72.727272727,,,,9.0909090909,45.454545455,,27.272727273,,9.0909090909,68.181818182,18.181818182,,,,,,13.636363635999999,,,,,13.636363635999999,9.0909090909,,,,,,,,,,,9.0909090909
01D000,35.714285714,,,,7.1428571429,28.571428571,,7.1428571429,,7.1428571429,35.714285714,42.857142857,,,,,,7.1428571429,7.1428571429,35.714285714,,35.714285714,35.714285714,21.428571429,,,14.285714286,,,7.1428571429,,14.285714286,,7.1428571429,7.1428571429
020302,49.773755656000006,,,,11.764705882000001,27.149321266999998,,22.624434389,,,42.081447964,23.076923076999996,,,,,,13.574660632999999,,9.502262443400001,,,21.266968326,27.149321266999998,,,,7.6923076923,,11.764705882000001,,15.384615385,,,24.43438914
020LEA,49.773755656000006,,,,11.764705882000001,27.149321266999998,,22.624434389,,,42.081447964,23.076923076999996,,,,,,13.574660632999999,,9.502262443400001,,,21.266968326,27.149321266999998,,,,7.6923076923,,11.764705882000001,,15.384615385,,,24.43438914
030304,48.38709677399999,,,,27.419354839,27.419354839,11.290322581,20.967741935,,,37.096774194,33.870967742,,,,16.129032258,,19.35483871,,14.516129032,,6.451612903200001,33.870967742,17.741935484000003,,,,11.290322581,,9.6774193548,,8.064516129,,,16.129032258
030LEA,48.38709677399999,,,,27.419354839,27.419354839,11.290322581,20.967741935,,,37.096774194,33.870967742,,,,16.129032258,,19.35483871,,14.516129032,,6.451612903200001,33.870967742,17.741935484000003,,,,11.290322581,,9.6774193548,,8.064516129,,,16.129032258
040304,60.0,,,28.0,32.0,44.0,,16.0,,,28.0,28.0,,,8.0,12.0,,12.0,,16.0,,,20.0,12.0,,,8.0,,,12.0,,,,,
040305,,,,,,,,,,,,40.0,,,40.0,40.0,,,,40.0,,,,60.0,,,60.0,60.0,,20.0,,40.0,,,
040306,39.56043956,,,17.582417582,20.879120879000002,21.978021978,,17.582417582,,,18.681318681,32.967032967,,,18.681318681,21.978021978,,24.175824176,,8.7912087912,,,12.087912088,27.472527473000003,,,18.681318681,19.78021978,,12.087912088,,15.384615385,,,
040700,60.0,,,30.0,35.0,35.0,,25.0,,,30.0,20.0,,5.0,5.0,10.0,,5.0,,15.0,,,10.0,20.0,,,5.0,5.0,,5.0,,15.0,,,15.0
040LEA,44.680851063999995,,,20.567375887,24.113475176999998,26.95035461,,17.730496454,,,21.276595745,30.496453901,,,15.602836879000002,19.14893617,,18.439716312,,12.056737589,,,12.765957447,24.822695035,,,16.312056738,16.312056738,,11.34751773,,13.475177305,,,5.6737588652
050302,67.175572519,,,,16.79389313,38.167938931,,29.007633588,,,61.06870229,16.79389313,,,,7.6335877863,,10.687022901,,6.106870229,,,16.79389313,16.030534351,,,,,,9.160305343500001,,6.8702290076,,,15.267175573
050LEA,67.175572519,,,,16.79389313,38.167938931,,29.007633588,,,61.06870229,16.79389313,,,,7.6335877863,,10.687022901,,6.106870229,,,16.79389313,16.030534351,,,,,,9.160305343500001,,6.8702290076,,,15.267175573
060302,46.511627907,,,,16.279069767,23.255813953,,23.255813953,,,46.511627907,32.558139535,,,,20.930232558,,9.3023255814,,23.255813953,,,27.906976744,20.930232558,,,,9.3023255814,,11.627906977,,9.3023255814,,,20.930232558
