agency_code,pct_EXT_AIG_CGR,pct_EXT_ALL_CGR,pct_EXT_AM7_CGR,pct_EXT_AS7_CGR,pct_EXT_BL7_CGR,pct_EXT_EDS_CGR,pct_EXT_ELS_CGR,pct_EXT_FEM_CGR,pct_EXT_HI7_CGR,pct_EXT_MALE_CGR,pct_EXT_MIG_CGR,pct_EXT_MU7_CGR,pct_EXT_SWD_CGR,pct_EXT_WH7_CGR,pct_STD_AIG_CGR,pct_STD_ALL_CGR,pct_STD_AM7_CGR,pct_STD_AS7_CGR,pct_STD_BL7_CGR,pct_STD_EDS_CGR,pct_STD_ELS_CGR,pct_STD_FCS_CGR,pct_STD_FEM_CGR,pct_STD_HI7_CGR,pct_STD_HMS_CGR,pct_STD_MALE_CGR,pct_STD_MIG_CGR,pct_STD_MU7_CGR,pct_STD_SWD_CGR,pct_STD_WH7_CGR
00A000,,,,,,,,,,,,,,,,5.0,,,,,,,,,,5.0,,,,8.3
00B000,,,,,,,,,,,,,,,,60.0,,,,28.6,,,63.9,,,52.6,,,,54.1
010303,,95.0,,,,95.0,,95.0,,95.0,,,,95.0,,95.0,,,,95.0,,,95.0,,,95.0,,,,95.0
010324,95.0,87.6,,,88.3,75.0,,90.5,89.2,84.6,,89.5,82.1,86.5,95.0,84.2,,,87.7,73.1,,,87.5,82.5,45.5,81.9,,78.6,68.5,83.4
010348,94.7,81.3,,,87.7,82.1,,86.1,82.1,76.0,,70.0,56.0,73.1,95.0,73.5,,,74.6,77.9,61.3,,75.0,76.3,36.4,72.3,,55.6,50.0,70.7
010360,92.6,73.5,,,79.5,78.3,52.4,80.2,70.1,66.7,,,67.6,66.7,95.0,68.8,,,73.7,70.8,55.2,,80.2,66.4,42.9,60.0,,90.0,58.8,43.8
010378,,5.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,
010388,95.0,85.2,,,86.2,76.6,,86.8,78.6,83.9,,,64.5,85.9,95.0,80.2,,,75.9,67.9,76.2,,83.6,85.2,45.5,76.9,,73.3,43.6,80.3
010396,95.0,91.6,,,91.7,89.9,,90.9,91.8,92.4,,76.9,85.3,92.2,95.0,83.8,,,86.4,82.1,70.0,,85.9,78.8,59.1,81.9,,85.7,66.7,83.5
010400,95.0,92.5,,,92.7,90.1,,95.0,86.7,89.0,,95.0,69.2,93.1,95.0,90.1,,,91.7,85.1,78.6,,88.7,82.5,50.0,91.3,,91.7,78.0,90.7
010LEA,95.0,84.5,,95.0,84.1,79.1,57.4,88.0,79.6,80.9,,82.2,66.8,86.4,95.0,81.3,,95.0,81.8,76.1,64.4,,84.4,76.3,47.0,78.6,,77.6,61.0,83.4
01B000,,92.1,,,,,,92.6,,90.9,,,,89.7,,94.3,,,,,,,95.0,,,85.7,,,,93.3
01C000,,95.0,,,,95.0,,95.0,,95.0,,,,95.0,,95.0,,,,,,,95.0,,,95.0,,,,95.0
01D000,,89.2,,,,,,85.7,,93.8,,,,87.9,,88.9,,,,,,,85.7,,,90.9,,,,90.0
020302,95.0,87.0,,,90.9,78.5,,89.1,80.0,85.0,,90.9,73.3,87.4,95.0,85.1,,,85.7,74.1,,,88.5,87.1,73.3,82.3,,76.5,74.4,85.1
020LEA,95.0,87.0,,,90.9,78.5,,89.1,80.0,85.0,,90.9,73.3,87.4,95.0,85.1,,,85.7,74.1,,,88.5,87.1,73.3,82.3,,76.5,74.4,85.1
030304,95.0,86.3,,,,84.1,,88.9,88.2,84.1,,,66.7,86.7,95.0,92.0,,,,94.2,,,95.0,88.9,,88.9,,,75.0,92.4
030LEA,95.0,86.3,,,,84.1,,88.9,88.2,84.1,,,66.7,86.7,95.0,92.0,,,,94.2,,,95.0,88.9,,88.9,,,75.0,92.4
040304,,92.3,,,95.0,90.0,,95.0,,88.2,,,,95.0,95.0,95.0,,,95.0,95.0,,,95.0,,,95.0,,,,95.0
040305,,70.8,,,71.4,87.5,,,,70.6,,,,,,57.1,,,60.7,60.3,,,63.9,,,53.2,,,81.8,40.0
040306,95.0,85.2,,,88.5,86.2,,88.6,,81.0,,,81.3,75.9,95.0,89.3,,,90.5,84.3,,,90.9,,,87.8,,,58.6,86.9
040700,,88.2,,,90.9,87.5,,76.5,,95.0,,,,83.3,,,,,,,,,,,,,,,,
040LEA,95.0,82.4,,,82.4,83.9,,86.6,83.3,78.3,,,82.6,83.6,95.0,84.0,,,81.7,75.2,,,89.5,,,78.3,,,60.0,88.4
050302,93.8,89.0,,,,81.4,,93.6,95.0,84.3,,,77.8,89.1,95.0,86.8,,,,85.4,,,88.5,89.5,60.0,85.3,,,60.7,86.7
050LEA,93.8,89.0,,,,81.4,,93.6,95.0,84.3,,,77.8,89.1,95.0,86.8,,,,85.4,,,88.5,89.5,60.0,85.3,,,60.7,86.7
060302,95.0,95.0,,,,95.0,,95.0,95.0,95.0,,,,95.0,,87.8,,,,88.9,90.0,,92.3,92.9,,83.7,,,90.0,87.9
060334,,80.0,,,,72.7,,,,,,,,76.9,,88.5,,,,82.9,,,88.2,,,88.6,,,95.0,87.5
060700,,95.0,,,,,,95.0,,,,,,95.0,95.0,95.0,,,,95.0,,,95.0,,,95.0,,,,95.0
060LEA,95.0,95.0,,,,94.7,,95.0,95.0,95.0,,,95.0,94.7,95.0,94.0,,,,93.6,90.0,,95.0,94.4,,91.4,,,94.1,94.5
06B000,,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
070310,,81.5,,,84.6,93.8,,95.0,,70.6,,,,83.3,,68.8,,,69.8,75.0,,,73.3,,,66.0,,,58.8,74.1
070311,95.0,95.0,,,,95.0,,95.0,,95.0,,,,95.0,,95.0,,,,,,,95.0,,,95.0,,,,95.0
070330,95.0,92.7,,,94.7,92.7,,95.0,,90.3,,,80.0,92.6,95.0,83.9,,,81.3,77.8,,,79.3,80.0,,88.9,,,50.0,84.1
070339,,85.1,,,94.3,83.3,,87.2,,83.0,,,,73.9,90.0,82.3,,,83.7,78.2,,,86.2,86.7,,78.9,,92.3,46.7,78.1
070342,94.7,83.5,,,79.5,85.8,,86.8,84.4,80.0,,,67.9,86.3,93.6,82.9,,,82.1,68.1,63.6,,88.4,74.2,,76.8,,,71.9,84.7
070LEA,95.0,84.6,,,81.7,85.0,,88.7,87.3,80.7,,85.7,66.0,85.7,94.1,82.9,,,81.5,74.0,70.8,,85.9,80.3,80.0,79.8,,95.0,60.3,83.3
080311,,95.0,,,95.0,,,95.0,,95.0,,,,95.0,,95.0,,,95.0,95.0,,,95.0,,,95.0,,,,95.0
080312,,82.9,,,86.7,85.4,,92.7,,77.6,,,77.8,53.8,,79.4,,,82.6,82.3,,,79.1,,,79.5,,,63.3,65.0
080700,,95.0,,,95.0,95.0,,95.0,,95.0,,,,,,,,,,,,,,,,,,,,
080LEA,95.0,87.0,,,89.6,88.3,,94.8,,81.3,,,78.6,75.9,95.0,84.1,,,85.9,86.4,,,85.4,,,82.9,,,64.5,78.1
090330,95.0,89.0,,,93.9,89.6,,90.9,69.6,87.2,,,75.0,88.9,95.0,92.6,,,94.5,85.7,,,94.9,85.0,,90.6,,,90.9,93.3
