agency_code,grad_project
00A000,N
00B000,N
010303,N
010311,N
010324,N
010348,N
010360,N
010378,N
010388,N
010396,N
010400,N
020302,Y
020303,N
030304,N
040304,Y
040305,Y
040306,Y
050302,N
060302,N
060334,N
060700,N
060701,N
06A000,N
06B000,N
070310,N
070311,N
070330,N
070339,N
070342,N
07A000,N
080311,Y
080312,Y
090330,N
090368,N
09A000,N
100307,Y
100308,Y
100326,Y
100334,Y
100348,Y
110303,Y
110304,Y
110322,Y
110323,Y
110336,Y
110340,Y
110352,Y
110380,Y
110416,Y
110500,Y
111302,Y
111700,Y
11C000,N
11D000,N
120308,Y
120310,Y
120314,Y
120318,Y
120346,Y
120352,N
120370,Y
130307,N
130310,N
130314,N
130316,N
130317,N
130324,N
130326,N
130332,N
130333,N
130350,N
132304,Y
13A000,N
140305,N
140306,N
140309,N
140348,N
140386,N
140390,N
150304,N
150350,N
160309,N
160313,N
160314,N
160344,Y
170316,N
180308,N
180320,N
180323,N
180325,N
180340,N
180348,N
180376,N
181318,N
181322,N
182304,N
182316,N
182700,N
190310,N
190316,N
190336,N
190342,N
190501,N
19A000,N
19B000,N
200308,N
200314,N
200322,N
200328,N
200350,N
210312,Y
220310,N
230312,N
230322,N
230324,N
230330,N
230350,Y
230359,N
230361,N
23A000,N
240334,N
240371,N
240373,N
240380,N
241312,N
241316,N
24B000,N
250314,N
250321,N
250340,N
250356,N
250372,N
250376,N
260318,N
260322,N
260325,N
260347,N
260354,N
260357,N
260359,N
260374,N
260388,Y
260408,N
260411,Y
260424,N
260427,N
260446,N
260449,N
260455,N
260700,Y
26B000,N
270306,N
270311,N
280304,Y
280306,Y
280316,Y
280330,Y
290308,N
290310,N
290314,N
290315,N
290324,N
290336,N
290348,N
290349,N
290365,N
290388,N
290389,N
291336,N
291350,N
292324,N
298202,N
298203,N
298204,N
300306,N
300312,N
300314,N
310338,Y
310344,Y
310352,Y
310364,Y
310392,Y
320309,N
320312,N
320314,N
320317,N
320322,N
320323,N
320325,N
320329,N
320336,N
320341,N
320353,N
320356,N
320365,N
320368,N
320701,N
32L000,N
32N000,N
330326,Y
330328,Y
330350,Y
330358,Y
33A000,N
340311,N
340330,N
340332,N
340336,N
340362,N
340364,N
340382,N
340385,N
340398,N
340427,N
340446,N
340454,N
340460,N
340480,N
340486,N
340488,N
340495,N
340496,N
340542,N
340556,N
340568,N
34B000,N
34D000,N
34H000,Y
350308,N
350317,N
350321,N
350336,N
360310,N
360336,N
360337,N
360360,N
360372,N
360378,N
360390,N
360394,N
360396,N
360418,N
360428,N
360470,N
360494,N
36B000,N
36C000,N
370312,N
380308,Y
390314,N
390322,N
390323,N
390324,N
390352,N
390700,N
39A000,N
39B000,N
400308,N
400315,N
410319,N
410326,N
410355,Y
410358,Y
410379,N
410390,N
410391,N
410394,N
410395,N
410398,N
410399,Y
410401,N
410406,N
410407,N
410408,N
410458,N
410464,N
410483,N
410484,N
410489,Y
410490,N
410508,N
410529,Y
410533,N
410534,N
410544,N
410545,N
410547,N
410556,N
410562,N
410569,Y
410579,N
410589,N
410595,N
420346,Y
420358,Y
421316,N
422310,N
422315,N
430341,N
430345,N
430346,N
430371,N
430378,N
430384,N
440326,N
440346,N
440378,N
440390,N
450316,Y
450334,Y
450341,Y
450343,Y
450352,Y
450354,Y
460320,Y
460322,Y
460340,Y
470312,Y
470342,Y
470443,Y
480316,Y
480318,Y
490307,N
490320,Y
490335,Y
490346,Y
490350,Y
490354,Y
490355,Y
490362,Y
490380,Y
491305,N
491312,Y
49E000,Y
49F000,N
500302,N
500323,N
500324,N
500340,N
510324,N
510325,N
510327,N
510333,N
510357,N
510367,N
510368,N
510376,N
510399,N
510402,N
510406,N
51A000,N
520320,N
530306,N
530316,N
530335,N
530336,N
530343,N
540315,N
540317,N
540318,N
540324,N
540336,N
550308,N
550320,N
550332,N
550344,N
550368,N
55A000,N
560320,N
560324,N
560329,N
560332,Y
560350,N
570317,N
570318,N
580344,N
580368,N
58B000,Y
590328,N
590330,N
590393,N
600302,Y
600312,Y
600334,Y
600341,Y
600361,Y
600364,Y
600377,Y
600386,Y
600397,Y
600404,Y
