agency_code,pct_met_4 Year Graduation Rate_LTG,pct_met_EL Progress_LTG,pct_met_Math Grade 11_LTG,pct_met_Math Grades 3-8_LTG,pct_met_Reading Grade 10_LTG,pct_met_Reading Grades 3-8_LTG,pct_met_Total Targets_LTG
00A000,,,,0.0,,42.9,21.4
00B000,,,,14.3,0.0,71.4,40.0
010303,100.0,,,,,,100.0
010304,,100.0,,0.0,,75.0,44.4
010308,,,,0.0,,0.0,0.0
010310,,100.0,,14.3,,28.6,26.7
010312,,100.0,,0.0,,0.0,7.7
010320,,,,0.0,,33.3,16.7
010324,66.7,,0.0,,66.7,,44.4
010326,,100.0,,60.0,,60.0,63.6
010328,,,,0.0,,0.0,0.0
010340,,0.0,,0.0,,33.3,15.4
010346,,100.0,,0.0,,0.0,11.1
010347,,100.0,,16.7,,0.0,15.4
010348,0.0,0.0,50.0,,20.0,,18.8
010350,,100.0,,62.5,,62.5,64.7
010351,,100.0,,57.1,,57.1,60.0
010353,,,,100.0,,57.1,78.6
010354,,100.0,,28.6,,42.9,40.0
010357,,100.0,,66.7,,66.7,69.2
010358,,100.0,,0.0,,20.0,18.2
010360,0.0,100.0,100.0,,25.0,,46.2
010362,,,,80.0,,40.0,60.0
010364,,100.0,,20.0,,0.0,18.2
010372,,,,25.0,,25.0,25.0
010374,,100.0,,16.7,,16.7,23.1
010378,,,,0.0,,0.0,0.0
010380,,100.0,,0.0,,14.3,13.3
010384,,,,50.0,,66.7,58.3
010388,20.0,,75.0,,20.0,,35.7
010390,,,,40.0,,80.0,60.0
010392,,,,0.0,,0.0,0.0
010394,,0.0,,12.5,,62.5,35.3
010396,0.0,100.0,0.0,,60.0,,25.0
010400,100.0,,100.0,,60.0,,84.6
010403,,,,100.0,,50.0,75.0
010406,,,,50.0,,100.0,75.0
01B000,0.0,,100.0,0.0,50.0,0.0,14.3
01C000,100.0,,100.0,0.0,100.0,0.0,45.5
01D000,100.0,,100.0,0.0,100.0,0.0,50.0
020302,25.0,,0.0,,0.0,,7.7
020304,,,,0.0,,100.0,50.0
020306,,,,100.0,,20.0,60.0
020308,,,,0.0,,100.0,50.0
020316,,,,20.0,,20.0,20.0
020320,,,,100.0,,66.7,83.3
020324,,,,100.0,,100.0,100.0
020328,,,,100.0,,100.0,100.0
020330,,,,100.0,,0.0,50.0
020332,,,,100.0,,66.7,83.3
030304,100.0,,0.0,,0.0,,33.3
030308,,,,50.0,,25.0,37.5
030316,,,,33.3,,0.0,16.7
030320,,,,0.0,,0.0,0.0
040304,100.0,,0.0,,0.0,,33.3
040306,75.0,,100.0,,0.0,,58.3
040308,,,,0.0,,0.0,0.0
040309,,,,83.3,,100.0,91.7
040311,,,,0.0,,0.0,0.0
040316,,,,100.0,,0.0,50.0
040324,,,,0.0,,0.0,0.0
040328,,,,80.0,,60.0,70.0
040330,,,,66.7,,0.0,33.3
050302,100.0,,0.0,,0.0,,33.3
050305,,,,100.0,,80.0,90.0
050310,,,,75.0,,100.0,87.5
050330,,,,60.0,,80.0,70.0
050335,,,,100.0,,20.0,60.0
060302,0.0,,100.0,,0.0,,33.3
060304,,,,33.3,,33.3,33.3
060310,,,,100.0,,100.0,100.0
060316,,,,0.0,,0.0,0.0
060318,,,,60.0,,80.0,70.0
060322,,,,33.3,,0.0,16.7
060328,,,,0.0,,0.0,0.0
060332,,,,0.0,,0.0,0.0
060700,,,100.0,,100.0,,100.0
06B000,,,,100.0,,100.0,100.0
070308,,,,40.0,,80.0,60.0
070311,100.0,,0.0,,100.0,,60.0
070325,,,,100.0,,100.0,100.0
070326,,,,50.0,,25.0,37.5
070327,,0.0,,71.4,,0.0,33.3
070328,,,,0.0,,66.7,33.3
070329,,,,33.3,,16.7,25.0
070330,0.0,,0.0,,0.0,,0.0
070338,,,,16.7,,50.0,33.3
070339,0.0,,75.0,,75.0,,50.0
070340,,,,100.0,,0.0,50.0
070342,60.0,0.0,25.0,,50.0,,42.9
07A000,,,,100.0,,100.0,100.0
