agency_code,pct_gce_all_RTA,pct_gce_prm_RTA,pct_gce_rpf_RTA,pct_gce_swd_RTA,pct_passed_eog_RTA,pct_passed_laa_RTA,pct_passed_rta_RTA,pct_promoted_RTA,pct_retained_RTA
00A000,,,,,55.6,15.6,,81.1,18.9
00B000,,,,,49.7,7.3,9.7,90.9,9.1
010304,14.7,,,,49.0,16.7,,85.3,14.7
010308,21.7,,16.0,,66.0,,,95.0,
010312,9.3,,,,72.9,,,95.0,
010320,29.9,,17.9,,49.3,14.9,,94.0,
010326,,,,,28.6,30.6,,68.4,31.6
010328,11.3,,,,59.8,13.4,,89.7,10.3
010340,8.5,,,,55.9,13.6,,87.3,12.7
010346,,,,,44.8,19.0,,77.6,22.4
010347,23.0,,13.1,8.2,60.7,,,90.2,9.8
010351,,,,,39.7,41.0,,82.1,17.9
010354,11.3,,,,33.9,19.1,,72.2,27.8
010357,16.1,,16.1,,40.2,,,64.4,35.6
010358,,,,,32.4,50.5,,90.1,9.9
010362,,,,,77.9,,,90.7,
010364,16.9,,,,38.0,26.8,,81.7,18.3
010372,,,,,45.2,,,88.1,
010374,11.8,,,,51.6,,,82.8,17.2
010380,,,,,40.7,16.5,,72.5,27.5
010384,,,,,59.5,20.7,,90.1,9.9
010392,,,,,46.3,24.4,,75.6,24.4
010LEA,11.6,,5.6,5.4,50.3,16.6,5.0,84.0,16.0
01B000,20.8,,18.1,,52.8,,,76.4,23.6
01C000,,,,,63.1,32.3,,95.0,
020304,,,,,67.5,15.6,,90.9,
020308,,,,,59.2,,,95.0,
020316,21.2,,,,37.6,17.6,,80.0,20.0
020320,,,,,65.1,,,83.7,
020324,,,,,63.6,,,93.9,
020328,,,,,51.1,,,86.7,
020332,,,,,56.5,,,93.5,
020LEA,14.3,,5.0,9.0,55.8,13.5,,88.9,11.1
030308,,,,,60.0,,,95.0,
030316,,,,,,,,95.0,
030320,,,,,50.0,36.0,,92.0,
030LEA,11.8,,,,54.1,25.9,,95.0,
040308,,,,,62.5,,,83.3,
040311,22.2,,,12.2,30.0,,,67.8,32.2
040316,25.6,,,,44.2,,,74.4,25.6
040324,,,,,,,,71.0,
040328,13.0,,,,59.7,,,90.9,
040LEA,18.1,,8.3,9.4,43.8,7.9,5.0,77.4,22.6
050310,,,,,73.4,,,93.8,
050330,,,,,63.3,19.0,,95.0,
050335,11.8,,,11.8,56.5,14.1,,87.1,12.9
050LEA,10.5,,,8.3,63.6,13.2,,92.5,7.5
060304,,,,,83.3,,,95.0,
060316,,,,,61.3,,,95.0,
060322,43.3,,36.7,,40.0,,,95.0,
060328,32.6,,,,46.5,,,95.0,
060332,,,,,50.0,,,95.0,
060LEA,25.7,,15.3,10.4,53.5,13.9,,95.0,
06B000,,,,,,,,84.6,
070308,17.6,,,,70.6,,,91.2,
070326,23.0,,20.4,,70.8,,,95.0,
070327,26.2,,15.1,9.1,50.4,5.0,,86.9,13.1
070329,,,,,40.0,28.9,,68.9,31.1
070340,,,,,,,,80.0,
070LEA,21.9,,14.5,6.0,56.1,5.2,,88.1,11.9
07A000,,,,,71.4,,,95.0,
080348,,,,,,,,70.0,
080356,,,,,32.7,,,69.4,30.6
080360,,,,,28.6,,,61.9,38.1
080362,13.3,,,,41.3,,,76.0,24.0
080LEA,9.1,,,,35.5,6.5,8.1,70.4,29.6
08A000,,,,,,,,65.2,
090304,,,,,40.7,,,85.2,
090317,23.5,,16.2,,57.4,,,95.0,
090318,,,,,39.5,36.8,,86.8,
090324,34.1,,31.8,,38.6,,,90.9,
090328,,,,,41.7,,,66.7,
090333,30.9,,24.7,,45.7,,,91.4,
090352,56.8,,45.9,,27.0,,,95.0,
090LEA,28.5,,21.9,5.6,43.6,12.9,,90.3,9.7
09B000,,,,,56.5,,,71.7,28.3
100302,24.4,,16.5,7.9,54.3,,,82.3,17.7
100304,21.7,,,,41.7,,,85.0,
100310,36.1,,28.9,,49.4,,,90.4,
100320,31.3,,14.1,17.2,36.4,10.1,,83.8,16.2
100336,10.9,,,,68.2,,,88.2,11.8
100338,26.5,,16.7,9.8,56.9,,,95.0,
100339,29.6,,16.0,,60.5,,,92.6,
100340,14.6,,,,73.0,,,95.0,
100342,37.0,,30.9,,50.6,,,92.6,
100344,34.0,,,,46.0,,,84.0,
100LEA,25.8,,15.8,9.8,54.6,5.0,5.0,89.1,10.9
10A000,,,,,72.5,9.2,,95.0,
10B000,,,,,81.8,,,95.0,
110308,,,,,67.7,,,77.4,
110320,20.2,,10.6,9.6,67.3,,,91.3,
110324,20.3,,,13.9,55.7,,,83.5,16.5
110332,,,,,53.4,,,74.1,25.9
110348,,,,,43.8,17.2,,71.9,28.1
110356,14.5,,,10.9,61.8,10.0,,90.9,9.1
110366,,,,,78.6,,,94.2,
110368,,,,,74.6,,,83.1,16.9
110370,,,,,70.8,10.4,,90.6,
110372,,,,,34.0,,,66.0,34.0
110376,13.2,,,13.2,63.7,14.3,,94.5,
110379,9.6,,,8.8,61.4,16.7,,90.4,9.6
110384,13.3,,,,42.7,,,68.0,32.0
110388,,,,,83.9,,,87.1,
110408,12.3,,,,56.6,10.4,,82.1,17.9
110410,10.7,,,,57.1,17.9,,89.3,10.7
110412,,,,,53.4,,,72.6,27.4
110422,9.6,,,8.3,62.2,9.0,,84.0,16.0
110428,,,,,74.8,8.4,,93.3,
110436,10.4,,,,68.8,11.5,,91.7,
110444,,,,,58.3,,,62.5,
110LEA,10.9,,5.0,7.8,62.1,8.6,5.0,85.2,14.8
111304,,,,,53.1,,,79.7,20.3
111306,,,,,72.0,,,93.3,
111312,,,,,69.5,,,87.8,12.2
111332,,,,,66.7,19.5,,92.0,
111360,,,,,70.8,16.7,,91.7,
111LEA,5.8,,,5.5,66.8,13.7,,89.2,10.8
11A000,,,,,91.7,,,95.0,
11B000,,,,,84.1,,,95.0,
11C000,,,,,76.5,,,95.0,
11K000,,,,,60.0,,,85.0,
120304,,,,,,52.0,,95.0,
120312,13.1,,,11.9,63.1,14.3,,95.0,
120316,20.0,,,,48.0,20.0,,92.0,
120320,16.7,,,,56.7,21.7,,95.0,
120324,19.4,,,19.4,49.3,20.9,,94.0,
120338,,,,,50.0,31.8,,92.4,
120340,,,,,42.7,22.5,,86.5,13.5
120344,,,,,70.6,,,95.0,
120360,,,,,54.1,,,85.2,
120364,14.7,,,,53.3,20.0,,94.7,
120368,23.9,,14.9,,58.2,,,95.0,
120372,,,,,75.7,,,94.6,
120374,,,,,71.2,15.2,,95.0,
120380,,,,,69.5,20.3,,95.0,
120386,19.0,,,15.9,50.8,,,93.7,
120LEA,13.7,,5.0,10.2,56.0,18.9,,93.9,6.1
12A000,,,,,75.0,,,85.0,
130304,11.2,,,9.8,46.2,14.7,,74.8,25.2
130308,,,,,53.7,20.0,,77.9,22.1
130309,,,,,44.1,,,58.8,41.2
130311,15.3,,,14.1,55.3,12.9,,83.5,16.5
130312,,,,,71.4,17.8,,94.1,5.9
130319,,,,,74.0,18.3,,92.3,7.7
130321,,,,,52.0,23.0,,79.1,20.9
130322,9.5,,,8.6,64.7,8.6,,86.2,13.8
130325,,,,,65.6,19.8,,91.6,8.4
130328,,,,,37.0,26.1,,65.2,34.8
130329,8.4,,,,37.8,30.3,,77.3,22.7
130330,,,,,57.8,17.2,,87.5,
130331,,,,,61.1,10.2,,80.3,19.7
130337,,,,,69.5,16.5,,87.5,12.5
130338,7.4,,,,53.4,22.2,,84.1,15.9
130340,7.8,,,,41.8,24.8,,75.2,24.8
130342,8.4,,,8.4,28.2,26.7,,66.4,33.6
130344,9.3,,,,40.7,18.5,,69.4,30.6
130345,7.9,,,6.3,58.1,21.5,,89.5,10.5
130LEA,5.7,,,5.0,55.7,18.9,5.0,82.0,18.0
132308,,,,,52.8,,,67.6,32.4
132312,,,,,45.2,,,50.0,50.0
132314,,,,,31.5,,,47.2,52.8
132328,,,,,38.2,,,47.4,52.6
132332,,,,,34.6,,,76.9,23.1
132336,,,,,39.3,,,48.2,51.8
132LEA,,,,,40.5,,5.7,56.1,43.9
13A000,,,,,76.3,,,82.9,17.1
13B000,,,,,62.6,14.3,,86.8,13.2
13C000,,,,,51.2,,,75.6,24.4
13D000,,,,,56.3,,,79.7,20.3
140304,,,,,79.1,,,95.0,
140308,,,,,63.9,,,88.9,
140312,,,,,61.0,18.3,,84.1,15.9
140316,19.4,,,,56.9,16.7,,95.0,
140324,,,,,45.6,19.1,,70.6,29.4
140340,10.9,,,10.9,71.8,13.6,,95.0,
140344,,,,,57.1,,,85.7,
140352,,,,,58.8,27.5,,95.0,
140360,,,,,60.0,,,95.0,
140372,,,,,66.7,30.0,,95.0,
140376,,,,,,,,70.6,
140384,,,,,63.6,22.7,,93.2,
140388,,,,,43.5,,,65.2,
140392,,,,,57.1,,,90.5,
140396,,,,,41.1,,,76.8,23.2
140LEA,7.1,,,5.5,60.0,18.5,,89.0,11.0
150308,,,,,79.5,17.9,,95.0,
150LEA,,,,,79.5,17.9,,95.0,
160304,,,,,71.4,,,95.0,
160306,26.0,,13.0,13.0,53.2,,,95.0,
160308,27.1,,,15.7,57.1,,,95.0,
160316,,,,,,,,92.9,
160322,11.7,,,9.4,66.4,7.8,,92.2,7.8
160324,,,,,66.7,17.9,,95.0,
160332,,,,,86.7,,,95.0,
160352,17.6,,12.2,,73.3,9.2,,95.0,
160LEA,15.9,,7.0,8.4,65.7,10.3,,95.0,5.0
16B000,,,,,78.8,,,95.0,
170334,,,,,66.2,,,90.8,
170339,,,,,51.9,,,73.1,26.9
170342,,,,,64.7,,,66.7,33.3
170344,,,,,42.9,,,77.1,
170LEA,5.4,,,,58.1,9.4,,77.8,22.2
180304,10.2,,,,67.8,14.4,,94.1,
180312,,,,,61.5,,,92.3,
180316,,,,,50.0,15.5,,84.5,15.5
180324,,,,,51.5,18.2,,81.8,18.2
180326,,,,,51.7,37.9,,95.0,
180332,,,,,46.7,21.7,,85.0,
180336,22.7,,18.2,,51.5,,,89.4,
180343,20.0,,,13.3,36.7,16.7,,77.8,22.2
180344,32.4,,20.3,,41.9,23.0,,95.0,
180356,,,,,76.2,,,92.4,
180360,15.0,,,,47.5,,,75.0,25.0
180368,,,,,72.2,,,95.0,
180372,13.0,,,12.0,41.3,,,72.8,27.2
180379,,,,,60.3,21.9,,87.7,
180380,,,,,63.5,22.4,,95.0,
180388,32.8,,18.8,,46.9,,,85.9,
180LEA,13.6,,5.2,7.7,54.8,15.1,5.0,87.9,12.1
181326,,,,,71.2,,,89.4,
181332,10.1,,,10.1,47.9,,,72.3,27.7
181336,,,,,73.3,,,86.7,
181344,,,,,57.3,21.3,,84.3,15.7
181LEA,6.3,,,6.3,59.6,9.9,5.0,81.4,18.6
182322,11.0,,,,71.4,14.3,,95.0,
182324,46.2,,33.8,,40.0,,,93.8,
182328,36.2,,28.7,,48.9,,,95.0,
182LEA,29.5,,21.1,7.6,54.6,6.0,,95.0,
190304,,,,,81.8,,,95.0,
190308,34.5,,,,51.7,,,95.0,
190332,,,,,47.8,,,95.0,
190340,,,,,35.7,,,92.9,
190341,,,,,64.3,21.4,,95.0,
190346,,,,,81.5,,,94.1,
190348,,,,,56.3,20.4,,89.3,10.7
190350,9.8,,,8.9,49.1,16.1,,85.7,14.3
190352,,,,,69.7,,,90.9,
190370,,,,,45.5,11.9,,72.3,27.7
190LEA,8.8,,5.0,6.7,59.8,14.6,5.0,89.5,10.5
19A000,,,,,76.2,,,95.0,
19B000,,,,,91.7,,,95.0,
19C000,,,,,82.1,,,95.0,
200304,21.3,,,16.4,57.4,21.3,,95.0,
200312,,,,,,,,93.8,
200320,,,,,,,,92.9,
200324,15.6,,,,59.7,13.0,,95.0,
200332,,,,,,,,95.0,
200336,,,,,54.8,,,95.0,
200LEA,22.4,,5.0,17.4,55.3,16.4,,95.0,
20A000,,,,,61.9,,,76.2,
210306,,,,,51.3,16.2,,74.7,25.3
210LEA,,,,,51.3,16.2,,74.7,25.3
220308,30.3,,14.6,13.5,64.0,,,95.0,
220LEA,30.3,,14.6,13.5,64.0,,,95.0,
230304,28.4,,19.8,,58.0,,,95.0,
230308,25.9,,16.5,,68.2,,,95.0,
230320,,,,,70.7,,,95.0,
230334,48.1,,35.2,,51.9,,,95.0,
230340,23.1,,9.6,11.5,57.7,,,95.0,
230342,35.6,,24.4,,28.9,,,68.9,31.1
230344,25.7,,16.2,,63.5,,,95.0,
230346,30.3,,18.2,,56.1,,,92.4,
230348,29.9,,20.9,,59.7,,,95.0,
230355,30.3,,22.7,,66.7,,,95.0,
230357,40.0,,34.0,,60.0,,,95.0,
230364,20.2,,13.1,,67.7,,,95.0,
230368,38.2,,25.5,12.7,44.5,,,86.4,13.6
230370,,,,,59.2,14.1,,87.3,
230376,37.9,,31.8,,60.6,,,95.0,
230380,,,,,69.4,21.0,,95.0,
230LEA,27.2,,17.7,8.9,59.0,5.0,5.0,94.7,5.3
23A000,,,,,55.1,,,68.5,31.5
240308,,,,,64.3,,,95.0,
240328,,,,,57.9,,,81.6,
240332,,,,,40.4,,,80.9,
240344,,,,,33.3,27.8,,72.2,27.8
240352,,,,,,,,65.0,
240354,36.1,,36.1,,50.8,,,93.4,
240370,,,,,64.3,,,89.3,
240372,,,,,61.0,,,95.0,
240388,13.0,,,,36.4,39.0,,88.3,
240LEA,13.7,,11.0,5.0,48.0,15.2,,87.3,12.7
241308,8.5,,,8.5,46.3,9.6,6.8,76.3,23.7
241LEA,8.5,,,8.5,46.3,9.6,6.8,76.3,23.7
24N000,20.2,,10.6,,61.7,,,95.0,
250304,,,,,65.2,,,87.9,
250306,,,,,63.6,,,84.8,15.2
250308,,,,,52.4,,,88.9,
250312,,,,,51.7,17.8,,78.8,21.2
250316,,,,,77.4,11.8,,95.0,
250320,13.1,,,11.2,45.8,16.8,,84.1,15.9
250328,,,,,63.2,,,94.7,
250336,26.7,,20.0,,60.0,,,90.0,
250348,,,,,34.6,,,73.1,26.9
250350,,,,,61.1,13.9,,86.1,13.9
250360,,,,,41.4,,,61.4,38.6
250362,,,,,48.1,,,76.9,23.1
250364,,,,,48.7,15.8,,73.7,26.3
250378,,,,,77.9,14.7,,92.6,
250380,,,,,58.3,12.5,,86.5,13.5
250LEA,9.1,,5.0,7.7,56.7,12.3,5.0,83.6,16.4
260306,25.0,,,13.9,62.5,,,95.0,
260308,,,,,52.8,,,77.8,22.2
260310,12.8,,,11.6,39.5,34.9,,89.5,
260312,,,,,87.5,,,95.0,
260316,,,,,55.6,,,72.2,27.8
260320,13.3,,,13.3,52.0,24.5,,92.9,
260326,25.9,,,16.5,65.9,,,95.0,
260332,13.3,,,,75.9,,,95.0,
260338,24.0,,,17.3,45.2,,,84.6,15.4
260340,36.9,,28.6,,53.6,,,95.0,
260342,23.2,,,13.4,54.9,15.9,,93.9,
260344,41.9,,,,45.2,,,93.5,
260348,27.8,,17.6,,44.4,,,87.0,13.0
260352,,,,,44.4,31.5,,87.0,
260356,,,,,64.1,,,95.0,
260361,,,,,37.8,33.3,,84.4,
260364,17.3,,,12.7,53.6,22.7,,95.0,
260366,16.2,,13.1,,60.8,10.0,,92.3,7.7
260367,33.3,,28.4,,49.6,,,88.7,11.3
260370,10.1,,,9.2,47.1,9.2,,73.9,26.1
260373,14.6,,6.1,6.7,58.5,12.2,,89.0,11.0
260375,,,,,65.3,16.0,,95.0,
260380,19.0,,13.8,,80.2,,,95.0,
260382,30.3,,19.7,,54.5,,,95.0,
260386,,,,,59.6,,,86.5,
260396,,,,,46.3,,,77.5,22.5
260397,8.8,,,8.8,67.6,19.6,,95.0,
260398,,,,,60.5,17.3,,91.4,
260400,16.2,,,,57.4,,,88.2,
260401,,,,,45.4,13.9,,77.8,22.2
260402,31.3,,20.8,,39.6,,,83.3,
260403,8.3,,,,76.0,,,90.1,9.9
260404,30.0,,30.0,,50.0,,,83.3,16.7
260405,34.0,,30.0,,36.0,,,88.0,
260407,33.6,,27.6,,56.9,,,94.0,
260410,13.3,,,,40.0,38.7,,92.0,
260414,14.0,,,12.0,50.0,18.0,,93.0,
260415,,,,,71.4,9.5,,92.4,
260416,,,,,75.0,,,95.0,
260426,,,,,41.4,17.2,,77.6,22.4
260430,20.3,,,20.3,60.8,,,93.2,
260434,14.4,,,9.4,77.2,,,95.0,
260440,,,,,40.8,,,81.6,
260444,,,,,28.6,,,60.0,40.0
260448,20.2,,14.0,,75.2,,,95.0,
260450,22.8,,,,31.6,17.5,,80.7,19.3
260452,,,,,51.1,,,77.3,22.7
260459,,,,,44.4,,,77.8,22.2
260LEA,17.1,5.0,7.8,8.3,56.6,11.1,5.0,89.7,10.3
26B000,,,,,56.8,20.3,,93.2,
26C000,,,,,48.8,,,80.5,
270304,,,,,70.8,,,95.0,
270309,,,,,56.4,25.6,,94.9,
270310,,,,,45.3,37.5,,95.0,
270312,,,,,,,,95.0,
270316,13.0,,,,73.9,,,95.0,
270320,,,,,59.0,,,92.3,
270LEA,11.4,,5.5,5.2,62.0,19.9,,95.0,
280302,,,,,66.7,,,95.0,
280308,,,,,89.1,,,95.0,
280310,12.0,,,,66.3,,,89.2,
280312,8.8,,,8.8,48.2,18.4,,84.2,15.8
280324,,,,,65.9,,,92.7,
280LEA,12.2,,6.6,5.7,64.5,9.3,5.0,90.7,9.3
290302,,,,,63.2,,,89.5,
290306,,,,,75.8,21.2,,95.0,
290307,,,,,47.6,,,82.5,17.5
290312,,,,,60.7,,,79.8,20.2
290316,,,,,51.8,16.5,,83.5,16.5
290320,,,,,51.6,19.4,,91.9,
290328,,,,,53.3,23.9,,91.3,
290330,,,,,70.7,22.0,,95.0,
290332,,,,,61.9,23.8,,95.0,
290333,,,,,72.8,23.5,,95.0,
290344,,,,,56.0,24.2,,94.5,
290352,,,,,40.8,26.3,,81.6,18.4
290356,,,,,67.2,,,81.0,19.0
290364,,,,,38.6,22.7,,77.3,22.7
290366,,,,,49.5,,,80.2,19.8
290375,27.3,,18.2,,55.8,,,88.3,
290380,11.5,,,7.6,68.7,,,92.4,7.6
290384,,,,,59.8,12.7,,90.2,9.8
290LEA,7.9,,5.0,5.7,58.8,15.9,5.0,89.1,10.9
291308,45.1,,31.9,12.1,30.8,,,83.5,16.5
291340,34.8,,32.6,,55.1,,,95.0,
291352,12.2,,,,51.1,12.2,,80.0,20.0
291LEA,31.0,,24.0,6.6,45.4,8.9,,86.7,13.3
292318,8.3,,,7.8,36.3,5.7,,55.4,44.6
292LEA,8.3,,,7.8,36.3,5.7,,55.4,44.6
300308,12.9,,,12.9,49.4,,,78.8,21.2
300310,,,,,58.1,,,85.5,
300320,,,,,64.9,,,88.3,11.7
