agency_code,avg_student_num
00A000,2042
00B000,1975
010303,192
010304,584
010308,625
010310,734
010312,726
010320,357
010324,1244
010326,575
010328,564
010340,704
010346,374
010347,653
010348,754
010350,632
010351,477
010353,678
010354,625
010357,493
010358,632
010360,906
010362,533
010364,367
010372,275
010374,557
010378,97
010380,550
010384,625
010388,1459
010390,729
010392,282
010394,868
010396,1195
010400,1191
010403,829
010406,542
01B000,787
01C000,638
01D000,312
020302,1302
020303,144
020304,439
020306,611
020308,284
020316,491
020320,241
020324,227
020328,267
020330,534
020332,283
030304,429
030308,204
030316,151
030320,552
040304,249
040305,76
040306,738
040308,191
040309,623
040311,348
040316,272
040324,190
040328,450
040330,168
050302,915
050305,436
050310,509
050330,548
050335,558
060302,353
060304,149
060310,186
060316,205
060318,270
060322,192
060328,256
060332,104
060334,18
060700,149
060701,62
06A000,23
06B000,122
070302,525
070308,572
070310,53
070311,242
070325,407
070326,501
070327,518
070328,532
070329,437
070330,425
070338,759
070339,426
070340,152
070342,949
07A000,405
080311,178
080312,558
080314,493
080348,145
080356,223
080360,197
080362,380
08A000,163
090304,160
090315,303
090317,325
090318,184
090320,208
090324,236
090328,125
090330,651
090332,400
090333,442
090352,156
090365,335
090368,722
09A000,171
09B000,297
100302,856
100304,435
100307,354
100308,121
100309,482
100310,440
100316,838
100320,626
100326,1088
100332,643
100334,1097
100335,715
100336,595
100338,591
100339,562
100340,587
100342,520
100344,501
100348,1407
10A000,920
10B000,325
110303,127
110304,1187
110306,515
110308,145
110318,223
110320,407
110322,273
110323,67
110324,440
110326,555
110332,294
110336,743
110338,528
110340,1206
110342,672
110348,372
110352,1050
110356,735
110366,569
110368,396
110370,400
110372,278
110376,431
110379,584
110380,1033
110381,554
110382,601
110384,440
110388,164
110401,595
110408,569
110410,585
110412,445
110416,1524
110420,594
110422,739
110425,639
110428,347
110432,244
110436,550
110444,140
110450,737
110451,717
110500,387
111302,957
111304,314
111306,485
111307,47
111312,469
111332,441
111356,757
111360,425
111369,78
111700,373
11A000,441
11B000,392
11C000,845
11D000,471
11K000,176
120304,173
120308,107
120310,126
120312,430
120314,916
120315,636
120316,419
120318,1090
120320,319
120324,390
120334,512
120338,356
120340,516
120344,288
120346,622
120350,564
120352,86
120360,283
120364,398
120368,424
120370,961
120372,192
120374,451
120376,501
120380,384
120386,389
120390,466
12A000,280
130304,874
130307,1767
130308,579
130309,418
130310,1645
130311,458
130312,1066
130313,898
130314,1239
130315,632
130316,1277
130317,96
130318,1049
130319,1008
130320,1304
130321,792
130322,649
130323,645
130324,870
130325,677
130326,1297
130327,893
130328,240
130329,721
130330,350
130331,838
130332,1714
130333,119
130336,691
130337,810
130338,1020
130340,785
130342,764
130344,598
130345,1066
130346,1192
130349,122
130350,234
130355,1003
132304,1616
132308,524
132312,356
132314,543
132328,440
132330,1195
132332,354
132336,311
13A000,908
13B000,929
13C000,411
13D000,493
140304,395
140305,233
140306,67
140307,36
140308,343
140309,384
140312,507
140316,446
140324,486
140332,526
140336,582
140340,607
140344,236
140348,812
140352,713
140356,632
140360,162
140368,559
140372,401
140376,136
140384,318
140386,1462
140388,156
140390,799
140392,137
140396,310
150304,421
150308,488
150310,471
150312,274
150350,169
160304,83
160306,441
160308,430
160309,25
160310,276
160311,638
160313,538
160314,861
160316,107
160317,292
160318,506
160322,566
160324,717
160326,396
160332,260
160344,1208
160352,797
16B000,205
170316,786
170334,379
170338,566
170339,329
170342,297
170344,190
180302,640
180304,687
180308,874
180312,308
180316,646
180320,866
180323,39
180324,433
180325,405
180326,472
180332,416
180336,544
180340,942
180342,479
180343,538
180344,488
180346,421
180348,882
180352,378
180356,742
180360,553
180364,470
180368,487
180372,654
180376,1231
180379,560
180380,518
180388,431
181312,543
181316,446
181318,151
181322,1042
181326,405
181332,357
181336,348
181342,334
181344,491
182304,62
182316,733
182321,606
182322,472
182324,400
182328,493
182700,216
190304,183
190308,305
190310,21
190312,564
190316,411
190328,458
190332,243
190336,854
190339,654
190340,289
190341,534
190342,1362
190346,748
190348,527
190350,644
190352,373
190370,543
190501,34
19A000,553
19B000,511
19C000,207
200304,334
200308,220
200310,221
200312,155
200314,190
200320,180
200322,46
200324,458
200328,510
200330,330
200332,131
200336,274
200350,138
20A000,187
210304,441
210306,505
210312,590
210316,428
220308,477
220310,378
220312,414
230304,433
230308,497
230312,937
230316,764
230320,258
230322,212
230324,1159
230328,878
230330,131
230334,231
230336,474
230340,526
230342,243
230344,304
230346,312
230348,376
230350,1194
230351,651
230352,624
230355,291
230357,275
230359,93
230361,886
230362,454
230364,571
230368,652
230370,372
230376,361
230380,293
23A000,723
240304,123
240308,288
240328,322
240330,105
240332,263
240334,415
240344,247
240352,114
240354,335
240356,222
240368,182
240370,244
240371,746
240372,370
240373,330
240376,167
240380,434
240388,691
241304,475
241308,532
241312,30
241316,675
241320,503
24B000,102
24N000,742
250304,436
250306,437
250308,403
250312,684
250314,205
250316,538
250320,602
250321,189
250324,554
250328,272
250332,822
250336,349
250340,1041
250344,375
250348,285
250350,435
250356,1661
250360,417
250362,366
250364,441
250368,496
250372,914
250376,737
250378,380
250380,626
260302,270
260306,442
260308,228
260310,522
260312,90
260316,197
260318,1938
260320,515
260321,571
260322,1091
260325,1416
260326,587
260332,374
260336,396
260338,642
260340,488
260342,510
260344,219
260347,247
260348,637
260352,359
260354,274
260356,262
260357,1442
260358,510
260359,918
260361,239
260362,1061
260363,260
260364,662
260365,719
260366,723
260367,817
260368,564
260369,1014
260370,738
260371,293
260372,516
260373,989
260374,113
260375,420
260380,424
260382,436
260383,1107
260386,310
260388,285
260396,434
260397,910
260398,516
260400,406
260401,555
260402,359
260403,772
260404,410
260405,245
260406,800
260407,690
260408,1526
260410,371
260411,289
260412,225
260413,70
260414,578
260415,656
260416,243
260417,389
260418,475
260419,326
260424,1420
260425,632
260426,363
260427,1648
260428,444
260430,310
260432,175
260434,926
260440,336
260444,230
260446,1178
260448,550
260449,78
260450,366
260452,545
260454,715
260455,1090
260459,315
260700,240
26B000,791
26C000,429
270304,179
270306,920
270308,387
270309,254
270310,533
270311,297
270312,75
270316,522
270318,563
270320,253
27A000,33
280302,286
280304,337
280306,15
280308,450
280310,561
280312,663
280316,508
280320,456
280324,342
280328,658
280330,794
290302,305
290306,485
290307,371
290308,916
290309,778
290310,96
290312,441
290314,88
290315,114
290316,481
290320,347
290322,682
290324,850
290328,541
290330,461
290332,525
290333,458
290334,694
290336,1089
290344,514
290348,1236
290349,487
290350,738
290351,692
290352,421
290356,329
290364,228
290365,371
290366,601
290367,292
290375,362
290376,608
290380,832
290384,568
290388,741
290389,165
291308,441
291332,689
291336,822
291340,395
291348,234
291350,40
291352,443
292316,385
292318,740
292320,499
292324,662
300306,17
300308,440
300310,347
300312,1692
300314,168
300320,564
300325,439
300326,520
300328,520
300330,549
300336,369
300337,479
310304,905
310308,877
310330,503
310336,804
310338,200
310344,984
310352,653
310356,573
310360,694
310364,498
310384,1110
310388,1099
310392,662
320304,679
320306,529
320308,367
320309,361
320310,533
320312,1937
320313,543
320314,592
320315,444
320316,852
320317,338
320318,485
320319,877
320320,662
320322,142
320323,1722
320324,623
320325,1315
320327,633
320328,691
320332,765
320336,13
320338,457
320339,408
320340,500
320341,88
320342,294
320343,471
320344,270
320346,589
320347,351
320348,330
320352,618
320353,192
320354,230
320355,768
320356,1482
320360,593
320362,541
320363,489
320364,795
320365,1734
320366,908
320367,330
320368,1363
320369,546
320370,621
320372,624
320374,265
320376,577
320388,465
320400,365
320701,326
32A000,645
32B000,338
32C000,244
32D000,557
32H000,689
32K000,580
32L000,1341
32M000,200
32N000,515
32P000,281
32Q000,266
32R000,475
32S000,253
330304,672
330308,691
330312,292
330326,173
330328,232
330332,122
330334,169
330340,364
330344,265
330348,321
330350,841
330354,492
330358,579
330360,640
33A000,901
340308,482
340311,943
340314,441
340320,566
340326,762
340330,601
340334,678
340336,171
340344,43
340348,777
340350,1122
340351,208
340354,393
340362,256
340364,1739
340366,734
340368,544
340372,841
340376,627
340380,625
340382,1470
340384,659
340385,73
340390,661
340392,723
340398,17
340400,514
340403,554
340406,1264
340416,817
340420,658
340424,236
340426,829
340427,105
340428,621
340430,488
340432,576
340436,126
340440,835
340442,1169
340446,99
340447,321
340448,610
340452,346
340453,550
340454,1550
340457,777
340460,1022
340462,486
340464,937
340472,475
340476,587
340480,748
340486,1487
340488,329
340490,437
340492,484
340494,611
340495,1990
340496,1703
340504,661
340508,632
340512,666
340514,612
340516,1141
340520,523
340528,622
340530,635
340531,20
340532,563
340536,790
340540,725
