dance_cat,music_cat,theatre_cat,va_cat,agency_code
N,Y,N,Y,00A000
N,Y,N,Y,00B000
N,Y,N,Y,010303
N,Y,N,Y,010304
N,Y,N,Y,010308
N,Y,N,Y,010310
N,Y,N,Y,010312
N,Y,N,Y,010320
Y,Y,Y,Y,010324
N,Y,N,Y,010326
N,Y,N,Y,010328
N,Y,Y,Y,010340
N,Y,N,Y,010346
N,Y,N,Y,010347
Y,Y,Y,Y,010348
N,Y,N,Y,010350
N,Y,N,Y,010351
N,Y,N,Y,010353
N,Y,N,Y,010354
N,Y,N,Y,010357
N,Y,N,Y,010358
Y,Y,Y,Y,010360
N,Y,N,Y,010362
Y,Y,Y,Y,010364
N,Y,N,Y,010372
N,Y,N,Y,010374
N,Y,N,Y,010380
N,Y,N,Y,010384
Y,Y,Y,Y,010388
N,Y,N,Y,010390
Y,Y,Y,Y,010392
N,Y,N,Y,010394
N,Y,N,Y,010396
Y,Y,Y,Y,010400
N,Y,N,Y,010403
N,Y,Y,Y,010406
N,Y,Y,Y,01B000
Y,Y,N,Y,01C000
N,Y,Y,Y,01D000
N,Y,N,Y,020302
N,Y,Y,Y,020303
N,Y,N,N,020304
N,Y,N,Y,020306
N,Y,N,N,020308
N,Y,N,N,020316
N,Y,N,N,020320
N,Y,N,N,020324
N,Y,N,N,020328
N,Y,N,Y,020330
N,Y,N,N,020332
N,Y,Y,Y,030304
N,Y,N,Y,030320
N,Y,N,Y,040304
N,Y,N,Y,040305
N,Y,N,Y,040306
N,Y,N,N,040308
N,Y,N,N,040309
N,Y,N,N,040311
N,Y,N,N,040328
Y,Y,Y,Y,050302
N,Y,N,Y,050305
N,Y,N,Y,050310
N,Y,N,Y,050330
N,Y,N,Y,050335
N,Y,Y,Y,060302
N,Y,N,Y,060304
N,Y,Y,Y,060310
N,Y,N,Y,060316
N,Y,Y,Y,060318
N,Y,N,Y,060322
N,Y,N,Y,060328
N,Y,N,Y,060332
N,Y,N,Y,06B000
N,Y,N,Y,070302
N,Y,N,Y,070308
N,Y,N,Y,070325
N,Y,N,Y,070326
N,Y,N,Y,070327
N,Y,N,Y,070328
N,Y,N,Y,070329
Y,Y,N,Y,070330
N,Y,N,Y,070338
N,Y,N,Y,070339
N,Y,N,Y,070340
N,Y,Y,Y,070342
N,Y,Y,Y,07A000
N,Y,N,Y,080311
N,Y,N,Y,080312
N,Y,N,N,080314
N,Y,N,N,080362
N,N,N,Y,08A000
N,Y,N,Y,090304
N,Y,N,Y,090315
N,Y,N,Y,090317
N,Y,N,Y,090318
N,Y,N,N,090320
N,Y,N,Y,090324
N,Y,N,Y,090328
N,Y,N,Y,090330
N,Y,N,Y,090332
N,Y,N,Y,090333
N,Y,N,Y,090352
N,Y,N,Y,090365
N,Y,Y,Y,090368
N,Y,N,N,09A000
N,Y,N,Y,09B000
N,Y,N,Y,100302
N,Y,N,Y,100304
Y,Y,N,Y,100307
N,N,N,Y,100308
N,Y,N,Y,100309
N,Y,N,Y,100310
N,Y,N,Y,100316
N,Y,N,Y,100320
Y,Y,Y,Y,100326
N,Y,N,Y,100332
Y,Y,N,Y,100334
N,Y,N,Y,100335
N,Y,N,Y,100336
N,Y,N,Y,100338
N,Y,N,Y,100339
N,Y,N,Y,100340
N,Y,N,Y,100342
N,Y,N,Y,100344
Y,Y,Y,Y,100348
N,Y,N,Y,10A000
N,Y,Y,Y,110304
N,Y,N,Y,110306
N,Y,N,Y,110308
N,Y,N,Y,110318
N,Y,N,Y,110320
N,Y,N,Y,110324
N,Y,Y,Y,110326
N,Y,N,Y,110332
Y,Y,Y,Y,110336
N,Y,N,Y,110338
Y,Y,N,Y,110340
N,Y,N,Y,110342
N,Y,N,Y,110348
Y,Y,Y,Y,110352
N,Y,N,Y,110356
N,Y,N,Y,110366
N,Y,N,Y,110368
N,Y,N,Y,110370
N,Y,N,Y,110372
N,Y,N,Y,110376
N,Y,N,Y,110379
Y,Y,Y,Y,110380
N,Y,N,Y,110381
N,Y,N,Y,110382
N,Y,N,Y,110384
N,Y,N,Y,110388
N,Y,N,Y,110401
N,Y,N,Y,110408
N,Y,N,Y,110410
N,Y,N,Y,110412
Y,Y,Y,Y,110416
N,Y,Y,Y,110420
N,Y,N,Y,110422
N,Y,N,Y,110425
N,Y,N,Y,110428
N,Y,N,Y,110432
N,Y,N,Y,110436
N,Y,N,Y,110444
N,Y,Y,Y,110450
N,Y,N,Y,110451
N,Y,N,Y,110500
Y,Y,Y,Y,111302
N,Y,N,Y,111304
N,Y,N,Y,111306
N,Y,Y,Y,111312
N,Y,N,Y,111332
N,Y,Y,Y,111356
N,Y,N,Y,111360
N,Y,N,Y,111369
N,Y,N,Y,11A000
N,Y,Y,Y,11C000
N,Y,Y,Y,11D000
N,Y,N,N,120304
N,N,N,Y,120308
N,Y,N,Y,120312
Y,Y,N,Y,120314
N,Y,N,Y,120315
N,Y,N,Y,120316
Y,Y,N,Y,120318
N,Y,N,N,120320
N,Y,N,N,120324
N,Y,N,Y,120334
N,Y,N,N,120338
N,Y,N,N,120340
N,Y,N,N,120344
Y,Y,Y,Y,120346
N,Y,N,Y,120350
N,Y,N,N,120352
N,Y,N,N,120360
N,Y,N,N,120364
N,Y,N,Y,120368
Y,Y,Y,Y,120370
N,Y,N,N,120372
N,Y,N,N,120374
N,Y,N,Y,120376
N,Y,N,N,120380
N,Y,N,Y,120386
N,Y,N,Y,120390
N,N,N,Y,12A000
N,Y,N,Y,130304
Y,Y,Y,Y,130307
N,Y,N,Y,130308
N,Y,N,Y,130309
N,Y,Y,Y,130310
N,Y,N,Y,130311
N,Y,N,Y,130312
N,Y,N,Y,130313
N,Y,Y,Y,130314
N,Y,N,Y,130315
N,Y,Y,Y,130316
N,Y,N,Y,130318
N,Y,N,Y,130319
N,Y,N,Y,130320
N,Y,N,Y,130321
N,Y,N,Y,130322
N,Y,Y,Y,130323
N,Y,Y,Y,130324
N,Y,N,Y,130325
N,Y,Y,Y,130326
N,Y,Y,Y,130327
N,Y,N,Y,130328
N,Y,N,Y,130329
N,Y,N,Y,130330
N,Y,N,Y,130331
N,Y,Y,Y,130332
N,Y,N,Y,130333
N,Y,N,Y,130336
N,Y,N,Y,130337
N,Y,N,Y,130338
N,Y,N,Y,130340
N,Y,N,Y,130342
N,Y,N,Y,130344
N,Y,N,Y,130345
N,Y,N,Y,130346
N,Y,N,Y,130350
N,Y,Y,Y,130355
Y,Y,Y,Y,132304
N,Y,N,Y,132308
N,Y,N,Y,132312
Y,Y,N,Y,132314
N,Y,N,Y,132328
Y,Y,N,Y,132330
N,Y,N,Y,132332
N,Y,N,Y,132336
N,Y,Y,Y,13A000
N,Y,Y,Y,13B000
N,Y,N,N,13C000
N,Y,N,Y,13D000
N,Y,N,Y,140304
N,N,N,Y,140306
N,Y,N,N,140308
N,Y,Y,Y,140312
N,Y,N,Y,140316
N,Y,N,Y,140324
N,Y,N,Y,140332
N,Y,N,Y,140336
N,Y,N,Y,140340
N,Y,N,Y,140344
N,Y,Y,Y,140348
N,Y,N,Y,140352
N,Y,N,Y,140356
N,Y,N,Y,140360
N,Y,N,Y,140368
N,Y,N,Y,140372
N,Y,N,Y,140376
N,Y,N,Y,140384
N,Y,Y,Y,140386
N,Y,N,Y,140388
N,Y,Y,Y,140390
N,Y,N,Y,140392
N,Y,N,Y,140396
N,Y,N,Y,150304
N,Y,N,Y,150308
N,Y,N,Y,150310
N,Y,N,Y,150312
Y,Y,N,Y,150350
N,Y,N,Y,160304
N,Y,N,Y,160306
N,Y,N,Y,160308
N,Y,N,Y,160310
N,Y,N,Y,160311
Y,Y,Y,Y,160313
Y,Y,Y,Y,160314
N,Y,N,Y,160316
N,Y,N,Y,160317
N,Y,N,Y,160318
N,Y,N,Y,160322
N,Y,N,Y,160324
N,Y,N,Y,160326
N,Y,N,Y,160332
Y,Y,Y,Y,160344
N,Y,N,Y,160352
N,Y,N,Y,16B000
Y,Y,N,Y,170316
N,Y,N,Y,170334
N,Y,N,Y,170338
N,Y,N,Y,170339
N,Y,N,Y,170342
N,Y,N,Y,170344
N,Y,Y,Y,180302
N,Y,N,Y,180304
N,Y,Y,Y,180308
N,Y,Y,Y,180312
N,Y,Y,Y,180316
N,Y,Y,Y,180320
N,N,N,Y,180323
N,Y,N,Y,180324
N,Y,Y,Y,180325
Y,Y,N,Y,180326
N,Y,N,Y,180332
N,Y,N,Y,180336
N,Y,Y,Y,180340
Y,Y,Y,Y,180342
N,Y,Y,Y,180343
N,Y,Y,Y,180344
N,Y,Y,Y,180346
N,Y,Y,Y,180348
N,Y,N,Y,180352
N,Y,Y,Y,180356
N,Y,Y,Y,180360
N,Y,Y,Y,180364
N,Y,N,Y,180368
N,Y,N,Y,180372
N,Y,Y,Y,180376
N,Y,Y,Y,180379
Y,Y,N,Y,180380
N,Y,N,Y,180388
N,Y,N,Y,181312
N,Y,N,Y,181316
N,N,Y,Y,181318
N,Y,N,Y,181322
N,Y,N,Y,181326
N,Y,N,Y,181332
N,Y,N,Y,181336
N,Y,N,Y,181342
N,Y,N,Y,181344
N,Y,Y,Y,182316
N,Y,Y,Y,182321
N,Y,N,Y,182322
N,Y,N,Y,182324
N,Y,N,Y,182328
N,N,Y,Y,182700
N,Y,N,Y,190304
N,Y,N,Y,190308
N,N,N,Y,190310
N,Y,N,Y,190312
N,Y,N,Y,190316
N,Y,N,Y,190328
N,Y,N,Y,190332
N,Y,N,Y,190336
N,Y,N,Y,190339
N,Y,N,Y,190340
N,Y,N,Y,190341
Y,Y,Y,Y,190342
N,Y,N,Y,190346
N,Y,N,Y,190348
N,Y,N,Y,190350
N,Y,N,Y,190352
N,Y,N,Y,190370
N,Y,N,Y,190501
N,Y,N,Y,19A000
N,Y,Y,Y,19B000
N,Y,N,Y,19C000
N,Y,N,Y,200304
N,Y,Y,Y,200308
N,Y,N,N,200310
N,Y,N,N,200312
N,Y,N,Y,200314
N,Y,N,N,200320
N,N,N,Y,200322
N,Y,N,Y,200324
N,Y,N,Y,200328
N,Y,N,Y,200330
N,Y,N,Y,200332
N,Y,N,N,200336
N,Y,N,Y,200350
N,Y,N,Y,210304
N,Y,N,Y,210306
N,Y,N,Y,210312
N,Y,N,Y,210316
N,Y,N,Y,220308
N,Y,N,Y,220310
N,Y,N,Y,220312
N,Y,N,Y,230304
N,Y,N,Y,230308
N,Y,N,Y,230312
N,Y,N,Y,230316
N,Y,N,Y,230320
N,Y,Y,Y,230324
N,Y,N,Y,230328
N,Y,N,Y,230334
N,Y,N,Y,230336
N,Y,N,Y,230340
N,Y,N,Y,230342
N,Y,N,Y,230344
N,Y,N,Y,230346
N,Y,N,Y,230348
N,Y,Y,Y,230350
N,Y,N,Y,230351
N,Y,N,Y,230352
N,Y,N,Y,230355
N,Y,N,Y,230357
N,Y,Y,Y,230361
Y,Y,N,Y,230362
N,Y,N,Y,230364
N,Y,N,Y,230368
N,Y,N,Y,230370
N,Y,N,Y,230376
N,Y,N,Y,230380
N,Y,N,Y,23A000
N,Y,N,Y,240304
N,Y,N,Y,240308
