agency_code,pct_att
00A000,100.0
00B000,100.0
010303,97.9
010304,95.9
010308,94.7
010310,92.8
010312,95.5
010320,94.4
010324,92.4
010326,94.1
010328,95.4
010340,95.0
010346,95.5
010347,95.3
010348,89.3
010350,93.2
010351,93.9
010353,94.2
010354,94.7
010357,94.3
010358,94.9
010360,90.5
010362,95.7
010364,94.3
010372,94.9
010374,95.7
010378,90.7
010380,94.7
010384,95.5
010388,92.2
010390,94.2
010392,94.7
010394,95.3
010396,89.6
010400,92.1
010403,94.1
010406,95.0
01B000,96.3
01C000,95.9
01D000,96.5
020302,94.5
020303,98.6
020304,95.9
020306,97.1
020308,95.8
020316,94.9
020320,95.9
020324,96.5
020328,95.5
020330,97.2
020332,95.8
030304,94.4
030308,96.1
030316,94.7
030320,94.2
040304,96.4
040305,77.6
040306,89.8
040308,94.8
040309,92.8
040311,92.5
040316,93.8
040324,94.2
040328,94.2
040330,92.9
050302,94.4
050305,94.7
050310,95.7
050330,95.8
050335,95.7
060302,92.9
060304,93.3
060310,94.6
060316,97.6
060318,94.8
060322,93.8
060328,93.8
060332,95.2
060334,77.8
060700,94.0
060701,96.8
06A000,87.0
06B000,97.5
070302,93.3
070308,94.6
070310,83.0
070311,98.8
070325,93.4
070326,94.2
070327,94.4
070328,95.3
070329,94.5
070330,94.6
070338,94.2
070339,93.0
070340,94.1
070342,93.9
07A000,94.8
080311,98.3
080312,93.7
080314,93.3
080348,93.8
080356,94.6
080360,95.9
080362,94.7
08A000,93.9
090304,95.0
090315,94.4
090317,94.2
090318,94.0
090320,95.2
090324,95.8
090328,93.6
090330,95.5
090332,95.0
090333,94.3
090352,95.5
090365,95.2
090368,95.2
09A000,95.3
09B000,100.0
100302,95.4
100304,93.8
100307,97.5
100308,81.8
100309,93.2
100310,95.5
100316,93.9
100320,94.4
100326,92.6
100332,96.9
100334,93.2
100335,94.4
100336,94.8
100338,93.7
100339,94.0
100340,95.6
100342,94.6
100344,96.8
100348,91.3
10A000,95.4
10B000,95.1
110303,74.0
110304,94.9
110306,95.3
110308,94.5
110318,94.6
110320,94.6
110322,97.1
110323,91.0
110324,95.0
110326,95.3
110332,95.6
110336,94.5
110338,94.5
110340,93.4
110342,93.9
110348,94.1
110352,95.3
110356,95.4
110366,95.6
110368,95.7
110370,95.0
110372,93.9
110376,94.2
110379,94.0
110380,94.5
110381,94.6
110382,95.0
110384,94.8
110388,95.7
110401,94.6
110408,94.6
110410,94.9
110412,94.4
110416,95.3
110420,95.1
110422,95.3
110425,95.0
110428,95.7
110432,95.1
110436,95.1
110444,94.3
110450,95.7
110451,94.0
110500,96.4
111302,93.2
111304,94.3
111306,95.5
111307,93.6
111312,94.7
111332,95.2
111356,94.3
111360,95.1
111369,94.9
111700,92.5
11A000,95.9
11B000,95.4
11C000,94.4
11D000,94.1
11K000,95.5
120304,96.0
120308,80.4
120310,100.0
120312,95.3
120314,94.4
120315,95.6
120316,96.9
120318,94.2
120320,95.3
120324,95.9
120334,95.9
120338,95.2
120340,96.5
120344,94.8
120346,95.5
120350,96.1
120352,91.9
120360,96.1
120364,96.0
120368,95.8
120370,96.5
120372,95.8
120374,96.2
120376,95.6
120380,95.8
120386,95.9
120390,96.8
12A000,94.6
130304,95.0
130307,95.0
130308,95.5
130309,96.2
130310,94.3
130311,96.5
130312,96.6
130313,94.4
130314,92.9
130315,96.7
130316,93.2
130317,88.5
130318,94.9
130319,96.8
130320,96.5
130321,96.1
130322,96.0
130323,95.0
130324,95.1
130325,95.7
130326,94.8
130327,95.1
130328,94.6
130329,95.6
130330,95.7
130331,95.9
130332,96.0
130333,78.2
130336,96.1
130337,96.5
130338,96.2
130340,95.5
130342,95.5
130344,94.8
130345,96.1
130346,96.0
130349,97.5
130350,96.2
130355,95.3
132304,91.3
132308,95.4
132312,95.2
132314,95.2
132328,94.5
132330,93.1
132332,94.9
132336,95.8
13A000,95.7
13B000,95.0
13C000,96.6
13D000,95.1
140304,94.7
140305,97.0
140306,86.6
140307,88.9
140308,95.3
140309,97.1
140312,94.5
140316,94.8
140324,95.7
140332,94.3
140336,94.5
140340,94.4
140344,95.3
140348,94.5
140352,94.5
140356,93.5
140360,95.7
140368,94.1
140372,95.0
140376,93.4
140384,95.0
140386,93.5
140388,93.6
140390,93.2
140392,93.4
140396,94.2
150304,94.8
150308,94.1
150310,94.5
150312,95.3
150350,97.6
160304,96.4
160306,95.0
160308,94.0
160309,92.0
160310,94.9
160311,95.1
160313,93.5
160314,93.7
160316,92.5
160317,95.2
160318,95.5
160322,94.3
160324,94.7
160326,94.7
160332,93.8
160344,94.2
160352,95.1
16B000,94.1
170316,94.5
170334,93.4
170338,92.4
170339,93.0
170342,93.9
170344,94.7
180302,95.5
180304,95.2
180308,95.0
180312,94.5
180316,95.7
180320,93.8
180323,92.3
180324,94.9
180325,98.5
180326,95.6
180332,95.7
180336,96.1
180340,94.3
180342,95.0
180343,96.5
180344,95.7
180346,95.7
180348,92.3
180352,94.2
180356,96.2
180360,95.1
180364,95.3
180368,95.1
180372,95.9
180376,92.0
180379,95.7
180380,95.2
180388,95.6
181312,95.2
181316,93.9
181318,92.7
181322,91.2
181326,95.3
181332,95.2
181336,96.3
181342,94.0
181344,95.5
182304,87.1
182316,92.6
182321,95.4
182322,96.2
182324,96.0
182328,95.9
182700,93.1
190304,96.2
190308,96.1
190310,76.2
190312,95.7
190316,95.9
190328,95.4
190332,95.5
190336,95.6
190339,95.7
190340,95.5
190341,95.5
190342,94.3
190346,95.9
190348,95.4
190350,95.8
190352,95.2
190370,95.8
190501,94.1
19A000,96.6
19B000,95.5
19C000,94.2
200304,93.7
200308,93.6
200310,94.6
200312,95.5
200314,93.7
200320,95.0
200322,87.0
200324,94.3
200328,94.5
200330,93.3
200332,93.9
200336,94.2
200350,94.9
20A000,92.5
210304,93.7
210306,95.4
210312,94.4
210316,94.2
220308,94.3
220310,93.1
220312,97.3
230304,95.6
230308,95.6
230312,93.7
230316,94.8
230320,95.0
230322,95.8
230324,92.2
230328,94.9
230330,79.4
230334,94.4
230336,94.7
230340,95.8
230342,94.7
230344,94.4
230346,94.6
230348,95.7
230350,93.6
230351,95.2
230352,94.9
230355,95.5
230357,95.3
230359,92.5
230361,93.0
230362,94.9
230364,95.6
230368,95.7
230370,94.9
230376,95.3
230380,95.9
23A000,96.3
240304,96.7
240308,93.4
240328,95.0
240330,94.3
240332,92.0
240334,91.3
240344,94.7
240352,94.7
240354,94.9
240356,96.4
240368,96.2
240370,93.9
240371,94.1
240372,93.5
