agency_code,pct_enrolled_AM7_CHARTER,pct_enrolled_AS7_CHARTER,pct_enrolled_BL7_CHARTER,pct_enrolled_EDS_CHARTER,pct_enrolled_ELS_CHARTER,pct_enrolled_HI7_CHARTER,pct_enrolled_MU7_CHARTER,pct_enrolled_PI7_CHARTER,pct_enrolled_SWD_CHARTER,pct_enrolled_WH7_CHARTER
00A000,5.0,5.0,19.4,5.0,5.0,12.8,7.2,5.0,9.0,57.1
00B000,5.0,5.0,20.6,5.0,5.0,9.6,9.5,5.0,11.4,58.6
010000,5.0,5.0,22.9,49.9,9.7,26.5,5.0,5.0,12.3,43.9
01B000,5.0,5.0,13.4,5.0,5.0,7.2,5.0,5.0,9.0,72.3
01C000,5.0,5.0,5.0,5.0,5.0,5.2,5.0,5.0,11.1,87.6
01D000,5.0,5.0,5.0,5.0,5.0,5.0,5.5,5.0,10.7,84.4
060000,5.0,5.0,5.0,57.2,7.2,12.2,5.0,5.0,16.7,84.4
06A000,5.0,5.0,20.0,32.0,5.0,8.0,12.0,5.0,32.0,60.0
06B000,5.0,5.0,5.0,30.4,5.0,7.2,5.0,5.0,30.4,84.1
070000,5.0,5.0,32.2,44.3,5.8,16.6,5.0,5.0,13.6,46.3
07A000,5.0,5.0,5.0,5.0,5.0,6.9,5.0,5.0,13.8,86.2
080000,5.0,5.0,80.9,57.6,5.0,5.0,5.0,5.0,12.5,14.0
08A000,5.0,5.0,81.8,74.3,5.0,5.0,5.4,5.0,14.2,12.2
090000,5.0,5.0,34.8,44.1,6.9,23.7,5.0,5.0,11.2,35.1
09A000,6.2,5.0,65.4,5.0,5.0,6.2,6.8,5.0,5.0,15.4
09B000,5.0,5.0,19.7,5.0,5.0,5.0,6.4,5.0,11.5,67.8
100000,5.0,5.0,15.0,57.0,5.0,13.6,5.0,5.0,13.2,64.9
10A000,5.0,5.0,9.1,5.0,5.0,6.5,6.5,5.0,9.9,75.4
10B000,5.0,5.0,5.0,5.0,5.0,5.9,6.8,5.0,5.0,81.8
110000,5.0,5.0,6.8,49.7,7.2,16.9,5.0,5.0,14.5,69.7
111000,5.0,5.0,20.7,36.5,5.0,8.5,6.6,5.0,12.3,62.4
11A000,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,14.0,90.8
11B000,5.0,5.0,5.0,5.0,5.0,7.8,5.0,5.0,14.7,84.8
11C000,5.0,5.0,5.0,5.0,5.0,6.1,5.0,5.0,10.1,84.6
11D000,5.0,5.0,5.0,5.0,5.0,6.7,6.3,5.0,11.1,84.4
11K000,5.0,5.0,26.7,5.0,5.0,10.2,6.3,5.0,14.2,51.7
120000,5.0,6.0,5.0,58.0,8.2,15.7,5.1,5.0,15.9,68.1
12A000,5.0,5.0,5.0,5.0,5.0,5.0,6.1,5.0,12.2,84.2
130000,5.0,5.0,20.5,35.1,6.5,17.0,5.0,5.0,10.3,52.6
13A000,5.0,8.1,28.6,5.0,5.0,15.0,8.4,5.0,7.5,39.5
13B000,5.0,6.3,34.8,31.8,5.0,13.5,7.8,5.0,7.0,37.2
13C000,5.0,5.0,73.9,52.4,5.0,12.4,6.7,5.0,10.7,5.7
13D000,5.0,5.0,33.2,54.7,5.3,17.9,7.4,5.0,6.0,40.0
160000,5.0,5.0,5.7,41.8,5.0,9.3,6.3,5.0,12.7,76.8
16B000,5.0,5.0,5.0,5.0,5.0,5.0,8.4,5.0,7.4,84.2
190000,5.0,5.0,11.7,47.4,10.8,31.4,5.0,5.0,12.2,50.9
19A000,5.0,5.0,10.6,5.0,5.0,5.0,5.8,5.0,7.9,78.9
19B000,5.0,5.0,5.0,5.0,5.0,6.5,5.0,5.0,11.2,82.2
19C000,5.0,5.0,5.0,5.0,5.0,6.3,8.7,5.0,16.0,80.1
200000,5.0,5.0,5.0,40.8,5.0,6.1,5.0,5.0,15.8,85.7
20A000,5.0,5.0,5.0,30.3,5.0,7.0,5.0,5.0,22.2,84.3
230000,5.0,5.0,27.6,54.6,5.0,6.2,5.6,5.0,14.8,59.7
23A000,5.0,5.0,10.6,5.0,5.0,5.7,5.0,5.0,6.6,77.8
240000,5.0,5.0,30.6,44.7,5.0,10.6,5.0,5.0,12.7,50.8
241000,5.0,5.0,42.9,50.4,5.0,10.7,6.5,5.0,12.4,38.4
24B000,5.0,5.0,22.1,5.0,5.0,11.5,16.3,5.0,19.2,47.1
24N000,5.0,5.0,21.9,43.6,5.0,5.0,5.0,5.0,11.0,64.5
260000,5.0,5.0,45.0,50.2,5.0,13.8,8.5,5.0,13.3,28.8
26B000,5.0,5.0,64.1,5.0,5.0,14.9,5.0,5.0,5.7,14.4
26C000,5.0,5.0,34.4,48.0,5.0,12.9,13.2,5.0,5.0,38.8
