agency_code,pct_ap_A_AM7_COURSES2,pct_ap_A_AS7_COURSES2,pct_ap_A_BL7_COURSES2,pct_ap_A_ELS_COURSES2,pct_ap_A_FEM_COURSES2,pct_ap_A_HI7_COURSES2,pct_ap_A_MALE_COURSES2,pct_ap_A_MU7_COURSES2,pct_ap_A_PI7_COURSES2,pct_ap_A_SWD_COURSES2,pct_ap_A_WH7_COURSES2,pct_ap_H_AM7_COURSES2,pct_ap_H_AS7_COURSES2,pct_ap_H_BL7_COURSES2,pct_ap_H_ELS_COURSES2,pct_ap_H_FEM_COURSES2,pct_ap_H_HI7_COURSES2,pct_ap_H_MALE_COURSES2,pct_ap_H_MU7_COURSES2,pct_ap_H_PI7_COURSES2,pct_ap_H_SWD_COURSES2,pct_ap_H_WH7_COURSES2,pct_ap_T_AM7_COURSES2,pct_ap_T_AS7_COURSES2,pct_ap_T_BL7_COURSES2,pct_ap_T_ELS_COURSES2,pct_ap_T_FEM_COURSES2,pct_ap_T_HI7_COURSES2,pct_ap_T_MALE_COURSES2,pct_ap_T_MU7_COURSES2,pct_ap_T_PI7_COURSES2,pct_ap_T_SWD_COURSES2,pct_ap_T_WH7_COURSES2,pct_ccp_A_AM7_COURSES2,pct_ccp_A_AS7_COURSES2,pct_ccp_A_BL7_COURSES2,pct_ccp_A_ELS_COURSES2,pct_ccp_A_FEM_COURSES2,pct_ccp_A_HI7_COURSES2,pct_ccp_A_MALE_COURSES2,pct_ccp_A_MU7_COURSES2,pct_ccp_A_PI7_COURSES2,pct_ccp_A_SWD_COURSES2,pct_ccp_A_WH7_COURSES2,pct_ccp_H_AM7_COURSES2,pct_ccp_H_AS7_COURSES2,pct_ccp_H_BL7_COURSES2,pct_ccp_H_ELS_COURSES2,pct_ccp_H_FEM_COURSES2,pct_ccp_H_HI7_COURSES2,pct_ccp_H_MALE_COURSES2,pct_ccp_H_MU7_COURSES2,pct_ccp_H_PI7_COURSES2,pct_ccp_H_SWD_COURSES2,pct_ccp_H_WH7_COURSES2,pct_ccp_M_FEM_COURSES2,pct_ccp_M_HI7_COURSES2,pct_ccp_M_MALE_COURSES2,pct_ccp_M_MU7_COURSES2,pct_ccp_M_SWD_COURSES2,pct_ccp_M_WH7_COURSES2,pct_ccp_T_AM7_COURSES2,pct_ccp_T_AS7_COURSES2,pct_ccp_T_BL7_COURSES2,pct_ccp_T_ELS_COURSES2,pct_ccp_T_FEM_COURSES2,pct_ccp_T_HI7_COURSES2,pct_ccp_T_MALE_COURSES2,pct_ccp_T_MU7_COURSES2,pct_ccp_T_PI7_COURSES2,pct_ccp_T_SWD_COURSES2,pct_ccp_T_WH7_COURSES2,pct_ib_H_AM7_COURSES2,pct_ib_H_AS7_COURSES2,pct_ib_H_BL7_COURSES2,pct_ib_H_ELS_COURSES2,pct_ib_H_FEM_COURSES2,pct_ib_H_HI7_COURSES2,pct_ib_H_MALE_COURSES2,pct_ib_H_MU7_COURSES2,pct_ib_H_PI7_COURSES2,pct_ib_H_SWD_COURSES2,pct_ib_H_WH7_COURSES2,tot_num_ap_A_AM7_COURSES2,tot_num_ap_A_AS7_COURSES2,tot_num_ap_A_BL7_COURSES2,tot_num_ap_A_ELS_COURSES2,tot_num_ap_A_FEM_COURSES2,tot_num_ap_A_HI7_COURSES2,tot_num_ap_A_MALE_COURSES2,tot_num_ap_A_MU7_COURSES2,tot_num_ap_A_Other_COURSES2,tot_num_ap_A_PI7_COURSES2,tot_num_ap_A_SWD_COURSES2,tot_num_ap_A_WH7_COURSES2,tot_num_ap_H_AM7_COURSES2,tot_num_ap_H_AS7_COURSES2,tot_num_ap_H_BL7_COURSES2,tot_num_ap_H_ELS_COURSES2,tot_num_ap_H_FEM_COURSES2,tot_num_ap_H_HI7_COURSES2,tot_num_ap_H_MALE_COURSES2,tot_num_ap_H_MU7_COURSES2,tot_num_ap_H_Other_COURSES2,tot_num_ap_H_PI7_COURSES2,tot_num_ap_H_SWD_COURSES2,tot_num_ap_H_WH7_COURSES2,tot_num_ap_T_AM7_COURSES2,tot_num_ap_T_AS7_COURSES2,tot_num_ap_T_BL7_COURSES2,tot_num_ap_T_ELS_COURSES2,tot_num_ap_T_FEM_COURSES2,tot_num_ap_T_HI7_COURSES2,tot_num_ap_T_MALE_COURSES2,tot_num_ap_T_MU7_COURSES2,tot_num_ap_T_Other_COURSES2,tot_num_ap_T_PI7_COURSES2,tot_num_ap_T_SWD_COURSES2,tot_num_ap_T_WH7_COURSES2,tot_num_ccp_A_AM7_COURSES2,tot_num_ccp_A_AS7_COURSES2,tot_num_ccp_A_BL7_COURSES2,tot_num_ccp_A_ELS_COURSES2,tot_num_ccp_A_FEM_COURSES2,tot_num_ccp_A_HI7_COURSES2,tot_num_ccp_A_MALE_COURSES2,tot_num_ccp_A_MU7_COURSES2,tot_num_ccp_A_Other_COURSES2,tot_num_ccp_A_PI7_COURSES2,tot_num_ccp_A_SWD_COURSES2,tot_num_ccp_A_WH7_COURSES2,tot_num_ccp_H_AM7_COURSES2,tot_num_ccp_H_AS7_COURSES2,tot_num_ccp_H_BL7_COURSES2,tot_num_ccp_H_ELS_COURSES2,tot_num_ccp_H_FEM_COURSES2,tot_num_ccp_H_HI7_COURSES2,tot_num_ccp_H_MALE_COURSES2,tot_num_ccp_H_MU7_COURSES2,tot_num_ccp_H_Other_COURSES2,tot_num_ccp_H_PI7_COURSES2,tot_num_ccp_H_SWD_COURSES2,tot_num_ccp_H_WH7_COURSES2,tot_num_ccp_M_AM7_COURSES2,tot_num_ccp_M_AS7_COURSES2,tot_num_ccp_M_BL7_COURSES2,tot_num_ccp_M_ELS_COURSES2,tot_num_ccp_M_FEM_COURSES2,tot_num_ccp_M_HI7_COURSES2,tot_num_ccp_M_MALE_COURSES2,tot_num_ccp_M_MU7_COURSES2,tot_num_ccp_M_Other_COURSES2,tot_num_ccp_M_PI7_COURSES2,tot_num_ccp_M_SWD_COURSES2,tot_num_ccp_M_WH7_COURSES2,tot_num_ccp_T_AM7_COURSES2,tot_num_ccp_T_AS7_COURSES2,tot_num_ccp_T_BL7_COURSES2,tot_num_ccp_T_ELS_COURSES2,tot_num_ccp_T_FEM_COURSES2,tot_num_ccp_T_HI7_COURSES2,tot_num_ccp_T_MALE_COURSES2,tot_num_ccp_T_MU7_COURSES2,tot_num_ccp_T_Other_COURSES2,tot_num_ccp_T_PI7_COURSES2,tot_num_ccp_T_SWD_COURSES2,tot_num_ccp_T_WH7_COURSES2,tot_num_ib_H_AM7_COURSES2,tot_num_ib_H_AS7_COURSES2,tot_num_ib_H_BL7_COURSES2,tot_num_ib_H_ELS_COURSES2,tot_num_ib_H_FEM_COURSES2,tot_num_ib_H_HI7_COURSES2,tot_num_ib_H_MALE_COURSES2,tot_num_ib_H_MU7_COURSES2,tot_num_ib_H_Other_COURSES2,tot_num_ib_H_PI7_COURSES2,tot_num_ib_H_SWD_COURSES2,tot_num_ib_H_WH7_COURSES2,year_A_AM7_COURSES2,year_A_AS7_COURSES2,year_A_BL7_COURSES2,year_A_ELS_COURSES2,year_A_FEM_COURSES2,year_A_HI7_COURSES2,year_A_MALE_COURSES2,year_A_MU7_COURSES2,year_A_Other_COURSES2,year_A_PI7_COURSES2,year_A_SWD_COURSES2,year_A_WH7_COURSES2,year_H_AM7_COURSES2,year_H_AS7_COURSES2,year_H_BL7_COURSES2,year_H_ELS_COURSES2,year_H_FEM_COURSES2,year_H_HI7_COURSES2,year_H_MALE_COURSES2,year_H_MU7_COURSES2,year_H_Other_COURSES2,year_H_PI7_COURSES2,year_H_SWD_COURSES2,year_H_WH7_COURSES2,year_M_AM7_COURSES2,year_M_AS7_COURSES2,year_M_BL7_COURSES2,year_M_ELS_COURSES2,year_M_FEM_COURSES2,year_M_HI7_COURSES2,year_M_MALE_COURSES2,year_M_MU7_COURSES2,year_M_Other_COURSES2,year_M_PI7_COURSES2,year_M_SWD_COURSES2,year_M_WH7_COURSES2,year_T_AM7_COURSES2,year_T_AS7_COURSES2,year_T_BL7_COURSES2,year_T_ELS_COURSES2,year_T_FEM_COURSES2,year_T_HI7_COURSES2,year_T_MALE_COURSES2,year_T_MU7_COURSES2,year_T_Other_COURSES2,year_T_PI7_COURSES2,year_T_SWD_COURSES2,year_T_WH7_COURSES2
00A000,,6.45,25.81,,80.65,6.45,19.35,5.0,,,58.06,,,,,,,,,,,,,,,,,,,,,,,,5.0,22.4,5.0,63.2,16.0,36.8,5.0,,5.0,55.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00B000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.29,,64.71,5.88,35.29,11.76,,17.65,47.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,19.9,5.0,64.92,26.18,35.08,5.24,,5.0,45.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.0,191.0,191.0,191.0,191.0,191.0,191.0,191.0,191.0,191.0,191.0,191.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,,,,,,,,,,,,,,,,,,,,,,,,
010324,,,,,,,,,,,,,5.0,12.12,5.0,57.07,10.1,42.93,5.0,,5.0,70.71,,,,,,,,,,,,,,,,,,,,,,,,5.0,24.13,5.0,41.23,12.77,58.77,5.0,5.0,12.99,57.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,,,,,,,,,,,,,,,,,,,,,,,,,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0,924.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,,,,,,,,,,,,,,,,,,,,,,,,
010348,,,,,,,,,,,,,5.0,24.77,5.0,60.55,44.95,39.45,6.42,,5.0,19.27,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,27.65,8.11,47.19,46.99,52.81,5.0,,14.14,19.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,,,,,,,,,,,,,,,,,,,,,,,,,481.0,481.0,481.0,481.0,481.0,481.0,481.0,481.0,481.0,481.0,481.0,481.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,,,,,,,,,,,,,,,,,,,,,,,,
010360,,,,,,,,,,,,5.0,5.0,35.9,5.0,55.13,47.44,44.87,5.0,,,11.54,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,38.07,10.06,50.0,50.43,50.0,5.0,,13.51,6.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,696.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,,,,,,,,,,,,,,,,,,,,,,,,
010378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,29.63,,33.33,,66.67,11.11,,55.56,55.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010388,,,,,,,,,,,,5.0,5.0,5.0,,57.48,9.45,42.52,5.0,,5.0,83.46,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,7.01,5.0,47.1,13.51,52.9,5.0,,9.18,75.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,,,,,,,,,,,,,,,,,,,,,,,,,1155.0,1155.0,1155.0,1155.0,1155.0,1155.0,1155.0,1155.0,1155.0,1155.0,1155.0,1155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,,,,,,,,,,,,,,,,,,,,,,,,
010396,,,,,,,,,,,,,6.62,14.34,5.0,53.68,19.49,46.32,5.0,,5.0,55.15,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,34.83,5.0,46.84,25.36,53.16,5.3,5.0,11.1,31.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,,,,,,,,,,,,,,,,,,,,,,,,,982.0,982.0,982.0,982.0,982.0,982.0,982.0,982.0,982.0,982.0,982.0,982.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,,,,,,,,,,,,,,,,,,,,,,,,
010400,,,,,,,,,,,,,5.0,6.38,,56.38,7.09,43.62,5.0,,5.0,78.72,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,11.28,5.0,43.82,12.73,56.18,5.0,5.0,7.2,70.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,,,,,,,,,,,,,,,,,,,,,,,,,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,833.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,2018.0,,,,,,,,,,,,,,,,,,,,,,,,
