agency_code,stu_enroll,cte_enroll,cte_enrollment_pct
00A000,1505,100,6.64
00B000,988,16,1.62
010303,191,79,41.36
010310,734,410,55.86
010324,1217,879,72.23
010348,778,545,70.05
010350,649,250,38.52
010353,684,384,56.14
010360,920,703,76.41
010378,107,46,42.99
010388,1463,1148,78.47
010390,726,483,66.53
010394,855,447,52.28
010396,1229,985,80.15
010400,1197,833,69.59
010403,835,385,46.11
010406,548,333,60.77
01B000,363,35,9.64
01C000,340,47,13.82
01D000,267,6,2.25
020302,1262,938,74.33
020306,607,536,88.3
020330,536,524,97.76
030304,433,397,91.69
030308,61,59,96.72
030316,52,52,100.0
030320,192,84,43.75
040304,249,61,24.5
040305,101,38,37.62
040306,746,678,90.88
040309,624,613,98.24
050302,938,638,68.02
050305,440,291,66.14
060302,360,301,83.61
060310,188,150,79.79
060318,283,235,83.04
060334,21,16,76.19
060700,152,109,71.71
060701,62,54,87.1
070308,195,193,98.97
070310,89,13,14.61
070311,239,69,28.87
070325,297,250,84.18
070329,154,150,97.4
070330,422,325,77.01
070338,754,656,87.0
070339,433,367,84.76
070342,984,700,71.14
080311,181,114,62.98
080312,582,516,88.66
080314,486,278,57.2
090315,216,199,92.13
090320,209,206,98.56
090328,43,36,83.72
090330,664,534,80.42
090332,290,264,91.03
090365,243,239,98.35
090368,719,635,88.32
100307,355,41,11.55
100308,149,112,75.17
100309,493,430,87.22
100316,878,559,63.67
100326,1103,769,69.72
100332,655,361,55.11
100334,1145,761,66.46
100335,714,522,73.11
100344,207,118,57.0
100348,1442,1001,69.42
110303,147,75,51.02
110304,1167,801,68.64
110306,515,369,71.65
110322,272,90,33.09
110323,72,9,12.5
110326,563,352,62.52
110336,765,513,67.06
110338,533,333,62.48
110340,1194,906,75.88
110342,678,428,63.13
110352,1071,808,75.44
110380,1010,729,72.18
110381,559,344,61.54
110382,310,171,55.16
110401,605,363,60.0
110416,1558,933,59.88
110420,593,378,63.74
110425,306,164,53.59
110450,356,86,24.16
110451,374,231,61.76
110500,386,381,98.7
111302,932,609,65.34
111356,751,435,57.92
111369,77,70,90.91
111700,369,217,58.81
11D000,434,5,1.15
120308,157,83,52.87
120314,929,674,72.55
120315,646,620,95.98
120318,1097,814,74.2
120334,519,493,94.99
120346,600,439,73.17
120350,557,470,84.38
120370,978,762,77.91
120376,500,409,81.8
120390,473,447,94.5
130307,1769,1298,73.37
130310,1642,1230,74.91
130313,892,406,45.52
130314,1208,830,68.71
130315,631,282,44.69
130316,1281,851,66.43
130317,166,60,36.14
130318,1052,550,52.28
130320,1319,1000,75.82
