agency_code,pct_rating_P1_Accomplished,pct_rating_P1_Developing,pct_rating_P1_Distinguished,pct_rating_P1_NotDemostrated,pct_rating_P1_Proficient,pct_rating_P2_Accomplished,pct_rating_P2_Developing,pct_rating_P2_Distinguished,pct_rating_P2_NotDemostrated,pct_rating_P2_Proficient,pct_rating_P3_Accomplished,pct_rating_P3_Developing,pct_rating_P3_Distinguished,pct_rating_P3_NotDemostrated,pct_rating_P3_Proficient,pct_rating_P4_Accomplished,pct_rating_P4_Developing,pct_rating_P4_Distinguished,pct_rating_P4_NotDemostrated,pct_rating_P4_Proficient,pct_rating_P5_Accomplished,pct_rating_P5_Developing,pct_rating_P5_Distinguished,pct_rating_P5_NotDemostrated,pct_rating_P5_Proficient,pct_rating_P6_Accomplished,pct_rating_P6_Developing,pct_rating_P6_Distinguished,pct_rating_P6_NotDemostrated,pct_rating_P6_Proficient,pct_rating_P7_Accomplished,pct_rating_P7_Developing,pct_rating_P7_Distinguished,pct_rating_P7_NotDemostrated,pct_rating_P7_Proficient,pct_rating_PS_DoesNotMeetExpectedGrowth,pct_rating_PS_ExceedsExpectedGrowth,pct_rating_PS_MeetsExpectedGrowth,pct_rating_T1_Accomplished,pct_rating_T1_Developing,pct_rating_T1_Distinguished,pct_rating_T1_NotDemostrated,pct_rating_T1_Proficient,pct_rating_T2_Accomplished,pct_rating_T2_Developing,pct_rating_T2_Distinguished,pct_rating_T2_NotDemostrated,pct_rating_T2_Proficient,pct_rating_T3_Accomplished,pct_rating_T3_Developing,pct_rating_T3_Distinguished,pct_rating_T3_NotDemostrated,pct_rating_T3_Proficient,pct_rating_T4_Accomplished,pct_rating_T4_Developing,pct_rating_T4_Distinguished,pct_rating_T4_NotDemostrated,pct_rating_T4_Proficient,pct_rating_T5_Accomplished,pct_rating_T5_Developing,pct_rating_T5_Distinguished,pct_rating_T5_NotDemostrated,pct_rating_T5_Proficient,pct_rating_TS_DoesNotMeetExpectedGrowth,pct_rating_TS_ExceedsExpectedGrowth,pct_rating_TS_MeetsExpectedGrowth
00A000,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,1.0,,,0.792,,0.063,,0.146,0.929,,0.036000000000000004,,0.036000000000000004,0.893,,,,0.107,0.958,,,,0.042,0.857,,0.071,,0.071,0.444,,0.556
00B000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6970000000000001,,0.076,,0.227,0.667,,0.111,,0.222,0.667,,0.111,,0.222,0.727,,0.091,,0.182,0.556,,0.111,,0.333,0.552,0.103,0.345
010000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.5,,,,,1.0,,,1.0,,,,,0.25,,0.75,,,1.0,,,,,,,
010303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.667,,0.16699999999999998,,0.16699999999999998,0.75,,0.25,,,0.5,,0.25,,0.25,0.833,,0.16699999999999998,,,0.5,,0.25,,0.25,0.16699999999999998,0.333,0.5
010304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.625,0.031,0.063,,0.281,0.438,0.063,,,0.5,0.25,0.063,,,0.688,0.594,0.031,0.031,,0.344,0.625,0.063,,,0.313,0.077,0.115,0.8079999999999999
010308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.629,0.029,0.2,,0.14300000000000002,0.867,,0.067,,0.067,0.6,,0.067,,0.333,0.629,0.029,0.171,,0.171,0.667,,0.133,,0.2,0.107,0.214,0.679
010310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.532,0.064,0.128,,0.277,0.6,0.1,0.1,,0.2,0.475,0.1,0.125,,0.3,0.638,0.128,0.064,,0.17,0.575,0.125,0.1,,0.2,0.4,,0.6
010311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.5,,,0.625,,0.375,,,0.5,,0.5,,,0.583,,0.417,,,0.375,,0.625,,,0.2,0.4,0.4
010312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.674,,0.261,,0.065,0.778,,0.111,,0.111,0.741,,0.07400000000000001,,0.185,0.7609999999999999,,0.152,,0.087,0.741,,0.14800000000000002,,0.111,0.152,0.03,0.818
010320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5379999999999999,,0.192,,0.269,0.471,,0.17600000000000002,,0.353,0.588,,0.059,,0.353,0.462,,0.115,,0.423,0.412,,0.17600000000000002,,0.412,0.118,0.118,0.765
