agency_code,esea_att
010303,Did Not Meet
010304,Met
010308,Met
010310,Met
010311,Did Not Meet
010312,Met
010320,Met
010324,Did Not Meet
010326,Met
010328,Met
010340,Met
010346,Met
010347,Met
010348,Did Not Meet
010350,Met
010351,Met
010353,Met
010354,Met
010357,Met
010358,Met
010360,Did Not Meet
010362,Met
010364,Met
010372,Met
010374,Met
010378,Did Not Meet
010380,Met
010384,Met
010388,Did Not Meet
010390,Met
010392,Met
010394,Met
010396,Did Not Meet
010400,Did Not Meet
010403,Met
010406,Met
010LEA,Met
01B000,Did Not Meet
01C000,Did Not Meet
01D000,Did Not Meet
020302,Did Not Meet
020304,Met
020306,Met
020308,Met
020316,Met
020320,Met
020324,Met
020328,Met
020330,Met
020332,Met
020LEA,Met
030304,Did Not Meet
030308,Met
030316,Met
030320,Met
030LEA,Met
040304,Did Not Meet
040305,Did Not Meet
040306,Did Not Meet
040308,Met
040309,Met
040311,Met
040316,Met
040324,Met
040328,Met
040330,Met
040700,Did Not Meet
040LEA,Met
050302,Did Not Meet
050305,Met
050310,Met
050330,Met
050335,Met
050LEA,Met
060302,Did Not Meet
060304,Met
060310,Met
060316,Met
060318,Met
060322,Met
060328,Met
060332,Met
060334,Did Not Meet
060700,Did Not Meet
060701,Did Not Meet
060LEA,Met
06A000,Did Not Meet
06B000,Did Not Meet
070302,Did Not Meet
070308,Met
070310,Did Not Meet
070311,Did Not Meet
070325,Met
070326,Met
070327,Met
070328,Met
070329,Met
070330,Did Not Meet
070338,Met
070339,Did Not Meet
070340,Met
070342,Did Not Meet
070LEA,Met
07A000,Met
080311,Did Not Meet
080312,Did Not Meet
080314,Met
080348,Met
080356,Met
080360,Met
080362,Met
080375,Did Not Meet
080700,Did Not Meet
080LEA,Met
08A000,Met
090304,Met
090315,Met
090317,Met
090318,Met
090320,Met
090324,Met
090328,Met
090330,Did Not Meet
090332,Met
090333,Met
090352,Met
090365,Met
090368,Did Not Meet
090LEA,Met
09A000,Met
100302,Met
100304,Met
100307,Did Not Meet
100308,Did Not Meet
100309,Met
100310,Met
100316,Met
100320,Met
100326,Did Not Meet
100332,Met
100334,Did Not Meet
100335,Met
100336,Met
100338,Met
100339,Met
100340,Met
100342,Met
100344,Met
100348,Did Not Meet
100LEA,Met
10A000,Met
10B000,Did Not Meet
110303,Did Not Meet
110304,Did Not Meet
110306,Met
110308,Met
110318,Met
110320,Met
110322,Did Not Meet
110323,Did Not Meet
110324,Met
110326,Met
110332,Met
110336,Did Not Meet
110338,Met
110340,Did Not Meet
110342,Met
110348,Met
110352,Did Not Meet
110356,Met
110366,Met
110368,Met
110370,Met
110372,Met
110376,Met
110379,Met
110380,Did Not Meet
110381,Met
110382,Met
110384,Met
110388,Met
110401,Met
110408,Met
110410,Met
110412,Met
110416,Did Not Meet
110420,Met
110422,Met
110428,Met
110432,Did Not Meet
110436,Met
110444,Met
110450,Met
110451,Met
110500,Did Not Meet
110LEA,Met
111302,Did Not Meet
111304,Met
111306,Met
111312,Met
111332,Met
111356,Met
111360,Met
111700,Did Not Meet
111LEA,Met
11A000,Met
11B000,Met
11C000,Met
11D000,Met
11K000,Met
120304,Met
120308,Did Not Meet
120310,Did Not Meet
120312,Met
120314,Did Not Meet
120315,Met
120316,Met
120318,Did Not Meet
120320,Met
120324,Met
120334,Met
120338,Met
120340,Met
120344,Met
120346,Did Not Meet
120350,Met
120352,Met
120360,Met
120364,Met
120368,Met
120370,Did Not Meet
120372,Met
120374,Met
120376,Met
120380,Met
120386,Met
120390,Met
120LEA,Met
12A000,Met
130304,Met
130307,Did Not Meet
130308,Met
130309,Met
130310,Did Not Meet
130311,Met
130312,Met
130313,Met
130314,Did Not Meet
130315,Met
130316,Did Not Meet
130317,Did Not Meet
130318,Met
130319,Met
130320,Met
130321,Met
130322,Met
130323,Met
130324,Did Not Meet
130325,Met
130326,Did Not Meet
130327,Met
130328,Met
130329,Met
130330,Met
130331,Met
130332,Did Not Meet
130333,Did Not Meet
130336,Met
130338,Met
130340,Met
130342,Met
130344,Met
130345,Met
