agency_code,avg_class_teach_TeacherExp,pct_adv_degree_PrincipalExp,pct_adv_degree_TeacherExp,pct_experience_0_PrincipalExp,pct_experience_0_TeacherExp,pct_experience_10_PrincipalExp,pct_experience_10_TeacherExp,pct_experience_4_PrincipalExp,pct_experience_4_TeacherExp,pct_turnover_PrincipalExp,pct_turnover_TeacherExp,total_class_teach_TeacherExp
00A000,60.0,,,,,,,,,,,101345.0
00B000,56.0,,,,,,,,,,,101345.0
010303,7.0,,0.0,,0.0,,0.7140000000000001,,0.28600000000000003,,0.133,101345.0
010304,34.0,,0.17600000000000002,,0.147,,0.618,,0.235,,0.083,101345.0
010308,36.0,,0.417,,0.111,,0.667,,0.222,,0.057,101345.0
010310,51.0,,0.192,,0.333,,0.49,,0.17600000000000002,,0.426,101345.0
010311,14.0,,0.14300000000000002,,0.0,,0.857,,0.14300000000000002,,0.071,101345.0
010312,47.0,,0.234,,0.149,,0.489,,0.362,,0.067,101345.0
010320,28.0,,0.179,,0.28600000000000003,,0.536,,0.179,,0.071,101345.0
010324,68.0,,0.162,,0.221,,0.456,,0.324,,0.06,101345.0
010326,43.0,,0.18600000000000005,,0.442,,0.256,,0.302,,0.116,101345.0
010328,34.0,,0.265,,0.118,,0.6759999999999999,,0.206,,0.0,101345.0
010340,46.0,,0.174,,0.217,,0.565,,0.217,,0.068,101345.0
010346,26.0,,0.185,,0.192,,0.34600000000000003,,0.462,,0.246,101345.0
010347,45.0,,0.13,,0.152,,0.5870000000000001,,0.261,,0.067,101345.0
010348,53.0,,0.17,,0.245,,0.509,,0.245,,0.07400000000000001,101345.0
010350,45.0,,0.17800000000000002,,0.289,,0.422,,0.289,,0.29,101345.0
010351,34.0,,0.086,,0.08800000000000001,,0.529,,0.382,,0.027000000000000003,101345.0
010353,39.0,,0.231,,0.128,,0.6409999999999999,,0.231,,0.104,101345.0
010354,42.0,,0.093,,0.233,,0.488,,0.279,,0.121,101345.0
010357,37.0,,0.105,,0.243,,0.568,,0.189,,0.098,101345.0
010358,39.0,,0.275,,0.282,,0.513,,0.205,,0.126,101345.0
010360,65.0,,0.197,,0.246,,0.523,,0.231,,0.139,101345.0
010362,37.0,,0.135,,0.297,,0.595,,0.108,,0.223,101345.0
010364,31.0,,0.125,,0.219,,0.5,,0.281,,0.103,101345.0
010372,19.0,,0.158,,0.263,,0.421,,0.316,,0.158,101345.0
010374,45.0,,0.28300000000000003,,0.261,,0.5,,0.239,,0.127,101345.0
010378,20.0,,0.2,,0.4,,0.45,,0.15,,0.1,101345.0
010380,48.0,,0.104,,0.354,,0.396,,0.25,,0.108,101345.0
010384,37.0,,0.162,,0.27,,0.4320000000000001,,0.297,,0.11,101345.0
010388,82.0,,0.171,,0.195,,0.634,,0.171,,0.083,101345.0
010390,42.0,,0.16699999999999998,,0.31,,0.405,,0.28600000000000003,,0.226,101345.0
010392,22.0,,0.091,,0.174,,0.478,,0.348,,0.275,101345.0
010394,51.0,,0.235,,0.157,,0.569,,0.275,,0.229,101345.0
010396,68.0,,0.279,,0.25,,0.574,,0.17600000000000002,,0.16,101345.0
010400,65.0,,0.123,,0.154,,0.677,,0.16899999999999998,,0.115,101345.0
010403,49.0,,0.28600000000000003,,0.102,,0.653,,0.245,,0.219,101345.0
010406,33.0,,0.121,,0.242,,0.545,,0.212,,0.119,101345.0
010LEA,38.5,0.333,0.1915,0.278,0.2645,0.222,0.51725,0.5,0.21850000000000003,0.083,0.13974999999999999,101345.0
01B000,44.0,,,,,,,,,,,101345.0
01C000,37.0,,,,,,,,,,,101345.0
01D000,25.0,,,,,,,,,,,101345.0
020302,91.0,,0.22,,0.11,,0.6809999999999999,,0.209,,0.07400000000000001,101345.0
020303,8.0,,0.25,,0.0,,0.625,,0.375,,0.0,101345.0
020304,26.0,,0.154,,0.115,,0.5,,0.385,,0.107,101345.0
020306,38.0,,0.316,,0.132,,0.632,,0.237,,0.051,101345.0
020308,20.0,,0.15,,0.05,,0.85,,0.1,,0.048,101345.0
020316,36.0,,0.16699999999999998,,0.222,,0.5,,0.278,,0.25,101345.0
