agency_code,category_code,agency_level,lea_code,designation_type,name,county,street_addr,stree_addr2,city,state,zip,phone,grade_span,school_type,calendar_type,url,super_name,title_I,esea,stem
00A000,A,SCH,CH,C,NC Connections Academy,Durham,"2700 Meridian Parkway, Suite 300",,Durham,NC,27713.0,919-224-4040,KG:11,Regular School,Traditional Calendar,http://www.connectionsacademy.com/north-carolina-virtual-school/home.aspx,Nathan Currie,Y,,
00B000,A,SCH,CH,C,NC Virtual Academy,Durham,"4220 NC Highway 55, Suite 130",,Durham,NC,27713.0,919-346-0121,KG:12,Regular School,Traditional Calendar,http://ncva.k12.com/,Joel Medley,Y,,
010303,H,SCH,010LEA,P,Alamance-Burlington Middle/Early College,Alamance,1247 Jimmie Kerr Road,,Graham,NC,27253.0,336-506-4001,09:13,Regular School,Traditional Calendar,http://amc.abss.k12.nc.us,,,,
010304,E,SCH,010LEA,P,Alexander Wilson Elementary,Alamance,2518 NC 54,,Graham,NC,27253.0,336-578-1366,PK:05,Regular School,Traditional Calendar,http://awe.abss.k12.nc.us,,,,
010308,E,SCH,010LEA,P,Altamahaw Ossipee Elem,Alamance,2832 N NC 87,,Elon,NC,27244.0,336-538-6030,KG:05,Regular School,Traditional Calendar,http://aoe.abss.k12.nc.us,,,,
010310,M,SCH,010LEA,P,Broadview Middle,Alamance,2229 Broadview Drive,,Burlington,NC,27217.0,336-570-6195,06:08,Regular School,Traditional Calendar,http://brm.abss.k12.nc.us/,,Y,,
010311,H,SCH,010LEA,P,Career Technical Education Center,Alamance,2550 Buckingham Road,,Burlington,NC,27217.0,336-570-6092,09:12,Vocational Education,Traditional Calendar,,,,,
010312,E,SCH,010LEA,P,"Highland Elementary, Burlington",Alamance,3720 Bonnar Bridge Parkway,,Burlington,NC,27215.0,336-538-8700,KG:05,Regular School,Traditional Calendar,http://hle.abss.k12.nc.us,,,,
010320,E,SCH,010LEA,P,E M Yoder Elementary,Alamance,301 N Charles Street,,Mebane,NC,27302.0,919-563-3722,PK:05,Regular School,Traditional Calendar,http://eye.abss.k12.nc.us,,,,
010324,H,SCH,010LEA,P,Eastern Alamance High,Alamance,4040 Mebane Rogers,,Mebane,NC,27302.0,919-563-5991,09:12,Regular School,Traditional Calendar,http://eah.abss.k12.nc.us,,,,
010326,E,SCH,010LEA,P,Eastlawn Elementary,Alamance,502 N Graham Hopedale Road,,Burlington,NC,27217.0,336-570-6180,PK:05,Regular School,Year-Round Calendar,http://eae.abss.k12.nc.us,,Y,,
010328,E,SCH,010LEA,P,Edwin M Holt Elementary,Alamance,4751 S NC 62,,Burlington,NC,27215.0,336-570-6420,KG:05,Regular School,Traditional Calendar,http://ehe.abss.k12.nc.us,,,,
010340,E,SCH,010LEA,P,Elon Elementary,Alamance,510 E Haggard Avenue,,Elon,NC,27244.0,336-538-6000,PK:05,Regular School,Traditional Calendar,http://ece.abss.k12.nc.us,,,,
010346,E,SCH,010LEA,P,B Everett Jordan Elem,Alamance,5827 Church Road,,Graham,NC,27253.0,336-376-3673,KG:05,Regular School,Traditional Calendar,http://bje.abss.k12.nc.us,,Y,,
010347,E,SCH,010LEA,P,Garrett Elementary,Alamance,3224 Old Hillsborough Road,,Mebane,NC,27302.0,919-563-2088,PK:05,Regular School,Traditional Calendar,http://age.abss.k12.nc.us,,Y,,
010348,H,SCH,010LEA,P,Graham High,Alamance,903 Trollinger Road,,Graham,NC,27253.0,336-570-6440,09:12,Regular School,Traditional Calendar,http://grh.abss.k12.nc.us/,,,,
010350,M,SCH,010LEA,P,Graham Middle,Alamance,311 E Pine Street,,Graham,NC,27253.0,336-570-6460,06:08,Regular School,Year-Round Calendar,http://grm.abss.k12.nc.us/,,Y,,
010351,E,SCH,010LEA,P,Grove Park Elementary,Alamance,141 Trail One,,Burlington,NC,27215.0,336-570-6115,PK:05,Regular School,Traditional Calendar,http://gpe.abss.k12.nc.us,,Y,,
010353,M,SCH,010LEA,P,Hawfields Middle,Alamance,1951 S NC 119,,Mebane,NC,27302.0,919-563-5303,06:08,Regular School,Traditional Calendar,http://ham.abss.k12.nc.us,,,,
010354,E,SCH,010LEA,P,Harvey R Newlin Elementary,Alamance,316 Carden Street,,Burlington,NC,27215.0,336-570-6125,PK:05,Regular School,Traditional Calendar,http://hne.abss.k12.nc.us/,,Y,,
010357,E,SCH,010LEA,P,Haw River Elementary,Alamance,701 E Main Street,,Haw River,NC,27258.0,336-578-0177,PK:05,Regular School,Year-Round Calendar,http://hre.abss.k12.nc.us,,Y,,
010358,E,SCH,010LEA,P,"Hillcrest Elementary, Burlington",Alamance,1714 W Davis Street,,Burlington,NC,27215.0,336-570-6120,PK:05,Regular School,Traditional Calendar,http://hie.abss.k12.nc.us/,,Y,,
010360,H,SCH,010LEA,P,Hugh M Cummings High,Alamance,2200 N Mebane Street,,Burlington,NC,27217.0,336-570-6100,09:12,Regular School,Traditional Calendar,http://hch.abss.k12.nc.us/,,,,
010362,E,SCH,010LEA,P,Marvin B Smith Elementary,Alamance,2235 Delaney Drive,,Burlington,NC,27215.0,336-570-6140,PK:05,Regular School,Traditional Calendar,http://mse.abss.k12.nc.us/,,,,
010364,E,SCH,010LEA,P,North Graham Elementary,Alamance,1025 Trollinger Road,,Graham,NC,27253.0,336-578-2272,PK:05,Regular School,Year-Round Calendar,http://nge.abss.k12.nc.us,,Y,,
010372,E,SCH,010LEA,P,"Pleasant Grove Elementary, Burlington",Alamance,2847 Pleasant Grv Sch Road,,Burlington,NC,27217.0,336-421-3701,PK:05,Regular School,Traditional Calendar,http://pge.abss.k12.nc.us/,,Y,,
010374,E,SCH,010LEA,P,R Homer Andrews Elementary,Alamance,2630 Buckingham Road,,Burlington,NC,27217.0,336-570-6170,PK:05,Regular School,Traditional Calendar,http://rae.abss.k12.nc.us/,,Y,,
010378,A,SCH,010LEA,P,Ray Street Academy,Alamance,609 Ray Street,,Graham,NC,27253.0,336-570-6644,KG:12,Alternative Education,Traditional Calendar,http://.abss.k12.nc.us,,,,
010380,E,SCH,010LEA,P,South Graham Elementary,Alamance,320 Ivey Road,,Graham,NC,27253.0,336-570-6520,PK:05,Regular School,Year-Round Calendar,http://sge.abss.k12.nc.us,,Y,,
010384,E,SCH,010LEA,P,South Mebane Elementary,Alamance,600 S 3rd Street,,Mebane,NC,27302.0,919-563-6905,PK:05,Regular School,Traditional Calendar,http://sme.abss.k12.nc.us,,,,
010388,H,SCH,010LEA,P,Southern High,Alamance,631 Southern High Road,,Graham,NC,27253.0,336-570-6400,09:12,Regular School,Traditional Calendar,http://sah.abss.k12.nc.us/,,,,
010390,M,SCH,010LEA,P,"Southern Middle, Graham",Alamance,771 Southern High Road,,Graham,NC,27253.0,336-570-6500,06:08,Regular School,Traditional Calendar,http://sam.abss.k12.nc.us,,,,
010392,E,SCH,010LEA,P,Sylvan Elementary,Alamance,7718 Sylvan Road,,Snow Camp,NC,27349.0,336-376-3350,PK:05,Regular School,Traditional Calendar,http://sye.abss.k12.nc.us/,,Y,,
010394,M,SCH,010LEA,P,Turrentine Middle,Alamance,1710 Edgewood Avenue,,Burlington,NC,27215.0,336-570-6150,06:08,Regular School,Traditional Calendar,http://tum.abss.k12.nc.us/,,Y,,
010396,H,SCH,010LEA,P,Walter M Williams High,Alamance,1307 S Church Street,,Burlington,NC,27215.0,336-570-6161,09:12,Regular School,Traditional Calendar,http://wwh.abss.k12.nc.us/,,,,
010400,H,SCH,010LEA,P,Western Alamance High,Alamance,1731 N NC 87,,Elon,NC,27244.0,336-538-6020,09:12,Regular School,Traditional Calendar,http://wah.abss.k12.nc.us/,,,,
010403,M,SCH,010LEA,P,Western Middle,Alamance,2100 Eldon Drive,,Elon,NC,27244.0,336-538-6010,06:08,Regular School,Traditional Calendar,http://wam.abss.k12.nc.us/,,,,
010406,M,SCH,010LEA,P,Woodlawn Middle,Alamance,3970 Mebane Rogers Road,,Mebane,NC,27302.0,919-563-3222,06:08,Regular School,Traditional Calendar,http://wom.abss.k12.nc.us/,,,,
010LEA,,LEA,,P,Alamance-Burlington Schools,Alamance,1712 Vaughn Road,,Burlington,NC,27217.0,336-570-6060,,,,http://www.abss.k12.nc.us,William Benson,,,
01B000,A,SCH,CH,C,River Mill Academy,Alamance,235 Cheeks Lane,,Graham,NC,27253.0,336-229-0909,KG:12,Regular School,Traditional Calendar,http://www.rivermill-academy.org,Jeffrey Dishmon,Y,,
