agency_code,count_ALL_PK_ENROLL,count_AM7_PK_ENROLL,count_AS7_PK_ENROLL,count_BL7_PK_ENROLL,count_ELS_PK_ENROLL,count_FEM_PK_ENROLL,count_HI7_PK_ENROLL,count_MALE_PK_ENROLL,count_MU7_PK_ENROLL,count_PI7_PK_ENROLL,count_SWD_PK_ENROLL,count_WH7_PK_ENROLL
010304,15.0,,,3.0,4.0,3.0,5.0,12.0,2.0,,0.0,5.0
010320,10.0,,,2.0,1.0,4.0,2.0,6.0,,,1.0,6.0
010326,30.0,,,10.0,0.0,16.0,15.0,14.0,2.0,,0.0,3.0
010340,11.0,,,1.0,0.0,4.0,3.0,7.0,,,0.0,7.0
010347,9.0,,,,0.0,4.0,5.0,5.0,,,0.0,4.0
010351,15.0,,,9.0,2.0,7.0,2.0,8.0,1.0,,0.0,3.0
010354,30.0,,,7.0,17.0,15.0,19.0,15.0,,,1.0,4.0
010357,75.0,,,24.0,21.0,34.0,39.0,41.0,3.0,,3.0,9.0
010358,15.0,,,4.0,4.0,8.0,8.0,7.0,,1.0,1.0,2.0
010362,15.0,,1.0,1.0,0.0,7.0,7.0,8.0,,,0.0,6.0
010364,8.0,,,1.0,3.0,4.0,4.0,4.0,2.0,,1.0,1.0
010372,15.0,,,4.0,0.0,10.0,3.0,5.0,,1.0,0.0,7.0
010374,14.0,,,5.0,8.0,6.0,8.0,8.0,,,1.0,1.0
010380,49.0,1.0,,11.0,15.0,14.0,16.0,35.0,2.0,1.0,3.0,18.0
010392,15.0,,,,2.0,6.0,1.0,9.0,,,0.0,14.0
010LEA,326.0,1.0,1.0,82.0,77.0,142.0,137.0,184.0,12.0,3.0,11.0,90.0
020304,9.0,,,,0.0,4.0,1.0,5.0,1.0,,0.0,7.0
020316,18.0,,,2.0,0.0,12.0,3.0,6.0,,,0.0,13.0
020320,15.0,,,,0.0,6.0,5.0,9.0,3.0,,0.0,7.0
020328,15.0,,,2.0,0.0,6.0,5.0,9.0,,,0.0,8.0
020332,11.0,,,,0.0,6.0,2.0,5.0,1.0,,0.0,8.0
020LEA,68.0,,,4.0,0.0,34.0,16.0,34.0,5.0,,0.0,43.0
030308,18.0,,,,0.0,8.0,7.0,10.0,,,0.0,11.0
