agency_code,pct_ready_kea
010304,48.4
010308,84.0
010312,86.2
010320,91.5
010326,50.0
010328,55.4
010340,42.7
010346,85.1
010347,66.0
010351,14.3
010354,59.2
010357,32.9
010358,55.8
010362,81.5
010364,54.4
010372,27.3
010374,13.8
010378,0.0
010380,87.9
010384,74.7
010392,59.6
020304,91.4
020308,95.1
020316,59.3
020320,80.6
020324,87.5
020328,47.8
020332,89.1
030308,84.6
030316,91.7
030320,75.7
040308,79.4
040311,51.9
040316,37.5
040324,0.0
040328,78.3
050310,9.9
050330,47.7
050335,57.3
060304,51.5
060316,45.2
060322,65.5
060328,59.5
060332,87.5
070302,59.2
070308,44.8
070326,6.3
070329,27.0
070340,73.3
080348,43.5
080356,7.4
080360,71.4
080362,13.5
090304,14.3
090317,28.4
090318,60.6
090324,74.5
090328,42.9
090333,52.2
090352,63.0
100302,5.0
100304,7.4
100310,0.0
100320,31.3
100336,34.8
100338,6.3
100339,5.1
100340,10.1
100342,2.4
100344,0.0
110308,45.2
110320,62.9
110324,11.6
110332,80.0
110348,31.9
110356,59.1
110366,34.4
110368,22.4
110370,70.0
110372,0.0
110376,46.3
110379,52.8
110384,48.7
110388,25.0
110408,48.5
110410,54.4
110412,47.5
110422,55.9
110432,82.2
110436,10.1
110444,54.8
111304,60.0
111306,92.5
111307,25.0
111312,93.3
111332,93.5
111360,78.0
120304,7.4
120312,12.2
120316,40.9
120320,16.3
120324,56.9
120338,16.1
120340,40.7
120344,32.7
120352,0.0
120360,57.1
120364,39.4
120368,51.5
120372,51.7
120374,9.4
120380,66.1
120386,30.5
130304,56.3
130308,62.4
130309,78.9
130311,75.4
130312,75.7
130319,50.0
130321,34.7
130322,62.6
130325,0.0
130328,35.4
130329,100.0
130330,37.3
130331,95.9
130336,55.3
130338,87.1
130340,84.5
130342,50.0
130344,31.4
130345,41.0
132308,23.9
132312,44.7
132314,55.4
132328,1.6
132332,31.5
132336,23.8
140304,62.7
140307,83.3
140308,62.1
140312,87.5
140316,49.3
140324,65.8
140340,63.3
140344,53.8
140352,74.4
140360,10.5
140372,94.7
140376,44.4
140384,50.9
140388,80.8
140392,0.0
140396,71.4
150308,62.3
160304,56.3
160306,74.6
160308,32.8
160316,78.9
160322,50.6
160324,79.7
160332,73.7
160352,73.0
170334,12.5
170339,0.0
170342,27.5
170344,32.3
180304,68.6
180312,16.1
180316,60.0
180323,0.0
180324,61.7
180326,63.8
180332,43.3
180336,54.2
180343,85.7
180344,72.4
180356,26.1
180360,75.3
180368,40.0
180372,35.8
180379,31.8
180380,35.3
180388,76.8
181326,45.0
181336,13.6
181342,54.9
181344,42.9
182304,0.0
182322,89.0
182324,95.8
182328,53.3
190304,41.7
190308,88.4
190332,91.7
190340,0.0
190341,63.3
190346,92.1
190348,68.5
190350,31.1
190352,77.8
190370,54.5
200304,71.0
200312,76.5
200320,59.1
200324,39.4
200332,89.7
200336,63.2
210316,50.0
220308,22.1
230304,57.5
230308,37.3
230320,82.2
230334,57.8
230340,79.2
230344,46.3
230346,100.0
230348,53.3
230355,85.5
230357,56.0
230364,86.8
230368,69.6
230370,14.9
230376,14.8
230380,72.2
240308,7.3
240328,48.5
240332,0.0
240344,4.5
240352,0.0
240354,93.3
240370,0.0
240372,0.0
240388,37.7
241320,80.0
250304,58.2
250306,60.9
250308,28.1
250312,45.5
250316,90.8
250320,65.5
250328,45.1
250336,75.9
250348,40.8
250350,49.3
250360,67.1
250362,33.3
250364,48.9
250378,67.6
250380,75.4
260302,51.1
260306,49.3
260310,30.1
260312,9.1
260316,54.1
260320,22.9
260326,38.8
260332,75.9
260338,35.7
260340,27.0
260342,55.1
260344,35.3
260348,32.1
260352,39.7
260356,36.0
260361,2.4
260363,57.9
260364,0.0
260366,67.0
260367,51.5
260370,16.7
260373,43.2
260375,56.9
260382,29.6
260386,14.3
260396,32.3
260397,9.0
260398,27.7
260400,25.4
260401,24.5
260402,36.6
260403,59.0
260404,13.9
260405,2.0
260407,52.0
260410,47.8
260412,7.8
260414,26.9
260415,22.5
260416,0.0
260426,25.0
260432,48.9
260434,52.1
260440,19.0
260444,16.2
260450,5.6
260452,29.1
260459,26.3
270304,41.0
270309,66.7
270310,95.3
270312,40.0
270316,52.5
270320,93.8
280302,0.0
280308,69.7
280310,56.8
280312,23.1
280324,48.9
290302,52.0
290306,75.3
290307,57.4
290312,90.2
290316,65.8
290320,94.1
290328,93.1
290330,68.0
290332,32.6
290333,61.4
290344,68.5
290352,39.3
290356,91.7
290364,91.7
290366,77.5
290375,54.4
290380,97.0
290384,63.2
291348,60.8
292318,53.6
300308,97.3
300310,77.2
300320,88.2
300326,98.8
300328,93.4
300336,75.8
310304,54.7
310308,6.0
310330,32.7
310336,12.4
310356,48.5
310360,50.0
310384,37.5
310388,9.0
320304,25.5
320308,51.5
320310,43.8
320313,93.3
320315,0.0
320318,42.4
320319,0.0
320320,11.8
320324,0.9
320327,59.2
320328,61.9
320332,94.1
320339,50.9
320340,63.3
320344,31.0
320347,88.5
320348,43.4
320352,32.3
320354,42.5
320360,45.1
320362,15.9
320363,70.7
320364,66.4
320367,60.9
320369,52.3
320372,61.9
320374,64.9
320376,19.6
320388,59.2
320400,0.0
330304,29.6
330308,49.5
330312,84.1
330334,100.0
330354,45.3
330360,57.8
340308,23.2
340314,15.0
340320,21.1
340326,30.3
340334,48.6
340344,12.5
340348,34.3
340351,51.1
340354,43.3
340368,32.9
340376,37.7
340380,50.6
340384,42.1
340390,15.3
