agency_code,lea_no,lea_name,school_no,school_name,grade_span,ada_ct_2017,adm_ct_2017,ada_adm_ratio_2018,ada_ct_2018,adm_ct_2018,ada_adm_ratio_2018,ada_ct_2019,adm_ct_2019,ada_adm_ratio_2019,ada_adm_ratio_2017_thru_2019,ada_adm_rank_2017_thru_2019
010303,010,Alamance-Burlington Schools,303,Alamance-Burlington Middle/Early College,09-12,151,152,99.34,188,192,97.92,221,223,99.10,98.79,24
010304,010,Alamance-Burlington Schools,304,Alexander Wilson Elementary,PK-05,548,575,95.30,560,584,95.89,579,605,95.70,95.63,525
010308,010,Alamance-Burlington Schools,308,Altamahaw Ossipee Elem,0K-05,579,611,94.76,592,625,94.72,581,613,94.78,94.75,1241
010310,010,Alamance-Burlington Schools,310,Broadview Middle,06-08,689,742,92.86,681,734,92.78,705,758,93.01,92.88,2157
010312,010,Alamance-Burlington Schools,312,Highland Elementary,0K-05,663,701,94.58,693,726,95.45,697,734,94.96,95.00,1057
010320,010,Alamance-Burlington Schools,320,E M Yoder Elementary,PK-05,321,340,94.41,337,357,94.40,352,370,95.14,94.65,1336
010324,010,Alamance-Burlington Schools,324,Eastern Alamance High,09-12,"1,133","1,210",93.64,"1,150","1,244",92.44,"1,095","1,191",91.94,92.67,2190
010326,010,Alamance-Burlington Schools,326,Eastlawn Elementary,PK-05,505,538,93.87,541,575,94.09,552,592,93.24,93.73,1934
010328,010,Alamance-Burlington Schools,328,Edwin M Holt Elementary,0K-05,530,555,95.50,538,564,95.39,509,536,94.96,95.28,812
010340,010,Alamance-Burlington Schools,340,Elon Elementary,PK-05,689,723,95.30,669,704,95.03,689,727,94.77,95.03,1021
010346,010,Alamance-Burlington Schools,346,B Everett Jordan Elem,PK-05,362,382,94.76,357,374,95.45,356,377,94.43,94.88,1137
010347,010,Alamance-Burlington Schools,347,Garrett Elementary,PK-05,658,699,94.13,622,653,95.25,579,609,95.07,94.82,1190
010348,010,Alamance-Burlington Schools,348,Graham High,09-12,740,810,91.36,673,754,89.26,671,734,91.42,90.68,2322
010350,010,Alamance-Burlington Schools,350,Graham Middle,06-08,583,632,92.25,589,632,93.20,648,701,92.44,92.63,2196
010351,010,Alamance-Burlington Schools,351,Grove Park Elementary,PK-05,449,476,94.33,448,477,93.92,433,462,93.72,93.99,1820
010353,010,Alamance-Burlington Schools,353,Hawfields Middle,06-08,600,635,94.49,639,678,94.25,634,676,93.79,94.17,1691
010354,010,Alamance-Burlington Schools,354,Harvey R Newlin Elementary,PK-05,585,616,94.97,592,625,94.72,586,621,94.36,94.68,1298
