year,agency_code,status,subgroup,ccc_count,ccc_pct
2009,010303,COMP1Y,AM7,,
2009,010303,COMP1Y,AS7,,
2009,010303,COMP1Y,ALL,7,43.75
2009,010303,COMP1Y,BL7,,50
2009,010303,COMP1Y,EDS,,60
2009,010303,COMP1Y,FEM,,36.36
2009,010303,COMP1Y,HI7,,
2009,010303,COMP1Y,ELS,,
2009,010303,COMP1Y,MALE,,60
2009,010303,COMP1Y,MU7,,
2009,010303,COMP1Y,SWD,,
2009,010303,COMP1Y,WH7,5,41.66
2009,010303,NOCOMP1Y,AM7,,
2009,010303,NOCOMP1Y,AS7,,
2009,010303,NOCOMP1Y,ALL,9,43.75
2009,010303,NOCOMP1Y,BL7,,50
2009,010303,NOCOMP1Y,EDS,,60
2009,010303,NOCOMP1Y,FEM,7,36.36
2009,010303,NOCOMP1Y,HI7,,
2009,010303,NOCOMP1Y,ELS,,
2009,010303,NOCOMP1Y,MALE,,60
2009,010303,NOCOMP1Y,MU7,,
2009,010303,NOCOMP1Y,SWD,,
2009,010303,NOCOMP1Y,WH7,7,41.66
2009,010324,COMP1Y,AM7,,
2009,010324,COMP1Y,AS7,,
2009,010324,COMP1Y,ALL,98,65.77
2009,010324,COMP1Y,BL7,15,60
2009,010324,COMP1Y,EDS,7,35
2009,010324,COMP1Y,FEM,65,73.86
2009,010324,COMP1Y,HI7,,
2009,010324,COMP1Y,ELS,,
2009,010324,COMP1Y,MALE,33,54.09
2009,010324,COMP1Y,MU7,,95
2009,010324,COMP1Y,SWD,,
2009,010324,COMP1Y,WH7,82,66.66
2009,010324,NOCOMP1Y,AM7,,
2009,010324,NOCOMP1Y,AS7,,
2009,010324,NOCOMP1Y,ALL,51,65.77
2009,010324,NOCOMP1Y,BL7,10,60
2009,010324,NOCOMP1Y,EDS,13,35
2009,010324,NOCOMP1Y,FEM,23,73.86
2009,010324,NOCOMP1Y,HI7,,
2009,010324,NOCOMP1Y,ELS,,
2009,010324,NOCOMP1Y,MALE,28,54.09
2009,010324,NOCOMP1Y,MU7,,95
2009,010324,NOCOMP1Y,SWD,,
2009,010324,NOCOMP1Y,WH7,41,66.66
2009,010348,COMP1Y,AM7,,
2009,010348,COMP1Y,AS7,,
2009,010348,COMP1Y,ALL,32,39.02
2009,010348,COMP1Y,BL7,10,27.77
2009,010348,COMP1Y,EDS,8,29.62
2009,010348,COMP1Y,FEM,18,35.29
2009,010348,COMP1Y,HI7,,25
2009,010348,COMP1Y,ELS,,
2009,010348,COMP1Y,MALE,14,45.16
2009,010348,COMP1Y,MU7,,
2009,010348,COMP1Y,SWD,,
2009,010348,COMP1Y,WH7,21,55.26
2009,010348,NOCOMP1Y,AM7,,
2009,010348,NOCOMP1Y,AS7,,
2009,010348,NOCOMP1Y,ALL,50,39.02
2009,010348,NOCOMP1Y,BL7,26,27.77
2009,010348,NOCOMP1Y,EDS,19,29.62
2009,010348,NOCOMP1Y,FEM,33,35.29
2009,010348,NOCOMP1Y,HI7,,25
2009,010348,NOCOMP1Y,ELS,,
2009,010348,NOCOMP1Y,MALE,17,45.16
