year,agency_code,subject,grade,num,pct,masking
2018,420LEA,RD,05,10.0,5.0,
2018,420LEA,MA,05,10.0,5.0,
2018,420LEA,SC,05,10.0,5.0,
2018,422LEA,RD,GS,19.0,5.7,
2018,422LEA,MA,GS,19.0,5.8,
2018,040316,RD,GS,14.0,10.9,
2018,040316,MA,GS,14.0,10.9,
2018,120352,RD,GS,,95.0,1.0
2018,120352,MA,GS,,95.0,1.0
2018,120352,SC,GS,,95.0,1.0
2018,170339,RD,GS,13.0,8.0,
2018,170339,MA,GS,13.0,8.0,
2018,182304,RD,GS,,95.0,1.0
2018,182304,MA,GS,,95.0,1.0
2018,190312,RD,07,14.0,6.9,
2018,190312,MA,07,14.0,6.9,
2018,230359,RD,HS,,95.0,1.0
2018,230359,RD,GS,,95.0,1.0
2018,230359,MA,GS,,95.0,1.0
2018,230359,SC,GS,,95.0,1.0
2018,290310,RD,GS,,95.0,1.0
2018,290310,MA,GS,,95.0,1.0
2018,291350,RD,GS,,95.0,1.0
2018,291350,MA,GS,,95.0,1.0
2018,298202,RD,GS,11.0,33.3,
2018,298202,MA,GS,10.0,32.3,
2018,320306,RD,08,10.0,6.4,
2018,320306,MA,08,10.0,6.5,
2018,320306,SC,08,10.0,6.5,
2018,320306,SC,GS,10.0,6.5,
2018,330344,RD,GS,16.0,6.0,
2018,330344,MA,GS,16.0,6.0,
2018,340336,RD,HS,,95.0,1.0
2018,340336,MA,HS,,95.0,1.0
2018,340336,SC,HS,,95.0,1.0
2018,340344,RD,GS,,95.0,1.0
2018,340344,MA,GS,,95.0,1.0
2018,340436,RD,06,,95.0,1.0
2018,340436,MA,06,,95.0,1.0
2018,340436,RD,07,,95.0,1.0
2018,340436,MA,07,,95.0,1.0
2018,340436,RD,08,,95.0,1.0
2018,340436,MA,08,,95.0,1.0
2018,340436,SC,08,,95.0,1.0
2018,340436,RD,GS,,95.0,1.0
2018,340436,MA,GS,,95.0,1.0
2018,340436,SC,GS,,95.0,1.0
2018,360394,RD,06,,95.0,1.0
2018,360394,MA,06,,95.0,1.0
2018,360394,MA,HS,,95.0,1.0
2018,360394,SC,HS,,95.0,1.0
2018,360394,RD,GS,,95.0,1.0
2018,360394,MA,GS,,95.0,1.0
2018,360394,SC,GS,,95.0,1.0
2018,410379,RD,GS,,95.0,1.0
2018,410379,MA,GS,,95.0,1.0
2018,410427,RD,GS,19.0,6.2,
2018,410427,MA,GS,19.0,6.2,
2018,410457,RD,03,,95.0,1.0
2018,410457,MA,03,,95.0,1.0
2018,410457,RD,05,,95.0,1.0
2018,410457,MA,05,,95.0,1.0
2018,410457,SC,05,,95.0,1.0
2018,410457,RD,06,,95.0,1.0
2018,410457,MA,06,,95.0,1.0
2018,410457,RD,GS,,95.0,1.0
2018,410457,MA,GS,,95.0,1.0
2018,410457,SC,GS,,95.0,1.0
2018,410458,RD,HS,,95.0,1.0
2018,410458,MA,HS,,95.0,1.0
2018,410458,SC,HS,,95.0,1.0
2018,410464,RD,05,,95.0,1.0
2018,410464,MA,05,,95.0,1.0
2018,410464,SC,05,,95.0,1.0
2018,410464,RD,GS,,95.0,1.0
2018,410464,MA,GS,,95.0,1.0
2018,410464,SC,GS,,95.0,1.0
2018,422318,RD,GS,15.0,7.4,
2018,422318,MA,GS,15.0,7.5,
2018,460332,RD,GS,13.0,7.0,
2018,460332,MA,GS,13.0,7.0,
2018,470330,RD,GS,10.0,5.4,
2018,470330,MA,GS,10.0,5.4,
2018,530316,RD,GS,,95.0,1.0
2018,530316,MA,GS,,95.0,1.0
2018,530316,SC,GS,,95.0,1.0
2018,540318,RD,GS,14.0,38.9,
2018,540318,MA,GS,14.0,38.9,
2018,600414,RD,GS,12.0,5.3,
2018,600414,MA,GS,12.0,5.3,
2018,600451,RD,GS,19.0,6.7,
2018,600451,MA,GS,19.0,6.8,
2018,600454,RD,08,,95.0,1.0
2018,600454,MA,08,,95.0,1.0
2018,600454,SC,08,,95.0,1.0
2018,600454,RD,GS,,95.0,1.0
2018,600454,MA,GS,,95.0,1.0
2018,600454,SC,GS,,95.0,1.0
2018,600501,RD,GS,15.0,5.6,
2018,600501,MA,GS,15.0,5.6,
2018,600519,RD,GS,12.0,7.3,
2018,600519,MA,GS,12.0,7.3,
2018,600588,RD,03,10.0,7.9,
2018,600588,MA,03,10.0,7.9,
2018,600588,RD,GS,20.0,6.1,
2018,600588,MA,GS,20.0,6.1,
2018,640308,RD,05,10.0,8.8,
2018,640308,MA,05,10.0,8.8,
2018,640308,SC,05,10.0,8.8,
2018,640308,RD,GS,26.0,7.7,
2018,640308,MA,GS,26.0,7.7,
2018,640308,SC,GS,10.0,8.8,
2018,650312,RD,GS,13.0,9.3,
2018,650312,MA,GS,13.0,9.3,
2018,650368,RD,GS,12.0,5.9,
2018,650368,MA,GS,12.0,5.9,
2018,700308,RD,06,11.0,5.3,
2018,700308,MA,06,11.0,5.3,
2018,730354,RD,GS,13.0,6.1,
2018,730354,MA,GS,13.0,6.1,
2018,740400,RD,GS,12.0,7.3,
2018,740400,MA,GS,12.0,7.3,
2018,770346,RD,GS,11.0,5.3,
2018,770346,MA,GS,11.0,5.3,
2018,770370,RD,GS,15.0,5.4,
2018,770370,MA,GS,15.0,5.4,
2018,780341,RD,07,11.0,5.1,
2018,780341,MA,07,11.0,5.1,
2018,800315,RD,GS,14.0,6.6,
2018,800315,MA,GS,14.0,6.6,
2018,800347,RD,GS,14.0,5.7,
2018,800347,MA,GS,14.0,5.7,
2018,810336,RD,GS,12.0,5.3,
2018,810336,MA,GS,12.0,5.3,
2018,810342,RD,06,10.0,5.5,
2018,810342,MA,06,10.0,5.6,
2018,810344,RD,GS,16.0,5.4,
2018,810344,MA,GS,16.0,5.4,
2018,900392,RD,HS,,95.0,1.0
2018,900392,MA,HS,,95.0,1.0
2018,900392,SC,HS,,95.0,1.0
2018,900392,RD,GS,,95.0,1.0
2018,900392,MA,GS,,95.0,1.0
2018,910311,RD,GS,15.0,7.2,
2018,910311,MA,GS,15.0,7.2,
2018,910316,RD,07,11.0,6.8,
2018,910316,MA,07,11.0,6.9,
2018,910316,RD,08,11.0,8.0,
2018,910316,MA,08,11.0,8.0,
2018,910316,SC,08,11.0,8.0,
2018,910316,RD,GS,28.0,5.8,
2018,910316,MA,GS,27.0,5.7,
2018,910316,SC,GS,11.0,8.0,
2018,960332,RD,04,,95.0,1.0
2018,960332,MA,04,,95.0,1.0
2018,960332,RD,05,,95.0,1.0
2018,960332,MA,05,,95.0,1.0
2018,960332,SC,05,,95.0,1.0
2018,960332,RD,06,,95.0,1.0
2018,960332,MA,06,,95.0,1.0
2018,960332,RD,07,,95.0,1.0
2018,960332,MA,07,,95.0,1.0
2018,960332,RD,08,,95.0,1.0
2018,960332,MA,08,,95.0,1.0
2018,960332,SC,08,,95.0,1.0
2018,960332,RD,GS,,95.0,1.0
2018,960332,MA,GS,,95.0,1.0
2018,960332,SC,GS,,95.0,1.0
2018,970312,RD,GS,11.0,5.4,
2018,970312,MA,GS,11.0,5.4,
2018,990304,RD,GS,19.0,10.6,
2018,990304,MA,GS,19.0,10.6,
