year,agency_code,subgroup,den,pct,masking
2018,00B000,ALL,32,78.1,
2018,00B000,FEM,24,79.2,
2018,00B000,WH7,20,80.0,
2018,010303,ALL,19,89.5,
2018,010303,FEM,17,88.2,
2018,010303,WH7,11,90.9,
2018,010324,AIG,63,95.0,1.0
2018,010324,ALL,255,66.3,
2018,010324,BL7,61,50.8,
2018,010324,EDS,67,50.7,
2018,010324,FEM,109,61.5,
2018,010324,HI7,28,60.7,
2018,010324,MALE,146,69.9,
2018,010324,SWD,29,6.9,
2018,010324,WH7,155,72.3,
2018,010348,AIG,12,83.3,
2018,010348,ALL,152,53.3,
2018,010348,BL7,47,48.9,
2018,010348,EDS,97,47.4,
2018,010348,ELS,18,27.8,
2018,010348,FEM,72,43.1,
2018,010348,HI7,65,49.2,
2018,010348,MALE,80,62.5,
2018,010348,SWD,13,7.7,
2018,010348,WH7,28,67.9,
2018,010360,AIG,23,95.0,1.0
2018,010360,ALL,177,38.4,
2018,010360,BL7,64,35.9,
2018,010360,EDS,124,37.1,
2018,010360,ELS,37,21.6,
2018,010360,FEM,88,40.9,
2018,010360,HI7,96,37.5,
2018,010360,MALE,89,36.0,
2018,010360,SWD,11,9.1,
2018,010388,AIG,72,95.0,1.0
2018,010388,ALL,326,63.8,
2018,010388,BL7,20,45.0,
2018,010388,EDS,84,50.0,
2018,010388,ELS,15,26.7,
2018,010388,FEM,169,66.9,
2018,010388,HI7,41,39.0,
2018,010388,MALE,157,60.5,
2018,010388,MU7,10,40.0,
2018,010388,SWD,22,9.1,
2018,010388,WH7,250,70.4,
2018,010396,AIG,55,95.0,1.0
2018,010396,ALL,241,61.8,
2018,010396,BL7,79,40.5,
2018,010396,EDS,128,50.0,
2018,010396,ELS,19,21.1,
2018,010396,FEM,120,60.8,
2018,010396,HI7,61,59.0,
2018,010396,MALE,121,62.8,
2018,010396,MU7,12,75.0,
2018,010396,SWD,19,42.1,
2018,010396,WH7,79,83.5,
2018,010400,AIG,80,95.0,1.0
2018,010400,ALL,299,67.9,
2018,010400,BL7,41,34.1,
2018,010400,EDS,69,49.3,
2018,010400,FEM,133,70.7,
2018,010400,HI7,27,59.3,
2018,010400,MALE,166,65.7,
2018,010400,MU7,11,63.6,
2018,010400,SWD,22,5.0,2.0
2018,010400,WH7,213,75.6,
2018,010LEA,AIG,312,95.0,1.0
2018,010LEA,ALL,1473,60.8,
2018,010LEA,AS7,27,74.1,
2018,010LEA,BL7,318,42.5,
2018,010LEA,EDS,575,47.0,
2018,010LEA,ELS,103,24.3,
2018,010LEA,FEM,709,60.5,
2018,010LEA,HI7,320,48.4,
2018,010LEA,HMS,15,20.0,
2018,010LEA,MALE,764,61.0,
2018,010LEA,MU7,57,57.9,
2018,010LEA,SWD,117,12.8,
2018,010LEA,WH7,744,73.7,
2018,01B000,ALL,31,67.7,
2018,01B000,FEM,20,75.0,
2018,01B000,MALE,11,54.5,
2018,01B000,WH7,26,61.5,
2018,01C000,ALL,35,71.4,
2018,01C000,FEM,22,68.2,
2018,01C000,MALE,13,76.9,
2018,01C000,WH7,29,79.3,
2018,01D000,ALL,32,75.0,
2018,01D000,FEM,13,76.9,
2018,01D000,MALE,19,73.7,
2018,01D000,WH7,27,77.8,
2018,020302,AIG,99,94.9,
2018,020302,ALL,340,73.2,
2018,020302,BL7,12,58.3,
2018,020302,EDS,96,71.9,
2018,020302,FEM,161,80.1,
2018,020302,HI7,27,66.7,
2018,020302,MALE,179,67.0,
2018,020302,MU7,14,50.0,
2018,020302,SWD,20,25.0,
2018,020302,WH7,282,75.5,
2018,020LEA,AIG,99,94.9,
2018,020LEA,ALL,340,73.2,
2018,020LEA,BL7,12,58.3,
2018,020LEA,EDS,96,71.9,
2018,020LEA,FEM,161,80.1,
2018,020LEA,HI7,27,66.7,
2018,020LEA,MALE,179,67.0,
2018,020LEA,MU7,14,50.0,
2018,020LEA,SWD,20,25.0,
2018,020LEA,WH7,282,75.5,
2018,030304,AIG,20,95.0,1.0
2018,030304,ALL,83,68.7,
2018,030304,EDS,44,65.9,
2018,030304,FEM,41,78.0,
2018,030304,HI7,15,80.0,
2018,030304,MALE,42,59.5,
2018,030304,WH7,65,67.7,
2018,030LEA,AIG,20,95.0,1.0
2018,030LEA,ALL,83,68.7,
2018,030LEA,EDS,44,65.9,
2018,030LEA,FEM,41,78.0,
2018,030LEA,HI7,15,80.0,
2018,030LEA,MALE,42,59.5,
2018,030LEA,WH7,65,67.7,
2018,040304,AIG,18,88.9,
2018,040304,ALL,35,80.0,
2018,040304,BL7,11,63.6,
2018,040304,FEM,22,81.8,
2018,040304,MALE,13,76.9,
2018,040304,WH7,19,89.5,
2018,040306,AIG,33,90.9,
2018,040306,ALL,131,43.5,
2018,040306,BL7,76,26.3,
2018,040306,EDS,49,38.8,
2018,040306,FEM,68,45.6,
2018,040306,MALE,63,41.3,
2018,040306,WH7,47,70.2,
2018,040LEA,AIG,52,90.4,
2018,040LEA,ALL,173,50.3,
2018,040LEA,BL7,93,30.1,
2018,040LEA,EDS,58,43.1,
2018,040LEA,FEM,95,52.6,
2018,040LEA,MALE,78,47.4,
2018,040LEA,SWD,11,27.3,
2018,040LEA,WH7,67,76.1,
2018,050302,AIG,43,95.0,1.0
2018,050302,ALL,184,78.8,
2018,050302,EDS,86,74.4,
2018,050302,FEM,90,77.8,
2018,050302,HI7,17,76.5,
2018,050302,MALE,94,79.8,
2018,050302,SWD,11,18.2,
2018,050302,WH7,163,79.8,
2018,050LEA,AIG,43,95.0,1.0
2018,050LEA,ALL,184,78.8,
2018,050LEA,EDS,86,74.4,
2018,050LEA,FEM,90,77.8,
2018,050LEA,HI7,17,76.5,
2018,050LEA,MALE,94,79.8,
2018,050LEA,SWD,11,18.2,
2018,050LEA,WH7,163,79.8,
2018,060302,ALL,69,44.9,
2018,060302,EDS,45,35.6,
2018,060302,FEM,34,44.1,
2018,060302,HI7,12,25.0,
2018,060302,MALE,35,45.7,
2018,060302,WH7,56,50.0,
2018,060334,ALL,10,20.0,
2018,060334,WH7,10,20.0,
2018,060700,AIG,19,95.0,1.0
2018,060700,ALL,68,95.0,1.0
2018,060700,EDS,31,93.5,
2018,060700,FEM,42,95.0,1.0
2018,060700,MALE,26,95.0,1.0
2018,060700,WH7,63,95.0,1.0
2018,060LEA,AIG,25,95.0,1.0
2018,060LEA,ALL,147,67.3,
2018,060LEA,EDS,81,58.0,
2018,060LEA,FEM,78,73.1,
2018,060LEA,HI7,16,43.8,
2018,060LEA,MALE,69,60.9,
2018,060LEA,WH7,129,70.5,
2018,070311,AIG,21,95.0,1.0
2018,070311,ALL,55,95.0,1.0
2018,070311,EDS,33,95.0,1.0
2018,070311,FEM,33,95.0,1.0
2018,070311,HI7,14,95.0,1.0
2018,070311,MALE,22,95.0,1.0
2018,070311,WH7,31,95.0,1.0
2018,070330,AIG,19,95.0,1.0
2018,070330,ALL,92,67.4,
2018,070330,BL7,14,28.6,
2018,070330,EDS,20,35.0,
2018,070330,FEM,42,66.7,
2018,070330,MALE,50,68.0,
2018,070330,WH7,66,80.3,
2018,070339,ALL,113,63.7,
2018,070339,BL7,39,51.3,
2018,070339,EDS,42,61.9,
2018,070339,FEM,54,64.8,
2018,070339,HI7,12,58.3,
2018,070339,MALE,59,62.7,
2018,070339,MU7,11,63.6,
2018,070339,WH7,51,74.5,
2018,070342,AIG,45,88.9,
2018,070342,ALL,215,54.0,
2018,070342,BL7,77,26.0,
2018,070342,EDS,66,30.3,
2018,070342,FEM,118,60.2,
2018,070342,HI7,22,59.1,
2018,070342,MALE,97,46.4,
2018,070342,SWD,11,27.3,
2018,070342,WH7,109,73.4,
2018,070LEA,AIG,95,93.7,
2018,070LEA,ALL,481,63.6,
2018,070LEA,BL7,143,37.1,
2018,070LEA,EDS,163,52.8,
2018,070LEA,ELS,15,46.7,
2018,070LEA,FEM,250,66.8,
2018,070LEA,HI7,57,66.7,
2018,070LEA,MALE,231,60.2,
2018,070LEA,MU7,24,58.3,
2018,070LEA,SWD,25,28.0,
2018,070LEA,WH7,257,78.2,
2018,080311,ALL,35,77.1,
2018,080311,BL7,21,66.7,
2018,080311,FEM,21,66.7,
2018,080311,MALE,14,92.9,
2018,080311,WH7,12,91.7,
2018,080312,ALL,112,33.9,
2018,080312,BL7,99,28.3,
2018,080312,EDS,58,22.4,
2018,080312,FEM,51,35.3,
2018,080312,MALE,61,32.8,
2018,080312,SWD,15,13.3,
2018,080312,WH7,12,75.0,
2018,080LEA,AIG,13,95.0,1.0
2018,080LEA,ALL,147,44.2,
2018,080LEA,BL7,120,35.0,
2018,080LEA,EDS,67,31.3,
2018,080LEA,FEM,72,44.4,
2018,080LEA,MALE,75,44.0,
2018,080LEA,SWD,15,13.3,
2018,080LEA,WH7,24,83.3,
2018,090330,AIG,25,92.0,
2018,090330,ALL,145,49.0,
2018,090330,BL7,82,36.6,
2018,090330,EDS,45,44.4,
2018,090330,FEM,71,50.7,
2018,090330,HI7,17,64.7,
2018,090330,MALE,74,47.3,
2018,090330,SWD,10,10.0,
2018,090330,WH7,40,65.0,
2018,090368,AIG,27,95.0,1.0
2018,090368,ALL,193,51.3,
2018,090368,BL7,60,26.7,
2018,090368,EDS,57,35.1,
2018,090368,ELS,10,30.0,
2018,090368,FEM,101,56.4,
2018,090368,HI7,31,54.8,
2018,090368,MALE,92,45.7,
2018,090368,SWD,26,7.7,
2018,090368,WH7,89,65.2,
2018,090LEA,AIG,52,94.2,
2018,090LEA,ALL,338,50.3,
2018,090LEA,BL7,142,32.4,
2018,090LEA,EDS,102,39.2,
2018,090LEA,ELS,15,26.7,
2018,090LEA,FEM,172,54.1,
2018,090LEA,HI7,48,58.3,
2018,090LEA,MALE,166,46.4,
2018,090LEA,MU7,13,69.2,
2018,090LEA,SWD,36,8.3,
2018,090LEA,WH7,129,65.1,
2018,09A000,ALL,12,25.0,
2018,100307,AIG,19,95.0,1.0
2018,100307,ALL,58,95.0,1.0
2018,100307,EDS,27,95.0,1.0
2018,100307,FEM,35,95.0,1.0
2018,100307,HI7,10,90.0,
2018,100307,MALE,23,95.0,1.0
2018,100307,WH7,38,95.0,1.0
2018,100308,ALL,11,27.3,
2018,100326,AIG,16,93.8,
2018,100326,ALL,226,49.1,
2018,100326,BL7,62,19.4,
2018,100326,EDS,112,37.5,
2018,100326,FEM,115,53.0,
2018,100326,HI7,23,39.1,
2018,100326,MALE,111,45.0,
2018,100326,SWD,14,21.4,
2018,100326,WH7,127,66.9,
2018,100334,AIG,46,95.0,1.0
2018,100334,ALL,268,70.1,
2018,100334,BL7,26,46.2,
2018,100334,EDS,103,57.3,
2018,100334,FEM,119,81.5,
2018,100334,MALE,149,61.1,
2018,100334,SWD,19,10.5,
2018,100334,WH7,220,73.2,
2018,100348,AIG,49,95.0,1.0
2018,100348,ALL,314,67.2,
2018,100348,BL7,47,27.7,
2018,100348,EDS,137,54.7,
2018,100348,ELS,12,41.7,
2018,100348,FEM,140,70.0,
2018,100348,HI7,35,65.7,
2018,100348,MALE,174,64.9,
2018,100348,SWD,18,16.7,
2018,100348,WH7,223,75.3,
2018,100LEA,AIG,130,95.0,1.0
2018,100LEA,ALL,877,65.0,
2018,100LEA,BL7,139,29.5,
2018,100LEA,EDS,385,53.2,
2018,100LEA,ELS,20,30.0,
2018,100LEA,FEM,416,70.2,
2018,100LEA,HI7,77,59.7,
2018,100LEA,HMS,15,53.3,
2018,100LEA,MALE,461,60.3,
2018,100LEA,MU7,30,73.3,
2018,100LEA,SWD,51,15.7,
2018,100LEA,WH7,617,73.4,
2018,110303,ALL,49,12.2,
2018,110303,BL7,11,9.1,
2018,110303,EDS,40,12.5,
2018,110303,FEM,24,8.3,
2018,110303,HMS,12,8.3,
2018,110303,MALE,25,16.0,
2018,110303,SWD,14,7.1,
2018,110303,WH7,31,12.9,
2018,110304,AIG,66,95.0,1.0
2018,110304,ALL,253,81.8,
2018,110304,BL7,23,65.2,
2018,110304,EDS,91,69.2,
2018,110304,FEM,127,92.1,
2018,110304,HI7,33,63.6,
2018,110304,MALE,126,71.4,
2018,110304,MU7,13,69.2,
2018,110304,SWD,17,41.2,
2018,110304,WH7,175,87.4,
2018,110322,AIG,17,95.0,1.0
2018,110322,ALL,53,94.3,
2018,110322,EDS,14,85.7,
2018,110322,FEM,34,95.0,1.0
2018,110322,MALE,19,84.2,
2018,110322,WH7,39,94.9,
2018,110323,ALL,59,67.8,
2018,110323,EDS,15,80.0,
2018,110323,FEM,44,70.5,
2018,110323,MALE,15,60.0,
2018,110323,WH7,46,73.9,
2018,110336,AIG,24,91.7,
2018,110336,ALL,151,72.2,
2018,110336,EDS,61,59.0,
2018,110336,FEM,66,77.3,
2018,110336,HI7,17,52.9,
2018,110336,MALE,85,68.2,
2018,110336,SWD,14,42.9,
2018,110336,WH7,121,77.7,
2018,110340,AIG,54,92.6,
2018,110340,ALL,256,63.3,
2018,110340,BL7,13,30.8,
2018,110340,EDS,132,58.3,
2018,110340,ELS,26,26.9,
2018,110340,FEM,136,65.4,
2018,110340,HI7,64,62.5,
2018,110340,MALE,120,60.8,
2018,110340,SWD,20,5.0,
2018,110340,WH7,162,67.3,
2018,110352,AIG,45,95.0,1.0
2018,110352,ALL,226,64.2,
2018,110352,EDS,85,43.5,
2018,110352,ELS,13,30.8,
2018,110352,FEM,108,65.7,
2018,110352,HI7,27,37.0,
2018,110352,MALE,118,62.7,
2018,110352,SWD,24,12.5,
2018,110352,WH7,185,69.2,
2018,110380,AIG,49,95.0,1.0
2018,110380,ALL,232,74.6,
2018,110380,EDS,82,65.9,
2018,110380,FEM,113,73.5,
2018,110380,HI7,27,51.9,
2018,110380,MALE,119,75.6,
2018,110380,SWD,23,13.0,
2018,110380,WH7,197,77.2,
2018,110416,AIG,80,95.0,1.0
2018,110416,ALL,318,74.5,
2018,110416,AS7,10,95.0,1.0
2018,110416,BL7,38,52.6,
2018,110416,EDS,92,50.0,
2018,110416,ELS,22,36.4,
2018,110416,FEM,173,78.0,
2018,110416,HI7,41,56.1,
2018,110416,MALE,145,70.3,
2018,110416,MU7,11,36.4,
2018,110416,SWD,31,22.6,
2018,110416,WH7,218,82.6,
2018,110500,AIG,56,95.0,1.0
2018,110500,ALL,92,95.0,1.0
2018,110500,EDS,21,90.5,
2018,110500,FEM,43,95.0,1.0
2018,110500,MALE,49,95.0,1.0
2018,110500,WH7,75,95.0,1.0
2018,110LEA,AIG,402,95.0,1.0
2018,110LEA,ALL,1689,72.1,
2018,110LEA,AS7,34,91.2,
2018,110LEA,BL7,103,45.6,
2018,110LEA,EDS,633,57.0,
2018,110LEA,ELS,80,27.5,
2018,110LEA,FEM,868,75.3,
2018,110LEA,HI7,228,58.8,
2018,110LEA,HMS,36,41.7,
2018,110LEA,MALE,821,68.7,
2018,110LEA,MU7,69,55.1,
2018,110LEA,SWD,149,19.5,
2018,110LEA,WH7,1249,77.3,
2018,111302,AIG,73,95.0,1.0
2018,111302,ALL,209,78.0,
2018,111302,BL7,39,43.6,
2018,111302,EDS,52,53.8,
2018,111302,FEM,105,80.0,
2018,111302,HI7,14,57.1,
2018,111302,MALE,104,76.0,
2018,111302,MU7,10,70.0,
2018,111302,SWD,15,26.7,
2018,111302,WH7,140,90.7,
2018,111700,AIG,36,94.4,
2018,111700,ALL,96,86.5,
2018,111700,BL7,13,61.5,
2018,111700,EDS,18,77.8,
2018,111700,FEM,64,87.5,
2018,111700,HI7,10,90.0,
2018,111700,MALE,32,84.4,
2018,111700,SWD,10,80.0,
2018,111700,WH7,63,93.7,
2018,111LEA,AIG,109,95.0,1.0
2018,111LEA,ALL,305,80.7,
2018,111LEA,BL7,52,48.1,
2018,111LEA,EDS,70,60.0,
2018,111LEA,FEM,169,82.8,
2018,111LEA,HI7,24,70.8,
2018,111LEA,MALE,136,77.9,
2018,111LEA,MU7,18,66.7,
2018,111LEA,SWD,25,48.0,
2018,111LEA,WH7,203,91.6,
2018,11D000,ALL,25,76.0,
2018,11D000,MALE,17,70.6,
2018,11D000,WH7,21,76.2,
2018,120308,ALL,31,25.8,
2018,120308,EDS,18,33.3,
2018,120308,FEM,10,50.0,
2018,120308,MALE,21,14.3,
2018,120308,WH7,20,35.0,
2018,120310,AIG,25,95.0,1.0
2018,120310,ALL,61,95.0,1.0
2018,120310,EDS,20,95.0,1.0
2018,120310,FEM,44,95.0,1.0
2018,120310,MALE,17,95.0,1.0
2018,120310,WH7,48,95.0,1.0
2018,120314,AIG,43,95.0,1.0
2018,120314,ALL,218,70.6,
2018,120314,AS7,10,70.0,
2018,120314,EDS,88,64.8,
2018,120314,FEM,101,71.3,
2018,120314,HI7,13,69.2,
2018,120314,MALE,117,70.1,
2018,120314,SWD,27,7.4,
2018,120314,WH7,188,70.7,
2018,120318,AIG,50,94.0,
2018,120318,ALL,248,60.5,
2018,120318,AS7,12,50.0,
2018,120318,BL7,27,29.6,
2018,120318,EDS,109,47.7,
2018,120318,ELS,17,5.9,
2018,120318,FEM,121,62.8,
2018,120318,HI7,33,42.4,
2018,120318,MALE,127,58.3,
2018,120318,MU7,11,81.8,
2018,120318,SWD,30,5.0,2.0
2018,120318,WH7,163,68.1,
2018,120346,AIG,20,95.0,1.0
2018,120346,ALL,141,66.7,
2018,120346,AS7,10,60.0,
2018,120346,EDS,59,54.2,
2018,120346,FEM,54,66.7,
2018,120346,HI7,10,40.0,
2018,120346,MALE,87,66.7,
2018,120346,WH7,117,70.1,
2018,120370,AIG,51,95.0,1.0
2018,120370,ALL,204,70.6,
2018,120370,EDS,63,55.6,
2018,120370,ELS,10,5.0,2.0
2018,120370,FEM,90,70.0,
2018,120370,HI7,38,60.5,
2018,120370,MALE,114,71.1,
2018,120370,SWD,17,29.4,
2018,120370,WH7,149,73.2,
2018,120LEA,AIG,191,95.0,1.0
2018,120LEA,ALL,903,67.7,
2018,120LEA,AS7,45,66.7,
2018,120LEA,BL7,41,31.7,
2018,120LEA,EDS,357,56.6,
2018,120LEA,ELS,38,5.3,
2018,120LEA,FEM,420,70.5,
2018,120LEA,HI7,100,53.0,
2018,120LEA,MALE,483,65.2,
2018,120LEA,MU7,26,76.9,
2018,120LEA,SWD,83,12.0,
2018,120LEA,WH7,685,71.5,
2018,130307,AIG,83,95.0,1.0
2018,130307,ALL,365,84.7,
2018,130307,AS7,21,95.0,1.0
2018,130307,BL7,87,73.6,
2018,130307,EDS,57,71.9,
2018,130307,FEM,187,86.1,
2018,130307,HI7,20,80.0,
2018,130307,MALE,178,83.1,
2018,130307,MU7,13,95.0,1.0
2018,130307,SWD,17,35.3,
2018,130307,WH7,216,87.5,
2018,130310,AIG,81,95.0,1.0
2018,130310,ALL,354,67.5,
2018,130310,BL7,83,51.8,
2018,130310,EDS,119,53.8,
2018,130310,ELS,16,31.3,
2018,130310,FEM,187,69.5,
2018,130310,HI7,53,54.7,
2018,130310,MALE,167,65.3,
2018,130310,MU7,11,81.8,
2018,130310,SWD,19,21.1,
2018,130310,WH7,198,75.3,
2018,130314,AIG,72,95.0,1.0
2018,130314,ALL,277,68.6,
2018,130314,BL7,65,36.9,
2018,130314,EDS,121,46.3,
2018,130314,ELS,17,41.2,
2018,130314,FEM,150,65.3,
2018,130314,HI7,57,56.1,
2018,130314,MALE,127,72.4,
2018,130314,SWD,27,25.9,
2018,130314,WH7,143,86.7,
2018,130316,AIG,57,95.0,1.0
2018,130316,ALL,291,62.2,
2018,130316,BL7,75,45.3,
2018,130316,EDS,116,46.6,
2018,130316,ELS,28,14.3,
2018,130316,FEM,154,60.4,
2018,130316,HI7,63,38.1,
2018,130316,MALE,137,64.2,
2018,130316,SWD,17,11.8,
2018,130316,WH7,143,81.8,
2018,130317,ALL,10,30.0,
2018,130324,AIG,52,95.0,1.0
2018,130324,ALL,211,72.0,
2018,130324,EDS,51,58.8,
2018,130324,FEM,106,70.8,
2018,130324,MALE,105,73.3,
2018,130324,SWD,15,26.7,
2018,130324,WH7,188,75.0,
2018,130326,AIG,64,95.0,1.0
2018,130326,ALL,272,71.7,
2018,130326,BL7,54,61.1,
2018,130326,EDS,95,57.9,
2018,130326,ELS,18,38.9,
2018,130326,FEM,143,72.0,
2018,130326,HI7,49,59.2,
2018,130326,MALE,129,71.3,
2018,130326,SWD,12,25.0,
2018,130326,WH7,153,80.4,
2018,130332,AIG,120,95.0,1.0
2018,130332,ALL,407,84.5,
2018,130332,AS7,26,88.5,
2018,130332,BL7,80,70.0,
2018,130332,EDS,66,74.2,
2018,130332,ELS,10,40.0,
2018,130332,FEM,189,87.8,
2018,130332,HI7,23,65.2,
2018,130332,MALE,218,81.7,
2018,130332,MU7,15,86.7,
2018,130332,SWD,12,66.7,
2018,130332,WH7,260,90.0,
2018,130333,ALL,45,46.7,
2018,130333,EDS,15,46.7,
2018,130333,FEM,25,32.0,
2018,130333,MALE,20,65.0,
2018,130333,WH7,29,48.3,
2018,130350,AIG,14,95.0,1.0
2018,130350,ALL,50,95.0,1.0
2018,130350,BL7,14,92.9,
2018,130350,EDS,17,95.0,1.0
2018,130350,FEM,39,95.0,1.0
2018,130350,MALE,11,95.0,1.0
2018,130350,WH7,27,95.0,1.0
2018,130LEA,AIG,547,95.0,1.0
2018,130LEA,ALL,2282,73.8,
2018,130LEA,AM7,18,83.3,
2018,130LEA,AS7,70,91.4,
2018,130LEA,BL7,472,57.2,
2018,130LEA,EDS,661,56.6,
2018,130LEA,ELS,99,30.3,
2018,130LEA,FEM,1183,73.8,
2018,130LEA,HI7,288,55.6,
2018,130LEA,HMS,27,51.9,
2018,130LEA,MALE,1099,73.7,
2018,130LEA,MU7,67,73.1,
2018,130LEA,SWD,126,28.6,
2018,130LEA,WH7,1362,82.2,
2018,132304,AIG,49,95.0,1.0
2018,132304,ALL,316,48.7,
2018,132304,BL7,114,26.3,
2018,132304,EDS,73,34.2,
2018,132304,ELS,23,21.7,
2018,132304,FEM,150,47.3,
2018,132304,HI7,70,52.9,
2018,132304,MALE,166,50.0,
2018,132304,MU7,12,66.7,
2018,132304,SWD,23,13.0,
2018,132304,WH7,116,65.5,
2018,132LEA,AIG,49,95.0,1.0
2018,132LEA,ALL,316,48.7,
2018,132LEA,BL7,114,26.3,
2018,132LEA,EDS,73,34.2,
2018,132LEA,ELS,23,21.7,
2018,132LEA,FEM,150,47.3,
2018,132LEA,HI7,70,52.9,
2018,132LEA,MALE,166,50.0,
2018,132LEA,MU7,12,66.7,
2018,132LEA,SWD,23,13.0,
2018,132LEA,WH7,116,65.5,
2018,13A000,ALL,45,44.4,
2018,13A000,BL7,12,25.0,
2018,13A000,FEM,26,57.7,
2018,13A000,MALE,19,26.3,
2018,13A000,WH7,23,47.8,
2018,140305,AIG,16,95.0,1.0
2018,140305,ALL,55,95.0,1.0
2018,140305,EDS,18,95.0,1.0
2018,140305,FEM,23,95.0,1.0
2018,140305,MALE,32,95.0,1.0
2018,140305,WH7,49,95.0,1.0
2018,140309,AIG,44,95.0,1.0
2018,140309,ALL,78,95.0,1.0
2018,140309,EDS,18,95.0,1.0
2018,140309,FEM,50,95.0,1.0
2018,140309,HI7,12,95.0,1.0
2018,140309,MALE,28,95.0,1.0
2018,140309,WH7,62,95.0,1.0
2018,140348,AIG,23,95.0,1.0
2018,140348,ALL,185,58.4,
2018,140348,BL7,21,28.6,
2018,140348,EDS,86,46.5,
2018,140348,FEM,88,61.4,
2018,140348,HI7,19,31.6,
2018,140348,MALE,97,55.7,
2018,140348,MU7,10,70.0,
2018,140348,SWD,16,25.0,
2018,140348,WH7,134,65.7,
2018,140386,AIG,73,95.0,1.0
2018,140386,ALL,365,68.2,
2018,140386,EDS,125,51.2,
2018,140386,ELS,10,10.0,
2018,140386,FEM,183,71.0,
2018,140386,HI7,21,42.9,
2018,140386,MALE,182,65.4,
2018,140386,SWD,18,33.3,
2018,140386,WH7,326,69.9,
2018,140390,AIG,15,95.0,1.0
2018,140390,ALL,186,54.8,
2018,140390,BL7,24,33.3,
2018,140390,EDS,117,52.1,
2018,140390,FEM,88,61.4,
2018,140390,HI7,19,42.1,
2018,140390,MALE,98,49.0,
2018,140390,MU7,12,50.0,
2018,140390,SWD,13,23.1,
2018,140390,WH7,129,60.5,
2018,140LEA,AIG,172,95.0,1.0
2018,140LEA,ALL,871,67.9,
2018,140LEA,BL7,52,34.6,
2018,140LEA,EDS,365,55.3,
2018,140LEA,ELS,21,14.3,
2018,140LEA,FEM,434,71.7,
2018,140LEA,HI7,75,52.0,
2018,140LEA,HMS,26,50.0,
2018,140LEA,MALE,437,64.1,
2018,140LEA,MU7,34,70.6,
2018,140LEA,SWD,51,31.4,
2018,140LEA,WH7,701,71.8,
2018,150304,AIG,13,95.0,1.0
2018,150304,ALL,100,82.0,
2018,150304,BL7,11,63.6,
2018,150304,EDS,18,83.3,
2018,150304,FEM,50,82.0,
2018,150304,MALE,50,82.0,
2018,150304,MIL,12,91.7,
2018,150304,WH7,78,84.6,
2018,150350,ALL,26,80.8,
2018,150350,FEM,16,81.3,
2018,150350,MALE,10,80.0,
2018,150350,WH7,21,90.5,
2018,150LEA,AIG,14,95.0,1.0
2018,150LEA,ALL,126,81.7,
2018,150LEA,BL7,15,53.3,
2018,150LEA,EDS,25,80.0,
2018,150LEA,FEM,66,81.8,
2018,150LEA,MALE,60,81.7,
2018,150LEA,MIL,14,92.9,
2018,150LEA,WH7,99,85.9,
2018,160313,AIG,24,95.0,1.0
2018,160313,ALL,122,84.4,
2018,160313,BL7,10,70.0,
2018,160313,EDS,33,78.8,
2018,160313,FEM,68,88.2,
2018,160313,MALE,54,79.6,
2018,160313,WH7,107,86.9,
2018,160314,AIG,35,95.0,1.0
2018,160314,ALL,196,88.3,
2018,160314,EDS,39,82.1,
2018,160314,FEM,94,86.2,
