year,agency_code,grad_project
2013,010303,Y
2013,010311,N
2013,010324,Y
2013,010348,Y
2013,010360,Y
2013,010378,Y
2013,010388,Y
2013,010396,Y
2013,010400,Y
2013,01B000,N
2013,01C000,N
2013,01D000,N
2013,020302,Y
2013,030304,Y
2013,040304,Y
2013,040305,Y
2013,040306,Y
2013,040700,Y
2013,050302,N
2013,060302,N
2013,060318,N
2013,060700,N
2013,060701,N
2013,06A000,N
2013,06B000,Y
2013,070310,Y
2013,070311,Y
2013,070330,Y
2013,070339,Y
2013,070342,Y
2013,080311,Y
2013,080312,Y
2013,080700,Y
2013,090330,N
2013,090368,N
2013,100307,Y
2013,100308,Y
2013,100326,Y
2013,100334,Y
2013,100348,Y
2013,110303,Y
2013,110304,Y
2013,110322,Y
2013,110323,Y
2013,110336,Y
2013,110340,Y
2013,110352,Y
2013,110380,Y
2013,110416,Y
2013,111302,Y
2013,111700,Y
2013,120308,Y
2013,120310,Y
2013,120314,Y
2013,120318,Y
2013,120346,Y
2013,120352,N
2013,120370,Y
2013,130307,N
2013,130310,N
2013,130314,N
2013,130316,N
2013,130317,N
2013,130324,N
2013,130326,N
2013,130332,N
2013,130333,N
2013,130350,N
2013,132304,Y
2013,140305,Y
2013,140306,Y
2013,140309,Y
2013,140348,Y
2013,140386,Y
2013,140390,Y
2013,150304,Y
2013,150700,Y
2013,160313,Y
2013,160314,N
2013,160344,Y
2013,16A000,N
2013,170316,N
2013,180308,N
2013,180320,N
2013,180323,N
2013,180325,N
2013,180340,N
2013,180348,N
2013,180376,N
2013,181318,N
2013,181322,N
2013,182304,N
2013,182316,N
2013,182700,N
2013,190310,N
2013,190316,N
2013,190336,N
2013,190342,N
2013,19B000,N
2013,200308,Y
2013,200314,Y
2013,200322,Y
2013,200328,Y
2013,200350,Y
2013,210312,Y
2013,220310,N
2013,230312,N
2013,230322,N
2013,230324,N
2013,230330,N
2013,230350,Y
2013,230359,N
2013,230361,N
2013,240318,N
2013,240334,N
2013,240371,N
2013,240373,N
2013,240380,N
2013,241312,Y
2013,241316,Y
2013,250314,Y
2013,250321,Y
2013,250340,Y
2013,250356,Y
2013,250372,Y
2013,260318,N
2013,260322,Y
2013,260325,N
2013,260347,N
2013,260354,N
2013,260357,N
2013,260359,N
2013,260374,N
2013,260388,Y
2013,260408,N
2013,260411,Y
2013,260424,N
2013,260427,Y
2013,260446,N
2013,260449,N
2013,260455,N
2013,260700,N
2013,270306,N
2013,270311,N
2013,280304,Y
2013,280306,Y
2013,280316,Y
2013,280330,Y
2013,290308,Y
2013,290310,N
2013,290314,Y
2013,290315,Y
2013,290324,Y
2013,290336,Y
2013,290348,Y
2013,290365,Y
2013,290388,Y
2013,291336,N
2013,291350,N
2013,292324,Y
2013,298202,N
2013,298203,N
2013,298204,N
2013,300306,N
2013,300312,N
2013,300314,N
2013,310338,Y
2013,310344,Y
2013,310352,Y
2013,310364,Y
2013,310392,Y
2013,320309,N
2013,320312,N
2013,320317,N
2013,320322,N
2013,320323,N
2013,320325,N
2013,320329,N
2013,320336,N
2013,320341,N
2013,320353,N
2013,320356,N
2013,320365,N
2013,320368,N
2013,320700,N
2013,320701,N
2013,32D000,N
2013,32L000,N
2013,32N000,N
2013,330326,Y
2013,330328,Y
2013,330350,Y
2013,330358,Y
2013,340311,N
2013,340330,N
2013,340332,N
2013,340336,N
2013,340344,N
2013,340362,N
2013,340364,N
2013,340382,N
2013,340385,N
2013,340398,N
2013,340427,N
2013,340436,N
2013,340446,N
2013,340454,N
2013,340460,N
2013,340480,N
2013,340486,N
2013,340488,N
2013,340495,N
2013,340496,N
2013,340542,N
2013,340556,N
2013,340568,N
2013,340703,N
2013,34B000,N
2013,34D000,N
2013,350308,N
2013,350317,N
2013,350321,N
2013,350336,N
2013,360310,N
2013,360336,N
2013,360337,N
2013,360360,N
2013,360372,N
2013,360390,N
2013,360396,N
2013,360418,N
2013,360428,N
2013,360470,N
2013,360494,N
2013,36B000,Y
2013,370312,N
2013,380308,Y
2013,390314,N
2013,390322,N
2013,390323,N
2013,390324,N
2013,390700,N
2013,390704,N
2013,390705,N
2013,400308,Y
2013,400315,Y
2013,410319,N
2013,410326,N
2013,410355,N
2013,410358,N
2013,410379,N
2013,410390,N
2013,410391,N
2013,410394,N
2013,410395,N
2013,410398,N
2013,410399,N
2013,410401,N
2013,410406,N
2013,410407,N
2013,410408,N
2013,410457,N
2013,410464,N
2013,410483,N
2013,410484,N
2013,410489,N
2013,410490,N
2013,410508,N
2013,410529,N
2013,410533,N
2013,410534,N
2013,410544,N
2013,410545,N
2013,410547,N
2013,410556,N
2013,410562,N
2013,410569,N
2013,410579,N
2013,410589,N
2013,410595,N
2013,41F000,N
2013,420346,N
2013,420358,N
2013,421316,N
2013,422315,Y
2013,430345,N
2013,430346,N
2013,430371,N
2013,430378,N
2013,430384,N
2013,440326,N
2013,440346,N
2013,440378,N
2013,440390,N
2013,450316,Y
2013,450334,Y
2013,450341,Y
2013,450343,Y
2013,450352,Y
2013,450354,Y
2013,460320,Y
2013,460322,Y
2013,460340,Y
2013,470312,Y
2013,470342,Y
2013,470443,Y
2013,480316,Y
2013,480318,Y
2013,490320,Y
2013,490335,Y
2013,490342,N
2013,490346,Y
2013,490350,N
2013,490354,Y
2013,490355,Y
2013,490362,Y
2013,490380,Y
2013,491305,N
2013,491312,Y
2013,49E000,Y
2013,500302,N
2013,500323,N
2013,500324,N
2013,500340,N
2013,510324,Y
2013,510327,Y
2013,510333,Y
2013,510357,Y
2013,510367,Y
2013,510368,Y
2013,510376,Y
2013,510380,Y
2013,510399,Y
2013,510402,Y
2013,510406,Y
2013,51A000,N
2013,520320,N
2013,530306,N
2013,530316,N
2013,530335,N
2013,530336,N
2013,530343,N
2013,540315,Y
2013,540317,Y
2013,540318,Y
2013,540324,Y
2013,540336,Y
2013,550308,N
2013,550320,N
2013,550332,N
2013,550344,N
2013,550368,N
2013,55A000,N
2013,560320,Y
2013,560324,N
2013,560329,N
2013,560332,Y
2013,560350,Y
2013,570317,Y
2013,570318,Y
2013,580344,N
2013,580368,N
2013,58B000,Y
2013,590328,N
2013,590330,N
2013,600302,Y
2013,600312,Y
2013,600334,Y
2013,600361,Y
2013,600364,Y
2013,600377,Y
2013,600386,Y
2013,600397,Y
2013,600405,Y
2013,600415,Y
2013,600426,Y
2013,600439,Y
2013,600445,Y
2013,600457,Y
2013,600466,Y
2013,600480,Y
