year,agency_code,grade,pct_prof,pct_prof_masking
2018,00A000,6,44.4,
2018,00A000,9,29.0,
2018,00B000,6,37.9,
2018,00B000,9,27.0,
2018,010303,9,73.8,
2018,010310,6,26.3,
2018,010324,9,45.5,
2018,010348,9,15.7,
2018,010350,6,23.8,
2018,010353,6,34.3,
2018,010360,9,13.0,
2018,010378,6,7.7,
2018,010378,9,6.3,
2018,010388,9,41.5,
2018,010390,6,45.4,
2018,010394,6,40.4,
2018,010396,9,30.9,
2018,010400,9,46.4,
2018,010403,6,45.8,
2018,010406,6,50.3,
2018,01B000,6,49.3,
2018,01B000,9,48.4,
2018,01C000,6,48.0,
2018,01C000,9,37.8,
2018,01D000,6,73.0,
2018,01D000,9,69.4,
2018,020302,9,29.8,
2018,020303,9,72.0,
2018,020306,6,45.0,
2018,020330,6,48.5,
2018,030304,9,43.9,
2018,030308,6,46.7,
2018,030316,6,52.9,
2018,030320,6,43.1,
2018,040304,9,29.7,
2018,040305,9,5.0,2.0
2018,040306,9,15.7,
2018,040308,6,57.9,
2018,040309,6,29.1,
2018,040328,6,45.7,
2018,050302,9,39.6,
2018,050310,6,42.6,
2018,050330,6,49.4,
2018,050335,6,54.7,
2018,060302,9,29.3,
2018,060310,6,64.8,
2018,060318,6,55.2,
2018,060701,9,63.9,
2018,06B000,6,36.4,
2018,070308,6,45.8,
2018,070311,9,64.6,
2018,070325,6,60.2,
2018,070329,6,42.3,
2018,070330,9,29.5,
2018,070338,6,41.9,
2018,070339,9,26.7,
2018,070340,6,40.0,
2018,070342,9,25.4,
2018,07A000,6,53.6,
2018,07A000,9,55.0,
2018,080311,9,50.0,
2018,080312,9,18.8,
2018,080314,6,28.7,
2018,08A000,6,27.3,
2018,090315,6,33.8,
2018,090320,6,62.7,
2018,090328,6,20.0,
2018,090330,9,27.7,
2018,090332,6,34.1,
2018,090365,6,31.0,
2018,090368,9,24.2,
2018,09A000,9,7.1,
2018,09B000,6,35.7,
2018,100307,9,80.0,
2018,100308,9,5.0,2.0
2018,100309,6,43.0,
2018,100316,6,43.8,
2018,100326,9,26.3,
2018,100332,6,42.6,
2018,100334,9,35.3,
2018,100335,6,41.4,
2018,100344,6,39.0,
2018,100348,9,37.6,
2018,10A000,6,66.7,
2018,110303,9,5.3,
2018,110304,9,51.1,
2018,110306,6,50.9,
2018,110322,9,61.1,
2018,110326,6,61.3,
2018,110336,9,49.7,
2018,110338,6,48.5,
2018,110340,9,25.1,
2018,110352,9,38.2,
2018,110380,9,49.6,
2018,110382,6,55.4,
2018,110416,9,54.9,
2018,110425,6,46.8,
2018,110450,6,53.6,
2018,110451,6,38.8,
2018,110500,9,95.0,1.0
2018,111302,9,42.8,
2018,111356,6,65.0,
2018,111369,6,50.0,
2018,111700,9,64.4,
2018,11A000,6,83.0,
2018,11B000,6,65.1,
2018,11C000,6,51.4,
2018,11C000,9,51.4,
2018,11D000,6,66.7,
2018,11D000,9,43.6,
2018,11K000,6,73.7,
2018,120314,9,47.3,
2018,120315,6,58.4,
2018,120318,9,42.9,
2018,120334,6,64.3,
2018,120346,9,47.9,
2018,120350,6,55.6,
2018,120370,9,44.2,
2018,120376,6,49.4,
2018,120390,6,42.6,
2018,12A000,6,56.5,
2018,130307,9,65.8,
2018,130310,9,33.3,
2018,130313,6,29.8,
2018,130314,9,31.3,
2018,130315,6,63.6,
