year,agency_code,target,pct_met,target_met,target_assign
2018,00A000,Total Targets,21.4,3,14
2018,00A000,Math Grades 3-8,0.0,0,7
2018,00A000,Reading Grades 3-8,42.9,3,7
2018,00B000,Total Targets,40.0,6,15
2018,00B000,Math Grades 3-8,14.3,1,7
2018,00B000,Reading Grades 3-8,71.4,5,7
2018,00B000,Reading Grade 10,0.0,0,1
2018,010303,Total Targets,100.0,1,1
2018,010303,4 Year Graduation Rate,100.0,1,1
2018,010304,Total Targets,44.4,4,9
2018,010304,EL Progress,100.0,1,1
2018,010304,Math Grades 3-8,0.0,0,4
2018,010304,Reading Grades 3-8,75.0,3,4
2018,010308,Total Targets,0.0,0,8
2018,010308,Math Grades 3-8,0.0,0,4
2018,010308,Reading Grades 3-8,0.0,0,4
2018,010310,Total Targets,26.7,4,15
2018,010310,EL Progress,100.0,1,1
2018,010310,Math Grades 3-8,14.3,1,7
2018,010310,Reading Grades 3-8,28.6,2,7
2018,010312,Total Targets,7.7,1,13
2018,010312,EL Progress,100.0,1,1
2018,010312,Math Grades 3-8,0.0,0,6
2018,010312,Reading Grades 3-8,0.0,0,6
2018,010320,Total Targets,16.7,1,6
2018,010320,Math Grades 3-8,0.0,0,3
2018,010320,Reading Grades 3-8,33.3,1,3
2018,010324,Total Targets,44.4,8,18
2018,010324,4 Year Graduation Rate,66.7,4,6
2018,010324,Math Grade 11,0.0,0,6
2018,010324,Reading Grade 10,66.7,4,6
2018,010326,Total Targets,63.6,7,11
2018,010326,EL Progress,100.0,1,1
2018,010326,Math Grades 3-8,60.0,3,5
2018,010326,Reading Grades 3-8,60.0,3,5
2018,010328,Total Targets,0.0,0,6
2018,010328,Math Grades 3-8,0.0,0,3
2018,010328,Reading Grades 3-8,0.0,0,3
2018,010340,Total Targets,15.4,2,13
2018,010340,EL Progress,0.0,0,1
2018,010340,Math Grades 3-8,0.0,0,6
2018,010340,Reading Grades 3-8,33.3,2,6
2018,010346,Total Targets,11.1,1,9
2018,010346,EL Progress,100.0,1,1
2018,010346,Math Grades 3-8,0.0,0,4
2018,010346,Reading Grades 3-8,0.0,0,4
