year,agency_code,subgroup,den,pct,masking
2018,00B000,ALL,33,27.3,
2018,00B000,FEM,24,29.2,
2018,00B000,WH7,21,28.6,
2018,010303,ALL,19,95.0,1.0
2018,010303,FEM,17,95.0,1.0
2018,010303,WH7,11,95.0,1.0
2018,010324,AIG,63,95.0,1.0
2018,010324,ALL,268,87.7,
2018,010324,BL7,62,83.9,
2018,010324,EDS,70,81.4,
2018,010324,FEM,112,86.6,
2018,010324,HI7,32,84.4,
2018,010324,MALE,156,88.5,
2018,010324,MU7,10,90.0,
2018,010324,SWD,35,40.0,
2018,010324,WH7,161,89.4,
2018,010348,AIG,12,95.0,1.0
2018,010348,ALL,169,90.5,
2018,010348,BL7,52,90.4,
2018,010348,EDS,109,89.0,
2018,010348,ELS,18,94.4,
2018,010348,FEM,80,92.5,
2018,010348,HI7,67,95.0,1.0
2018,010348,MALE,89,88.8,
2018,010348,MU7,10,90.0,
2018,010348,SWD,24,37.5,
2018,010348,WH7,36,77.8,
2018,010360,AIG,23,95.0,1.0
2018,010360,ALL,203,86.2,
2018,010360,BL7,70,92.9,
2018,010360,EDS,144,86.1,
2018,010360,ELS,44,72.7,
2018,010360,FEM,97,91.8,
2018,010360,HI7,108,84.3,
2018,010360,MALE,106,81.1,
2018,010360,SWD,29,37.9,
2018,010360,WH7,13,61.5,
2018,010378,ALL,14,7.1,
2018,010378,MALE,10,10.0,
2018,010378,SWD,10,5.0,2.0
2018,010388,AIG,72,95.0,1.0
2018,010388,ALL,351,85.8,
2018,010388,BL7,25,72.0,
2018,010388,EDS,95,78.9,
2018,010388,ELS,18,77.8,
2018,010388,FEM,178,89.9,
2018,010388,HI7,47,80.9,
2018,010388,MALE,173,81.5,
2018,010388,MU7,11,90.9,
2018,010388,SWD,37,35.1,
2018,010388,WH7,263,87.5,
2018,010396,AIG,56,95.0,1.0
2018,010396,ALL,259,91.9,
2018,010396,BL7,86,84.9,
2018,010396,EDS,143,86.7,
2018,010396,ELS,22,90.9,
2018,010396,FEM,124,95.0,1.0
2018,010396,HI7,64,95.0,1.0
2018,010396,MALE,135,88.1,
2018,010396,MU7,12,91.7,
2018,010396,SWD,31,51.6,
2018,010396,WH7,87,94.3,
2018,010400,AIG,80,95.0,1.0
2018,010400,ALL,316,92.4,
2018,010400,BL7,42,95.0,1.0
2018,010400,EDS,76,84.2,
2018,010400,ELS,11,63.6,
2018,010400,FEM,139,95.0,1.0
2018,010400,HI7,32,84.4,
2018,010400,MALE,177,89.8,
2018,010400,MU7,11,90.9,
2018,010400,SWD,33,57.6,
2018,010400,WH7,224,92.9,
2018,010LEA,AIG,313,95.0,1.0
2018,010LEA,ALL,1599,88.4,
2018,010LEA,AS7,27,95.0,1.0
2018,010LEA,BL7,347,85.9,
2018,010LEA,EDS,647,84.5,
2018,010LEA,ELS,121,77.7,
2018,010LEA,FEM,751,91.7,
2018,010LEA,HI7,352,88.6,
2018,010LEA,HMS,22,95.0,1.0
2018,010LEA,MALE,848,85.5,
2018,010LEA,MU7,65,89.2,
2018,010LEA,SWD,199,41.2,
2018,010LEA,WH7,801,88.9,
2018,01B000,ALL,31,95.0,1.0
2018,01B000,FEM,20,95.0,1.0
2018,01B000,MALE,11,95.0,1.0
2018,01B000,WH7,26,95.0,1.0
2018,01C000,ALL,35,95.0,1.0
2018,01C000,FEM,22,95.0,1.0
2018,01C000,MALE,13,95.0,1.0
2018,01C000,WH7,29,95.0,1.0
2018,01D000,ALL,35,95.0,1.0
2018,01D000,FEM,15,95.0,1.0
2018,01D000,MALE,20,95.0,1.0
2018,01D000,WH7,29,95.0,1.0
2018,020302,AIG,99,95.0,1.0
2018,020302,ALL,352,93.8,
2018,020302,BL7,13,95.0,1.0
2018,020302,EDS,101,93.1,
2018,020302,FEM,167,94.0,
2018,020302,HI7,28,95.0,1.0
2018,020302,MALE,185,93.5,
2018,020302,MU7,14,95.0,1.0
2018,020302,SWD,32,50.0,
2018,020302,WH7,292,92.8,
2018,020LEA,AIG,99,95.0,1.0
2018,020LEA,ALL,352,93.8,
2018,020LEA,BL7,13,95.0,1.0
2018,020LEA,EDS,101,93.1,
2018,020LEA,FEM,167,94.0,
2018,020LEA,HI7,28,95.0,1.0
2018,020LEA,MALE,185,93.5,
2018,020LEA,MU7,14,95.0,1.0
2018,020LEA,SWD,32,50.0,
2018,020LEA,WH7,292,92.8,
2018,030304,AIG,20,95.0,1.0
2018,030304,ALL,88,87.5,
2018,030304,EDS,47,85.1,
2018,030304,FEM,44,90.9,
2018,030304,HI7,15,95.0,1.0
2018,030304,MALE,44,84.1,
2018,030304,WH7,70,85.7,
2018,030LEA,AIG,20,95.0,1.0
2018,030LEA,ALL,88,87.5,
2018,030LEA,EDS,47,85.1,
2018,030LEA,FEM,44,90.9,
2018,030LEA,HI7,15,95.0,1.0
2018,030LEA,MALE,44,84.1,
2018,030LEA,WH7,70,85.7,
2018,040304,AIG,18,95.0,1.0
2018,040304,ALL,35,95.0,1.0
2018,040304,BL7,11,95.0,1.0
2018,040304,FEM,22,95.0,1.0
2018,040304,MALE,13,95.0,1.0
2018,040304,WH7,19,95.0,1.0
2018,040305,ALL,28,95.0,1.0
2018,040305,BL7,23,95.0,1.0
2018,040305,EDS,16,95.0,1.0
2018,040305,MALE,19,94.7,
2018,040306,AIG,36,95.0,1.0
2018,040306,ALL,156,89.1,
2018,040306,BL7,91,86.8,
2018,040306,EDS,57,91.2,
2018,040306,FEM,78,91.0,
2018,040306,MALE,78,87.2,
2018,040306,SWD,24,33.3,
2018,040306,WH7,54,92.6,
2018,040LEA,AIG,55,95.0,1.0
2018,040LEA,ALL,219,91.8,
2018,040LEA,BL7,125,90.4,
2018,040LEA,EDS,80,93.8,
2018,040LEA,FEM,109,93.6,
2018,040LEA,MALE,110,90.0,
2018,040LEA,SWD,30,46.7,
2018,040LEA,WH7,78,93.6,
2018,050302,AIG,43,95.0,1.0
2018,050302,ALL,206,86.9,
2018,050302,EDS,100,84.0,
2018,050302,FEM,98,91.8,
2018,050302,HI7,17,94.1,
2018,050302,MALE,108,82.4,
2018,050302,SWD,25,16.0,
2018,050302,WH7,184,85.9,
2018,050LEA,AIG,43,95.0,1.0
2018,050LEA,ALL,206,86.9,
2018,050LEA,EDS,100,84.0,
2018,050LEA,FEM,98,91.8,
2018,050LEA,HI7,17,94.1,
2018,050LEA,MALE,108,82.4,
2018,050LEA,SWD,25,16.0,
2018,050LEA,WH7,184,85.9,
2018,060302,ALL,72,95.0,1.0
2018,060302,EDS,48,93.8,
2018,060302,FEM,36,94.4,
2018,060302,HI7,13,92.3,
2018,060302,MALE,36,95.0,1.0
2018,060302,SWD,10,70.0,
2018,060302,WH7,58,95.0,1.0
2018,060334,ALL,12,95.0,1.0
2018,060334,WH7,12,95.0,1.0
2018,060700,AIG,20,95.0,1.0
2018,060700,ALL,69,95.0,1.0
2018,060700,EDS,31,95.0,1.0
2018,060700,FEM,43,95.0,1.0
2018,060700,MALE,26,95.0,1.0
2018,060700,WH7,64,95.0,1.0
2018,060LEA,AIG,26,95.0,1.0
2018,060LEA,ALL,153,95.0,1.0
2018,060LEA,EDS,85,95.0,1.0
2018,060LEA,FEM,82,95.0,1.0
2018,060LEA,HI7,17,94.1,
2018,060LEA,MALE,71,95.0,1.0
2018,060LEA,SWD,12,75.0,
2018,060LEA,WH7,134,95.0,1.0
2018,070310,ALL,19,94.7,
2018,070310,BL7,13,95.0,1.0
2018,070310,EDS,11,95.0,1.0
2018,070310,MALE,10,90.0,
2018,070311,AIG,21,95.0,1.0
2018,070311,ALL,55,95.0,1.0
2018,070311,EDS,33,95.0,1.0
2018,070311,FEM,33,95.0,1.0
2018,070311,HI7,14,95.0,1.0
2018,070311,MALE,22,95.0,1.0
2018,070311,WH7,31,95.0,1.0
2018,070330,AIG,19,95.0,1.0
2018,070330,ALL,96,95.0,1.0
2018,070330,BL7,16,87.5,
2018,070330,EDS,23,91.3,
2018,070330,FEM,45,95.0,1.0
2018,070330,MALE,51,95.0,1.0
2018,070330,SWD,10,70.0,
2018,070330,WH7,68,95.0,1.0
2018,070339,ALL,117,95.0,1.0
2018,070339,BL7,40,95.0,1.0
2018,070339,EDS,43,95.0,1.0
2018,070339,FEM,57,95.0,1.0
2018,070339,HI7,13,95.0,1.0
2018,070339,MALE,60,95.0,
2018,070339,MU7,12,95.0,1.0
2018,070339,WH7,52,92.3,
2018,070342,AIG,45,95.0,1.0
2018,070342,ALL,228,95.0,1.0
2018,070342,BL7,82,93.9,
2018,070342,EDS,70,95.0,1.0
2018,070342,FEM,124,95.0,1.0
2018,070342,HI7,24,87.5,
2018,070342,MALE,104,92.3,
2018,070342,SWD,16,68.8,
2018,070342,WH7,115,95.0,1.0
2018,070LEA,AIG,95,95.0,1.0
2018,070LEA,ALL,515,95.0,1.0
2018,070LEA,BL7,159,95.0,1.0
2018,070LEA,EDS,180,95.0,1.0
2018,070LEA,ELS,18,88.9,
2018,070LEA,FEM,268,95.0,1.0
2018,070LEA,HI7,61,95.0,1.0
2018,070LEA,MALE,247,94.7,
2018,070LEA,MU7,25,95.0,1.0
2018,070LEA,SWD,37,67.6,
2018,070LEA,WH7,270,95.0,1.0
2018,080311,ALL,36,95.0,1.0
2018,080311,BL7,21,95.0,1.0
2018,080311,FEM,22,95.0,1.0
2018,080311,MALE,14,95.0,1.0
2018,080311,WH7,13,95.0,1.0
2018,080312,ALL,141,90.1,
2018,080312,BL7,125,89.6,
2018,080312,EDS,72,88.9,
2018,080312,FEM,62,93.5,
2018,080312,MALE,79,87.3,
2018,080312,SWD,25,44.0,
2018,080312,WH7,15,93.3,
2018,080LEA,AIG,13,95.0,1.0
2018,080LEA,ALL,177,92.1,
2018,080LEA,BL7,146,91.1,
2018,080LEA,EDS,81,90.1,
2018,080LEA,FEM,84,95.0,1.0
2018,080LEA,MALE,93,89.2,
2018,080LEA,SWD,25,44.0,
2018,080LEA,WH7,28,95.0,1.0
2018,090330,AIG,26,95.0,1.0
2018,090330,ALL,160,92.5,
2018,090330,BL7,93,91.4,
2018,090330,EDS,51,94.1,
2018,090330,FEM,76,94.7,
2018,090330,HI7,17,95.0,1.0
2018,090330,MALE,84,90.5,
2018,090330,SWD,19,42.1,
2018,090330,WH7,43,93.0,
2018,090368,AIG,27,95.0,1.0
2018,090368,ALL,203,92.6,
2018,090368,BL7,63,90.5,
2018,090368,EDS,59,88.1,
2018,090368,ELS,11,90.9,
2018,090368,FEM,107,95.0,1.0
2018,090368,HI7,34,94.1,
2018,090368,MALE,96,89.6,
2018,090368,SWD,31,51.6,
2018,090368,WH7,93,94.6,
2018,090LEA,AIG,53,95.0,1.0
2018,090LEA,ALL,363,92.6,
2018,090LEA,BL7,156,91.0,
2018,090LEA,EDS,110,90.9,
2018,090LEA,ELS,16,93.8,
2018,090LEA,FEM,183,95.0,1.0
2018,090LEA,HI7,51,95.0,1.0
2018,090LEA,MALE,180,90.0,
2018,090LEA,MU7,13,84.6,
2018,090LEA,SWD,50,48.0,
2018,090LEA,WH7,136,94.1,
2018,09A000,ALL,13,95.0,1.0
2018,09A000,BL7,10,95.0,1.0
2018,100307,AIG,19,95.0,1.0
2018,100307,ALL,58,95.0,1.0
2018,100307,EDS,27,95.0,1.0
2018,100307,FEM,35,95.0,1.0
2018,100307,HI7,10,95.0,1.0
2018,100307,MALE,23,95.0,1.0
2018,100307,WH7,38,95.0,1.0
2018,100308,ALL,30,86.7,
2018,100308,EDS,22,90.9,
2018,100308,FEM,17,82.4,
2018,100308,MALE,13,92.3,
2018,100308,WH7,21,85.7,
2018,100326,AIG,17,95.0,1.0
2018,100326,ALL,256,92.6,
2018,100326,BL7,73,90.4,
2018,100326,EDS,132,90.2,
2018,100326,FEM,125,95.0,1.0
2018,100326,HI7,27,92.6,
2018,100326,MALE,131,87.8,
2018,100326,SWD,31,48.4,
