year,agency_code,target,subgroup,pct,masking
2018,00A000,The ACT,ALL,79,
2018,00A000,The ACT,BL7,68,
2018,00A000,The ACT,EDS,63,
2018,00A000,The ACT,WH7,81,
2018,00A000,Math Grades 3-8,ALL,94,
2018,00A000,Math Grades 3-8,BL7,94,
2018,00A000,Math Grades 3-8,EDS,93,
2018,00A000,Math Grades 3-8,HI7,94,
2018,00A000,Math Grades 3-8,MU7,95,1
2018,00A000,Math Grades 3-8,SWD,91,
2018,00A000,Math Grades 3-8,WH7,93,
2018,00A000,High School Math,ALL,80,
2018,00A000,High School Math,BL7,76,
2018,00A000,High School Math,WH7,82,
2018,00A000,Reading Grades 3-8,ALL,95,
2018,00A000,Reading Grades 3-8,BL7,94,
2018,00A000,Reading Grades 3-8,EDS,94,
2018,00A000,Reading Grades 3-8,HI7,95,1
2018,00A000,Reading Grades 3-8,MU7,95,1
2018,00A000,Reading Grades 3-8,SWD,92,
2018,00A000,Reading Grades 3-8,WH7,95,
2018,00A000,English II,ALL,95,1
2018,00A000,English II,BL7,95,1
2018,00A000,English II,EDS,95,1
2018,00A000,English II,HI7,95,1
2018,00A000,English II,WH7,95,1
2018,00A000,Science Grades 5&8,ALL,94,
2018,00A000,Science Grades 5&8,BL7,92,
2018,00A000,Science Grades 5&8,EDS,95,1
2018,00A000,Science Grades 5&8,HI7,95,1
2018,00A000,Science Grades 5&8,SWD,94,
2018,00A000,Science Grades 5&8,WH7,92,
2018,00A000,Biology,ALL,82,
2018,00A000,Biology,BL7,71,
2018,00A000,Biology,WH7,86,
2018,00B000,The ACT,ALL,95,1
2018,00B000,The ACT,WH7,95,1
2018,00B000,Math Grades 3-8,ALL,95,1
2018,00B000,Math Grades 3-8,BL7,95,1
2018,00B000,Math Grades 3-8,EDS,95,1
2018,00B000,Math Grades 3-8,HI7,95,1
2018,00B000,Math Grades 3-8,MU7,95,1
2018,00B000,Math Grades 3-8,SWD,95,1
2018,00B000,Math Grades 3-8,WH7,95,1
2018,00B000,High School Math,ALL,95,1
2018,00B000,High School Math,WH7,95,1
2018,00B000,Reading Grades 3-8,ALL,95,1
2018,00B000,Reading Grades 3-8,BL7,95,1
2018,00B000,Reading Grades 3-8,EDS,95,1
2018,00B000,Reading Grades 3-8,HI7,95,1
