year,agency_code,category_code,avg_student_num
2006,010303,,22
2006,010304,,528
2006,010308,,575
2006,010310,,726
2006,010320,,374
2006,010324,,1082
2006,010326,,560
2006,010328,,674
2006,010340,,765
2006,010346,,462
2006,010347,,702
2006,010348,,823
2006,010350,,664
2006,010351,,518
2006,010353,,614
2006,010354,,608
2006,010357,,512
2006,010358,,636
2006,010360,,887
2006,010362,,605
2006,010364,,366
2006,010372,,265
2006,010374,,539
2006,010378,,109
2006,010380,,602
2006,010384,,445
2006,010388,,1325
2006,010390,,759
2006,010392,,316
2006,010394,,960
2006,010396,,1310
2006,010400,,1114
2006,010403,,768
2006,010406,,584
2006,01A000,,22
2006,01B000,,451
2006,01C000,,381
2006,01D000,,78
2006,020302,,1559
2006,020304,,531
2006,020306,,686
2006,020308,,367
2006,020316,,592
2006,020320,,296
2006,020324,,278
2006,020328,,281
2006,020330,,669
2006,020332,,423
2006,030304,,442
2006,030308,,253
2006,030316,,160
2006,030320,,665
2006,040304,,48
2006,040305,,77
2006,040306,,1134
2006,040308,,220
2006,040309,,662
2006,040311,,449
2006,040316,,317
2006,040324,,345
2006,040328,,523
2006,040330,,392
2006,050302,,987
2006,050305,,492
2006,050310,,510
2006,050330,,640
2006,050335,,606
2006,060302,,668
2006,060304,,146
2006,060308,,73
2006,060310,,180
2006,060316,,229
2006,060318,,369
2006,060322,,211
2006,060328,,289
2006,060332,,122
2006,06A000,,38
2006,06B000,,86
2006,070302,,584
2006,070306,,103
2006,070308,,600
2006,070310,,63
2006,070325,,464
2006,070326,,550
2006,070327,,530
2006,070328,,488
2006,070329,,658
2006,070330,,509
2006,070338,,808
2006,070339,,512
2006,070340,,180
2006,070342,,1062
2006,07A000,,262
2006,080304,,144
2006,080310,,531
2006,080312,,990
2006,080320,,247
2006,080336,,86
2006,080348,,171
2006,080350,,27
2006,080356,,369
2006,080360,,231
2006,080362,,415
2006,090304,,268
2006,090315,,369
2006,090317,,492
2006,090318,,339
2006,090320,,339
2006,090324,,292
2006,090328,,197
2006,090330,,759
2006,090332,,461
2006,090333,,529
2006,090352,,161
2006,090354,,39
2006,090365,,369
2006,090368,,856
2006,100302,,665
2006,100304,,682
2006,100308,,115
2006,100310,,460
2006,100316,,655
2006,100320,,613
2006,100326,,787
2006,100332,,939
2006,100334,,1019
2006,100335,,909
2006,100336,,613
2006,100338,,631
2006,100340,,633
2006,100342,,584
2006,100344,,569
2006,100348,,1259
2006,10A000,,594
2006,110303,,119
2006,110304,,1445
2006,110306,,640
2006,110308,,210
2006,110318,,226
2006,110320,,463
2006,110322,,85
2006,110324,,596
2006,110326,,853
2006,110332,,311
2006,110336,,814
2006,110338,,700
2006,110340,,1168
2006,110342,,1085
2006,110348,,478
2006,110352,,1272
2006,110356,,812
2006,110366,,647
2006,110368,,458
2006,110370,,506
2006,110372,,309
2006,110376,,627
2006,110379,,648
2006,110380,,1082
2006,110381,,615
2006,110382,,596
2006,110384,,519
2006,110388,,252
2006,110401,,1022
2006,110408,,738
2006,110410,,670
2006,110412,,536
2006,110416,,1505
2006,110420,,810
2006,110422,,929
2006,110428,,349
2006,110432,,255
2006,110436,,710
2006,110444,,176
2006,111301,,161
2006,111302,,1113
2006,111304,,276
2006,111306,,411
2006,111312,,388
2006,111332,,377
2006,111356,,651
2006,111360,,326
2006,111700,,50
2006,11A000,,370
2006,11B000,,287
2006,11K000,,143
2006,120304,,280
2006,120308,,150
2006,120312,,293
2006,120314,,1912
2006,120315,,831
2006,120316,,428
2006,120318,,2250
2006,120320,,458
2006,120324,,525
2006,120330,,291
2006,120334,,710
2006,120338,,405
2006,120340,,222
2006,120344,,301
2006,120350,,589
2006,120352,,68
2006,120356,,236
2006,120360,,380
2006,120364,,523
2006,120368,,516
2006,120372,,247
2006,120374,,555
2006,120376,,683
2006,120380,,423
2006,120386,,413
2006,120390,,574
2006,12A000,,79
2006,130304,,486
2006,130308,,679
2006,130309,,380
2006,130310,,1642
2006,130311,,372
2006,130312,,845
2006,130313,,918
2006,130314,,1167
2006,130315,,865
2006,130316,,1677
2006,130317,,79
2006,130318,,1243
2006,130319,,1173
2006,130320,,1030
2006,130322,,873
2006,130323,,697
2006,130324,,936
2006,130326,,1329
2006,130327,,869
2006,130328,,356
2006,130329,,864
2006,130330,,314
2006,130331,,798
2006,130334,,63
2006,130336,,851
2006,130338,,903
2006,130340,,1002
2006,130342,,749
2006,130344,,639
2006,132304,,1272
2006,132308,,563
2006,132312,,286
2006,132328,,465
2006,132329,,752
2006,132330,,706
2006,132332,,294
2006,132336,,366
2006,13A000,,367
2006,140304,,525
2006,140306,,64
2006,140307,,39
2006,140308,,437
2006,140312,,453
2006,140316,,542
2006,140324,,602
2006,140332,,591
2006,140336,,707
2006,140340,,716
2006,140344,,363
2006,140348,,1032
2006,140352,,739
2006,140356,,798
2006,140360,,223
2006,140368,,551
2006,140372,,388
2006,140376,,257
2006,140384,,409
2006,140386,,1660
2006,140388,,226
2006,140390,,1017
2006,140392,,259
2006,140396,,324
2006,150304,,511
2006,150308,,849
2006,150312,,448
2006,160304,,155
2006,160306,,408
2006,160308,,451
2006,160310,,241
2006,160311,,560
2006,160312,,32
2006,160313,,626
2006,160314,,776
2006,160316,,170
2006,160317,,285
2006,160318,,475
2006,160322,,658
2006,160324,,800
2006,160326,,499
2006,160332,,293
2006,160344,,1183
2006,160352,,597
2006,16A000,,136
2006,16B000,,194
2006,170316,,965
2006,170334,,442
2006,170338,,821
2006,170339,,439
2006,170342,,365
2006,170344,,221
2006,180302,,694
2006,180304,,809
2006,180308,,1007
2006,180312,,372
2006,180316,,729
2006,180320,,845
2006,180324,,340
2006,180325,,95
2006,180326,,429
2006,180332,,502
2006,180336,,800
2006,180340,,1221
2006,180342,,679
2006,180343,,649
2006,180344,,596
2006,180348,,658
2006,180352,,547
2006,180356,,703
2006,180360,,627
2006,180364,,522
2006,180368,,763
2006,180372,,726
2006,180376,,1236
2006,180380,,655
2006,180384,,316
2006,180388,,484
2006,181312,,548
2006,181316,,468
2006,181318,,103
2006,181322,,1276
2006,181324,,10
2006,181326,,486
2006,181332,,335
2006,181336,,331
2006,181342,,358
2006,181344,,572
2006,182304,,125
2006,182316,,809
2006,182321,,685
2006,182322,,481
2006,182324,,364
2006,182328,,412
2006,182700,,34
2006,18B000,,37
2006,190304,,273
2006,190308,,410
2006,190310,,55
2006,190312,,583
2006,190316,,479
2006,190328,,339
2006,190332,,344
2006,190336,,747
2006,190340,,194
2006,190341,,678
2006,190342,,986
2006,190346,,614
2006,190348,,521
2006,190350,,714
2006,190352,,534
2006,19A000,,271
2006,19B000,,222
2006,200304,,346
2006,200308,,267
2006,200310,,253
2006,200312,,198
2006,200314,,181
2006,200316,,120
2006,200320,,237
2006,200322,,45
2006,200324,,471
2006,200328,,560
2006,200330,,381
2006,200332,,190
2006,200336,,380
2006,20A000,,72
2006,210304,,607
2006,210306,,559
2006,210312,,749
2006,210316,,529
2006,220308,,481
2006,220310,,405
2006,220312,,428
2006,230304,,476
2006,230308,,610
2006,230312,,1240
2006,230316,,1007
2006,230320,,341
2006,230324,,1425
2006,230328,,1115
2006,230330,,69
2006,230334,,208
2006,230336,,616
2006,230340,,574
2006,230342,,209
2006,230344,,389
2006,230346,,280
2006,230348,,367
2006,230350,,1276
2006,230351,,683
2006,230352,,748
2006,230355,,414
2006,230357,,237
2006,230359,,144
2006,230361,,930
2006,230362,,773
2006,230364,,742
2006,230368,,756
2006,230370,,491
2006,230376,,440
2006,230380,,318
2006,240304,,224
2006,240308,,321
2006,240318,,17
2006,240328,,317
2006,240330,,288
2006,240332,,367
2006,240334,,595
2006,240336,,30
2006,240344,,337
2006,240348,,117
2006,240352,,269
2006,240354,,431
2006,240356,,376
2006,240370,,373
2006,240371,,789
2006,240372,,597
2006,240376,,233
2006,240380,,598
2006,240388,,650
2006,241304,,561
2006,241308,,637
2006,241312,,22
2006,241316,,724
2006,241320,,641
2006,250304,,426
2006,250306,,482
2006,250308,,501
2006,250312,,955
2006,250320,,628
2006,250324,,651
2006,250328,,307
2006,250332,,817
2006,250336,,376
2006,250340,,1174
2006,250344,,469
2006,250348,,407
2006,250350,,577
2006,250356,,1821
2006,250360,,428
2006,250362,,503
2006,250364,,396
2006,250368,,529
2006,250372,,1105
2006,250376,,921
2006,250378,,452
2006,250380,,619
2006,260302,,282
2006,260306,,418
2006,260308,,289
2006,260310,,555
2006,260312,,115
2006,260316,,261
2006,260318,,1761
2006,260320,,552
2006,260321,,727
2006,260322,,1189
2006,260324,,172
2006,260325,,1431
2006,260326,,734
2006,260332,,369
2006,260336,,699
2006,260338,,623
2006,260340,,421
2006,260342,,583
2006,260344,,261
2006,260346,,55
2006,260348,,585
2006,260352,,353
2006,260354,,70
2006,260356,,243
2006,260357,,991
2006,260358,,590
2006,260359,,1306
2006,260360,,52
2006,260361,,425
2006,260362,,552
2006,260363,,287
2006,260364,,722
2006,260365,,899
2006,260366,,535
2006,260367,,810
2006,260368,,725
2006,260369,,1274
2006,260370,,588
2006,260371,,362
2006,260372,,867
2006,260373,,966
2006,260380,,493
2006,260382,,457
2006,260383,,1125
2006,260384,,73
2006,260386,,326
2006,260388,,287
2006,260396,,470
2006,260397,,851
2006,260398,,714
2006,260400,,459
2006,260401,,640
2006,260402,,344
2006,260404,,353
2006,260405,,163
2006,260406,,814
2006,260407,,672
2006,260408,,1666
2006,260409,,115
2006,260410,,431
2006,260411,,818
2006,260412,,226
2006,260413,,131
2006,260414,,638
2006,260415,,688
2006,260416,,372
2006,260418,,514
2006,260424,,1767
2006,260425,,974
2006,260426,,609
2006,260427,,1798
2006,260428,,538
2006,260430,,289
2006,260432,,140
2006,260434,,775
2006,260440,,293
2006,260444,,176
2006,260446,,1388
2006,260448,,549
2006,260449,,209
2006,260450,,498
2006,260451,,54
2006,260452,,450
2006,260454,,765
2006,260455,,1271
2006,260456,,260
2006,260459,,501
2006,260700,,43
2006,26B000,,87
2006,270304,,269
2006,270306,,1192
2006,270308,,440
2006,270310,,331
2006,270312,,142
2006,270316,,545
2006,270318,,607
2006,270320,,499
2006,280302,,257
2006,280304,,371
2006,280306,,38
2006,280308,,480
2006,280310,,446
2006,280312,,599
2006,280316,,485
2006,280320,,334
2006,280324,,379
2006,280328,,654
2006,280330,,815
2006,290302,,396
2006,290306,,645
2006,290308,,921
2006,290309,,831
2006,290310,,84
2006,290312,,597
2006,290314,,131
2006,290315,,35
2006,290316,,560
2006,290320,,523
2006,290322,,763
2006,290324,,933
2006,290328,,651
2006,290330,,470
2006,290332,,524
2006,290333,,392
2006,290334,,841
2006,290336,,996
2006,290344,,619
