dance_cat,music_cat,theatre_cat,va_cat,agency_code,year
N,Y,N,Y,00A000,2018
N,Y,N,Y,00B000,2018
N,Y,N,Y,010303,2018
N,Y,N,Y,010304,2018
N,Y,N,Y,010308,2018
N,Y,N,Y,010310,2018
N,Y,N,Y,010312,2018
N,Y,N,Y,010320,2018
Y,Y,Y,Y,010324,2018
N,Y,N,Y,010326,2018
N,Y,N,Y,010328,2018
N,Y,Y,Y,010340,2018
N,Y,N,Y,010346,2018
N,Y,N,Y,010347,2018
Y,Y,Y,Y,010348,2018
N,Y,N,Y,010350,2018
N,Y,N,Y,010351,2018
N,Y,N,Y,010353,2018
N,Y,N,Y,010354,2018
N,Y,N,Y,010357,2018
N,Y,N,Y,010358,2018
Y,Y,Y,Y,010360,2018
N,Y,N,Y,010362,2018
Y,Y,Y,Y,010364,2018
N,Y,N,Y,010372,2018
N,Y,N,Y,010374,2018
N,Y,N,Y,010380,2018
N,Y,N,Y,010384,2018
Y,Y,Y,Y,010388,2018
N,Y,N,Y,010390,2018
Y,Y,Y,Y,010392,2018
N,Y,N,Y,010394,2018
N,Y,N,Y,010396,2018
Y,Y,Y,Y,010400,2018
N,Y,N,Y,010403,2018
N,Y,Y,Y,010406,2018
N,Y,Y,Y,01B000,2018
Y,Y,N,Y,01C000,2018
N,Y,Y,Y,01D000,2018
N,Y,N,Y,020302,2018
N,Y,Y,Y,020303,2018
N,Y,N,N,020304,2018
N,Y,N,Y,020306,2018
N,Y,N,N,020308,2018
N,Y,N,N,020316,2018
N,Y,N,N,020320,2018
N,Y,N,N,020324,2018
N,Y,N,N,020328,2018
N,Y,N,Y,020330,2018
N,Y,N,N,020332,2018
N,Y,Y,Y,030304,2018
N,Y,N,Y,030320,2018
N,Y,N,Y,040304,2018
N,Y,N,Y,040305,2018
N,Y,N,Y,040306,2018
N,Y,N,N,040308,2018
N,Y,N,N,040309,2018
N,Y,N,N,040311,2018
N,Y,N,N,040328,2018
Y,Y,Y,Y,050302,2018
N,Y,N,Y,050305,2018
N,Y,N,Y,050310,2018
N,Y,N,Y,050330,2018
N,Y,N,Y,050335,2018
N,Y,Y,Y,060302,2018
N,Y,N,Y,060304,2018
N,Y,Y,Y,060310,2018
N,Y,N,Y,060316,2018
N,Y,Y,Y,060318,2018
N,Y,N,Y,060322,2018
N,Y,N,Y,060328,2018
N,Y,N,Y,060332,2018
N,Y,N,Y,06B000,2018
N,Y,N,Y,070302,2018
N,Y,N,Y,070308,2018
N,Y,N,Y,070325,2018
N,Y,N,Y,070326,2018
N,Y,N,Y,070327,2018
N,Y,N,Y,070328,2018
N,Y,N,Y,070329,2018
Y,Y,N,Y,070330,2018
N,Y,N,Y,070338,2018
N,Y,N,Y,070339,2018
N,Y,N,Y,070340,2018
N,Y,Y,Y,070342,2018
N,Y,Y,Y,07A000,2018
N,Y,N,Y,080311,2018
N,Y,N,Y,080312,2018
N,Y,N,N,080314,2018
N,Y,N,N,080362,2018
N,N,N,Y,08A000,2018
N,Y,N,Y,090304,2018
N,Y,N,Y,090315,2018
N,Y,N,Y,090317,2018
N,Y,N,Y,090318,2018
N,Y,N,N,090320,2018
N,Y,N,Y,090324,2018
N,Y,N,Y,090328,2018
N,Y,N,Y,090330,2018
N,Y,N,Y,090332,2018
N,Y,N,Y,090333,2018
N,Y,N,Y,090352,2018
N,Y,N,Y,090365,2018
N,Y,Y,Y,090368,2018
N,Y,N,N,09A000,2018
N,Y,N,Y,09B000,2018
N,Y,N,Y,100302,2018
N,Y,N,Y,100304,2018
Y,Y,N,Y,100307,2018
N,N,N,Y,100308,2018
N,Y,N,Y,100309,2018
N,Y,N,Y,100310,2018
N,Y,N,Y,100316,2018
N,Y,N,Y,100320,2018
Y,Y,Y,Y,100326,2018
N,Y,N,Y,100332,2018
Y,Y,N,Y,100334,2018
N,Y,N,Y,100335,2018
N,Y,N,Y,100336,2018
N,Y,N,Y,100338,2018
N,Y,N,Y,100339,2018
N,Y,N,Y,100340,2018
N,Y,N,Y,100342,2018
N,Y,N,Y,100344,2018
Y,Y,Y,Y,100348,2018
N,Y,N,Y,10A000,2018
N,Y,Y,Y,110304,2018
N,Y,N,Y,110306,2018
N,Y,N,Y,110308,2018
N,Y,N,Y,110318,2018
N,Y,N,Y,110320,2018
N,Y,N,Y,110324,2018
N,Y,Y,Y,110326,2018
N,Y,N,Y,110332,2018
Y,Y,Y,Y,110336,2018
N,Y,N,Y,110338,2018
Y,Y,N,Y,110340,2018
N,Y,N,Y,110342,2018
N,Y,N,Y,110348,2018
Y,Y,Y,Y,110352,2018
N,Y,N,Y,110356,2018
N,Y,N,Y,110366,2018
N,Y,N,Y,110368,2018
N,Y,N,Y,110370,2018
N,Y,N,Y,110372,2018
N,Y,N,Y,110376,2018
N,Y,N,Y,110379,2018
Y,Y,Y,Y,110380,2018
N,Y,N,Y,110381,2018
N,Y,N,Y,110382,2018
N,Y,N,Y,110384,2018
N,Y,N,Y,110388,2018
N,Y,N,Y,110401,2018
N,Y,N,Y,110408,2018
N,Y,N,Y,110410,2018
N,Y,N,Y,110412,2018
Y,Y,Y,Y,110416,2018
N,Y,Y,Y,110420,2018
N,Y,N,Y,110422,2018
N,Y,N,Y,110425,2018
N,Y,N,Y,110428,2018
N,Y,N,Y,110432,2018
N,Y,N,Y,110436,2018
N,Y,N,Y,110444,2018
N,Y,Y,Y,110450,2018
N,Y,N,Y,110451,2018
N,Y,N,Y,110500,2018
Y,Y,Y,Y,111302,2018
N,Y,N,Y,111304,2018
N,Y,N,Y,111306,2018
N,Y,Y,Y,111312,2018
N,Y,N,Y,111332,2018
N,Y,Y,Y,111356,2018
N,Y,N,Y,111360,2018
N,Y,N,Y,111369,2018
N,Y,N,Y,11A000,2018
N,Y,Y,Y,11C000,2018
N,Y,Y,Y,11D000,2018
N,Y,N,N,120304,2018
N,N,N,Y,120308,2018
N,Y,N,Y,120312,2018
Y,Y,N,Y,120314,2018
N,Y,N,Y,120315,2018
N,Y,N,Y,120316,2018
Y,Y,N,Y,120318,2018
N,Y,N,N,120320,2018
N,Y,N,N,120324,2018
N,Y,N,Y,120334,2018
N,Y,N,N,120338,2018
N,Y,N,N,120340,2018
N,Y,N,N,120344,2018
Y,Y,Y,Y,120346,2018
N,Y,N,Y,120350,2018
N,Y,N,N,120352,2018
N,Y,N,N,120360,2018
N,Y,N,N,120364,2018
N,Y,N,Y,120368,2018
Y,Y,Y,Y,120370,2018
N,Y,N,N,120372,2018
N,Y,N,N,120374,2018
N,Y,N,Y,120376,2018
N,Y,N,N,120380,2018
N,Y,N,Y,120386,2018
N,Y,N,Y,120390,2018
N,N,N,Y,12A000,2018
N,Y,N,Y,130304,2018
Y,Y,Y,Y,130307,2018
N,Y,N,Y,130308,2018
N,Y,N,Y,130309,2018
N,Y,Y,Y,130310,2018
N,Y,N,Y,130311,2018
N,Y,N,Y,130312,2018
N,Y,N,Y,130313,2018
N,Y,Y,Y,130314,2018
N,Y,N,Y,130315,2018
N,Y,Y,Y,130316,2018
N,Y,N,Y,130318,2018
N,Y,N,Y,130319,2018
N,Y,N,Y,130320,2018
N,Y,N,Y,130321,2018
N,Y,N,Y,130322,2018
N,Y,Y,Y,130323,2018
N,Y,Y,Y,130324,2018
N,Y,N,Y,130325,2018
N,Y,Y,Y,130326,2018
N,Y,Y,Y,130327,2018
N,Y,N,Y,130328,2018
N,Y,N,Y,130329,2018
N,Y,N,Y,130330,2018
N,Y,N,Y,130331,2018
N,Y,Y,Y,130332,2018
N,Y,N,Y,130333,2018
N,Y,N,Y,130336,2018
N,Y,N,Y,130337,2018
N,Y,N,Y,130338,2018
N,Y,N,Y,130340,2018
N,Y,N,Y,130342,2018
N,Y,N,Y,130344,2018
N,Y,N,Y,130345,2018
N,Y,N,Y,130346,2018
N,Y,N,Y,130350,2018
N,Y,Y,Y,130355,2018
Y,Y,Y,Y,132304,2018
N,Y,N,Y,132308,2018
N,Y,N,Y,132312,2018
Y,Y,N,Y,132314,2018
N,Y,N,Y,132328,2018
Y,Y,N,Y,132330,2018
N,Y,N,Y,132332,2018
N,Y,N,Y,132336,2018
N,Y,Y,Y,13A000,2018
N,Y,Y,Y,13B000,2018
N,Y,N,N,13C000,2018
N,Y,N,Y,13D000,2018
N,Y,N,Y,140304,2018
N,N,N,Y,140306,2018
N,Y,N,N,140308,2018
N,Y,Y,Y,140312,2018
N,Y,N,Y,140316,2018
N,Y,N,Y,140324,2018
N,Y,N,Y,140332,2018
N,Y,N,Y,140336,2018
N,Y,N,Y,140340,2018
N,Y,N,Y,140344,2018
N,Y,Y,Y,140348,2018
N,Y,N,Y,140352,2018
N,Y,N,Y,140356,2018
N,Y,N,Y,140360,2018
N,Y,N,Y,140368,2018
N,Y,N,Y,140372,2018
N,Y,N,Y,140376,2018
N,Y,N,Y,140384,2018
N,Y,Y,Y,140386,2018
N,Y,N,Y,140388,2018
N,Y,Y,Y,140390,2018
N,Y,N,Y,140392,2018
N,Y,N,Y,140396,2018
N,Y,N,Y,150304,2018
N,Y,N,Y,150308,2018
N,Y,N,Y,150310,2018
N,Y,N,Y,150312,2018
Y,Y,N,Y,150350,2018
N,Y,N,Y,160304,2018
N,Y,N,Y,160306,2018
N,Y,N,Y,160308,2018
N,Y,N,Y,160310,2018
N,Y,N,Y,160311,2018
Y,Y,Y,Y,160313,2018
Y,Y,Y,Y,160314,2018
N,Y,N,Y,160316,2018
N,Y,N,Y,160317,2018
N,Y,N,Y,160318,2018
N,Y,N,Y,160322,2018
N,Y,N,Y,160324,2018
N,Y,N,Y,160326,2018
N,Y,N,Y,160332,2018
Y,Y,Y,Y,160344,2018
N,Y,N,Y,160352,2018
N,Y,N,Y,16B000,2018
Y,Y,N,Y,170316,2018
N,Y,N,Y,170334,2018
N,Y,N,Y,170338,2018
N,Y,N,Y,170339,2018
N,Y,N,Y,170342,2018
N,Y,N,Y,170344,2018
N,Y,Y,Y,180302,2018
N,Y,N,Y,180304,2018
N,Y,Y,Y,180308,2018
N,Y,Y,Y,180312,2018
N,Y,Y,Y,180316,2018
N,Y,Y,Y,180320,2018
N,N,N,Y,180323,2018
N,Y,N,Y,180324,2018
N,Y,Y,Y,180325,2018
Y,Y,N,Y,180326,2018
N,Y,N,Y,180332,2018
N,Y,N,Y,180336,2018
N,Y,Y,Y,180340,2018
Y,Y,Y,Y,180342,2018
N,Y,Y,Y,180343,2018
N,Y,Y,Y,180344,2018
N,Y,Y,Y,180346,2018
N,Y,Y,Y,180348,2018
N,Y,N,Y,180352,2018
N,Y,Y,Y,180356,2018
N,Y,Y,Y,180360,2018
N,Y,Y,Y,180364,2018
N,Y,N,Y,180368,2018
N,Y,N,Y,180372,2018
N,Y,Y,Y,180376,2018
N,Y,Y,Y,180379,2018
Y,Y,N,Y,180380,2018
N,Y,N,Y,180388,2018
N,Y,N,Y,181312,2018
N,Y,N,Y,181316,2018
N,N,Y,Y,181318,2018
N,Y,N,Y,181322,2018
N,Y,N,Y,181326,2018
N,Y,N,Y,181332,2018
N,Y,N,Y,181336,2018
N,Y,N,Y,181342,2018
N,Y,N,Y,181344,2018
N,Y,Y,Y,182316,2018
N,Y,Y,Y,182321,2018
N,Y,N,Y,182322,2018
N,Y,N,Y,182324,2018
N,Y,N,Y,182328,2018
N,N,Y,Y,182700,2018
N,Y,N,Y,190304,2018
N,Y,N,Y,190308,2018
N,N,N,Y,190310,2018
N,Y,N,Y,190312,2018
N,Y,N,Y,190316,2018
N,Y,N,Y,190328,2018
N,Y,N,Y,190332,2018
N,Y,N,Y,190336,2018
N,Y,N,Y,190339,2018
N,Y,N,Y,190340,2018
N,Y,N,Y,190341,2018
Y,Y,Y,Y,190342,2018
N,Y,N,Y,190346,2018
N,Y,N,Y,190348,2018
N,Y,N,Y,190350,2018
N,Y,N,Y,190352,2018
N,Y,N,Y,190370,2018
N,Y,N,Y,190501,2018
N,Y,N,Y,19A000,2018
N,Y,Y,Y,19B000,2018
N,Y,N,Y,19C000,2018
N,Y,N,Y,200304,2018
N,Y,Y,Y,200308,2018
N,Y,N,N,200310,2018
N,Y,N,N,200312,2018
N,Y,N,Y,200314,2018
N,Y,N,N,200320,2018
N,N,N,Y,200322,2018
N,Y,N,Y,200324,2018
N,Y,N,Y,200328,2018
N,Y,N,Y,200330,2018
N,Y,N,Y,200332,2018
N,Y,N,N,200336,2018
N,Y,N,Y,200350,2018
N,Y,N,Y,210304,2018
N,Y,N,Y,210306,2018
N,Y,N,Y,210312,2018
N,Y,N,Y,210316,2018
N,Y,N,Y,220308,2018
N,Y,N,Y,220310,2018
N,Y,N,Y,220312,2018
N,Y,N,Y,230304,2018
N,Y,N,Y,230308,2018
N,Y,N,Y,230312,2018
N,Y,N,Y,230316,2018
N,Y,N,Y,230320,2018
N,Y,Y,Y,230324,2018
N,Y,N,Y,230328,2018
N,Y,N,Y,230334,2018
N,Y,N,Y,230336,2018
N,Y,N,Y,230340,2018
N,Y,N,Y,230342,2018
N,Y,N,Y,230344,2018
N,Y,N,Y,230346,2018
N,Y,N,Y,230348,2018
N,Y,Y,Y,230350,2018
N,Y,N,Y,230351,2018
N,Y,N,Y,230352,2018
N,Y,N,Y,230355,2018
N,Y,N,Y,230357,2018
N,Y,Y,Y,230361,2018
Y,Y,N,Y,230362,2018
N,Y,N,Y,230364,2018
N,Y,N,Y,230368,2018
N,Y,N,Y,230370,2018
N,Y,N,Y,230376,2018
N,Y,N,Y,230380,2018
N,Y,N,Y,23A000,2018
N,Y,N,Y,240304,2018
N,Y,N,Y,240308,2018
N,Y,N,Y,240328,2018
N,Y,N,Y,240330,2018
N,Y,N,Y,240332,2018
Y,Y,Y,Y,240334,2018
N,Y,N,Y,240344,2018
N,Y,N,Y,240352,2018
N,Y,N,N,240354,2018
N,Y,N,Y,240356,2018
N,Y,N,Y,240368,2018
N,Y,N,Y,240370,2018
Y,Y,Y,Y,240371,2018
N,Y,N,Y,240373,2018
N,Y,N,Y,240376,2018
Y,Y,Y,Y,240380,2018
N,Y,N,Y,240388,2018
N,Y,N,Y,241304,2018
N,Y,N,Y,241308,2018
N,Y,N,Y,241312,2018
Y,Y,Y,Y,241316,2018
N,Y,N,Y,241320,2018
N,Y,N,Y,24B000,2018
N,N,N,Y,24N000,2018
N,Y,N,Y,250304,2018
N,Y,N,Y,250306,2018
N,Y,N,Y,250308,2018
N,Y,N,Y,250312,2018
N,Y,N,Y,250316,2018
N,Y,Y,Y,250320,2018
N,Y,N,Y,250321,2018
N,Y,N,Y,250324,2018
N,Y,N,Y,250328,2018
Y,Y,N,Y,250332,2018
N,Y,N,Y,250336,2018
N,Y,N,Y,250340,2018
N,Y,N,Y,250344,2018
N,Y,N,Y,250348,2018
N,Y,N,Y,250350,2018
Y,Y,Y,Y,250356,2018
N,Y,Y,Y,250360,2018
N,Y,N,Y,250362,2018
N,Y,N,Y,250364,2018
N,Y,N,Y,250368,2018
Y,Y,Y,Y,250372,2018
N,Y,Y,Y,250376,2018
N,Y,N,Y,250378,2018
N,Y,N,Y,250380,2018
N,Y,N,Y,260302,2018
N,Y,N,Y,260306,2018
N,Y,N,Y,260308,2018
N,Y,N,Y,260310,2018
N,Y,N,Y,260312,2018
N,Y,N,Y,260316,2018
Y,Y,Y,Y,260318,2018
N,Y,N,Y,260320,2018
N,Y,N,N,260321,2018
Y,Y,Y,Y,260322,2018
Y,Y,Y,Y,260325,2018
N,Y,N,Y,260326,2018
N,Y,Y,Y,260332,2018
N,Y,N,Y,260336,2018
N,Y,N,Y,260338,2018
N,Y,N,Y,260340,2018
N,Y,N,Y,260342,2018
N,Y,N,Y,260344,2018
Y,Y,Y,Y,260347,2018
N,Y,N,Y,260348,2018
N,Y,N,Y,260352,2018
Y,Y,Y,Y,260354,2018
N,Y,N,Y,260356,2018
Y,Y,Y,Y,260357,2018
N,Y,N,Y,260358,2018
Y,Y,Y,Y,260359,2018
N,Y,N,Y,260361,2018
N,Y,N,Y,260362,2018
N,Y,N,Y,260363,2018
N,Y,N,Y,260364,2018
N,Y,N,Y,260365,2018
N,Y,N,Y,260366,2018
N,Y,N,Y,260367,2018
N,Y,N,Y,260368,2018
N,Y,N,Y,260369,2018
N,Y,N,Y,260370,2018
N,Y,N,Y,260371,2018
N,Y,N,N,260372,2018
N,Y,N,Y,260373,2018
N,Y,N,Y,260375,2018
N,Y,N,Y,260380,2018
N,Y,N,Y,260382,2018
N,Y,N,Y,260383,2018
N,Y,N,Y,260386,2018
Y,Y,Y,Y,260388,2018
Y,Y,Y,Y,260396,2018
N,Y,N,Y,260397,2018
N,Y,N,Y,260398,2018
N,Y,N,Y,260400,2018
N,Y,N,Y,260401,2018
N,Y,N,Y,260402,2018
N,Y,N,Y,260403,2018
N,Y,N,Y,260404,2018
N,Y,N,Y,260405,2018
Y,Y,N,Y,260406,2018
N,Y,N,Y,260407,2018
Y,Y,Y,Y,260408,2018
N,Y,N,Y,260410,2018
Y,Y,Y,Y,260411,2018
N,Y,N,Y,260412,2018
N,Y,N,N,260413,2018
N,Y,N,Y,260414,2018
N,Y,N,Y,260415,2018
N,Y,N,Y,260416,2018
N,Y,N,Y,260417,2018
N,Y,N,Y,260418,2018
N,Y,Y,Y,260419,2018
Y,Y,Y,Y,260424,2018
N,Y,N,Y,260425,2018
N,Y,N,Y,260426,2018
Y,Y,Y,Y,260427,2018
N,Y,N,Y,260428,2018
N,Y,N,Y,260430,2018
N,Y,N,Y,260432,2018
N,Y,N,Y,260434,2018
N,Y,N,Y,260440,2018
N,Y,N,Y,260444,2018
Y,Y,Y,Y,260446,2018
N,Y,N,Y,260448,2018
N,N,N,Y,260449,2018
N,Y,N,Y,260450,2018
N,Y,N,Y,260452,2018
N,Y,N,Y,260454,2018
Y,Y,Y,Y,260455,2018
N,Y,N,Y,260459,2018
N,Y,N,Y,260700,2018
Y,Y,Y,Y,26C000,2018
N,Y,N,N,270304,2018
N,Y,Y,Y,270306,2018
N,Y,N,Y,270308,2018
N,Y,N,N,270309,2018
N,Y,N,Y,270310,2018
N,Y,Y,Y,270311,2018
N,Y,N,Y,270316,2018
N,Y,N,Y,270318,2018
N,Y,N,N,270320,2018
N,N,N,Y,27A000,2018
N,Y,N,Y,280302,2018
N,Y,Y,Y,280304,2018
N,Y,N,N,280306,2018
N,Y,N,Y,280308,2018
N,Y,N,Y,280310,2018
N,Y,N,Y,280312,2018
N,Y,Y,Y,280316,2018
N,Y,N,Y,280320,2018
N,Y,N,Y,280324,2018
N,Y,Y,Y,280328,2018
N,Y,Y,Y,280330,2018
N,Y,N,Y,290302,2018
N,Y,N,Y,290306,2018
N,Y,N,Y,290307,2018
N,Y,N,Y,290308,2018
N,Y,N,Y,290309,2018
N,Y,N,Y,290310,2018
N,Y,N,Y,290312,2018
N,Y,N,Y,290316,2018
N,Y,N,Y,290320,2018
N,Y,N,Y,290322,2018
N,Y,Y,Y,290324,2018
N,Y,N,Y,290328,2018
N,Y,N,Y,290330,2018
N,Y,N,Y,290332,2018
N,Y,N,Y,290333,2018
N,Y,N,Y,290334,2018
N,Y,Y,Y,290336,2018
N,Y,N,Y,290344,2018
N,Y,Y,Y,290348,2018
N,Y,Y,Y,290349,2018
N,Y,N,Y,290350,2018
N,Y,N,Y,290351,2018
N,Y,N,Y,290352,2018
N,Y,N,Y,290356,2018
N,Y,N,Y,290364,2018
N,Y,Y,Y,290365,2018
N,Y,N,Y,290366,2018
N,Y,N,Y,290367,2018
N,Y,N,Y,290375,2018
N,Y,N,Y,290376,2018
N,Y,N,Y,290380,2018
N,Y,N,Y,290384,2018
N,Y,Y,Y,290388,2018
N,Y,N,Y,291308,2018
N,Y,N,Y,291332,2018
N,Y,N,Y,291336,2018
N,Y,N,Y,291340,2018
N,Y,N,Y,291348,2018
N,Y,N,N,291350,2018
N,Y,N,Y,291352,2018
N,Y,N,Y,292316,2018
N,Y,N,Y,292318,2018
N,Y,N,Y,292320,2018
N,Y,N,Y,292324,2018
N,N,N,Y,298202,2018
N,Y,N,Y,298203,2018
N,N,Y,N,298204,2018
N,N,N,Y,300306,2018
N,Y,N,Y,300308,2018
N,Y,N,Y,300310,2018
Y,Y,Y,Y,300312,2018
N,Y,N,Y,300320,2018
N,Y,Y,Y,300325,2018
N,Y,N,Y,300326,2018
N,Y,N,Y,300328,2018
N,Y,Y,Y,300330,2018
N,Y,N,Y,300336,2018
N,Y,Y,Y,300337,2018
N,Y,N,Y,310304,2018
N,Y,N,Y,310308,2018
N,Y,N,Y,310330,2018
N,Y,N,Y,310336,2018
N,Y,N,Y,310338,2018
N,Y,N,Y,310344,2018
N,Y,N,Y,310352,2018
N,Y,N,Y,310356,2018
N,Y,N,Y,310360,2018
N,Y,N,Y,310364,2018
N,Y,N,Y,310384,2018
N,Y,N,Y,310388,2018
N,Y,N,Y,310392,2018
N,Y,N,Y,320304,2018
N,Y,N,Y,320306,2018
N,Y,N,Y,320308,2018
N,Y,Y,Y,320309,2018
N,Y,N,Y,320310,2018
Y,Y,Y,Y,320312,2018
N,Y,N,Y,320313,2018
N,Y,N,Y,320314,2018
N,Y,N,Y,320315,2018
Y,Y,N,Y,320316,2018
Y,Y,N,Y,320318,2018
N,Y,Y,Y,320319,2018
N,Y,N,Y,320320,2018
N,Y,N,Y,320322,2018
Y,Y,Y,Y,320323,2018
N,Y,N,Y,320324,2018
Y,Y,Y,Y,320325,2018
N,Y,N,Y,320327,2018
N,Y,N,Y,320328,2018
N,Y,Y,Y,320332,2018
N,Y,N,Y,320338,2018
N,Y,N,Y,320339,2018
N,Y,N,Y,320340,2018
N,N,N,Y,320341,2018
N,Y,N,Y,320342,2018
N,Y,N,Y,320343,2018
N,N,N,Y,320344,2018
N,Y,N,Y,320346,2018
N,Y,N,Y,320347,2018
N,Y,N,Y,320348,2018
N,Y,N,Y,320352,2018
N,Y,Y,Y,320353,2018
N,Y,N,Y,320354,2018
N,Y,N,Y,320355,2018
Y,Y,Y,Y,320356,2018
N,Y,N,Y,320360,2018
N,Y,N,Y,320362,2018
N,Y,N,Y,320363,2018
N,Y,N,Y,320364,2018
Y,Y,Y,Y,320365,2018
N,Y,Y,Y,320366,2018
Y,Y,N,Y,320367,2018
Y,Y,Y,Y,320368,2018
Y,Y,Y,Y,320369,2018
N,Y,N,Y,320370,2018
Y,Y,N,Y,320372,2018
N,Y,N,Y,320374,2018
N,Y,N,Y,320376,2018
Y,Y,N,Y,320388,2018
N,Y,N,Y,320400,2018
N,Y,Y,Y,320701,2018
N,Y,N,Y,32A000,2018
Y,Y,N,Y,32D000,2018
N,Y,N,Y,32H000,2018
N,Y,N,Y,32K000,2018
Y,Y,Y,Y,32L000,2018
N,N,N,Y,32M000,2018
N,Y,Y,Y,32N000,2018
N,Y,N,Y,32Q000,2018
Y,Y,Y,Y,32R000,2018
N,Y,N,N,32S000,2018
N,Y,N,Y,330304,2018
N,Y,N,Y,330308,2018
N,Y,N,Y,330312,2018
N,Y,N,Y,330326,2018
N,Y,N,Y,330328,2018
N,Y,N,Y,330332,2018
N,Y,N,Y,330334,2018
N,Y,N,Y,330340,2018
