year,agency_code,subgroup,count,count_masked,den,den_masked,pct,pct_masked,masking
2018.0,260383,ALL,209.0,209.0,1107.0,1107.0,0.1887,0.1887,
2018.0,260386,ALL,59.0,59.0,310.0,310.0,0.1903,0.1903,
2018.0,260388,ALL,16.0,16.0,285.0,285.0,0.0561,0.0561,
2018.0,260396,ALL,72.0,72.0,434.0,434.0,0.1658,0.1658,
2018.0,260397,ALL,78.0,78.0,910.0,910.0,0.0857,0.0857,
2018.0,260398,ALL,35.0,35.0,516.0,516.0,0.0678,0.0678,
2018.0,260400,ALL,63.0,63.0,406.0,406.0,0.1551,0.1551,
2018.0,260401,ALL,98.0,98.0,555.0,555.0,0.1765,0.1765,
2018.0,260402,ALL,99.0,99.0,359.0,359.0,0.2757,0.2757,
2018.0,260403,ALL,46.0,46.0,772.0,772.0,0.0595,0.0595,
2018.0,260404,ALL,58.0,58.0,410.0,410.0,0.1414,0.1414,
2018.0,260405,ALL,51.0,51.0,245.0,245.0,0.2081,0.2081,
2018.0,260406,ALL,119.0,119.0,800.0,800.0,0.1487,0.1487,
2018.0,260407,ALL,73.0,73.0,690.0,690.0,0.1057,0.1057,
2018.0,260408,ALL,347.0,347.0,1526.0,1526.0,0.2273,0.2273,
2018.0,260410,ALL,64.0,64.0,371.0,371.0,0.1725,0.1725,
2018.0,260411,ALL,23.0,23.0,289.0,289.0,0.0795,0.0795,
2018.0,260412,ALL,44.0,44.0,225.0,225.0,0.1955,0.1955,
2018.0,260413,ALL,132.0,132.0,70.0,70.0,1.8857,1.8857,
2018.0,260414,ALL,136.0,136.0,578.0,578.0,0.2352,0.2352,
2018.0,260415,ALL,85.0,85.0,656.0,656.0,0.1295,0.1295,
2018.0,260416,ALL,44.0,44.0,243.0,243.0,0.18100000000000002,0.18100000000000002,
2018.0,260417,ALL,32.0,32.0,389.0,389.0,0.0822,0.0822,
2018.0,260418,ALL,37.0,37.0,475.0,475.0,0.0778,0.0778,
2018.0,260419,ALL,20.0,20.0,326.0,326.0,0.0613,0.0613,
2018.0,260424,ALL,357.0,357.0,1420.0,1420.0,0.2514,0.2514,
2018.0,260425,ALL,141.0,141.0,632.0,632.0,0.2231,0.2231,
2018.0,260426,ALL,56.0,56.0,363.0,363.0,0.1542,0.1542,
2018.0,260427,ALL,326.0,326.0,1648.0,1648.0,0.1978,0.1978,
2018.0,260428,ALL,95.0,95.0,444.0,444.0,0.2139,0.2139,
2018.0,260430,ALL,48.0,48.0,310.0,310.0,0.1548,0.1548,
2018.0,260432,ALL,33.0,33.0,175.0,175.0,0.1885,0.1885,
2018.0,260434,ALL,83.0,83.0,926.0,926.0,0.0896,0.0896,
2018.0,260440,ALL,77.0,77.0,336.0,336.0,0.2291,0.2291,
2018.0,260444,ALL,46.0,46.0,230.0,230.0,0.2,0.2,
2018.0,260446,ALL,295.0,295.0,1178.0,1178.0,0.2504,0.2504,
2018.0,260448,ALL,51.0,51.0,550.0,550.0,0.0927,0.0927,
2018.0,260449,ALL,114.0,114.0,78.0,78.0,1.4615,1.4615,
2018.0,260450,ALL,111.0,111.0,366.0,366.0,0.3032,0.3032,
2018.0,260452,ALL,172.0,172.0,545.0,545.0,0.3155,0.3155,
2018.0,260454,ALL,188.0,188.0,715.0,715.0,0.2629,0.2629,
2018.0,260455,ALL,324.0,324.0,1090.0,1090.0,0.2972,0.2972,
2018.0,260459,ALL,83.0,83.0,315.0,315.0,0.2634,0.2634,
