year,agency_code,status,subgroup,count,pct_enrolled
2011,010303,ENROLL,AM7,,
2011,010303,ENROLL,AS7,,
2011,010303,ENROLL,ALL,22,56.41
2011,010303,ENROLL,BL7,9,69.23
2011,010303,ENROLL,EDS,8,57.14
2011,010303,ENROLL,FEM,12,52.17
2011,010303,ENROLL,HI7,,16.66
2011,010303,ENROLL,ELS,,
2011,010303,ENROLL,MALE,10,62.5
2011,010303,ENROLL,MU7,,
2011,010303,ENROLL,PI7,,
2011,010303,ENROLL,SWD,,95
2011,010303,ENROLL,WH7,12,60
2011,010303,NOENROLL,AM7,,
2011,010303,NOENROLL,AS7,,
2011,010303,NOENROLL,ALL,17,56.41
2011,010303,NOENROLL,BL7,,69.23
2011,010303,NOENROLL,EDS,6,57.14
2011,010303,NOENROLL,FEM,11,52.17
2011,010303,NOENROLL,HI7,5,16.66
2011,010303,NOENROLL,ELS,,
2011,010303,NOENROLL,MALE,6,62.5
2011,010303,NOENROLL,MU7,,
2011,010303,NOENROLL,PI7,,
2011,010303,NOENROLL,SWD,,95
2011,010303,NOENROLL,WH7,8,60
2011,010324,ENROLL,AM7,,95
2011,010324,ENROLL,AS7,,95
2011,010324,ENROLL,ALL,183,75.61
2011,010324,ENROLL,BL7,36,72
2011,010324,ENROLL,EDS,29,54.71
2011,010324,ENROLL,FEM,91,82.72
2011,010324,ENROLL,HI7,8,57.14
2011,010324,ENROLL,ELS,,75
2011,010324,ENROLL,MALE,92,69.69
2011,010324,ENROLL,MU7,,95
2011,010324,ENROLL,PI7,,
2011,010324,ENROLL,SWD,12,48
2011,010324,ENROLL,WH7,134,77.9
2011,010324,NOENROLL,AM7,,95
2011,010324,NOENROLL,AS7,,95
2011,010324,NOENROLL,ALL,59,75.61
2011,010324,NOENROLL,BL7,14,72
2011,010324,NOENROLL,EDS,24,54.71
2011,010324,NOENROLL,FEM,19,82.72
2011,010324,NOENROLL,HI7,6,57.14
2011,010324,NOENROLL,ELS,,75
2011,010324,NOENROLL,MALE,40,69.69
2011,010324,NOENROLL,MU7,,95
2011,010324,NOENROLL,PI7,,
2011,010324,NOENROLL,SWD,13,48
2011,010324,NOENROLL,WH7,38,77.9
2011,010348,ENROLL,AM7,,
2011,010348,ENROLL,AS7,,50
2011,010348,ENROLL,ALL,83,53.2
2011,010348,ENROLL,BL7,37,58.73
2011,010348,ENROLL,EDS,39,46.98
2011,010348,ENROLL,FEM,47,53.4
2011,010348,ENROLL,HI7,19,39.58
2011,010348,ENROLL,ELS,,20
2011,010348,ENROLL,MALE,36,52.94
2011,010348,ENROLL,MU7,,95
2011,010348,ENROLL,PI7,,
2011,010348,ENROLL,SWD,5,27.77
2011,010348,ENROLL,WH7,25,60.97
2011,010348,NOENROLL,AM7,,
2011,010348,NOENROLL,AS7,,50
2011,010348,NOENROLL,ALL,73,53.2
2011,010348,NOENROLL,BL7,26,58.73
2011,010348,NOENROLL,EDS,44,46.98
2011,010348,NOENROLL,FEM,41,53.4
2011,010348,NOENROLL,HI7,29,39.58
2011,010348,NOENROLL,ELS,12,20
2011,010348,NOENROLL,MALE,32,52.94
2011,010348,NOENROLL,MU7,,95
2011,010348,NOENROLL,PI7,,
2011,010348,NOENROLL,SWD,13,27.77
2011,010348,NOENROLL,WH7,16,60.97
2011,010360,ENROLL,AM7,,95
2011,010360,ENROLL,AS7,,50
2011,010360,ENROLL,ALL,71,48.29
2011,010360,ENROLL,BL7,50,59.52
2011,010360,ENROLL,EDS,51,50
2011,010360,ENROLL,FEM,35,46.66
2011,010360,ENROLL,HI7,16,33.33
2011,010360,ENROLL,ELS,,11.76
2011,010360,ENROLL,MALE,36,50
2011,010360,ENROLL,MU7,,
2011,010360,ENROLL,PI7,,
2011,010360,ENROLL,SWD,,14.28
2011,010360,ENROLL,WH7,,22.22
2011,010360,NOENROLL,AM7,,95
2011,010360,NOENROLL,AS7,,50
2011,010360,NOENROLL,ALL,76,48.29
2011,010360,NOENROLL,BL7,34,59.52
2011,010360,NOENROLL,EDS,51,50
2011,010360,NOENROLL,FEM,40,46.66
2011,010360,NOENROLL,HI7,32,33.33
2011,010360,NOENROLL,ELS,15,11.76
2011,010360,NOENROLL,MALE,36,50
2011,010360,NOENROLL,MU7,,
2011,010360,NOENROLL,PI7,,
2011,010360,NOENROLL,SWD,18,14.28
2011,010360,NOENROLL,WH7,7,22.22
2011,010388,ENROLL,AM7,,95
2011,010388,ENROLL,AS7,,50
2011,010388,ENROLL,ALL,190,64.84
2011,010388,ENROLL,BL7,21,77.77
2011,010388,ENROLL,EDS,35,51.47
2011,010388,ENROLL,FEM,95,68.84
2011,010388,ENROLL,HI7,11,44
2011,010388,ENROLL,ELS,,25
2011,010388,ENROLL,MALE,95,61.29
2011,010388,ENROLL,MU7,,66.66
2011,010388,ENROLL,PI7,,
2011,010388,ENROLL,SWD,11,33.33
2011,010388,ENROLL,WH7,154,65.53
2011,010388,NOENROLL,AM7,,95
2011,010388,NOENROLL,AS7,,50
2011,010388,NOENROLL,ALL,103,64.84
2011,010388,NOENROLL,BL7,6,77.77
2011,010388,NOENROLL,EDS,33,51.47
