agency_code,tot_num_ap,subgroup,pct_ap,tot_num_ccp,pct_ccp,tot_num_ib,pct_ib,year,category_code
00A000,31,AM7,,125,,,,2018,A
00A000,31,ELS,,125,5,,,2018,A
00A000,31,FEM,80.65,125,63.2,,,2018,A
00A000,31,HI7,6.45,125,16,,,2018,A
00A000,31,MALE,19.35,125,36.8,,,2018,A
00A000,31,AS7,6.45,125,5,,,2018,A
00A000,31,SWD,,125,5,,,2018,A
00A000,31,BL7,25.81,125,22.4,,,2018,A
00A000,31,MU7,5,125,5,,,2018,A
00A000,31,Other,,125,,,,2018,A
00A000,31,WH7,58.06,125,55.2,,,2018,A
00A000,31,PI7,,125,,,,2018,A
00B000,,AM7,,17,,,,2018,A
00B000,,SWD,,17,17.65,,,2018,A
00B000,,AS7,,17,,,,2018,A
00B000,,WH7,,17,47.06,,,2018,A
00B000,,Other,,17,,,,2018,A
00B000,,HI7,,17,5.88,,,2018,A
00B000,,ELS,,17,,,,2018,A
00B000,,MU7,,17,11.76,,,2018,A
00B000,,MALE,,17,35.29,,,2018,A
00B000,,FEM,,17,64.71,,,2018,A
00B000,,PI7,,17,,,,2018,A
00B000,,BL7,,17,35.29,,,2018,A
010303,,ELS,,191,5,,,2018,H
010303,,HI7,,191,26.18,,,2018,H
010303,,FEM,,191,64.92,,,2018,H
010303,,AM7,,191,5,,,2018,H
010303,,MALE,,191,35.08,,,2018,H
010303,,PI7,,191,,,,2018,H
010303,,SWD,,191,5,,,2018,H
010303,,BL7,,191,19.9,,,2018,H
010303,,AS7,,191,5,,,2018,H
010303,,WH7,,191,45.55,,,2018,H
010303,,Other,,191,,,,2018,H
010303,,MU7,,191,5.24,,,2018,H
010324,198,MALE,42.93,924,58.77,,,2018,H
010324,198,HI7,10.1,924,12.77,,,2018,H
010324,198,AS7,5,924,5,,,2018,H
010324,198,PI7,,924,5,,,2018,H
010324,198,SWD,5,924,12.99,,,2018,H
010324,198,FEM,57.07,924,41.23,,,2018,H
010324,198,WH7,70.71,924,57.14,,,2018,H
010324,198,MU7,5,924,5,,,2018,H
010324,198,BL7,12.12,924,24.13,,,2018,H
010324,198,Other,,924,,,,2018,H
010324,198,ELS,5,924,5,,,2018,H
010324,198,AM7,,924,,,,2018,H
010348,109,Other,,481,,,,2018,H
010348,109,SWD,5,481,14.14,,,2018,H
010348,109,WH7,19.27,481,19.54,,,2018,H
010348,109,MU7,6.42,481,5,,,2018,H
010348,109,PI7,,481,,,,2018,H
010348,109,BL7,24.77,481,27.65,,,2018,H
010348,109,HI7,44.95,481,46.99,,,2018,H
010348,109,AS7,5,481,5,,,2018,H
010348,109,FEM,60.55,481,47.19,,,2018,H
010348,109,MALE,39.45,481,52.81,,,2018,H
010348,109,ELS,5,481,8.11,,,2018,H
010348,109,AM7,,481,5,,,2018,H
010360,78,HI7,47.44,696,50.43,,,2018,H
010360,78,BL7,35.9,696,38.07,,,2018,H
010360,78,AM7,5,696,5,,,2018,H
010360,78,AS7,5,696,5,,,2018,H
010360,78,WH7,11.54,696,6.75,,,2018,H
010360,78,Other,,696,,,,2018,H
010360,78,MU7,5,696,5,,,2018,H
010360,78,ELS,5,696,10.06,,,2018,H
010360,78,PI7,,696,,,,2018,H
010360,78,SWD,,696,13.51,,,2018,H
010360,78,FEM,55.13,696,50,,,2018,H
010360,78,MALE,44.87,696,50,,,2018,H
010378,,MALE,,27,66.67,,,2018,A
010378,,WH7,,27,55.56,,,2018,A
010378,,Other,,27,,,,2018,A
010378,,MU7,,27,11.11,,,2018,A
010378,,FEM,,27,33.33,,,2018,A
010378,,ELS,,27,,,,2018,A
010378,,HI7,,27,,,,2018,A
010378,,AM7,,27,,,,2018,A
010378,,SWD,,27,55.56,,,2018,A
010378,,PI7,,27,,,,2018,A
010378,,AS7,,27,5,,,2018,A
010378,,BL7,,27,29.63,,,2018,A
010388,254,HI7,9.45,1155,13.51,,,2018,H
010388,254,BL7,5,1155,7.01,,,2018,H
010388,254,MALE,42.52,1155,52.9,,,2018,H
010388,254,Other,,1155,,,,2018,H
010388,254,SWD,5,1155,9.18,,,2018,H
010388,254,WH7,83.46,1155,75.76,,,2018,H
010388,254,AM7,5,1155,5,,,2018,H
010388,254,PI7,,1155,,,,2018,H
010388,254,MU7,5,1155,5,,,2018,H
010388,254,ELS,,1155,5,,,2018,H
010388,254,AS7,5,1155,5,,,2018,H
010388,254,FEM,57.48,1155,47.1,,,2018,H
010396,272,AS7,6.62,982,5,,,2018,H
010396,272,Other,,982,,,,2018,H
010396,272,WH7,55.15,982,31.06,,,2018,H
010396,272,MALE,46.32,982,53.16,,,2018,H
010396,272,AM7,,982,5,,,2018,H
010396,272,SWD,5,982,11.1,,,2018,H
010396,272,PI7,,982,5,,,2018,H
010396,272,HI7,19.49,982,25.36,,,2018,H
010396,272,BL7,14.34,982,34.83,,,2018,H
010396,272,MU7,5,982,5.3,,,2018,H
010396,272,ELS,5,982,5,,,2018,H
010396,272,FEM,53.68,982,46.84,,,2018,H
010400,282,WH7,78.72,833,70.59,,,2018,H
010400,282,Other,,833,,,,2018,H
010400,282,MALE,43.62,833,56.18,,,2018,H
010400,282,PI7,,833,5,,,2018,H
010400,282,SWD,5,833,7.2,,,2018,H
010400,282,HI7,7.09,833,12.73,,,2018,H
010400,282,MU7,5,833,5,,,2018,H
010400,282,BL7,6.38,833,11.28,,,2018,H
010400,282,FEM,56.38,833,43.82,,,2018,H
010400,282,ELS,,833,5,,,2018,H
010400,282,AS7,5,833,5,,,2018,H
010400,282,AM7,,833,5,,,2018,H
010LEA,1193,MU7,5,5289,5,,,2018,
010LEA,1193,FEM,56.41,5289,46.47,,,2018,
010LEA,1193,WH7,63.2,5289,48.01,,,2018,
010LEA,1193,AM7,5,5289,5,,,2018,
010LEA,1193,HI7,17.02,5289,23.75,,,2018,
010LEA,1193,MALE,43.59,5289,53.53,,,2018,
010LEA,1193,ELS,5,5289,5,,,2018,
010LEA,1193,AS7,5,5289,5,,,2018,
010LEA,1193,BL7,11.9,5289,22.39,,,2018,
010LEA,1193,PI7,,5289,5,,,2018,
010LEA,1193,Other,,5289,,,,2018,
010LEA,1193,SWD,5,5289,10.85,,,2018,
01B000,34,HI7,5.88,39,,,,2018,A
01B000,34,WH7,67.65,39,61.54,,,2018,A
01B000,34,SWD,,39,7.69,,,2018,A
01B000,34,MU7,5,39,5.13,,,2018,A
01B000,34,PI7,,39,,,,2018,A
01B000,34,Other,,39,,,,2018,A
01B000,34,BL7,20.59,39,28.21,,,2018,A
01B000,34,AS7,5,39,5.13,,,2018,A
01B000,34,FEM,58.82,39,61.54,,,2018,A
01B000,34,ELS,,39,,,,2018,A
01B000,34,MALE,41.18,39,38.46,,,2018,A
01B000,34,AM7,,39,,,,2018,A
01C000,,MALE,,42,30.95,,,2018,A
01C000,,SWD,,42,,,,2018,A
01C000,,Other,,42,,,,2018,A
01C000,,PI7,,42,,,,2018,A
01C000,,BL7,,42,9.52,,,2018,A
01C000,,HI7,,42,7.14,,,2018,A
01C000,,ELS,,42,,,,2018,A
01C000,,FEM,,42,69.05,,,2018,A
01C000,,WH7,,42,80.95,,,2018,A
01C000,,AS7,,42,,,,2018,A
01C000,,MU7,,42,5,,,2018,A
01C000,,AM7,,42,,,,2018,A
01D000,44,SWD,5,18,,,,2018,A
01D000,44,MU7,5,18,5.56,,,2018,A
01D000,44,HI7,,18,,,,2018,A
01D000,44,AS7,,18,,,,2018,A
01D000,44,ELS,,18,,,,2018,A
01D000,44,Other,,18,,,,2018,A
01D000,44,MALE,47.73,18,55.56,,,2018,A
01D000,44,FEM,52.27,18,44.44,,,2018,A
01D000,44,PI7,,18,,,,2018,A
01D000,44,BL7,5,18,,,,2018,A
01D000,44,WH7,93.18,18,94.44,,,2018,A
01D000,44,AM7,,18,,,,2018,A
020302,170,Other,,1010,,,,2018,H
020302,170,MU7,5,1010,5,,,2018,H
020302,170,MALE,37.65,1010,52.08,,,2018,H
020302,170,FEM,62.35,1010,47.92,,,2018,H
020302,170,BL7,5,1010,5,,,2018,H
020302,170,SWD,,1010,9.9,,,2018,H
020302,170,AM7,,1010,5,,,2018,H
020302,170,HI7,5,1010,7.72,,,2018,H
020302,170,AS7,5,1010,5,,,2018,H
020302,170,PI7,,1010,,,,2018,H
020302,170,ELS,,1010,5,,,2018,H
020302,170,WH7,91.18,1010,83.86,,,2018,H
020303,,WH7,,130,72.31,,,2018,H
020303,,SWD,,130,5,,,2018,H
020303,,BL7,,130,5,,,2018,H
020303,,MU7,,130,5,,,2018,H
020303,,HI7,,130,17.69,,,2018,H
020303,,PI7,,130,,,,2018,H
020303,,Other,,130,,,,2018,H
020303,,ELS,,130,,,,2018,H
020303,,FEM,,130,55.38,,,2018,H
020303,,AS7,,130,5,,,2018,H
020303,,MALE,,130,44.62,,,2018,H
020303,,AM7,,130,,,,2018,H
020LEA,170,WH7,91.18,1140,82.54,,,2018,
020LEA,170,MU7,5,1140,5,,,2018,
020LEA,170,Other,,1140,,,,2018,
020LEA,170,SWD,,1140,9.04,,,2018,
020LEA,170,AS7,5,1140,5,,,2018,
020LEA,170,BL7,5,1140,5,,,2018,
020LEA,170,AM7,,1140,5,,,2018,
020LEA,170,FEM,62.35,1140,48.77,,,2018,
020LEA,170,ELS,,1140,5,,,2018,
020LEA,170,MALE,37.65,1140,51.23,,,2018,
020LEA,170,HI7,5,1140,8.86,,,2018,
020LEA,170,PI7,,1140,,,,2018,
030304,,SWD,,400,8.5,,,2018,H
030304,,FEM,,400,50.5,,,2018,H
030304,,Other,,400,,,,2018,H
030304,,MU7,,400,5,,,2018,H
030304,,ELS,,400,5,,,2018,H
030304,,WH7,,400,76.75,,,2018,H
030304,,HI7,,400,20,,,2018,H
030304,,MALE,,400,49.5,,,2018,H
030304,,AS7,,400,5,,,2018,H
030304,,BL7,,400,5,,,2018,H
030304,,PI7,,400,,,,2018,H
030304,,AM7,,400,5,,,2018,H
030LEA,,PI7,,400,,,,2018,
030LEA,,SWD,,400,8.5,,,2018,
030LEA,,Other,,400,,,,2018,
030LEA,,MU7,,400,5,,,2018,
030LEA,,MALE,,400,49.5,,,2018,
030LEA,,BL7,,400,5,,,2018,
030LEA,,AM7,,400,5,,,2018,
030LEA,,WH7,,400,76.75,,,2018,
030LEA,,FEM,,400,50.5,,,2018,
030LEA,,ELS,,400,5,,,2018,
030LEA,,HI7,,400,20,,,2018,
030LEA,,AS7,,400,5,,,2018,
040304,,Other,,206,,,,2018,H
040304,,MU7,,206,5,,,2018,H
040304,,BL7,,206,33.98,,,2018,H
040304,,HI7,,206,5,,,2018,H
040304,,PI7,,206,,,,2018,H
040304,,SWD,,206,5,,,2018,H
040304,,ELS,,206,,,,2018,H
040304,,MALE,,206,32.04,,,2018,H
040304,,AS7,,206,5,,,2018,H
040304,,WH7,,206,57.28,,,2018,H
040304,,AM7,,206,,,,2018,H
040304,,FEM,,206,67.96,,,2018,H
040305,,MALE,,28,60.71,,,2018,T
040305,,MU7,,28,,,,2018,T
040305,,WH7,,28,21.43,,,2018,T
040305,,Other,,28,,,,2018,T
040305,,AS7,,28,,,,2018,T
040305,,BL7,,28,75,,,2018,T
040305,,FEM,,28,39.29,,,2018,T
040305,,SWD,,28,7.14,,,2018,T
040305,,PI7,,28,,,,2018,T
040305,,HI7,,28,5,,,2018,T
040305,,ELS,,28,,,,2018,T
040305,,AM7,,28,,,,2018,T
040306,18,BL7,38.89,657,59.51,,,2018,H
040306,18,AS7,5.56,657,5,,,2018,H
040306,18,HI7,,657,5.78,,,2018,H
040306,18,AM7,,657,5,,,2018,H
040306,18,MU7,,657,5,,,2018,H
040306,18,PI7,,657,,,,2018,H
040306,18,MALE,33.33,657,51.14,,,2018,H
040306,18,Other,,657,,,,2018,H
040306,18,SWD,,657,9.59,,,2018,H
040306,18,FEM,66.67,657,48.86,,,2018,H
040306,18,WH7,55.56,657,29.38,,,2018,H
040306,18,ELS,,657,5,,,2018,H
040LEA,18,ELS,,891,5,,,2018,
040LEA,18,PI7,,891,,,,2018,
040LEA,18,Other,,891,,,,2018,
040LEA,18,MU7,,891,5,,,2018,
040LEA,18,SWD,,891,7.63,,,2018,
040LEA,18,WH7,55.56,891,35.58,,,2018,
040LEA,18,HI7,,891,5,,,2018,
040LEA,18,BL7,38.89,891,54.1,,,2018,
040LEA,18,MALE,33.33,891,47.03,,,2018,
040LEA,18,FEM,66.67,891,52.97,,,2018,
040LEA,18,AM7,,891,5,,,2018,
040LEA,18,AS7,5.56,891,5,,,2018,
050302,96,Other,,668,,,,2018,H
050302,96,MALE,27.08,668,51.95,,,2018,H
050302,96,SWD,,668,9.28,,,2018,H
050302,96,BL7,5,668,5,,,2018,H
050302,96,MU7,5,668,5,,,2018,H
050302,96,HI7,5.21,668,8.53,,,2018,H
050302,96,WH7,91.67,668,89.52,,,2018,H
050302,96,AM7,,668,,,,2018,H
050302,96,PI7,,668,,,,2018,H
050302,96,FEM,72.92,668,48.05,,,2018,H
050302,96,ELS,,668,5,,,2018,H
050302,96,AS7,5,668,5,,,2018,H
050LEA,96,PI7,,668,,,,2018,
050LEA,96,AS7,5,668,5,,,2018,
050LEA,96,SWD,,668,9.28,,,2018,
050LEA,96,WH7,91.67,668,89.52,,,2018,
050LEA,96,Other,,668,,,,2018,
050LEA,96,FEM,72.92,668,48.05,,,2018,
050LEA,96,HI7,5.21,668,8.53,,,2018,
050LEA,96,MALE,27.08,668,51.95,,,2018,
050LEA,96,ELS,,668,5,,,2018,
050LEA,96,AM7,,668,,,,2018,
050LEA,96,MU7,5,668,5,,,2018,
050LEA,96,BL7,5,668,5,,,2018,
060302,,PI7,,300,5,,,2018,H
060302,,WH7,,300,86.33,,,2018,H
060302,,MALE,,300,53.67,,,2018,H
060302,,SWD,,300,13.67,,,2018,H
060302,,Other,,300,,,,2018,H
060302,,HI7,,300,10.67,,,2018,H
060302,,BL7,,300,5,,,2018,H
060302,,MU7,,300,5,,,2018,H
060302,,ELS,,300,5,,,2018,H
060302,,AM7,,300,5,,,2018,H
060302,,FEM,,300,46.33,,,2018,H
060302,,AS7,,300,5,,,2018,H
060334,,PI7,,11,,,,2018,T
060334,,WH7,,11,95,,,2018,T
060334,,SWD,,11,27.27,,,2018,T
060334,,HI7,,11,,,,2018,T
060334,,BL7,,11,,,,2018,T
060334,,MALE,,11,81.82,,,2018,T
060334,,ELS,,11,,,,2018,T
060334,,Other,,11,,,,2018,T
060334,,FEM,,11,18.18,,,2018,T
060334,,AS7,,11,,,,2018,T
060334,,MU7,,11,,,,2018,T
060334,,AM7,,11,,,,2018,T
060700,48,WH7,95,139,94.24,,,2018,H
060700,48,ELS,,139,,,,2018,H
060700,48,SWD,5,139,5,,,2018,H
060700,48,HI7,5,139,5,,,2018,H
060700,48,BL7,,139,5,,,2018,H
060700,48,MU7,,139,,,,2018,H
060700,48,Other,,139,,,,2018,H
