digital_media,device_access,device_access_grades,device_home,device_home_grades,BYOD,byod_grades,agency_code,year,Book_TitlesPer_Student,wap,wap_class,media_school,devices,category_code
-,No,-,Yes,K:1:2:3:4:5:6:7:8:9:10:11,Both,K:1:2:3:4:5:6:7:8:9:10:11,00A000,2018,,,,,9.14,A
-,No,-,No,-,Neither,-,00B000,2018,,,,,4.91,A
-,Yes,9:10:11:12,Yes,9:10:11:12,Neither,-,010303,2018,,10.0,1.25,,1.0,H
1,Yes,3:04:05,No,-,Neither,-,010304,2018,15.69,49.0,1.29,2004.0,0.94,E
0,No,-,No,-,Neither,-,010308,2018,20.42,46.0,1.12,2001.0,0.82,E
1,No,-,No,-,Neither,-,010310,2018,18.97,62.0,1.17,2003.0,0.8,M
92,No,-,No,-,Neither,-,010311,2018,,22.0,1.16,2009.0,,H
0,No,-,No,-,Neither,-,010312,2018,13.3,49.0,1.11,2007.0,1.85,E
1,Yes,2:3:4:5,No,-,Neither,-,010320,2018,22.38,34.0,1.21,1999.0,0.9,E
0,No,-,No,-,Neither,-,010324,2018,5.61,79.0,1.3,1997.0,1.15,H
0,No,-,No,-,Neither,-,010326,2018,13.72,50.0,1.35,1998.0,1.19,E
2,No,-,No,-,Neither,-,010328,2018,16.49,58.0,1.45,2000.0,1.13,E
0,No,-,No,-,Neither,-,010340,2018,17.77,48.0,1.17,2000.0,1.46,E
0,Yes,2:3:4:5,No,-,Neither,-,010346,2018,16.4,49.0,1.53,2002.0,0.89,E
1,Yes,K:1:2:3:4:5,No,-,Neither,-,010347,2018,20.05,58.0,1.23,1999.0,0.91,E
0,Yes,9:10:11:12,Yes,11:12,Neither,-,010348,2018,10.92,76.0,1.43,2000.0,0.63,H
5,Yes,6:07:08,Yes,7:08,Neither,-,010350,2018,15.11,52.0,1.24,1999.0,0.79,M
0,Yes,2:3:4:5,No,-,Neither,-,010351,2018,16.94,41.0,1.17,2000.0,0.87,E
1,No,-,No,-,Neither,-,010353,2018,12.25,71.0,1.61,2002.0,0.82,M
1,No,-,No,-,Neither,-,010354,2018,20.04,52.0,1.16,1997.0,0.92,E
0,No,-,No,-,Neither,-,010357,2018,14.79,50.0,1.11,2001.0,0.65,E
1,Yes,2:3:4:5,No,-,Neither,-,010358,2018,16.01,48.0,1.02,2003.0,0.98,E
1,No,-,No,-,Neither,-,010360,2018,12.17,71.0,1.15,1996.0,0.86,H
1,No,-,No,-,Neither,-,010362,2018,29.88,50.0,1.16,1997.0,1.84,E
0,Yes,3:04:05,No,-,Neither,-,010364,2018,21.18,28.0,0.9,1997.0,0.81,E
0,Yes,2:3:4:5,No,-,Neither,-,010372,2018,25.45,28.0,1.4,2001.0,0.68,E
0,Yes,5,No,-,Neither,-,010374,2018,13.99,50.0,1.35,2000.0,0.75,E
-,Yes,K:1:2:3:4:5:6:7:8:9:10:11:12,No,-,Neither,-,010378,2018,,41.0,2.16,,0.51,A
1,No,-,No,-,Neither,-,010380,2018,23.5,65.0,1.25,2004.0,0.85,E
0,No,-,No,-,Neither,-,010384,2018,16.38,47.0,1.47,2000.0,1.25,E
0,No,-,No,-,Neither,-,010388,2018,6.41,167.0,2.42,1993.0,1.1,H
0,No,-,No,-,Neither,-,010390,2018,12.82,59.0,1.11,2003.0,1.19,M
1,Yes,1:2:3:4:5,No,-,Neither,-,010392,2018,23.97,35.0,1.35,1999.0,0.82,E
1,No,-,No,-,Neither,-,010394,2018,10.08,66.0,1.25,2007.0,1.19,M
1,No,-,No,-,Neither,-,010396,2018,10.41,172.0,2.49,1999.0,1.11,H
1,No,-,No,-,Neither,-,010400,2018,6.76,84.0,1.42,1993.0,1.08,H
1,No,-,No,-,Neither,-,010403,2018,15.37,60.0,1.2,2006.0,1.75,M
1,Yes,6:07:08,No,-,Neither,-,010406,2018,14.75,100.0,2.44,2000.0,0.98,M
,,,,,,,010LEA,2018,14.4,2127.0,1.4,2000.0,0.96,
-,Yes,8:9:10:11:12,Yes,8:9:10:11:12,Neither,-,01B000,2018,,,,,3.64,A
1,Yes,9:10:11:12,Yes,9:10:11:12,Neither,-,01C000,2018,15.67,48.0,1.37,1998.0,2.62,A
-,No,-,No,-,Both,5:6:7:8:9:10:11:12,01D000,2018,,13.0,0.48,,11.14,A
0,Yes,9:10:11:12,Yes,9:10:11:12,Neither,-,020302,2018,8.97,139.0,1.6,1998.0,0.46,H
-,Yes,9:10,Yes,9:10,Neither,-,020303,2018,,,,,0.96,H
0,Yes,3:04:05,No,-,Neither,-,020304,2018,29.19,48.0,1.33,2000.0,0.82,E
1,Yes,6:07:08,Yes,6:07:08,Neither,-,020306,2018,29.01,53.0,1.13,2004.0,0.71,M
1,Yes,3:04:05,No,-,Neither,-,020308,2018,24.88,34.0,1.36,1998.0,0.8,E
0,Yes,3:04:05,No,-,Neither,-,020316,2018,22.72,43.0,1.1,1998.0,0.84,E
1,Yes,3:04:05,No,-,Neither,-,020320,2018,32.49,28.0,1.12,1998.0,0.87,E
1,Yes,3:04:05,No,-,Neither,-,020324,2018,33.34,25.0,1.19,1996.0,1.05,E
0,Yes,3:04:05,No,-,Neither,-,020328,2018,29.39,29.0,1.0,2000.0,0.77,E
1,Yes,6:07:08,Yes,6:07:08,Neither,-,020330,2018,22.3,52.0,1.13,2000.0,0.67,M
1,Yes,3:04:05,No,-,Neither,-,020332,2018,38.13,35.0,1.17,1996.0,0.9,E
,,,,,,,020LEA,2018,22.74,486.0,1.26,1999.0,0.66,
2,No,-,No,-,Both,9:10:11:12,030304,2018,25.26,43.0,1.08,2001.0,0.63,H
1,No,-,No,-,Both,3:4:5:6:7:8,030308,2018,87.41,21.0,0.91,1997.0,0.51,I
1,No,-,No,-,Both,3:4:5:6:7:8,030316,2018,59.27,13.0,1.0,1998.0,0.44,I
1,No,-,No,-,Both,3:4:5:6:7:8,030320,2018,36.05,34.0,0.77,2001.0,0.7,I
,,,,,,,030LEA,2018,43.05,111.0,0.93,1999.0,0.6,
-,Yes,9:10:11:12:13,Yes,9:10:11:12:13,Neither,-,040304,2018,,14.0,1.17,,0.59,H
-,Yes,9:10:11:12,No,-,Neither,-,040305,2018,,1.0,0.1,,0.6,T
3,Yes,10:11:12,Yes,10:11:12,Neither,-,040306,2018,18.19,88.0,1.35,1992.0,0.5,H
1,Yes,K:1:2:3:4:5:6,No,-,Neither,-,040308,2018,47.5,26.0,1.44,1997.0,0.44,E
1,No,-,No,-,Neither,-,040309,2018,19.69,58.0,1.38,2001.0,0.59,M
1,Yes,2:03,No,-,Neither,-,040311,2018,33.63,37.0,1.48,1975.0,0.61,E
1,Yes,3:04:05,No,-,Neither,-,040316,2018,35.54,34.0,1.62,1996.0,0.53,E
2,Yes,K:1:2:3:4:5,No,-,Neither,-,040324,2018,36.49,34.0,1.7,1992.0,0.33,E
9,Yes,K:1:2:3:4:5:6,No,-,Neither,-,040328,2018,31.73,39.0,1.56,2000.0,0.65,E
0,Yes,4:05,No,-,Neither,-,040330,2018,49.04,25.0,1.79,1996.0,0.38,E
0,Yes,9:10:11:12,Yes,9:10:11:12,Neither,-,040700,2018,,16.0,2.0,1993.0,,
,,,,,,,040LEA,2018,29.17,372.0,1.43,1994.0,0.51,
2,No,-,No,-,Neither,-,050302,2018,11.48,84.0,1.33,2005.0,0.58,H
1,No,-,No,-,Neither,-,050305,2018,23.87,51.0,1.38,2003.0,0.47,M
8,No,-,No,-,Neither,-,050310,2018,18.03,50.0,1.11,2011.0,0.55,E
2,No,-,No,-,Neither,-,050330,2018,22.06,52.0,1.08,2001.0,0.44,E
3,No,-,No,-,Neither,-,050335,2018,31.57,55.0,1.41,2006.0,0.65,E
,,,,,,,050LEA,2018,20.16,292.0,1.26,2005.0,0.54,
3,Yes,9:10:11:12,Yes,9:10:11:12,Neither,-,060302,2018,21.08,46.0,0.88,1998.0,0.65,H
2,Yes,K:1:2:3:4:5,No,-,Neither,-,060304,2018,46.96,22.0,1.29,1995.0,0.73,E
2,Yes,6:07:08,Yes,6:07:08,Neither,-,060310,2018,34.25,13.0,0.81,2001.0,0.98,M
1,Yes,K:1:2:3:4:5,No,-,Neither,-,060316,2018,28.44,30.0,2.0,2000.0,0.94,E
1,Yes,6:07:08,Yes,6:07:08,Neither,-,060318,2018,22.47,24.0,1.09,1998.0,0.93,M
2,Yes,K:1:2:3:4:5,No,-,Neither,-,060322,2018,41.54,24.0,1.5,2001.0,0.91,E
1,Yes,K:1:2:3:4:5,No,-,Neither,-,060328,2018,30.36,38.0,1.65,1994.0,0.95,E
0,Yes,K:1:2:3:4:5,No,-,Neither,-,060332,2018,17.8,18.0,2.25,2004.0,0.92,E
-,Yes,9:10:11:12,Yes,9:10:11:12,Neither,-,060334,2018,,2.0,1.0,,0.62,T
,,,,,,,060LEA,2018,29.33,217.0,1.27,1999.0,0.94,
0,Yes,6:7:8:9:10:11:12,No,-,Neither,-,06A000,2018,86.96,3.0,0.75,1986.0,1.64,A
0,Yes,K:1:2:3:4:5:6:7:8:9:10:11:12,No,-,Neither,-,06B000,2018,77.87,11.0,0.55,2000.0,1.24,A
1,No,-,No,-,Neither,-,070302,2018,27.25,52.0,1.06,1997.0,1.58,E
0,No,-,No,-,Staff,-,070308,2018,21.52,56.0,1.33,1998.0,1.07,I
-,No,-,No,-,Neither,-,070310,2018,,24.0,2.67,,0.4,T
25,Yes,9:10:11:12:13,Yes,9:10:11:12:13,Both,9:10:11:12:13,070311,2018,0.11,10.0,1.0,1970.0,0.69,H
1,Yes,5:6:7:8,No,-,Staff,-,070325,2018,22.71,41.0,1.52,1996.0,0.59,M
0,No,-,No,-,Staff,-,070326,2018,21.52,57.0,1.46,1997.0,0.95,E
2,No,-,No,-,Neither,-,070327,2018,26.07,50.0,1.11,1994.0,1.09,E
0,No,-,No,-,Staff,-,070328,2018,20.39,42.0,1.17,1999.0,0.75,E
0,No,-,No,-,Neither,-,070329,2018,41.16,66.0,1.2,1998.0,0.94,I
1,Yes,9:10:11:12,No,-,Staff,-,070330,2018,23.46,54.0,1.5,1992.0,0.72,H
