year,agency_code,category_code,esea_att
2013,010303,H,Did Not Meet
2013,010304,E,Met
2013,010308,E,Met
2013,010310,M,Met
2013,010311,H,Did Not Meet
2013,010312,E,Met
2013,010320,E,Met
2013,010324,H,Did Not Meet
2013,010326,E,Met
2013,010328,E,Met
2013,010340,E,Met
2013,010346,E,Met
2013,010347,E,Met
2013,010348,H,Did Not Meet
2013,010350,M,Met
2013,010351,E,Met
2013,010353,M,Met
2013,010354,E,Met
2013,010357,E,Met
2013,010358,E,Met
2013,010360,H,Did Not Meet
2013,010362,E,Met
2013,010364,E,Met
2013,010372,E,Met
2013,010374,E,Met
2013,010378,A,Did Not Meet
2013,010380,E,Met
2013,010384,E,Met
2013,010388,H,Did Not Meet
2013,010390,M,Met
2013,010392,E,Met
2013,010394,M,Met
2013,010396,H,Did Not Meet
2013,010400,H,Did Not Meet
2013,010403,M,Met
2013,010406,M,Met
2013,010LEA,,Met
2013,01B000,A,Did Not Meet
2013,01C000,A,Did Not Meet
2013,01D000,T,Did Not Meet
2013,020302,H,Did Not Meet
2013,020304,E,Met
2013,020306,M,Met
2013,020308,E,Met
2013,020316,E,Met
2013,020320,E,Met
2013,020324,E,Met
2013,020328,E,Met
2013,020330,M,Met
2013,020332,E,Met
2013,020LEA,,Met
2013,030304,H,Did Not Meet
2013,030308,I,Met
2013,030316,I,Met
2013,030320,I,Met
2013,030LEA,,Met
2013,040304,H,Did Not Meet
2013,040305,T,Did Not Meet
2013,040306,H,Did Not Meet
2013,040308,E,Met
2013,040309,M,Met
2013,040311,E,Met
2013,040316,E,Met
2013,040324,E,Met
2013,040328,E,Met
2013,040330,E,Met
2013,040700,H,Did Not Meet
2013,040LEA,,Met
2013,050302,H,Did Not Meet
2013,050305,M,Met
2013,050310,E,Met
2013,050330,E,Met
2013,050335,E,Met
2013,050LEA,,Met
2013,060302,H,Did Not Meet
2013,060304,E,Met
2013,060310,M,Met
2013,060316,E,Met
2013,060318,M,Met
2013,060322,E,Met
2013,060328,E,Met
2013,060332,E,Met
2013,060334,T,Did Not Meet
2013,060700,H,Did Not Meet
2013,060701,H,Did Not Meet
2013,060LEA,,Met
2013,06A000,A,Did Not Meet
2013,06B000,A,Did Not Meet
2013,070302,E,Did Not Meet
2013,070308,I,Met
2013,070310,T,Did Not Meet
2013,070311,H,Did Not Meet
2013,070325,M,Met
2013,070326,E,Met
2013,070327,E,Met
