year,agency_code,category_code,pct_experience_0,pct_experience_10,pct_experience_4,staff,pct_adv_degree,pct_turnover,total_class_teach,avg_class_teach
2006,010303,H,,0.25,0.75,Teacher,0.5,,100062,4
2006,010304,E,0.462,0.282,0.256,Teacher,0.179,0.315,100062,39
2006,010308,E,0.175,0.425,0.4,Teacher,0.325,0.026,100062,40
2006,010310,M,0.5,0.241,0.259,Teacher,0.155,0.233,100062,58
2006,010320,E,0.273,0.394,0.333,Teacher,0.273,0.29,100062,33
2006,010324,H,0.273,0.576,0.152,Teacher,0.242,0.26,100062,66
2006,010326,E,0.364,0.327,0.309,Teacher,0.255,0.127,100062,55
2006,010328,E,0.233,0.535,0.233,Teacher,0.186,0.209,100062,43
2006,010340,E,0.261,0.5,0.239,Teacher,0.326,0.13,100062,46
2006,010346,E,0.286,0.343,0.371,Teacher,0.229,0.181,100062,35
2006,010347,E,0.265,0.388,0.347,Teacher,0.102,0.195,100062,49
2006,010348,H,0.349,0.381,0.27,Teacher,0.238,0.306,100062,63
2006,010350,M,0.469,0.388,0.143,Teacher,0.102,0.313,100062,49
2006,010351,E,0.231,0.59,0.179,Teacher,0.231,0.184,100062,39
2006,010353,M,0.462,0.205,0.333,Teacher,0.256,0.26,100062,39
2006,010354,E,0.46,0.26,0.28,Teacher,0.16,0.204,100062,50
2006,010357,E,0.275,0.375,0.35,Teacher,0.2,0.25,100062,40
2006,010358,E,0.17,0.468,0.362,Teacher,0.255,0.312,100062,47
2006,010360,H,0.419,0.355,0.226,Teacher,0.177,0.344,100062,62
2006,010362,E,0.186,0.581,0.233,Teacher,0.233,0.255,100062,43
2006,010364,E,0.258,0.516,0.226,Teacher,0.161,0.064,100062,31
2006,010372,E,0.227,0.455,0.318,Teacher,0.273,0.272,100062,22
2006,010374,E,0.24,0.32,0.44,Teacher,0.16,0.234,100062,50
2006,010378,A,0.294,0.412,0.294,Teacher,0.147,0.346,100062,34
2006,010380,E,0.255,0.392,0.353,Teacher,0.137,0.125,100062,51
2006,010384,E,0.152,0.576,0.273,Teacher,0.121,0.193,100062,33
2006,010388,H,0.217,0.494,0.289,Teacher,0.217,0.216,100062,83
2006,010390,M,0.367,0.429,0.204,Teacher,0.122,0.375,100062,49
2006,010392,E,0.375,0.375,0.25,Teacher,0.292,0.409,100062,24
2006,010394,M,0.246,0.459,0.295,Teacher,0.148,0.265,100062,61
2006,010396,H,0.215,0.544,0.241,Teacher,0.241,0.222,100062,79
2006,010400,H,0.179,0.567,0.254,Teacher,0.179,0.323,100062,67
2006,010403,M,0.234,0.532,0.234,Teacher,0.149,0.22,100062,47
2006,010406,M,0.3,0.475,0.225,Teacher,0.225,0.268,100062,40
2006,010LEA,A,0.353,0.382,0.265,Principal,0.206,0.12,,
2006,010LEA,A,0.294,0.412,0.294,Teacher,0.147,0.346,100062,34
2006,010LEA,E,0.353,0.382,0.265,Principal,0.206,0.12,,
2006,010LEA,E,0.273,0.421,0.306,Teacher,0.212,0.203,100062,41
2006,010LEA,H,0.353,0.382,0.265,Principal,0.206,0.12,,
2006,010LEA,H,0.267,0.488,0.245,Teacher,0.219,0.273,100062,61
2006,010LEA,M,0.353,0.382,0.265,Principal,0.206,0.12,,
2006,010LEA,M,0.367,0.391,0.242,Teacher,0.16,0.275,100062,49
2006,01A000,T,,,,Teacher,,,100062,
2006,01B000,A,,,,Teacher,,,100062,26
2006,01C000,A,,,,Teacher,,,100062,22
2006,01D000,H,,,,Teacher,,,100062,7
2006,020302,H,0.175,0.546,0.278,Teacher,0.237,0.161,100062,97
2006,020304,E,0.188,0.438,0.375,Teacher,0.406,0.125,100062,32
2006,020306,M,0.283,0.37,0.348,Teacher,0.13,0.333,100062,46
2006,020308,E,0.304,0.391,0.304,Teacher,0.174,0.13,100062,23
2006,020316,E,0.147,0.529,0.324,Teacher,0.118,0.088,100062,34
2006,020320,E,0.556,0.333,0.111,Teacher,0,0.058,100062,18
2006,020324,E,0.412,0.412,0.176,Teacher,0.176,0.166,100062,17
2006,020328,E,0.318,0.182,0.5,Teacher,0.136,0.272,100062,22
2006,020330,M,0.146,0.537,0.317,Teacher,0.22,0.139,100062,41
2006,020332,E,0.208,0.542,0.25,Teacher,0.292,0.076,100062,24
2006,020LEA,E,0.5,0.1,0.4,Principal,0.2,0.2,,
2006,020LEA,E,0.276,0.418,0.306,Teacher,0.2,0.128,100062,24
2006,020LEA,H,0.5,0.1,0.4,Principal,0.2,0.2,,
2006,020LEA,H,0.175,0.546,0.278,Teacher,0.237,0.161,100062,97
2006,020LEA,M,0.5,0.1,0.4,Principal,0.2,0.2,,
2006,020LEA,M,0.218,0.448,0.333,Teacher,0.172,0.239,100062,44
2006,030304,H,0.154,0.615,0.231,Teacher,0.308,0.205,100062,39
2006,030308,I,0.304,0.435,0.261,Teacher,0.261,0.26,100062,23
2006,030316,I,0.158,0.526,0.316,Teacher,0.211,0.35,100062,19
2006,030320,I,0.183,0.583,0.233,Teacher,0.4,0.189,100062,60
2006,030LEA,H,0.5,,0.5,Principal,,0.25,,
2006,030LEA,H,0.154,0.615,0.231,Teacher,0.308,0.205,100062,39
2006,030LEA,I,0.5,,0.5,Principal,,0.25,,
2006,030LEA,I,0.206,0.539,0.255,Teacher,0.333,0.238,100062,34
2006,040304,H,1,,,Teacher,0,,100062,3
2006,040305,T,0.222,0.556,0.222,Teacher,0.111,0.25,100062,9
2006,040306,H,0.26,0.532,0.208,Teacher,0.169,0.181,100062,77
2006,040308,E,0.217,0.435,0.348,Teacher,0.478,0.272,100062,23
2006,040309,M,0.277,0.511,0.213,Teacher,0.191,0.2,100062,47
2006,040311,E,0.415,0.366,0.22,Teacher,0.22,0.309,100062,41
2006,040316,E,0.172,0.655,0.172,Teacher,0.414,0.142,100062,29
2006,040324,E,0.273,0.485,0.242,Teacher,0.303,0.285,100062,33
2006,040328,E,0.089,0.6,0.311,Teacher,0.356,0.113,100062,45
2006,040330,E,0.135,0.676,0.189,Teacher,0.351,0.125,100062,37
2006,040LEA,E,0.333,0.333,0.333,Principal,0.222,0.22,,
2006,040LEA,E,0.216,0.538,0.245,Teacher,0.341,0.204,100062,35
2006,040LEA,H,0.333,0.333,0.333,Principal,0.222,0.22,,
2006,040LEA,H,0.288,0.513,0.2,Teacher,0.163,0.182,100062,40
2006,040LEA,M,0.333,0.333,0.333,Principal,0.222,0.22,,
2006,040LEA,M,0.277,0.511,0.213,Teacher,0.191,0.2,100062,47
2006,040LEA,T,0.333,0.333,0.333,Principal,0.222,0.22,,
2006,040LEA,T,0.222,0.556,0.222,Teacher,0.111,0.25,100062,9
2006,050302,H,0.104,0.649,0.247,Teacher,0.26,0.113,100062,77
2006,050305,M,0.095,0.619,0.286,Teacher,0.452,0.054,100062,42
2006,050310,E,0.289,0.447,0.263,Teacher,0.316,0.162,100062,38
2006,050330,E,0.173,0.692,0.135,Teacher,0.154,0.137,100062,52
2006,050335,E,0.122,0.561,0.317,Teacher,0.341,0.119,100062,41
2006,050LEA,E,0.4,,0.6,Principal,0.2,0.6,,
2006,050LEA,E,0.191,0.58,0.229,Teacher,0.26,0.138,100062,44
2006,050LEA,H,0.4,,0.6,Principal,0.2,0.6,,
2006,050LEA,H,0.104,0.649,0.247,Teacher,0.26,0.114,100062,77
2006,050LEA,M,0.4,,0.6,Principal,0.2,0.6,,
2006,050LEA,M,0.095,0.619,0.286,Teacher,0.452,0.054,100062,42
2006,060302,H,0.163,0.653,0.184,Teacher,0.224,0.137,100062,49
2006,060304,E,0.2,0.6,0.2,Teacher,0.467,0.294,100062,15
2006,060308,I,0.4,0.4,0.2,Teacher,0.5,0.444,100062,10
2006,060310,M,0.421,0.316,0.263,Teacher,0.105,0.235,100062,19
2006,060316,E,0.15,0.6,0.25,Teacher,0.3,0.05,100062,20
2006,060318,M,0.207,0.483,0.31,Teacher,0.31,0.206,100062,29
2006,060322,E,0.25,0.55,0.2,Teacher,0.4,0.157,100062,20
2006,060328,E,0.233,0.567,0.2,Teacher,0.233,0.172,100062,30
2006,060332,E,0.167,0.583,0.25,Teacher,0.167,0.25,100062,12
2006,060LEA,E,0.444,0.111,0.444,Principal,,0.13,,
2006,060LEA,E,0.206,0.577,0.216,Teacher,0.309,0.175,100062,19
2006,060LEA,H,0.444,0.111,0.444,Principal,,0.13,,
2006,060LEA,H,0.163,0.653,0.184,Teacher,0.224,0.137,100062,49
2006,060LEA,I,0.444,0.111,0.444,Principal,,0.13,,
2006,060LEA,I,0.4,0.4,0.2,Teacher,0.5,0.444,100062,10
2006,060LEA,M,0.444,0.111,0.444,Principal,,0.13,,
2006,060LEA,M,0.292,0.417,0.292,Teacher,0.229,0.217,100062,24
2006,06A000,A,,,,Teacher,,,100062,8
2006,06B000,A,,,,Teacher,,,100062,11
2006,070302,E,0.191,0.574,0.234,Teacher,0.234,0.127,100062,47
2006,070306,M,0.308,0.692,,Teacher,0.308,0.4,100062,13
2006,070308,I,0.068,0.75,0.182,Teacher,0.364,0.046,100062,44
2006,070310,T,0.1,0.5,0.4,Teacher,0.4,0.142,100062,10
2006,070325,M,0.161,0.581,0.258,Teacher,0.226,0.285,100062,31
2006,070326,E,0.195,0.512,0.293,Teacher,0.341,0.17,100062,41
2006,070327,E,0.175,0.525,0.3,Teacher,0.275,0.157,100062,40
2006,070328,E,0.275,0.5,0.225,Teacher,0.275,0.289,100062,40
2006,070329,I,0.075,0.604,0.321,Teacher,0.283,0.1,100062,53
2006,070330,H,0.091,0.727,0.182,Teacher,0.386,0.119,100062,44
2006,070338,M,0.226,0.516,0.258,Teacher,0.194,0.25,100062,62
2006,070339,H,0.073,0.659,0.268,Teacher,0.317,0.131,100062,41
2006,070340,E,0.1,0.7,0.2,Teacher,0.25,0.238,100062,20
2006,070342,H,0.278,0.597,0.125,Teacher,0.125,0.291,100062,72
2006,070LEA,E,0.571,0.143,0.286,Principal,0.286,0.29,,
2006,070LEA,E,0.197,0.548,0.255,Teacher,0.277,0.189,100062,38
2006,070LEA,H,0.571,0.143,0.286,Principal,0.286,0.29,,
2006,070LEA,H,0.172,0.65,0.178,Teacher,0.248,0.204,100062,52
2006,070LEA,I,0.571,0.143,0.286,Principal,0.286,0.29,,
2006,070LEA,I,0.072,0.67,0.258,Teacher,0.32,0.075,100062,49
2006,070LEA,M,0.571,0.143,0.286,Principal,0.286,0.29,,
2006,070LEA,M,0.217,0.557,0.226,Teacher,0.217,0.282,100062,35
2006,070LEA,T,0.571,0.143,0.286,Principal,0.286,0.29,,
2006,070LEA,T,0.1,0.5,0.4,Teacher,0.4,0.143,100062,10
2006,07A000,I,,,,Teacher,,,100062,16
2006,080304,E,0.4,0.3,0.3,Teacher,0.1,0.5,100062,10
2006,080310,M,0.069,0.586,0.345,Teacher,0.241,0.125,100062,29
2006,080312,H,0.152,0.606,0.242,Teacher,0.121,0.261,100062,66
2006,080320,M,0.375,0.25,0.375,Teacher,0,0.318,100062,16
2006,080336,E,0.333,0.417,0.25,Teacher,0.083,0.09,100062,12
2006,080348,E,0.133,0.533,0.333,Teacher,0.2,0.2,100062,15
2006,080350,T,,0.6,0.4,Teacher,0.4,0.4,100062,5
2006,080356,E,0.125,0.5,0.375,Teacher,0.208,0.208,100062,24
2006,080360,E,0.24,0.48,0.28,Teacher,0.24,0.307,100062,25
2006,080362,E,0.031,0.75,0.219,Teacher,0.188,0.074,100062,32
2006,080LEA,E,0.2,0.3,0.5,Principal,0.4,0.2,,
2006,080LEA,E,0.169,0.542,0.288,Teacher,0.186,0.222,100062,20
2006,080LEA,H,0.2,0.3,0.5,Principal,0.4,0.2,,
2006,080LEA,H,0.152,0.606,0.242,Teacher,0.121,0.262,100062,66
2006,080LEA,M,0.2,0.3,0.5,Principal,0.4,0.2,,
2006,080LEA,M,0.178,0.467,0.356,Teacher,0.156,0.217,100062,23
2006,080LEA,T,0.2,0.3,0.5,Principal,0.4,0.2,,
2006,080LEA,T,,0.6,0.4,Teacher,0.4,0.4,100062,5
2006,090304,E,0.333,0.571,0.095,Teacher,0.143,0.2,100062,21
2006,090315,M,0.167,0.583,0.25,Teacher,0.25,0.142,100062,24
2006,090317,E,0.086,0.629,0.286,Teacher,0.314,0.138,100062,35
2006,090318,E,0.148,0.407,0.444,Teacher,0.111,0.107,100062,27
2006,090320,M,0.24,0.52,0.24,Teacher,0.2,0.19,100062,25
2006,090324,E,0.19,0.476,0.333,Teacher,0,0.052,100062,21
2006,090328,I,0.278,0.5,0.222,Teacher,0.167,0.315,100062,18
2006,090330,H,0.161,0.661,0.179,Teacher,0.214,0.222,100062,56
2006,090332,M,0.303,0.515,0.182,Teacher,0.182,0.277,100062,33
2006,090333,E,0.238,0.429,0.333,Teacher,0.167,0.431,100062,42
2006,090352,E,0.2,0.533,0.267,Teacher,0.2,0.214,100062,15
2006,090354,T,0.143,0.571,0.286,Teacher,0.286,0.25,100062,7
2006,090365,M,0.435,0.391,0.174,Teacher,0.174,0.357,100062,23
2006,090368,H,0.15,0.683,0.167,Teacher,0.167,0.157,100062,60
2006,090LEA,E,0.643,,0.357,Principal,0.071,0.07,,
2006,090LEA,E,0.193,0.503,0.304,Teacher,0.168,0.217,100062,27
2006,090LEA,H,0.643,,0.357,Principal,0.071,0.07,,
2006,090LEA,H,0.155,0.672,0.172,Teacher,0.19,0.189,100062,58
2006,090LEA,I,0.643,,0.357,Principal,0.071,0.07,,
2006,090LEA,I,0.278,0.5,0.222,Teacher,0.167,0.316,100062,18
2006,090LEA,M,0.643,,0.357,Principal,0.071,0.07,,
2006,090LEA,M,0.286,0.505,0.21,Teacher,0.2,0.255,100062,26
2006,090LEA,T,0.643,,0.357,Principal,0.071,0.07,,
2006,090LEA,T,0.143,0.571,0.286,Teacher,0.286,0.25,100062,7
2006,100302,E,0.295,0.409,0.295,Teacher,0.136,0.437,100062,44
2006,100304,E,0.128,0.462,0.41,Teacher,0.051,0.292,100062,39
2006,100308,T,0.1,0.65,0.25,Teacher,0.25,0.105,100062,20
2006,100310,E,0.161,0.516,0.323,Teacher,0.194,0.125,100062,31
2006,100316,M,0.25,0.477,0.273,Teacher,0.318,0.326,100062,44
2006,100320,E,0.143,0.595,0.262,Teacher,0.286,0.204,100062,42
2006,100326,H,0.246,0.459,0.295,Teacher,0.148,0.283,100062,61
2006,100332,M,0.259,0.611,0.13,Teacher,0.185,0.16,100062,54
2006,100334,H,0.219,0.589,0.192,Teacher,0.233,0.089,100062,73
2006,100335,M,0.175,0.491,0.333,Teacher,0.105,0.145,100062,57
2006,100336,E,0.125,0.675,0.2,Teacher,0.2,0.227,100062,40
2006,100338,E,0.136,0.523,0.341,Teacher,0.182,0.113,100062,44
2006,100340,E,0.143,0.619,0.238,Teacher,0.286,0.121,100062,42
2006,100342,E,0.333,0.308,0.359,Teacher,0.205,0.23,100062,39
2006,100344,I,0.073,0.659,0.268,Teacher,0.22,0.146,100062,41
2006,100348,H,0.259,0.518,0.224,Teacher,0.224,0.192,100062,85
2006,100LEA,E,0.688,0.25,0.063,Principal,0.188,0.25,,
2006,100LEA,E,0.184,0.514,0.302,Teacher,0.193,0.225,100062,40
2006,100LEA,H,0.688,0.25,0.063,Principal,0.188,0.25,,
2006,100LEA,H,0.242,0.525,0.233,Teacher,0.205,0.185,100062,73
2006,100LEA,I,0.688,0.25,0.063,Principal,0.188,0.25,,
2006,100LEA,I,0.073,0.659,0.268,Teacher,0.22,0.146,100062,41
2006,100LEA,M,0.688,0.25,0.063,Principal,0.188,0.25,,
2006,100LEA,M,0.226,0.529,0.245,Teacher,0.194,0.204,100062,52
2006,100LEA,T,0.688,0.25,0.063,Principal,0.188,0.25,,
2006,100LEA,T,0.1,0.65,0.25,Teacher,0.25,0.105,100062,20
2006,10A000,E,,,,Teacher,,,100062,31
2006,110302,,,,,Teacher,,1,100062,
2006,110303,H,0.118,0.588,0.294,Teacher,0.412,0.428,100062,17
2006,110304,H,0.149,0.638,0.213,Teacher,0.383,0.196,100062,94
2006,110306,M,0.22,0.46,0.32,Teacher,0.16,0.384,100062,50
2006,110308,E,0.19,0.714,0.095,Teacher,0.333,0.487,100062,21
2006,110318,E,0.091,0.591,0.318,Teacher,0.364,0.485,100062,22
2006,110320,E,0.083,0.778,0.139,Teacher,0.528,0.472,100062,36
2006,110322,H,0.111,0.778,0.111,Teacher,0.222,0.142,100062,9
2006,110324,E,0.308,0.41,0.282,Teacher,0.308,0.568,100062,39
2006,110326,M,0.125,0.643,0.232,Teacher,0.375,0.343,100062,56
2006,110332,E,0.111,0.593,0.296,Teacher,0.296,0.6,100062,27
2006,110336,H,0.131,0.623,0.246,Teacher,0.311,0.291,100062,61
2006,110338,M,0.115,0.5,0.385,Teacher,0.269,0.328,100062,52
2006,110340,H,0.141,0.667,0.192,Teacher,0.372,0.229,100062,78
2006,110342,M,0.169,0.493,0.338,Teacher,0.254,0.304,100062,71
2006,110348,E,0.135,0.514,0.351,Teacher,0.243,0.425,100062,37
2006,110350,,0.143,0.714,0.143,Teacher,0.071,0.266,100062,14
2006,110352,H,0.318,0.435,0.247,Teacher,0.271,0.222,100062,85
2006,110356,E,0.091,0.636,0.273,Teacher,0.273,0.371,100062,55
2006,110366,E,0.256,0.488,0.256,Teacher,0.395,0.459,100062,43
2006,110368,E,0.273,0.606,0.121,Teacher,0.394,0.5,100062,33
2006,110370,E,0.286,0.457,0.257,Teacher,0.257,0.509,100062,35
2006,110372,E,0.304,0.304,0.391,Teacher,0.435,0.571,100062,23
2006,110376,E,0.233,0.349,0.419,Teacher,0.326,0.467,100062,43
2006,110379,E,0.178,0.533,0.289,Teacher,0.311,0.426,100062,45
2006,110380,H,0.099,0.69,0.211,Teacher,0.423,0.262,100062,71
2006,110381,M,0.111,0.711,0.178,Teacher,0.444,0.44,100062,45
2006,110382,M,0.098,0.585,0.317,Teacher,0.39,0.372,100062,41
2006,110384,E,0.308,0.538,0.154,Teacher,0.359,0.491,100062,39
2006,110388,E,0.1,0.6,0.3,Teacher,0.25,0.585,100062,20
2006,110401,M,0.176,0.529,0.294,Teacher,0.324,0.289,100062,68
2006,110408,E,0.226,0.528,0.245,Teacher,0.302,0.464,100062,53
2006,110410,E,0.273,0.477,0.25,Teacher,0.227,0.466,100062,44
2006,110412,E,0.146,0.634,0.22,Teacher,0.22,0.44,100062,41
2006,110416,H,0.186,0.569,0.245,Teacher,0.363,0.257,100062,102
2006,110420,M,0.148,0.607,0.246,Teacher,0.426,0.383,100062,61
2006,110422,E,0.176,0.595,0.23,Teacher,0.284,0.354,100062,74
2006,110428,E,0.115,0.615,0.269,Teacher,0.346,0.394,100062,26
2006,110432,E,,0.7,0.3,Teacher,0.3,0.5,100062,20
2006,110436,E,0.231,0.5,0.269,Teacher,0.327,0.417,100062,52
2006,110444,E,0.125,0.542,0.333,Teacher,0.417,0.648,100062,24
2006,110LEA,E,0.45,0.1,0.45,Principal,0.325,0.12,,
2006,110LEA,E,0.192,0.547,0.261,Teacher,0.319,0.472,100062,37
2006,110LEA,H,0.45,0.1,0.45,Principal,0.325,0.12,,
2006,110LEA,H,0.172,0.602,0.226,Teacher,0.354,0.246,100062,65
2006,110LEA,M,0.45,0.1,0.45,Principal,0.325,0.12,,
2006,110LEA,M,0.149,0.561,0.291,Teacher,0.327,0.351,100062,56
2006,111301,T,0.385,0.346,0.269,Teacher,0.154,0.541,100062,26
2006,111302,H,0.229,0.573,0.198,Teacher,0.24,0.206,100062,96
2006,111304,E,0.333,0.333,0.333,Teacher,0.4,0.111,100062,30
2006,111306,E,0.205,0.462,0.333,Teacher,0.308,0.171,100062,39
2006,111312,E,0.129,0.581,0.29,Teacher,0.452,0.166,100062,31
2006,111332,E,0.2,0.457,0.343,Teacher,0.371,0.181,100062,35
2006,111356,M,0.18,0.443,0.377,Teacher,0.311,0.245,100062,61
2006,111360,E,0.257,0.543,0.2,Teacher,0.314,0.225,100062,35
2006,111700,H,0.286,0.429,0.286,Teacher,0.571,,100062,7
2006,111LEA,E,0.5,0.25,0.25,Principal,0.125,0.13,,
2006,111LEA,E,0.224,0.476,0.3,Teacher,0.365,0.173,100062,34
2006,111LEA,H,0.5,0.25,0.25,Principal,0.125,0.13,,
2006,111LEA,H,0.233,0.563,0.204,Teacher,0.262,0.206,100062,52
2006,111LEA,M,0.5,0.25,0.25,Principal,0.125,0.13,,
2006,111LEA,M,0.18,0.443,0.377,Teacher,0.311,0.246,100062,61
2006,111LEA,T,0.5,0.25,0.25,Principal,0.125,0.13,,
2006,111LEA,T,0.385,0.346,0.269,Teacher,0.154,0.542,100062,26
2006,11A000,I,,,,Teacher,,,100062,20
2006,11B000,I,,,,Teacher,,,100062,23
2006,11K000,I,,,,Teacher,,,100062,12
2006,120304,E,0.167,0.5,0.333,Teacher,0.333,0.44,100062,24
2006,120308,T,0.222,0.611,0.167,Teacher,0.444,0.333,100062,18
2006,120312,E,0.148,0.593,0.259,Teacher,0.333,0.115,100062,27
2006,120314,H,0.202,0.571,0.227,Teacher,0.269,0.186,100062,119
2006,120315,M,0.304,0.429,0.268,Teacher,0.304,0.196,100062,56
2006,120316,E,0.219,0.531,0.25,Teacher,0.219,0.172,100062,32
2006,120318,H,0.207,0.514,0.279,Teacher,0.279,0.145,100062,140
2006,120320,E,0.306,0.389,0.306,Teacher,0.194,0.27,100062,36
2006,120324,E,0.267,0.289,0.444,Teacher,0.289,0.382,100062,45
2006,120330,E,0.15,0.6,0.25,Teacher,0.4,0.285,100062,20
2006,120334,M,0.163,0.49,0.347,Teacher,0.327,0.081,100062,49
2006,120338,E,0.265,0.441,0.294,Teacher,0.382,0.322,100062,34
2006,120340,E,0.067,0.433,0.5,Teacher,0.467,0.378,100062,30
2006,120344,E,0.125,0.5,0.375,Teacher,0.208,0.115,100062,24
2006,120350,M,0.233,0.372,0.395,Teacher,0.186,0.266,100062,43
2006,120352,E,,0.75,0.25,Teacher,0.667,0.083,100062,12
2006,120356,E,0.259,0.481,0.259,Teacher,0.296,0.21,100062,27
2006,120360,E,0.226,0.516,0.258,Teacher,0.323,0.166,100062,31
2006,120364,E,0.425,0.3,0.275,Teacher,0.2,0.282,100062,40
2006,120368,E,0.333,0.41,0.256,Teacher,0.256,0.214,100062,39
2006,120372,E,0.231,0.538,0.231,Teacher,0.308,0.24,100062,26
2006,120374,E,0.14,0.488,0.372,Teacher,0.442,0.159,100062,43
2006,120376,M,0.2,0.6,0.2,Teacher,0.178,0.187,100062,45
2006,120380,E,0.063,0.469,0.469,Teacher,0.438,0.151,100062,32
2006,120386,E,0.086,0.657,0.257,Teacher,0.314,0.147,100062,35
2006,120390,M,0.256,0.395,0.349,Teacher,0.326,0.232,100062,43
2006,120LEA,E,0.462,0.115,0.423,Principal,0.154,0.15,,
2006,120LEA,E,0.208,0.472,0.32,Teacher,0.323,0.239,100062,31
2006,120LEA,H,0.462,0.115,0.423,Principal,0.154,0.15,,
2006,120LEA,H,0.205,0.541,0.255,Teacher,0.274,0.165,100062,130
2006,120LEA,M,0.462,0.115,0.423,Principal,0.154,0.15,,
2006,120LEA,M,0.233,0.458,0.309,Teacher,0.267,0.191,100062,47
2006,120LEA,T,0.462,0.115,0.423,Principal,0.154,0.15,,
2006,120LEA,T,0.222,0.611,0.167,Teacher,0.444,0.333,100062,18
2006,12A000,E,,,,Teacher,,,100062,8
2006,130304,E,0.219,0.281,0.5,Teacher,0.344,0.193,100062,32
2006,130308,E,0.316,0.263,0.421,Teacher,0.158,0.184,100062,38
