year,agency_code,category_code,total_expense,pct_salary,pct_benefits,pct_services,pct_supplies,pct_instruct_equip,pct_building,pct_other,local_perpupil,state_perpupil,federal_perpupil
2003,19B000,,6919.19,0.548,0.095,0.254,0.074,0.02,,0.009,2424.75,4305.44,189
2003,01B000,,6318.18,0.563,0.115,0.246,0.051,0.002,,0.023,1794.95,4196.64,326.59
2003,070LEA,,7000.56,0.677,0.124,0.077,0.098,0.018,,0.006,1263.84,4802.65,934.07
2003,150LEA,,7075.12,0.693,0.126,0.088,0.087,0,,0.006,939.71,5726.62,408.79
2003,132LEA,,6724.41,0.682,0.123,0.102,0.078,0.012,,0.003,1592.46,4389.9,742.05
2003,130LEA,,6017.71,0.698,0.126,0.065,0.091,0.015,,0.005,1551.32,4089.91,376.48
2003,100LEA,,7177.88,0.692,0.134,0.087,0.081,0.001,,0.005,2011.59,4496.44,669.85
2003,241LEA,,6736.03,0.716,0.13,0.057,0.072,0.019,,0.006,826.31,5040.34,869.38
2003,300LEA,,6225.45,0.73,0.131,0.049,0.081,0.002,,0.007,1412.19,4419.21,394.05
2003,400LEA,,7255.25,0.686,0.126,0.074,0.09,0.018,,0.006,1051.48,5277.06,926.71
2003,460LEA,,7541.55,0.675,0.127,0.077,0.09,0.026,,0.005,1044.76,5267.39,1229.4
2003,480LEA,,12887.52,0.645,0.125,0.099,0.107,0.009,,0.015,1895.96,8831.89,2159.67
2003,510LEA,,6322.66,0.709,0.129,0.066,0.092,0.001,,0.003,1519.58,4317.32,485.76
2003,610LEA,,7343.31,0.682,0.129,0.057,0.105,0.024,,0.003,911.17,5546.79,885.35
2003,700LEA,,6882.3,0.694,0.128,0.068,0.098,0.005,,0.007,1467.58,4657.16,757.56
2003,020LEA,,6136.81,0.683,0.128,0.054,0.122,0.005,,0.008,1258.76,4394.23,483.82
2003,670LEA,,6069.63,0.692,0.136,0.066,0.083,0.018,,0.005,1218.2,4282.46,568.97
2003,940LEA,,8389.26,0.683,0.126,0.077,0.096,0.014,,0.004,1048.14,5872.61,1468.51
2003,220LEA,,9105.55,0.654,0.121,0.085,0.07,0.064,,0.006,1469.81,6587.5,1048.24
2003,680LEA,,7886.65,0.722,0.128,0.074,0.068,0.003,,0.005,2907.12,4495.31,484.22
2003,090LEA,,7011.7,0.695,0.127,0.076,0.093,0.001,,0.008,920.83,5090.86,1000.01
2003,060LEA,,8205.65,0.713,0.136,0.057,0.08,0.004,,0.01,1498.41,5645.9,1061.34
2003,120LEA,,6155.69,0.718,0.131,0.06,0.074,0.009,,0.008,1150.61,4360.69,644.39
2003,740LEA,,6759.45,0.682,0.126,0.067,0.117,0.004,,0.004,1530.96,4503.07,725.42
2003,290LEA,,5648.25,0.722,0.133,0.05,0.076,0.014,,0.005,1130.32,4155.46,362.47
2003,420LEA,,8065.57,0.649,0.123,0.074,0.11,0.038,,0.006,795.64,5137.72,2132.21
2003,810LEA,,6810.07,0.714,0.133,0.046,0.092,0.003,,0.012,1169.9,4807.9,832.27
2003,530LEA,,6562.77,0.696,0.125,0.068,0.097,0.007,,0.007,1252.78,4558.26,751.73
2003,760LEA,,5581.88,0.715,0.131,0.058,0.089,0.001,,0.006,995.57,4158.15,428.16
2003,450LEA,,6590.87,0.69,0.124,0.073,0.094,0.012,,0.007,1498.15,4506.3,586.42
2003,890LEA,,10505.05,0.671,0.124,0.074,0.113,0.008,,0.01,1096.92,8419.98,988.15
2003,910LEA,,6529.4,0.693,0.131,0.086,0.079,0.006,,0.005,1038.37,4578.26,912.77
2003,520LEA,,8903.19,0.656,0.123,0.088,0.097,0.024,,0.012,819.64,6641.19,1442.36
2003,560LEA,,6931.55,0.719,0.134,0.054,0.084,0.003,,0.006,1424.81,4867.2,639.54
2003,860LEA,,6548.06,0.712,0.133,0.053,0.089,0.007,,0.006,1222.14,4642.05,683.87
2003,180LEA,,5997.63,0.709,0.129,0.063,0.085,0.01,,0.004,1312.58,4290.74,394.31
2003,430LEA,,5935.84,0.71,0.13,0.047,0.098,0.011,,0.004,956.56,4391.6,587.68
2003,550LEA,,6090.68,0.702,0.129,0.072,0.091,0.001,,0.005,1213.32,4395.7,481.66
2003,880LEA,,7058.13,0.691,0.127,0.099,0.076,0.004,,0.003,1781.62,4625.44,651.07
2003,862LEA,,7221.05,0.691,0.12,0.097,0.074,0,,0.018,1882.87,4692.25,645.93
2003,780LEA,,6422.23,0.673,0.126,0.087,0.092,0.015,,0.007,762.84,4624.43,1034.96
2003,950LEA,,7111,0.737,0.138,0.047,0.066,0.007,,0.005,1954.27,4669.53,487.2
2003,231LEA,,6302.26,0.692,0.122,0.083,0.096,0.002,,0.005,1362.61,4403.93,535.72
2003,830LEA,,7844.35,0.707,0.13,0.068,0.085,0.005,,0.005,1464.04,5014.77,1365.54
2003,190LEA,,7330.81,0.681,0.128,0.076,0.101,0.006,,0.008,2352.09,4453.56,525.16
2003,490LEA,,5908.44,0.711,0.132,0.058,0.09,0.003,,0.006,1313,4181.14,414.3
2003,820LEA,,6560.8,0.663,0.123,0.081,0.109,0.018,,0.006,855.8,4826.36,878.64
2003,040LEA,,6940.04,0.655,0.119,0.085,0.102,0.032,,0.007,1012.87,4870.55,1056.62
2003,350LEA,,6321.06,0.675,0.131,0.073,0.102,0.011,,0.008,1319.98,4264.58,736.5
2003,330LEA,,6914.97,0.698,0.128,0.074,0.078,0.013,,0.009,1106.15,4747.3,1061.52
2003,761LEA,,6542.07,0.706,0.135,0.077,0.068,0.001,,0.013,1522.92,4459.86,559.29
2003,821LEA,,6938.63,0.696,0.127,0.074,0.085,0.009,,0.009,1267.51,4789.53,881.59
2003,080LEA,,7662.17,0.68,0.124,0.078,0.083,0.024,,0.011,942.84,5376.02,1343.31
2003,92K000,,6134.98,0.605,0.102,0.212,0.051,0.025,,0.005,1927.77,4080.36,126.85
2003,660LEA,,7468.41,0.651,0.119,0.1,0.108,0.014,,0.008,916.92,5483.77,1067.72
2003,410LEA,,7126.14,0.688,0.122,0.096,0.084,0.006,,0.004,2223.8,4264,638.34
2003,182LEA,,6846.27,0.729,0.132,0.064,0.063,0.007,,0.005,1655,4625.34,565.93
2003,200LEA,,7479.46,0.678,0.125,0.059,0.112,0.019,,0.007,1109.61,5325.19,1044.66
2003,030LEA,,8546,0.698,0.128,0.06,0.092,0.014,,0.008,1470.84,6265.01,810.15
2003,160LEA,,7521.97,0.714,0.129,0.075,0.074,0.002,,0.006,2230.04,4667.52,624.41
2003,800LEA,,6276.53,0.721,0.132,0.05,0.089,0.004,,0.004,1331.16,4326.24,619.13
2003,390LEA,,6197.92,0.699,0.127,0.069,0.095,0,,0.01,1283.59,4428.32,486.01
2003,770LEA,,6513.11,0.69,0.129,0.063,0.105,0.006,,0.007,798.51,4831.7,882.9
2003,580LEA,,7213.61,0.691,0.13,0.077,0.085,0.01,,0.007,1245.57,5015.68,952.36
2003,920LEA,,6810.27,0.696,0.123,0.105,0.072,0.001,,0.003,2177.63,4217.33,415.31
2003,470LEA,,6483.96,0.668,0.122,0.079,0.109,0.013,,0.009,973.63,4606.77,903.56
2003,900LEA,,5941.43,0.706,0.128,0.064,0.09,0.005,,0.007,1404.99,4122.95,413.49
2003,750LEA,,7813.91,0.678,0.12,0.077,0.088,0.027,,0.01,1925.74,5299.92,588.25
2003,491LEA,,6343.68,0.692,0.132,0.097,0.071,0.003,,0.005,1740.62,4239.25,363.81
2003,050LEA,,7434.29,0.716,0.135,0.058,0.081,0.001,,0.009,1077.74,5505.75,850.8
2003,320LEA,,7786.37,0.713,0.125,0.072,0.075,0.008,,0.007,2731.53,4409.84,645
2003,960LEA,,6321.96,0.695,0.128,0.081,0.089,0.002,,0.005,1109.82,4533.16,678.98
2003,600LEA,,7230.88,0.716,0.127,0.068,0.074,0.004,,0.011,2426.45,4250.11,554.32
2003,730LEA,,6240.3,0.703,0.128,0.072,0.079,0.01,,0.008,1238.92,4408.13,593.25
2003,861LEA,,7607.03,0.694,0.125,0.079,0.086,0.006,,0.01,1816.53,5280.74,509.76
2003,840LEA,,6203.45,0.707,0.131,0.074,0.075,0.008,,0.005,1213.87,4454.28,535.3
2003,790LEA,,6485.24,0.712,0.133,0.068,0.073,0.006,,0.008,1285.91,4545.37,653.96
2003,980LEA,,6423.46,0.708,0.13,0.07,0.08,0.004,,0.008,1373.63,4244.7,805.13
2003,970LEA,,6654.2,0.701,0.133,0.061,0.096,0.005,,0.004,1285.25,4712.43,656.52
2003,170LEA,,7010.91,0.687,0.131,0.08,0.085,0.009,,0.008,694.8,5399.16,916.95
2003,232LEA,,7521.11,0.716,0.13,0.067,0.074,0.007,,0.006,1351.48,4927.87,1241.76
2003,360LEA,,6169.94,0.702,0.123,0.07,0.095,0.001,,0.009,1264.93,4264.75,640.26
2003,270LEA,,7538.2,0.681,0.126,0.077,0.104,0,,0.012,2151.52,4873.58,513.1
2003,421LEA,,6807.41,0.694,0.135,0.081,0.077,0.008,,0.005,1441.77,4680.31,685.33
2003,850LEA,,6648.76,0.676,0.126,0.095,0.088,0.011,,0.004,1360.87,4662.26,625.63
2003,690LEA,,8525.25,0.708,0.129,0.075,0.056,0.026,,0.006,1087.99,6488.96,948.3
2003,640LEA,,6687.56,0.708,0.128,0.078,0.081,0,,0.005,1447.15,4472.93,767.48
2003,681LEA,,8983.57,0.723,0.122,0.08,0.062,0.008,,0.005,4027.82,4439.2,516.55
2003,650LEA,,7251.27,0.694,0.128,0.089,0.077,0.008,,0.004,2343.96,4304.43,602.88
2003,140LEA,,6299.85,0.701,0.126,0.059,0.103,0.004,,0.007,1379.11,4362.54,558.2
2003,630LEA,,6702.87,0.699,0.132,0.07,0.091,0.003,,0.005,1654.3,4420.24,628.33
2003,620LEA,,7294.55,0.682,0.124,0.078,0.099,0.013,,0.004,1667.7,4697.37,929.48
2003,590LEA,,6615.61,0.677,0.123,0.097,0.095,0.003,,0.005,1108.22,4592.55,914.84
2003,540LEA,,6632.78,0.676,0.125,0.1,0.094,0,,0.005,1128.7,4581.47,922.61
2003,111LEA,,9272.98,0.713,0.129,0.086,0.064,0.003,,0.005,3451.41,4919.33,902.24
2003,440LEA,,6957.54,0.709,0.126,0.053,0.081,0.022,,0.009,1655.36,4606.1,696.08
2003,930LEA,,7248.08,0.659,0.123,0.086,0.099,0.026,,0.007,993.49,5179.1,1075.49
2003,720LEA,,8372.79,0.677,0.128,0.083,0.098,0.006,,0.008,1171.62,5925.48,1275.69
2003,310LEA,,6329.86,0.682,0.127,0.064,0.094,0.028,,0.005,732.27,4633.15,964.44
2003,995LEA,,7319.58,0.706,0.129,0.057,0.102,0,,0.006,1098.45,5455.99,765.14
2003,422LEA,,8844.14,0.668,0.123,0.102,0.088,0.008,,0.011,1719.63,5845.97,1278.54
2003,570LEA,,7650.27,0.652,0.12,0.088,0.1,0.032,,0.008,1300.57,5627.53,722.17
2003,340LEA,,6992.79,0.726,0.131,0.06,0.071,0.006,,0.006,2128.75,4337.39,526.65
2003,370LEA,,8036.6,0.714,0.124,0.055,0.063,0.03,,0.014,1571.17,5686.61,778.82
2003,292LEA,,7343.45,0.688,0.126,0.07,0.107,0,,0.009,1741.55,4594.11,1007.79
2003,250LEA,,6515.91,0.703,0.126,0.074,0.077,0.014,,0.006,1071.25,4543.79,900.87
2003,710LEA,,6834.03,0.68,0.127,0.072,0.101,0.014,,0.006,1413.64,4622.22,798.17
2003,230LEA,,6427.81,0.682,0.124,0.083,0.08,0.02,,0.011,1356.94,4504.16,566.71
2003,181LEA,,6757.29,0.706,0.127,0.08,0.073,0.001,,0.013,1471.68,4664.85,620.76
2003,260LEA,,6383.97,0.721,0.126,0.056,0.082,0.009,,0.006,1298.59,4261.6,823.78
2003,280LEA,,7789.15,0.678,0.126,0.11,0.073,0.008,,0.005,2973.39,4395.26,420.5
2003,380LEA,,8887.2,0.666,0.129,0.071,0.113,0.014,,0.007,824.4,6707.87,1354.93
2003,010LEA,,6037.45,0.692,0.127,0.084,0.078,0.014,,0.005,1326.26,4154.96,556.23
