year,agency_code,category_code,highqual_class_pct
2016,00A000,I,
2016,00B000,A,1
2006,010303,H,
2007,010303,H,0.98
2008,010303,H,1
2009,010303,H,0.986
2010,010303,H,1
2011,010303,H,1
2012,010303,H,1
2013,010303,H,1
2014,010303,H,
2015,010303,H,
2016,010303,H,0.964
2006,010304,E,0.964
2007,010304,E,1
2008,010304,E,1
2009,010304,E,1
2010,010304,E,1
2011,010304,E,1
2012,010304,E,1
2013,010304,E,1
2014,010304,E,
2015,010304,E,1
2016,010304,E,1
2006,010308,E,0.966
2007,010308,E,1
2008,010308,E,1
2009,010308,E,1
2010,010308,E,1
2011,010308,E,1
2012,010308,E,1
2013,010308,E,1
2014,010308,E,
2015,010308,E,1
2016,010308,E,1
2006,010310,M,0.9
2007,010310,M,0.977
2008,010310,M,1
2009,010310,M,1
2010,010310,M,0.98
2011,010310,M,1
2012,010310,M,1
2013,010310,M,1
2014,010310,M,
2015,010310,M,0.977
2016,010310,M,0.981
2012,010311,H,
2013,010311,H,1
2014,010311,H,
2015,010311,H,
2016,010311,H,
2008,010312,E,1
2009,010312,E,1
2010,010312,E,1
2011,010312,E,1
2012,010312,E,1
2013,010312,E,1
2014,010312,E,
2015,010312,E,0.971
2016,010312,E,1
2006,010320,E,0.955
2007,010320,E,1
2008,010320,E,1
2009,010320,E,1
2010,010320,E,1
2011,010320,E,1
2012,010320,E,1
2013,010320,E,1
2014,010320,E,
2015,010320,E,0.95
2016,010320,E,0.952
2006,010324,H,0.957
2007,010324,H,1
2008,010324,H,0.996
2009,010324,H,0.946
2010,010324,H,0.939
2011,010324,H,0.99
2012,010324,H,1
2013,010324,H,1
2014,010324,H,
2015,010324,H,0.943
2016,010324,H,0.86
2006,010326,E,0.933
2007,010326,E,1
2008,010326,E,1
2009,010326,E,1
2010,010326,E,1
2011,010326,E,1
2012,010326,E,1
2013,010326,E,1
2014,010326,E,
2015,010326,E,0.964
2016,010326,E,1
2006,010328,E,1
2007,010328,E,1
2008,010328,E,1
