year,agency_code,subgroup,iss_per1000,iss_mask_code,sts_per1000,sts_mask_code,lts_per1000,lts_mask_code,exp_per1000,exp_mask_code,crime_per1000,act_mask_code,blhr_per1000,bha_mask_code,rplw_per1000,rpt_mask_code,arre_per1000,arm_mask_code
2018,00A000,ALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,00A000,EDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,00A000,ELS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,00A000,SWD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,00B000,ALL,0.506,0,0.506,0,0,0,0,0,0,0,0.506,0,0,0,0,0
2018,00B000,BL7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,00B000,EDS,1.395,0,0,0,0,0,0,0,0,0,1.395,0,0,0,0,0
2018,00B000,ELS,0,0,55.556,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,00B000,FEM,0.949,0,0,0,0,0,0,0,0,0,0.949,0,0,0,0,0
2018,00B000,HI7,0,0,5.181,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,00B000,MALE,0,0,0.986,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,00B000,SWD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,00B000,WH7,0.814,0,0,0,0,0,0,0,0,0,0.814,0,0,0,0,0
2018,010303,ALL,0,0,5.208,0,0,0,0,0,0,0,5.208,0,0,0,0,0
2018,010303,BL7,0,0,0,0,0,0,0,0,0,0,26.316,0,0,0,0,0
2018,010303,EDS,0,0,10.526,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010303,ELS,,3,,3,,3,,3,0,3,0,3,0,3,0,3
2018,010303,FEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010303,HI7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010303,MALE,0,0,14.706,0,0,0,0,0,0,0,14.706,0,0,0,0,0
2018,010303,SWD,,3,,3,,3,,3,0,3,0,3,0,3,0,3
2018,010303,WH7,0,0,11.236,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010304,ALL,0,0,34.247,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010304,BL7,0,0,34.483,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010304,EDS,0,0,48.387,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010304,ELS,0,0,61.224,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010304,FEM,0,0,7.407,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010304,HI7,0,0,59.603,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010304,MALE,0,0,57.692,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010304,SWD,0,0,93.023,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010304,WH7,0,0,26.627,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010308,ALL,1.6,0,57.6,0,0,0,0,0,6.4,0,3.2,0,0,0,0,0
2018,010308,AM7,,3,,3,,3,,3,0,3,0,3,0,3,0,3
2018,010308,BL7,0,0,131.148,0,0,0,0,0,16.3934,0,0,0,0,0,0,0
2018,010308,EDS,3.413,0,95.563,0,0,0,0,0,10.2389,0,6.826,0,0,0,0,0
2018,010308,ELS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,010308,FEM,0,0,19.544,0,0,0,0,0,0,0,6.515,0,0,0,0,0
2018,010308,MALE,3.195,0,95.847,0,0,0,0,0,12.7796,0,0,0,0,0,0,0
