year,agency_code,grade,naep_subject,subgroup,Proficiency_level,average_scale_score,participation_rate,percent_proficient
2009,NAT,04,M,ALL,At_Advanced,239,,0.06
2009,NAT,04,M,AIAN,At_Advanced,227,,0.02
2009,NAT,04,M,ASPI,At_Advanced,255,,0.18
2009,NAT,04,M,BL7,At_Advanced,222,,0.01
2009,NAT,04,M,EDS,At_Advanced,228,,0.01
2009,NAT,04,M,FEM,At_Advanced,238,,0.05
2009,NAT,04,M,HI7,At_Advanced,227,,0.01
2009,NAT,04,M,ELS,At_Advanced,218,0.94,0.01
2009,NAT,04,M,MALE,At_Advanced,240,,0.07
2009,NAT,04,M,NOT_EDS,At_Advanced,250,,0.1
2009,NAT,04,M,SWD,At_Advanced,220,0.85,0.02
2009,NAT,04,M,WH7,At_Advanced,248,,0.08
2009,NAT,08,M,ALL,At_Advanced,282,,0.07
2009,NAT,08,M,AIAN,At_Advanced,267,,0.03
2009,NAT,08,M,ASPI,At_Advanced,300,,0.2
2009,NAT,08,M,BL7,At_Advanced,260,,0.01
2009,NAT,08,M,EDS,At_Advanced,266,,0.02
2009,NAT,08,M,FEM,At_Advanced,281,,0.07
2009,NAT,08,M,HI7,At_Advanced,266,,0.02
2009,NAT,08,M,ELS,At_Advanced,243,0.92,0.01
2009,NAT,08,M,MALE,At_Advanced,283,,0.08
2009,NAT,08,M,NOT_EDS,At_Advanced,293,,0.12
2009,NAT,08,M,SWD,At_Advanced,249,0.78,0.01
2009,NAT,08,M,WH7,At_Advanced,292,,0.1
2009,NAT,04,RD,ALL,At_Advanced,220,,0.07
2009,NAT,04,RD,AIAN,At_Advanced,206,,0.05
2009,NAT,04,RD,ASPI,At_Advanced,234,,0.17
2009,NAT,04,RD,BL7,At_Advanced,204,,0.02
2009,NAT,04,RD,EDS,At_Advanced,206,,0.02
2009,NAT,04,RD,FEM,At_Advanced,223,,0.09
2009,NAT,04,RD,HI7,At_Advanced,204,,0.02
2009,NAT,04,RD,ELS,At_Advanced,188,0.84,0
2009,NAT,04,RD,MALE,At_Advanced,216,,0.06
2009,NAT,04,RD,NOT_EDS,At_Advanced,232,,0.12
2009,NAT,04,RD,SWD,At_Advanced,189,0.72,0.02
2009,NAT,04,RD,WH7,At_Advanced,229,,0.1
2009,NAT,08,RD,ALL,At_Advanced,262,,0.02
2009,NAT,08,RD,AIAN,At_Advanced,252,,0.02
2009,NAT,08,RD,ASPI,At_Advanced,273,,0.06
2009,NAT,08,RD,BL7,At_Advanced,245,,0
2009,NAT,08,RD,EDS,At_Advanced,249,,0.01
2009,NAT,08,RD,FEM,At_Advanced,267,,0.03
2009,NAT,08,RD,HI7,At_Advanced,248,,0.01
2009,NAT,08,RD,ELS,At_Advanced,219,0.83,0
2009,NAT,08,RD,MALE,At_Advanced,258,,0.02
2009,NAT,08,RD,NOT_EDS,At_Advanced,273,,0.04
2009,NAT,08,RD,SWD,At_Advanced,229,0.72,0
2009,NAT,08,RD,WH7,At_Advanced,271,,0.03
2009,NC-SEA,04,M,ALL,At_Advanced,244,,0.08
2009,NC-SEA,04,M,AIAN,At_Advanced,232,,0.02
2009,NC-SEA,04,M,ASPI,At_Advanced,259,,0.25
2009,NC-SEA,04,M,BL7,At_Advanced,226,,0.01
2009,NC-SEA,04,M,EDS,At_Advanced,232,,0.02
2009,NC-SEA,04,M,FEM,At_Advanced,244,,0.08
2009,NC-SEA,04,M,HI7,At_Advanced,236,,0.02
2009,NC-SEA,04,M,ELS,At_Advanced,229,0.96,0.01
2009,NC-SEA,04,M,MALE,At_Advanced,244,,0.08
2009,NC-SEA,04,M,NOT_EDS,At_Advanced,255,,0.14
2009,NC-SEA,04,M,SWD,At_Advanced,224,0.87,0.02
2009,NC-SEA,04,M,WH7,At_Advanced,254,,0.13
