year,agency_code,total_nbpts_num,category_code,nbpts_num
2006,010303,7976,H,
2006,010304,7976,E,1
2006,010308,7976,E,4
2006,010310,7976,M,2
2006,010320,7976,E,3
2006,010324,7976,H,5
2006,010326,7976,E,4
2006,010328,7976,E,7
2006,010340,7976,E,
2006,010346,7976,E,2
2006,010347,7976,E,7
2006,010348,7976,H,5
2006,010350,7976,M,2
2006,010351,7976,E,3
2006,010353,7976,M,7
2006,010354,7976,E,1
2006,010357,7976,E,1
2006,010358,7976,E,3
2006,010360,7976,H,1
2006,010362,7976,E,8
2006,010364,7976,E,2
2006,010372,7976,E,1
2006,010374,7976,E,2
2006,010378,7976,A,2
2006,010380,7976,E,2
2006,010384,7976,E,3
2006,010388,7976,H,7
2006,010390,7976,M,4
2006,010392,7976,E,3
2006,010394,7976,M,3
2006,010396,7976,H,16
2006,010400,7976,H,8
2006,010403,7976,M,3
2006,010406,7976,M,5
2006,010LEA,7976,A,2
2006,010LEA,7976,E,3
2006,010LEA,7976,H,7
2006,010LEA,7976,M,4
2006,01A000,7976,T,
2006,01B000,7976,A,
2006,01C000,7976,A,
2006,01D000,7976,H,
2006,020302,7976,H,13
2006,020304,7976,E,3
2006,020306,7976,M,1
2006,020308,7976,E,6
2006,020316,7976,E,4
2006,020320,7976,E,3
2006,020324,7976,E,1
2006,020328,7976,E,4
2006,020330,7976,M,6
2006,020332,7976,E,2
2006,020LEA,7976,E,3
2006,020LEA,7976,H,13
2006,020LEA,7976,M,4
2006,030304,7976,H,6
2006,030308,7976,I,5
2006,030316,7976,I,2
2006,030320,7976,I,12
2006,030LEA,7976,H,6
2006,030LEA,7976,I,6
2006,040304,7976,H,
2006,040305,7976,T,
2006,040306,7976,H,8
2006,040308,7976,E,1
2006,040309,7976,M,2
2006,040311,7976,E,1
2006,040316,7976,E,2
2006,040324,7976,E,
2006,040328,7976,E,3
2006,040330,7976,E,1
2006,040LEA,7976,E,2
2006,040LEA,7976,H,8
2006,040LEA,7976,M,2
2006,040LEA,7976,T,
2006,050302,7976,H,15
2006,050305,7976,M,4
