year,agency_code,pct_prin_demo,subgroup
2006,010LEA,0.212,BL7
2006,010LEA,0.636,FEM
2006,010LEA,0.364,MALE
2006,010LEA,,OTHER
2006,010LEA,0.788,WH7
2006,020LEA,0.091,BL7
2006,020LEA,0.545,FEM
2006,020LEA,0.455,MALE
2006,020LEA,,OTHER
2006,020LEA,0.909,WH7
2006,030LEA,,BL7
2006,030LEA,0.25,FEM
2006,030LEA,0.75,MALE
2006,030LEA,,OTHER
2006,030LEA,1,WH7
2006,040LEA,0.6,BL7
2006,040LEA,0.4,FEM
2006,040LEA,0.6,MALE
2006,040LEA,,OTHER
2006,040LEA,0.4,WH7
2006,050LEA,,BL7
2006,050LEA,0.2,FEM
2006,050LEA,0.8,MALE
2006,050LEA,,OTHER
2006,050LEA,1,WH7
2006,060LEA,,BL7
2006,060LEA,0.667,FEM
2006,060LEA,0.333,MALE
2006,060LEA,,OTHER
2006,060LEA,1,WH7
2006,070LEA,0.286,BL7
2006,070LEA,0.429,FEM
2006,070LEA,0.571,MALE
2006,070LEA,0.071,OTHER
2006,070LEA,0.643,WH7
2006,080LEA,0.636,BL7
2006,080LEA,0.636,FEM
2006,080LEA,0.364,MALE
2006,080LEA,0.182,OTHER
2006,080LEA,0.182,WH7
2006,090LEA,0.429,BL7
2006,090LEA,0.643,FEM
2006,090LEA,0.357,MALE
2006,090LEA,0.071,OTHER
2006,090LEA,0.5,WH7
2006,100LEA,0.188,BL7
2006,100LEA,0.375,FEM
2006,100LEA,0.625,MALE
2006,100LEA,,OTHER
2006,100LEA,0.813,WH7
2006,110LEA,0.05,BL7
2006,110LEA,0.6,FEM
2006,110LEA,0.4,MALE
2006,110LEA,,OTHER
2006,110LEA,0.95,WH7
2006,111LEA,0.125,BL7
2006,111LEA,0.625,FEM
2006,111LEA,0.375,MALE
2006,111LEA,,OTHER
2006,111LEA,0.875,WH7
2006,120LEA,,BL7
2006,120LEA,0.577,FEM
2006,120LEA,0.423,MALE
2006,120LEA,,OTHER
2006,120LEA,1,WH7
2006,130LEA,0.069,BL7
2006,130LEA,0.586,FEM
2006,130LEA,0.414,MALE
2006,130LEA,,OTHER
2006,130LEA,0.931,WH7
2006,132LEA,0.125,BL7
2006,132LEA,0.375,FEM
2006,132LEA,0.625,MALE
2006,132LEA,,OTHER
2006,132LEA,0.875,WH7
2006,140LEA,,BL7
2006,140LEA,0.458,FEM
2006,140LEA,0.542,MALE
2006,140LEA,,OTHER
2006,140LEA,1,WH7
2006,150LEA,,BL7
2006,150LEA,0.667,FEM
2006,150LEA,0.333,MALE
2006,150LEA,,OTHER
2006,150LEA,1,WH7
2006,160LEA,0.063,BL7
2006,160LEA,0.563,FEM
2006,160LEA,0.438,MALE
2006,160LEA,,OTHER
2006,160LEA,0.938,WH7
2006,170LEA,0.5,BL7
2006,170LEA,0.167,FEM
2006,170LEA,0.833,MALE
2006,170LEA,,OTHER
2006,170LEA,0.5,WH7
2006,180LEA,0.115,BL7
2006,180LEA,0.423,FEM
2006,180LEA,0.577,MALE
2006,180LEA,,OTHER
2006,180LEA,0.885,WH7
2006,181LEA,0.111,BL7
2006,181LEA,0.667,FEM
2006,181LEA,0.333,MALE
2006,181LEA,,OTHER
2006,181LEA,0.889,WH7
2006,182LEA,0.286,BL7
2006,182LEA,0.571,FEM
2006,182LEA,0.429,MALE
2006,182LEA,,OTHER
2006,182LEA,0.714,WH7
2006,190LEA,0.125,BL7
2006,190LEA,0.688,FEM
2006,190LEA,0.313,MALE
2006,190LEA,,OTHER
2006,190LEA,0.875,WH7
2006,200LEA,,BL7
2006,200LEA,0.308,FEM
2006,200LEA,0.692,MALE
2006,200LEA,,OTHER
2006,200LEA,1,WH7
2006,210LEA,0.25,BL7
2006,210LEA,0.5,FEM
2006,210LEA,0.5,MALE
2006,210LEA,,OTHER
2006,210LEA,0.75,WH7
