year,agency_code,category_code,grade_eoc,avg_size
2006,010303,,Biology,5
2006,010303,,Math I,3
2006,010304,,00,21
2006,010304,,01,18
2006,010304,,02,17
2006,010304,,03,16
2006,010304,,04,21
2006,010304,,05,22
2006,010308,,00,21
2006,010308,,01,17
2006,010308,,02,14
2006,010308,,03,14
2006,010308,,04,12
2006,010308,,05,16
2006,010310,,06,21
2006,010310,,07,21
2006,010310,,08,19
2006,010310,,Math I,21
2006,010320,,00,17
2006,010320,,01,19
2006,010320,,02,21
2006,010320,,03,20
2006,010320,,04,21
2006,010320,,05,18
2006,010324,,Biology,24
2006,010324,,English II,24
2006,010324,,Math I,25
2006,010326,,00,16
2006,010326,,01,11
2006,010326,,02,16
2006,010326,,03,18
2006,010326,,04,21
2006,010326,,05,18
2006,010328,,00,21
2006,010328,,01,18
2006,010328,,02,18
2006,010328,,03,16
2006,010328,,04,14
2006,010328,,05,10
2006,010340,,00,22
2006,010340,,01,20
2006,010340,,02,22
2006,010340,,03,19
2006,010340,,04,26
2006,010340,,05,23
2006,010346,,02,21
2006,010346,,03,10
2006,010346,,04,14
2006,010347,,00,14
2006,010347,,01,22
2006,010347,,02,15
2006,010347,,03,17
2006,010347,,04,26
2006,010347,,05,19
2006,010348,,Biology,22
2006,010348,,English II,20
2006,010348,,Math I,19
2006,010350,,06,25
2006,010350,,07,21
2006,010350,,08,21
2006,010350,,Math I,25
2006,010351,,00,14
2006,010351,,01,11
2006,010351,,02,14
2006,010351,,03,10
2006,010351,,04,14
2006,010351,,05,14
2006,010353,,06,23
2006,010353,,07,22
2006,010353,,08,21
2006,010353,,Math I,22
2006,010354,,00,22
2006,010354,,02,11
2006,010354,,03,10
2006,010354,,04,11
2006,010354,,05,12
2006,010357,,00,21
2006,010357,,04,19
2006,010357,,05,13
2006,010358,,00,21
2006,010358,,01,20
2006,010358,,02,21
2006,010358,,03,18
2006,010358,,04,19
2006,010358,,05,23
2006,010360,,Biology,25
2006,010360,,English II,21
2006,010360,,Math I,23
2006,010362,,00,19
2006,010362,,01,20
2006,010362,,02,18
2006,010362,,03,20
2006,010362,,04,25
2006,010362,,05,18
2006,010364,,00,17
2006,010364,,01,16
2006,010364,,02,18
2006,010364,,03,18
2006,010364,,04,20
2006,010364,,05,24
2006,010372,,00,19
2006,010372,,01,16
2006,010372,,02,21
2006,010372,,03,20
2006,010372,,04,21
2006,010372,,05,26
2006,010374,,04,10
2006,010374,,05,11
2006,010378,,Biology,1
2006,010378,,English II,2
2006,010378,,Math I,1
2006,010380,,00,19
2006,010380,,01,20
2006,010380,,02,20
2006,010380,,03,19
2006,010380,,04,20
2006,010380,,05,20
2006,010384,,00,18
2006,010384,,01,21
2006,010384,,02,20
2006,010384,,03,20
2006,010384,,04,20
2006,010384,,05,26
2006,010388,,Biology,22
2006,010388,,English II,26
2006,010388,,Math I,29
2006,010390,,06,26
2006,010390,,07,26
2006,010390,,08,22
2006,010390,,Math I,31
2006,010392,,00,19
2006,010392,,02,10
2006,010392,,03,13
2006,010392,,04,12
2006,010394,,06,20
2006,010394,,07,22
2006,010394,,08,23
2006,010394,,Math I,28
2006,010396,,Biology,26
2006,010396,,English II,22
2006,010396,,Math I,22
2006,010400,,Biology,24
2006,010400,,English II,23
2006,010400,,Math I,25
2006,010403,,06,22
2006,010403,,07,24
2006,010403,,08,21
2006,010403,,Math I,24
2006,010406,,06,22
2006,010406,,07,23
2006,010406,,08,22
2006,010406,,Math I,22
2006,010LEA,,00,19
2006,010LEA,,01,18
2006,010LEA,,02,17
2006,010LEA,,03,16
2006,010LEA,,04,18
2006,010LEA,,05,18
2006,010LEA,,06,23
2006,010LEA,,07,23
2006,010LEA,,08,21
2006,010LEA,,Biology,19
2006,010LEA,,English II,20
2006,010LEA,,Math I,21
2006,01A000,,08,12
2006,01A000,,Biology,6
2006,01A000,,English II,19
2006,01A000,,Math I,24
2006,01B000,,00,21
2006,01B000,,01,22
2006,01B000,,02,24
2006,01B000,,03,25
2006,01B000,,04,25
2006,01B000,,05,26
2006,01B000,,06,22
