year,agency_code,category_code,avg_sat_score,pct_sat_participation
2002,010324,,932,0.544
2002,010348,,875,0.481
2002,010360,,854,0.474
2002,010388,,956,0.599
2002,010396,,1022,0.81
2002,010400,,962,0.697
2002,010LEA,,955,0.621
2002,01B000,,934,0.625
2002,020302,,996,0.461
2002,020LEA,,996,0.461
2002,030304,,992,0.474
2002,030LEA,,992,0.474
2002,040306,,847,0.524
2002,040LEA,,847,0.506
2002,050302,,956,0.585
2002,050LEA,,956,0.585
2002,060302,,966,0.466
2002,060LEA,,966,0.466
2002,070330,,983,0.542
2002,070339,,954,0.4
2002,070342,,960,0.657
2002,070LEA,,967,0.548
2002,080312,,788,0.529
2002,080LEA,,788,0.529
2002,090316,,867,0.605
2002,090330,,844,0.568
2002,090364,,849,0.593
2002,090LEA,,852,0.582
2002,100326,,921,0.415
2002,100334,,965,0.571
2002,100348,,966,0.468
2002,100LEA,,956,0.486
2002,110304,,1106,0.612
2002,110336,,1040,0.588
2002,110340,,1013,0.441
2002,110352,,1066,0.54
2002,110380,,1061,0.721
2002,110416,,1075,0.735
2002,110LEA,,1066,0.607
2002,111302,,1058,0.799
2002,111LEA,,1058,0.799
2002,120314,,997,0.32
2002,120318,,1014,0.486
2002,120LEA,,1009,0.402
2002,130310,,1016,0.681
2002,130314,,1006,0.682
2002,130324,,999,0.457
2002,130326,,1036,0.741
2002,130LEA,,1019,0.655
2002,132304,,984,0.413
2002,132LEA,,984,0.413
2002,140348,,1023,0.427
2002,140386,,1016,0.369
2002,140390,,1008,0.385
2002,140LEA,,1015,0.39
2002,150304,,905,0.656
2002,150LEA,,905,0.656
2002,160313,,961,0.537
2002,160314,,1004,0.833
2002,160344,,1030,0.61
2002,160LEA,,1006,0.661
2002,170316,,913,0.523
2002,170LEA,,913,0.523
2002,180308,,965,0.5
2002,180320,,953,0.5
2002,180340,,1013,0.485
2002,180348,,953,0.333
2002,180376,,1015,0.685
2002,180LEA,,992,0.526
2002,181322,,1035,0.826
2002,181LEA,,1032,0.796
2002,182316,,1050,0.579
2002,182LEA,,1050,0.579
2002,190316,,961,0.514
2002,190336,,909,0.5
2002,190342,,982,0.719
2002,190LEA,,960,0.599
2002,19B000,,1192,1
2002,200308,,971,0.565
2002,200312,,983,0.575
2002,200328,,1005,0.615
2002,200LEA,,992,0.566
2002,210312,,1001,0.479
2002,210LEA,,1001,0.479
2002,220310,,1031,0.745
2002,220LEA,,1031,0.745
2002,230312,,899,0.567
2002,230324,,987,0.561
2002,230LEA,,951,0.564
2002,231324,,972,0.54
2002,231LEA,,972,0.54
2002,232332,,1025,0.558
2002,232LEA,,1025,0.558
2002,240334,,868,0.481
2002,240371,,914,0.433
2002,240380,,864,0.521
2002,240LEA,,882,0.477
2002,241316,,956,0.614
2002,241LEA,,956,0.614
2002,250340,,1000,0.563
2002,250356,,1003,0.734
2002,250372,,939,0.564
2002,250LEA,,989,0.634
2002,260318,,977,0.532
2002,260322,,898,0.387
2002,260325,,1003,0.384
2002,260359,,843,0.623
2002,260408,,956,0.539
2002,260409,,880,0.056
2002,260424,,929,0.523
2002,260427,,926,0.566
2002,260446,,1090,0.741
2002,260455,,886,0.53
2002,260LEA,,952,0.517
2002,270306,,1024,0.523
2002,270LEA,,1024,0.523
2002,280304,,984,0.682
2002,280316,,1034,0.912
2002,280LEA,,1026,0.864
2002,290308,,959,0.555
2002,290324,,990,0.576
2002,290336,,1037,0.632
2002,290348,,1021,0.719
2002,290365,,957,0.583
2002,290388,,955,0.476
2002,290LEA,,1000,0.605
2002,291336,,922,0.451
2002,291LEA,,922,0.451
2002,292324,,889,0.536
2002,292LEA,,889,0.536
2002,300312,,999,0.642
2002,300LEA,,999,0.642
2002,310344,,969,0.545
2002,310352,,853,0.583
2002,310364,,976,0.559
2002,310392,,927,0.529
2002,310LEA,,931,0.552
2002,320312,,1070,0.907
2002,320323,,1080,0.805
2002,320325,,867,0.669
2002,320356,,959,0.848
2002,320365,,1042,0.857
2002,320368,,844,0.655
2002,320LEA,,994,0.81
2002,330328,,876,0.333
2002,330350,,927,0.404
2002,330358,,898,0.457
2002,330LEA,,905,0.41
2002,340330,,814,0.597
2002,340364,,1027,0.74
2002,340382,,883,0.504
2002,340454,,1053,0.792
2002,340460,,976,0.634
2002,340486,,877,0.681
2002,340496,,1059,0.752
2002,340556,,1089,0.814
2002,340LEA,,1002,0.69
2002,350308,,964,0.552
2002,350321,,920,0.616
2002,350336,,956,0.557
2002,350LEA,,946,0.574
2002,360310,,993,0.618
2002,360336,,932,0.366
