year,agency_code,welcome_url
2018,250LEA,https://www.cravenk12.org/Page/1458
2018,460LEA,https://www.hertford.k12.nc.us/cms/lib/NC02214545/Centricity/Domain/50/2017-18%20Superintendent%20Welcome%20Letter.pdf
2018,080LEA,https://www.bertie.k12.nc.us/cms/lib/NC01911132/Centricity/Domain/8/Bertie%20County%20Schools%20Welcome%20Letter%20FINAL%209-19-18.pdf
2018,410LEA,https://www.gcsnc.com/cms/lib/NC01910393/Centricity/Domain/237/Letter%20of%20Support%20-%20Report%20Card%20Welcome%20Letter.pdf
2018,980LEA,https://4.files.edl.io/bc14/09/19/18/193223-cecadebb-77f3-4b35-b46a-9be5322b8196.pdf
2018,730LEA,https://www.pcsnc.org/Page/507
2018,030LEA,https://drive.google.com/file/d/1ynZ9dpQ3QcdTdwwhYuGUTkURAiya6mzT/view?usp=sharing
2018,00B000,https://drive.google.com/file/d/1Yc28Fs3-nRvBG96FpuBqS7hF7pT-3JOx/view?usp=sharing
2018,840LEA,https://drive.google.com/file/d/1lnhnDT52TBUypG1jNxLHnkEU_zaYJzQE/view?usp=sharing
2018,150LEA,https://ccsnc.org/information/report-card/
2018,761LEA,http://www.asheboro.k12.nc.us/SchoolReportCard.aspx
2018,230LEA,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
2018,13A000,https://www.ciscomets.com/accountability-performance
2018,970LEA,https://4.files.edl.io/086b/09/18/18/205820-87e2d6b3-9cd6-45b0-a22d-9f2e043b990d.pdf
2018,600LEA,http://www.cms.k12.nc.us/mediaroom/documents/state%20web%20site%20letter%20dec%20202014.pdf
2018,681LEA,https://docs.google.com/document/d/1i4YKY7SuJXak67GPhejsOVv6bHDsSEiF5_IQxVjsUwo/edit?usp=sharing
2018,340LEA,https://www.wsfcs.k12.nc.us/Page/55
2018,210LEA,https://sites.google.com/a/ecps.k12.nc.us/edenton-chowan-schools/departments/testing-accountability
2018,360LEA,https://www.gaston.k12.nc.us/2017-2018WelcomeLetter
2018,500LEA,https://www.jcpsnc.org/academics/src
2018,92Q000,http://hopecharterschool.org/wp-content/uploads/2016/03/SRC-Parent-Letter_2018.pdf
2018,300LEA,http://davie.k12.nc.us/district/departments/instructional/accountability-and-student-information/state-report-card/
2018,26C000,https://www.capitolencoreacademy.org/wp-content/uploads/2018/09/Welcome-Letter-17-18.pdf
2018,760LEA,https://drive.google.com/file/d/0B7hp1HG1TSZWaUpUU0RYcmF1ZmkyX2JKZ3NpeGJWd1RHYUZJ/view?usp=sharing
2018,23A000,https://www.pinnacleclassicalacademy.com/schoolreport
2018,640LEA,http://s.bl-1.com/h/cpnq8oP2?url=https://www.nrms.k12.nc.us/cms/lib011/NC01800012/Centricity/Domain/4/Welcome%20Letter.pdf
2018,11K000,http://fdnsc.net/wp-content/uploads/2015/02/cover-letter-for-report-card-2015.pdf
2018,440LEA,http://www.haywood.k12.nc.us/accountability/nc-school-report-card/
