agency_code,pct_ACALL_AIG_ACT,pct_ACALL_ALL_ACT,pct_ACALL_AM7_ACT,pct_ACALL_AS7_ACT,pct_ACALL_BL7_ACT,pct_ACALL_EDS_ACT,pct_ACALL_ELS_ACT,pct_ACALL_FCS_ACT,pct_ACALL_FEM_ACT,pct_ACALL_HI7_ACT,pct_ACALL_HMS_ACT,pct_ACALL_MALE_ACT,pct_ACALL_MIL_ACT,pct_ACALL_MU7_ACT,pct_ACALL_SWD_ACT,pct_ACALL_WH7_ACT,pct_ACCO_AIG_ACT,pct_ACCO_ALL_ACT,pct_ACCO_AM7_ACT,pct_ACCO_AS7_ACT,pct_ACCO_BL7_ACT,pct_ACCO_EDS_ACT,pct_ACCO_ELS_ACT,pct_ACCO_FCS_ACT,pct_ACCO_FEM_ACT,pct_ACCO_HI7_ACT,pct_ACCO_HMS_ACT,pct_ACCO_MALE_ACT,pct_ACCO_MIL_ACT,pct_ACCO_MU7_ACT,pct_ACCO_SWD_ACT,pct_ACCO_WH7_ACT,pct_ACEN_AIG_ACT,pct_ACEN_ALL_ACT,pct_ACEN_AM7_ACT,pct_ACEN_AS7_ACT,pct_ACEN_BL7_ACT,pct_ACEN_EDS_ACT,pct_ACEN_ELS_ACT,pct_ACEN_FCS_ACT,pct_ACEN_FEM_ACT,pct_ACEN_HI7_ACT,pct_ACEN_HMS_ACT,pct_ACEN_MALE_ACT,pct_ACEN_MIL_ACT,pct_ACEN_MU7_ACT,pct_ACEN_SWD_ACT,pct_ACEN_WH7_ACT,pct_ACMA_AIG_ACT,pct_ACMA_ALL_ACT,pct_ACMA_AM7_ACT,pct_ACMA_AS7_ACT,pct_ACMA_BL7_ACT,pct_ACMA_EDS_ACT,pct_ACMA_ELS_ACT,pct_ACMA_FCS_ACT,pct_ACMA_FEM_ACT,pct_ACMA_HI7_ACT,pct_ACMA_HMS_ACT,pct_ACMA_MALE_ACT,pct_ACMA_MIL_ACT,pct_ACMA_MU7_ACT,pct_ACMA_SWD_ACT,pct_ACMA_WH7_ACT,pct_ACRD_AIG_ACT,pct_ACRD_ALL_ACT,pct_ACRD_AM7_ACT,pct_ACRD_AS7_ACT,pct_ACRD_BL7_ACT,pct_ACRD_EDS_ACT,pct_ACRD_ELS_ACT,pct_ACRD_FCS_ACT,pct_ACRD_FEM_ACT,pct_ACRD_HI7_ACT,pct_ACRD_HMS_ACT,pct_ACRD_MALE_ACT,pct_ACRD_MIL_ACT,pct_ACRD_MU7_ACT,pct_ACRD_SWD_ACT,pct_ACRD_WH7_ACT,pct_ACSC_AIG_ACT,pct_ACSC_ALL_ACT,pct_ACSC_AM7_ACT,pct_ACSC_AS7_ACT,pct_ACSC_BL7_ACT,pct_ACSC_EDS_ACT,pct_ACSC_ELS_ACT,pct_ACSC_FCS_ACT,pct_ACSC_FEM_ACT,pct_ACSC_HI7_ACT,pct_ACSC_HMS_ACT,pct_ACSC_MALE_ACT,pct_ACSC_MIL_ACT,pct_ACSC_MU7_ACT,pct_ACSC_SWD_ACT,pct_ACSC_WH7_ACT,pct_ACWR_AIG_ACT,pct_ACWR_ALL_ACT,pct_ACWR_AM7_ACT,pct_ACWR_AS7_ACT,pct_ACWR_BL7_ACT,pct_ACWR_EDS_ACT,pct_ACWR_ELS_ACT,pct_ACWR_FCS_ACT,pct_ACWR_FEM_ACT,pct_ACWR_HI7_ACT,pct_ACWR_HMS_ACT,pct_ACWR_MALE_ACT,pct_ACWR_MIL_ACT,pct_ACWR_MU7_ACT,pct_ACWR_SWD_ACT,pct_ACWR_WH7_ACT
00A000,53.6,30.1,13.3,93.3,16.9,17.9,20.0,,29.8,23.8,,30.5,28.0,17.5,8.0,34.1,89.3,65.1,,,38.5,47.4,,,63.6,68.8,,68.4,,81.3,20.0,68.0,71.4,45.5,,,26.9,36.8,,,44.7,25.0,,47.4,,31.3,10.0,52.8,46.4,20.1,,,7.7,10.5,,,20.5,6.3,,19.3,,12.5,5.0,24.0,60.7,34.4,,,23.1,21.1,,,34.1,31.3,,35.1,,12.5,20.0,38.4,53.6,23.3,,,11.5,5.3,,,18.9,12.5,,33.3,,12.5,10.0,27.2,35.7,27.0,,,15.4,15.8,,,31.1,43.8,,17.5,,18.8,5.0,28.0
00B000,,23.9,,,6.7,11.8,,,24.7,5.0,,21.6,,15.0,29.2,28.4,,47.2,,,,,,,47.4,,,46.7,,,,53.7,,39.6,,,,,,,44.7,,,26.7,,,,43.9,,20.8,,,,,,,18.4,,,26.7,,,,22.0,,30.2,,,,,,,31.6,,,26.7,,,,39.0,,18.9,,,,,,,18.4,,,20.0,,,,24.4,,9.6,,,,,,,10.5,,,7.1,,,,12.5
010303,77.3,50.4,,,44.3,40.0,,,46.9,31.1,,57.5,,90.0,,59.0,93.3,87.5,,,92.9,77.8,,,93.8,,,75.0,,,,90.5,86.7,66.7,,,78.6,66.7,,,65.6,,,68.8,,,,71.4,80.0,50.0,,,42.9,27.8,,,43.8,,,62.5,,,,52.4,86.7,56.3,,,42.9,44.4,,,56.3,,,56.3,,,,71.4,80.0,37.5,,,28.6,27.8,,,28.1,,,56.3,,,,47.6,53.3,41.7,,,28.6,33.3,,,40.6,,,43.8,,,,52.4
010324,59.7,25.2,,73.3,10.3,13.6,22.0,,27.9,21.5,,22.5,20.0,28.8,5.0,30.2,90.8,50.3,,,29.0,29.0,40.0,,57.6,38.5,,43.3,,43.8,11.5,60.5,70.8,34.9,,,17.5,16.8,30.0,,40.0,25.6,,30.0,,31.3,5.0,42.4,69.2,26.8,,,11.1,16.8,20.0,,27.6,28.2,,26.0,,31.3,5.0,32.0,63.1,23.7,,,11.1,11.9,20.0,,27.6,17.9,,20.0,,25.0,5.0,27.9,40.0,14.3,,,5.0,7.0,20.0,,14.6,12.8,,14.0,,18.8,5.0,18.0,55.4,26.2,,,8.5,15.3,20.0,,29.9,23.1,,22.6,,37.5,5.0,30.4
010348,67.8,14.7,,16.7,9.3,9.9,5.0,,12.0,11.5,,17.7,,5.0,5.0,33.6,95.0,39.7,,,36.6,35.4,5.0,,47.5,33.8,,31.0,,,9.1,59.3,88.9,18.4,,,7.3,13.0,5.0,,15.0,16.9,,22.2,,,5.0,42.9,77.8,12.5,,,7.3,9.0,5.0,,8.8,8.5,,16.7,,,5.0,28.6,61.1,16.6,,,14.6,13.1,5.0,,12.5,12.7,,21.1,,,9.1,33.3,72.2,9.3,,,5.0,5.1,5.0,,6.3,5.0,,12.7,,,5.0,37.0,38.9,16.7,,,12.2,9.1,5.0,,17.5,16.9,,15.7,,,5.0,25.9
010360,35.3,10.2,,,9.1,10.3,5.0,,7.5,9.6,5.0,12.3,,5.0,5.0,18.4,88.2,35.3,,,35.2,33.6,5.0,,34.9,29.7,,35.6,,,5.3,60.0,58.8,16.6,,,18.3,16.4,5.0,,9.6,12.1,,22.1,,,5.0,35.0,55.9,13.9,,,11.3,13.4,5.0,,12.0,14.3,,15.4,,,5.0,20.0,29.4,8.6,,,8.5,9.0,5.0,,7.2,8.8,,9.6,,,5.0,10.0,29.4,8.0,,,7.0,9.0,5.0,,5.0,8.8,,10.6,,,5.3,10.0,5.0,5.0,,,5.0,5.0,5.0,,5.0,5.0,,5.0,,,5.0,16.7
010378,,5.0,,,5.0,5.0,,5.0,5.0,,,5.0,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010388,66.2,25.6,,28.6,8.8,14.4,5.0,,30.5,17.8,,21.0,,6.7,5.4,29.6,95.0,51.0,,,28.0,38.1,12.5,,53.3,42.3,,48.9,,,8.7,56.1,83.8,34.9,,,8.0,22.9,5.0,,41.4,26.9,,28.7,,,5.0,39.5,73.5,26.5,,,8.0,13.3,5.0,,27.8,15.4,,25.3,,,8.7,30.8,66.2,25.1,,,8.0,16.2,5.0,,31.4,19.2,,19.1,,,5.0,29.2,60.3,20.7,,,8.0,11.4,5.0,,21.9,13.5,,19.7,,,5.0,24.5,47.1,20.9,,,12.0,7.9,5.0,,30.2,14.0,,11.7,,,5.3,23.8
010396,65.7,20.2,,40.0,5.0,10.6,7.3,5.0,19.9,12.2,16.0,20.5,,21.7,5.0,37.4,95.0,44.9,,,22.2,27.3,13.6,,48.9,34.8,,41.3,,42.9,8.7,70.2,91.7,30.7,,,8.9,15.4,9.1,,30.7,17.4,,30.7,,28.6,5.0,56.7,78.3,23.3,,,6.7,9.8,5.0,,21.9,10.1,,24.7,,21.4,5.0,44.2,63.3,18.8,,,5.0,9.8,5.0,,20.4,11.6,,17.3,,28.6,5.0,34.6,60.0,15.0,,,5.0,8.4,5.0,,14.6,8.7,,15.3,,21.4,5.0,27.9,35.0,13.0,,,5.0,9.6,14.3,,11.9,13.4,,14.1,,7.7,5.0,23.0
010400,70.9,33.5,20.0,52.0,22.2,19.3,5.0,,33.7,20.6,,33.3,,16.0,5.0,38.8,91.3,58.9,,,45.5,41.1,18.2,,61.1,50.0,,56.7,,20.0,10.0,65.3,84.1,42.6,,,18.2,24.7,9.1,,43.5,31.0,,41.7,,10.0,5.0,50.0,75.4,28.7,,,18.2,15.1,5.0,,24.4,16.7,,33.1,,10.0,5.0,33.5,63.8,33.3,,,22.7,19.2,9.1,,35.1,19.0,,31.5,,10.0,10.0,39.2,72.5,28.7,,,13.6,17.8,5.0,,24.4,11.9,,33.1,,20.0,5.0,34.7,58.8,34.4,,,40.0,20.0,5.0,,41.4,24.4,,27.2,,30.0,,36.8
