agency_code,pct_AIG_AWA,pct_ALL_AWA,pct_AM7_AWA,pct_AS7_AWA,pct_BL7_AWA,pct_EDS_AWA,pct_ELS_AWA,pct_FCS_AWA,pct_FEM_AWA,pct_HI7_AWA,pct_HMS_AWA,pct_MALE_AWA,pct_MIL_AWA,pct_MU7_AWA,pct_SWD_AWA,pct_WH7_AWA
00B000,,78.1,,,,,,,79.2,,,,,,,80.0
010303,,89.5,,,,,,,88.2,,,,,,,90.9
010324,95.0,66.3,,,50.8,50.7,,,61.5,60.7,,69.9,,,6.9,72.3
010348,83.3,53.3,,,48.9,47.4,27.8,,43.1,49.2,,62.5,,,7.7,67.9
010360,95.0,38.4,,,35.9,37.1,21.6,,40.9,37.5,,36.0,,,9.1,
010388,95.0,63.8,,,45.0,50.0,26.7,,66.9,39.0,,60.5,,40.0,9.1,70.4
010396,95.0,61.8,,,40.5,50.0,21.1,,60.8,59.0,,62.8,,75.0,42.1,83.5
010400,95.0,67.9,,,34.1,49.3,,,70.7,59.3,,65.7,,63.6,5.0,75.6
010LEA,95.0,60.8,,74.1,42.5,47.0,24.3,,60.5,48.4,20.0,61.0,,57.9,12.8,73.7
01B000,,67.7,,,,,,,75.0,,,54.5,,,,61.5
01C000,,71.4,,,,,,,68.2,,,76.9,,,,79.3
01D000,,75.0,,,,,,,76.9,,,73.7,,,,77.8
020302,94.9,73.2,,,58.3,71.9,,,80.1,66.7,,67.0,,50.0,25.0,75.5
020LEA,94.9,73.2,,,58.3,71.9,,,80.1,66.7,,67.0,,50.0,25.0,75.5
030304,95.0,68.7,,,,65.9,,,78.0,80.0,,59.5,,,,67.7
030LEA,95.0,68.7,,,,65.9,,,78.0,80.0,,59.5,,,,67.7
040304,88.9,80.0,,,63.6,,,,81.8,,,76.9,,,,89.5
040306,90.9,43.5,,,26.3,38.8,,,45.6,,,41.3,,,,70.2
040LEA,90.4,50.3,,,30.1,43.1,,,52.6,,,47.4,,,27.3,76.1
050302,95.0,78.8,,,,74.4,,,77.8,76.5,,79.8,,,18.2,79.8
050LEA,95.0,78.8,,,,74.4,,,77.8,76.5,,79.8,,,18.2,79.8
060302,,44.9,,,,35.6,,,44.1,25.0,,45.7,,,,50.0
060334,,20.0,,,,,,,,,,,,,,20.0
060700,95.0,95.0,,,,93.5,,,95.0,,,95.0,,,,95.0
060LEA,95.0,67.3,,,,58.0,,,73.1,43.8,,60.9,,,,70.5
070311,95.0,95.0,,,,95.0,,,95.0,95.0,,95.0,,,,95.0
